Orthogroup	Prbl	Pras
OG0000000	Prbl.g_01582	Pras.g_00243
OG0000000	Prbl.g_01092	Pras.g_01554
OG0000002	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578	Pras.g_00235
OG0000003	Prbl.g_00117	Pras.g_00136, Pras.g_00182
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Pras.g_01631, Pras.g_01638
OG0000006	Prbl.g_00531	Pras.g_01375
OG0000006	Prbl.g_00394	Pras.g_00550
OG0000007	Prbl.g_01854	Pras.g_01548
OG0000009	Prbl.g_01509	Pras.g_01681, Pras.g_01101
OG0000011	Prbl.g_01574	Pras.g_01263
OG0000011	Prbl.g_00719	Pras.g_01182
OG0000012	Prbl.g_01755, Prbl.g_01763	Pras.g_01474
OG0000013	Prbl.g_01566	Pras.g_00127
OG0000016	Prbl.g_00007, Prbl.g_00046	Pras.g_00246
OG0000017	Prbl.g_00691	Pras.g_00886
OG0000018	Prbl.g_02601	Pras.g_00148, Pras.g_01093
OG0000019	Prbl.g_01768	Pras.g_00507
OG0000020	Prbl.g_01465	Pras.g_01227
OG0000024	Prbl.g_01416	Pras.g_01158
OG0000026	Prbl.g_01981	Pras.g_00875
OG0000028	Prbl.g_00242	Pras.g_00350
OG0000031	Prbl.g_01677	Pras.g_00179, Pras.g_00508
OG0000032	Prbl.g_00835, Prbl.g_00830	Pras.g_00331
OG0000036	Prbl.g_01783	Pras.g_01462
OG0000037	Prbl.g_01618	Pras.g_01499
OG0000038	Prbl.g_01072, Prbl.g_01310	Pras.g_01662
OG0000039	Prbl.g_01838, Prbl.g_00281	Pras.g_01017
OG0000040	Prbl.g_02355	Pras.g_01213
OG0000042	Prbl.g_01839, Prbl.g_02567	Pras.g_01606
OG0000043	Prbl.g_01097, Prbl.g_01099	Pras.g_01686
OG0000045	Prbl.g_00890	Pras.g_00291
OG0000046	Prbl.g_00405	Pras.g_00543
OG0000047	Prbl.g_01285	Pras.g_00743, Pras.g_00883
OG0000048	Prbl.g_01121, Prbl.g_01236	Pras.g_00750
OG0000050	Prbl.g_01977	Pras.g_00873
OG0000051	Prbl.g_00290	Pras.g_01008
OG0000052	Prbl.g_00411	Pras.g_01223
OG0000053	Prbl.g_00752	Pras.g_01416
OG0000054	Prbl.g_01943	Pras.g_01656
OG0000055	Prbl.g_02310	Pras.g_01723
OG0000056	Prbl.g_00138	Pras.g_00011
OG0000058	Prbl.g_01340	Pras.g_01353
OG0000059	Prbl.g_00025	Pras.g_01574
OG0000062	Prbl.g_02204	Pras.g_00023
OG0000063	Prbl.g_01384	Pras.g_00150
