Orthogroup	Prbl	Prbc
OG0000000	Prbl.g_01582	Prbc.g_01920
OG0000000	Prbl.g_01092	Prbc.g_01759, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478
OG0000002	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578	Prbc.g_00588
OG0000003	Prbl.g_00117	Prbc.g_00609, Prbc.g_00812
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prbc.g_02193, Prbc.g_01233, Prbc.g_01294
OG0000006	Prbl.g_00531	Prbc.g_01556
OG0000006	Prbl.g_00394	Prbc.g_00832
OG0000007	Prbl.g_01855	Prbc.g_00893
OG0000007	Prbl.g_01854	Prbc.g_00894
OG0000009	Prbl.g_01509	Prbc.g_01836
OG0000011	Prbl.g_01574	Prbc.g_01273
OG0000011	Prbl.g_00719	Prbc.g_01227
OG0000012	Prbl.g_01755, Prbl.g_01763	Prbc.g_01681
OG0000013	Prbl.g_01566	Prbc.g_00599
OG0000016	Prbl.g_00007, Prbl.g_00046	Prbc.g_00650
OG0000017	Prbl.g_00691	Prbc.g_00728
OG0000018	Prbl.g_02601	Prbc.g_02202
OG0000019	Prbl.g_01768	Prbc.g_02189
OG0000020	Prbl.g_01465	Prbc.g_01165
OG0000024	Prbl.g_01416	Prbc.g_01198
OG0000026	Prbl.g_01981	Prbc.g_00932
OG0000028	Prbl.g_00242	Prbc.g_00709
OG0000031	Prbl.g_01677	Prbc.g_00088, Prbc.g_00095
OG0000032	Prbl.g_00835, Prbl.g_00830	Prbc.g_01228
OG0000034	Prbl.g_00870	Prbc.g_00518, Prbc.g_00517
OG0000037	Prbl.g_01618	Prbc.g_02155
OG0000038	Prbl.g_01072, Prbl.g_01310	Prbc.g_00166
OG0000039	Prbl.g_00281	Prbc.g_00405
OG0000040	Prbl.g_02355	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000042	Prbl.g_01839, Prbl.g_02567	Prbc.g_01787
OG0000043	Prbl.g_01097, Prbl.g_01099	Prbc.g_01999
OG0000044	Prbl.g_02084	Prbc.g_01446
OG0000045	Prbl.g_00890	Prbc.g_01928
OG0000046	Prbl.g_00405	Prbc.g_00826
OG0000047	Prbl.g_01285	Prbc.g_00211
OG0000048	Prbl.g_01121, Prbl.g_01236	Prbc.g_00203
OG0000050	Prbl.g_01977	Prbc.g_01101
OG0000051	Prbl.g_00290	Prbc.g_00414
OG0000052	Prbl.g_00411	Prbc.g_00134, Prbc.g_00641
OG0000053	Prbl.g_00752	Prbc.g_01618
OG0000054	Prbl.g_01943	Prbc.g_01116
OG0000055	Prbl.g_02310	Prbc.g_01882, Prbc.g_00153
OG0000056	Prbl.g_00138	Prbc.g_01117
OG0000058	Prbl.g_01340	Prbc.g_01534
OG0000059	Prbl.g_00025	Prbc.g_00055, Prbc.g_01780
OG0000063	Prbl.g_01384	Prbc.g_00102
OG0000065	Prbl.g_01722	Prbc.g_00566
OG0000066	Prbl.g_00892	Prbc.g_01753
OG0000068	Prbl.g_01126, Prbl.g_01000	Prbc.g_00284
OG0000069	Prbl.g_00712	Prbc.g_00746
OG0000070	Prbl.g_01171, Prbl.g_01599	Prbc.g_00011, Prbc.g_01108, Prbc.g_00532
OG0000071	Prbl.g_02109	Prbc.g_01081
OG0000072	Prbl.g_00897	Prbc.g_01214
OG0000073	Prbl.g_01395	Prbc.g_01748
OG0000074	Prbl.g_01859	Prbc.g_01773
OG0000075	Prbl.g_02328	Prbc.g_01865
OG0000076	Prbl.g_00927	Prbc.g_02113
OG0000078	Prbl.g_00893	Prbc.g_01229
OG0000079	Prbl.g_00417	Prbc.g_00790
OG0000080	Prbl.g_00462	Prbc.g_00144
OG0000081	Prbl.g_00857	Prbc.g_00238
OG0000082	Prbl.g_02195	Prbc.g_01009
OG0000083	Prbl.g_02118	Prbc.g_01073
OG0000084	Prbl.g_02115	Prbc.g_01076
OG0000085	Prbl.g_01968	Prbc.g_01093
OG0000087	Prbl.g_02273	Prbc.g_01127
OG0000088	Prbl.g_01331	Prbc.g_00458
OG0000089	Prbl.g_01316	Prbc.g_00449
OG0000090	Prbl.g_00810	Prbc.g_00432
OG0000091	Prbl.g_00278	Prbc.g_00402
OG0000092	Prbl.g_00277	Prbc.g_00401
OG0000093	Prbl.g_00069	Prbc.g_00388
OG0000094	Prbl.g_00098	Prbc.g_00369
OG0000095	Prbl.g_01282	Prbc.g_00365
OG0000096	Prbl.g_01506	Prbc.g_01147
OG0000097	Prbl.g_01461	Prbc.g_01167
OG0000098	Prbl.g_01448	Prbc.g_01177
OG0000099	Prbl.g_01436	Prbc.g_01186
OG0000100	Prbl.g_01432	Prbc.g_01189
OG0000101	Prbl.g_02677	Prbc.g_01270
OG0000102	Prbl.g_02190	Prbc.g_02183
OG0000103	Prbl.g_01339	Prbc.g_01535
OG0000104	Prbl.g_00511	Prbc.g_01540
OG0000105	Prbl.g_00533	Prbc.g_01579
OG0000106	Prbl.g_00768	Prbc.g_01611
OG0000107	Prbl.g_00766	Prbc.g_01612
OG0000108	Prbl.g_02647	Prbc.g_01622
OG0000109	Prbl.g_01886	Prbc.g_01632
OG0000110	Prbl.g_01905	Prbc.g_01648
OG0000111	Prbl.g_01043	Prbc.g_01728
OG0000112	Prbl.g_01042	Prbc.g_01729
OG0000113	Prbl.g_02432	Prbc.g_01811
OG0000114	Prbl.g_02337	Prbc.g_01856
OG0000115	Prbl.g_02478	Prbc.g_02036
OG0000116	Prbl.g_02486	Prbc.g_02040
OG0000117	Prbl.g_00930	Prbc.g_02110
OG0000118	Prbl.g_02128	Prbc.g_00173
OG0000119	Prbl.g_02202	Prbc.g_00899
OG0000120	Prbl.g_02091	Prbc.g_01439
OG0000121	Prbl.g_01119	Prbc.g_01417
OG0000122	Prbl.g_02583	Prbc.g_01397
OG0000123	Prbl.g_01102	Prbc.g_01387
OG0000124	Prbl.g_00937	Prbc.g_02103
OG0000125	Prbl.g_01736	Prbc.g_00577
OG0000126	Prbl.g_00502	Prbc.g_00657
OG0000127	Prbl.g_00258	Prbc.g_00695
OG0000128	Prbl.g_00241	Prbc.g_00710
OG0000129	Prbl.g_00709	Prbc.g_00744
OG0000130	Prbl.g_00399	Prbc.g_00830
OG0000131	Prbl.g_00350	Prbc.g_00867
OG0000132	Prbl.g_00347	Prbc.g_00869
OG0000133	Prbl.g_00957	Prbc.g_00326, Prbc.g_01572
OG0000134	Prbl.g_00994	Prbc.g_00290
OG0000135	Prbl.g_00996	Prbc.g_01560, Prbc.g_00288
OG0000136	Prbl.g_00841	Prbc.g_00226
OG0000137	Prbl.g_02053	Prbc.g_00190
OG0000138	Prbl.g_02231	Prbc.g_00997
OG0000139	Prbl.g_02147	Prbc.g_01047
OG0000140	Prbl.g_02120	Prbc.g_01071
OG0000141	Prbl.g_02119	Prbc.g_01072
OG0000142	Prbl.g_02117	Prbc.g_01074
OG0000143	Prbl.g_02116	Prbc.g_01075
OG0000144	Prbl.g_02114	Prbc.g_01077
OG0000145	Prbl.g_02112	Prbc.g_01078
OG0000146	Prbl.g_02111	Prbc.g_01079
OG0000147	Prbl.g_02110	Prbc.g_01080
OG0000148	Prbl.g_02108	Prbc.g_01082
OG0000149	Prbl.g_01955	Prbc.g_01084
OG0000150	Prbl.g_01956	Prbc.g_01085
OG0000151	Prbl.g_01961	Prbc.g_01086
OG0000152	Prbl.g_01962	Prbc.g_01087
OG0000153	Prbl.g_01963	Prbc.g_01088
OG0000154	Prbl.g_01964	Prbc.g_01089
OG0000155	Prbl.g_01965	Prbc.g_01090
OG0000156	Prbl.g_01966	Prbc.g_01091
OG0000157	Prbl.g_01967	Prbc.g_01092
OG0000158	Prbl.g_01969	Prbc.g_01094
OG0000159	Prbl.g_01970	Prbc.g_01095
OG0000160	Prbl.g_01971	Prbc.g_01096
OG0000161	Prbl.g_01972	Prbc.g_01097
OG0000162	Prbl.g_01973	Prbc.g_01098
OG0000163	Prbl.g_01975	Prbc.g_01099
OG0000164	Prbl.g_01980	Prbc.g_01102
OG0000165	Prbl.g_01985	Prbc.g_01104
OG0000166	Prbl.g_01986	Prbc.g_01105
OG0000167	Prbl.g_01987	Prbc.g_01106
OG0000168	Prbl.g_01988	Prbc.g_01118
OG0000169	Prbl.g_01990	Prbc.g_01120
OG0000170	Prbl.g_02241	Prbc.g_01121
OG0000171	Prbl.g_02243	Prbc.g_01122
OG0000172	Prbl.g_02244	Prbc.g_01123
OG0000173	Prbl.g_02251	Prbc.g_01124
OG0000174	Prbl.g_02258	Prbc.g_01125
OG0000175	Prbl.g_02266	Prbc.g_01126
OG0000176	Prbl.g_02274	Prbc.g_01128
OG0000177	Prbl.g_02275	Prbc.g_01129
OG0000178	Prbl.g_02276	Prbc.g_01130
OG0000179	Prbl.g_00614	Prbc.g_00509
OG0000180	Prbl.g_00613	Prbc.g_00508
OG0000181	Prbl.g_00612	Prbc.g_00507
OG0000182	Prbl.g_00608	Prbc.g_00504
OG0000183	Prbl.g_00607	Prbc.g_00503
OG0000184	Prbl.g_00603	Prbc.g_00500
OG0000185	Prbl.g_00597	Prbc.g_00496
OG0000186	Prbl.g_00596	Prbc.g_00495
OG0000187	Prbl.g_01075	Prbc.g_00494
OG0000188	Prbl.g_00595	Prbc.g_00493
OG0000189	Prbl.g_00592	Prbc.g_00492
OG0000190	Prbl.g_00591	Prbc.g_00491
OG0000191	Prbl.g_00590	Prbc.g_00490
OG0000192	Prbl.g_00589	Prbc.g_00489
OG0000193	Prbl.g_00588	Prbc.g_00488
OG0000194	Prbl.g_00587	Prbc.g_00487
OG0000195	Prbl.g_00583	Prbc.g_00485
OG0000196	Prbl.g_00582	Prbc.g_00484
OG0000197	Prbl.g_00576	Prbc.g_00483
OG0000198	Prbl.g_00572	Prbc.g_00482
OG0000199	Prbl.g_00567	Prbc.g_00479
OG0000200	Prbl.g_00566	Prbc.g_00478
OG0000201	Prbl.g_00565	Prbc.g_00477
OG0000202	Prbl.g_00563	Prbc.g_00476
OG0000203	Prbl.g_00562	Prbc.g_00475
OG0000204	Prbl.g_00561	Prbc.g_00474
OG0000205	Prbl.g_00559	Prbc.g_00472
OG0000206	Prbl.g_00558	Prbc.g_00471
OG0000207	Prbl.g_00557	Prbc.g_00470
OG0000208	Prbl.g_00556	Prbc.g_00469
OG0000209	Prbl.g_00555	Prbc.g_00468
OG0000210	Prbl.g_00553	Prbc.g_00467
OG0000211	Prbl.g_00552	Prbc.g_00466
OG0000212	Prbl.g_00551	Prbc.g_00465
OG0000213	Prbl.g_00548	Prbc.g_00464
OG0000214	Prbl.g_00542	Prbc.g_00460
OG0000215	Prbl.g_01332	Prbc.g_00459
OG0000216	Prbl.g_01330	Prbc.g_00457
OG0000217	Prbl.g_01328	Prbc.g_00455
OG0000218	Prbl.g_01326	Prbc.g_00454
OG0000219	Prbl.g_01325	Prbc.g_00453
OG0000220	Prbl.g_01320	Prbc.g_00451
OG0000221	Prbl.g_01315	Prbc.g_00448
OG0000222	Prbl.g_01314	Prbc.g_00447
OG0000223	Prbl.g_01313	Prbc.g_00446
OG0000224	Prbl.g_00827	Prbc.g_00443
OG0000225	Prbl.g_00825	Prbc.g_00441
OG0000226	Prbl.g_00822	Prbc.g_00439
OG0000227	Prbl.g_00820	Prbc.g_00438
OG0000228	Prbl.g_00819	Prbc.g_00437
OG0000229	Prbl.g_00818	Prbc.g_00436
OG0000230	Prbl.g_00817	Prbc.g_00435
OG0000231	Prbl.g_00815	Prbc.g_02145
OG0000232	Prbl.g_00814	Prbc.g_00434
OG0000233	Prbl.g_00809	Prbc.g_00431
OG0000234	Prbl.g_00305	Prbc.g_00428
OG0000235	Prbl.g_00303	Prbc.g_00426
OG0000236	Prbl.g_00302	Prbc.g_00425
OG0000237	Prbl.g_00301	Prbc.g_00424
OG0000238	Prbl.g_00300	Prbc.g_00423
OG0000239	Prbl.g_00299	Prbc.g_00422
OG0000240	Prbl.g_00297	Prbc.g_00420
OG0000241	Prbl.g_00296	Prbc.g_00419
OG0000242	Prbl.g_00295	Prbc.g_00418
OG0000243	Prbl.g_00294	Prbc.g_00417
OG0000244	Prbl.g_00293	Prbc.g_00416
OG0000245	Prbl.g_00291	Prbc.g_00415
OG0000246	Prbl.g_00289	Prbc.g_00413
OG0000247	Prbl.g_00288	Prbc.g_00412
OG0000248	Prbl.g_00287	Prbc.g_00411
OG0000249	Prbl.g_00286	Prbc.g_00410
OG0000250	Prbl.g_00285	Prbc.g_00409
OG0000251	Prbl.g_00284	Prbc.g_00408
OG0000252	Prbl.g_00283	Prbc.g_00407
OG0000253	Prbl.g_00282	Prbc.g_00406
OG0000254	Prbl.g_00280	Prbc.g_00404
OG0000255	Prbl.g_00279	Prbc.g_00403
OG0000256	Prbl.g_00276	Prbc.g_00400
OG0000257	Prbl.g_00275	Prbc.g_00399
OG0000258	Prbl.g_00274	Prbc.g_00398
OG0000259	Prbl.g_00273	Prbc.g_00397
OG0000260	Prbl.g_00272	Prbc.g_00396
OG0000261	Prbl.g_00271	Prbc.g_00395
OG0000262	Prbl.g_00270	Prbc.g_00394
OG0000263	Prbl.g_00269	Prbc.g_00393
OG0000264	Prbl.g_02377	Prbc.g_00391
OG0000265	Prbl.g_00066	Prbc.g_00390
OG0000266	Prbl.g_00068	Prbc.g_00389
OG0000267	Prbl.g_00072	Prbc.g_00387
OG0000268	Prbl.g_00074	Prbc.g_00385
OG0000269	Prbl.g_00077	Prbc.g_00384
OG0000270	Prbl.g_00079	Prbc.g_00383
OG0000271	Prbl.g_00082	Prbc.g_00382
OG0000272	Prbl.g_00083	Prbc.g_00381
OG0000273	Prbl.g_00086	Prbc.g_00380
OG0000274	Prbl.g_00088	Prbc.g_00379
OG0000275	Prbl.g_00089	Prbc.g_00378
OG0000276	Prbl.g_00090	Prbc.g_00377
OG0000277	Prbl.g_00091	Prbc.g_00376
OG0000278	Prbl.g_00092	Prbc.g_00375
OG0000279	Prbl.g_00093	Prbc.g_00374
OG0000280	Prbl.g_00094	Prbc.g_00373
OG0000281	Prbl.g_00096	Prbc.g_00371
OG0000282	Prbl.g_00097	Prbc.g_00370
OG0000283	Prbl.g_00104	Prbc.g_00368
OG0000284	Prbl.g_00105	Prbc.g_00367
OG0000285	Prbl.g_01283	Prbc.g_00366
OG0000286	Prbl.g_01281	Prbc.g_00364
OG0000287	Prbl.g_00130	Prbc.g_00363
OG0000288	Prbl.g_00129	Prbc.g_00362
OG0000289	Prbl.g_00127	Prbc.g_00361
OG0000290	Prbl.g_00126	Prbc.g_00360
OG0000291	Prbl.g_00124	Prbc.g_00358
OG0000292	Prbl.g_01244	Prbc.g_00357
OG0000293	Prbl.g_01245	Prbc.g_00356
OG0000294	Prbl.g_01246	Prbc.g_00355
OG0000295	Prbl.g_01252	Prbc.g_00354
OG0000296	Prbl.g_01253	Prbc.g_00353
OG0000297	Prbl.g_01256	Prbc.g_00352
OG0000298	Prbl.g_01257	Prbc.g_00351
OG0000299	Prbl.g_01258	Prbc.g_00350
OG0000300	Prbl.g_01259	Prbc.g_00349
OG0000301	Prbl.g_01260	Prbc.g_00348
OG0000302	Prbl.g_01261	Prbc.g_00347
OG0000303	Prbl.g_01262	Prbc.g_00346
OG0000304	Prbl.g_01264	Prbc.g_00345
OG0000305	Prbl.g_01265	Prbc.g_00344
OG0000306	Prbl.g_01266	Prbc.g_00343
