Orthogroup	Prbl	Prbj
OG0000000	Prbl.g_01582	Prbj.g_02517
OG0000000	Prbl.g_01092	Prbj.g_00030
OG0000001	Prbl.g_00118	Prbj.g_00166
OG0000001	Prbl.g_00116	Prbj.g_00164
OG0000002	Prbl.g_00725	Prbj.g_00672
OG0000002	Prbl.g_00808	Prbj.g_01549
OG0000002	Prbl.g_02598	Prbj.g_02662
OG0000002	Prbl.g_00121	Prbj.g_00169
OG0000002	Prbl.g_02578	Prbj.g_02690
OG0000003	Prbl.g_00117	Prbj.g_00165
OG0000004	Prbl.g_01685	Prbj.g_00697
OG0000004	Prbl.g_00628	Prbj.g_01897
OG0000004	Prbl.g_00679	Prbj.g_00073
OG0000006	Prbl.g_00531	Prbj.g_01610
OG0000006	Prbl.g_00394	Prbj.g_00857
OG0000007	Prbl.g_01855	Prbj.g_00929
OG0000007	Prbl.g_01854	Prbj.g_00928
OG0000009	Prbl.g_01509	Prbj.g_01349
OG0000011	Prbl.g_01574	Prbj.g_02509
OG0000011	Prbl.g_00719	Prbj.g_00666
OG0000012	Prbl.g_01755	Prbj.g_01761
OG0000012	Prbl.g_01763	Prbj.g_01769
OG0000013	Prbl.g_01566	Prbj.g_02502
OG0000016	Prbl.g_00007	Prbj.g_00740
OG0000016	Prbl.g_00046	Prbj.g_00778
OG0000017	Prbl.g_00691	Prbj.g_00638
OG0000018	Prbl.g_02601	Prbj.g_02699
OG0000019	Prbl.g_01768	Prbj.g_01774
OG0000020	Prbl.g_01465	Prbj.g_01393
OG0000024	Prbl.g_01416	Prbj.g_01442
OG0000026	Prbl.g_01981	Prbj.g_01208
OG0000028	Prbl.g_00242	Prbj.g_01056
OG0000031	Prbl.g_01677	Prbj.g_00705
OG0000032	Prbl.g_00835	Prbj.g_01522
OG0000032	Prbl.g_00830	Prbj.g_01527
OG0000034	Prbl.g_00870	Prbj.g_01487
OG0000036	Prbl.g_01783	Prbj.g_01789
OG0000037	Prbl.g_01618	Prbj.g_02552
OG0000038	Prbl.g_01072	Prbj.g_00050
OG0000038	Prbl.g_01310	Prbj.g_01572
OG0000039	Prbl.g_01838	Prbj.g_00912
OG0000039	Prbl.g_00281	Prbj.g_00521
OG0000040	Prbl.g_02355	Prbj.g_02392
OG0000042	Prbl.g_01839	Prbj.g_00913
OG0000042	Prbl.g_02567	Prbj.g_02178
OG0000043	Prbl.g_01097	Prbj.g_00025
OG0000043	Prbl.g_01099	Prbj.g_00023
OG0000044	Prbl.g_02084	Prbj.g_00971
OG0000045	Prbl.g_00890	Prbj.g_01467
OG0000046	Prbl.g_00405	Prbj.g_00869
OG0000047	Prbl.g_01285	Prbj.g_01598
OG0000048	Prbl.g_01121	Prbj.g_00001
OG0000048	Prbl.g_01236	Prbj.g_01808
OG0000049	Prbl.g_00265	Prbj.g_00505
OG0000049	Prbl.g_00106	Prbj.g_01175
OG0000049	Prbl.g_00064	Prbj.g_01133
OG0000049	Prbl.g_02178	Prbj.g_02016
OG0000049	Prbl.g_00740	Prbj.g_01104
OG0000049	Prbl.g_00261	Prbj.g_01037
OG0000049	Prbl.g_00746	Prbj.g_02147
OG0000050	Prbl.g_01977	Prbj.g_01204
OG0000051	Prbl.g_00290	Prbj.g_00530
OG0000052	Prbl.g_00411	Prbj.g_00875
OG0000053	Prbl.g_00752	Prbj.g_02141
OG0000054	Prbl.g_01943	Prbj.g_01324
OG0000055	Prbl.g_02310	Prbj.g_02437
OG0000056	Prbl.g_00138	Prbj.g_00227
OG0000058	Prbl.g_01340	Prbj.g_00128
OG0000059	Prbl.g_00025	Prbj.g_00758
OG0000062	Prbl.g_02204	Prbj.g_01990
OG0000063	Prbl.g_01384	Prbj.g_01915
OG0000065	Prbl.g_01722	Prbj.g_01728
OG0000066	Prbl.g_00892	Prbj.g_01465
OG0000068	Prbl.g_01126	Prbj.g_00415
OG0000068	Prbl.g_01000	Prbj.g_00981
OG0000069	Prbl.g_00889	Prbj.g_01468
OG0000069	Prbl.g_00712	Prbj.g_00659
OG0000070	Prbl.g_01171	Prbj.g_00371
OG0000070	Prbl.g_01599	Prbj.g_02533
OG0000071	Prbl.g_02109	Prbj.g_02085
OG0000072	Prbl.g_00897	Prbj.g_01460
OG0000073	Prbl.g_01395	Prbj.g_00824
OG0000074	Prbl.g_01859	Prbj.g_00933
OG0000075	Prbl.g_02328	Prbj.g_02419
OG0000076	Prbl.g_00927	Prbj.g_01838
OG0000078	Prbl.g_00893	Prbj.g_01464
OG0000079	Prbl.g_00417	Prbj.g_00881
OG0000080	Prbl.g_00462	Prbj.g_01678
OG0000081	Prbl.g_00857	Prbj.g_01500
OG0000082	Prbl.g_02195	Prbj.g_01999
OG0000083	Prbl.g_02118	Prbj.g_02076
OG0000084	Prbl.g_02115	Prbj.g_02079
OG0000085	Prbl.g_01968	Prbj.g_01195
OG0000087	Prbl.g_02273	Prbj.g_01921
OG0000088	Prbl.g_01331	Prbj.g_01551
OG0000089	Prbl.g_01316	Prbj.g_01566
OG0000090	Prbl.g_00810	Prbj.g_01547
OG0000091	Prbl.g_00278	Prbj.g_00518
OG0000092	Prbl.g_00277	Prbj.g_00517
OG0000093	Prbl.g_00069	Prbj.g_01138
OG0000094	Prbl.g_00098	Prbj.g_01167
OG0000095	Prbl.g_01282	Prbj.g_00288
OG0000096	Prbl.g_01506	Prbj.g_01352
OG0000097	Prbl.g_01461	Prbj.g_01397
OG0000098	Prbl.g_01448	Prbj.g_01410
OG0000099	Prbl.g_01436	Prbj.g_01422
OG0000100	Prbl.g_01432	Prbj.g_01426
OG0000101	Prbl.g_02677	Prbj.g_00067
OG0000102	Prbl.g_02190	Prbj.g_02004
OG0000103	Prbl.g_01339	Prbj.g_00127
OG0000104	Prbl.g_00511	Prbj.g_01630
OG0000105	Prbl.g_00533	Prbj.g_01608
OG0000106	Prbl.g_00768	Prbj.g_02125
OG0000107	Prbl.g_00766	Prbj.g_02127
OG0000108	Prbl.g_02647	Prbj.g_02668
OG0000109	Prbl.g_01886	Prbj.g_01866
OG0000110	Prbl.g_01905	Prbj.g_01885
OG0000111	Prbl.g_01043	Prbj.g_00792
OG0000112	Prbl.g_01042	Prbj.g_00793
OG0000113	Prbl.g_02432	Prbj.g_02314
OG0000114	Prbl.g_02337	Prbj.g_02410
OG0000115	Prbl.g_02478	Prbj.g_02268
OG0000116	Prbl.g_02486	Prbj.g_02260
OG0000117	Prbl.g_00930	Prbj.g_01841
OG0000118	Prbl.g_02128	Prbj.g_02066
OG0000119	Prbl.g_02202	Prbj.g_01992
OG0000120	Prbl.g_02091	Prbj.g_00843
OG0000121	Prbl.g_01119	Prbj.g_00003
OG0000122	Prbl.g_02583	Prbj.g_02156
OG0000123	Prbl.g_01102	Prbj.g_00020
OG0000124	Prbl.g_00937	Prbj.g_01848
OG0000125	Prbl.g_01736	Prbj.g_01742
OG0000126	Prbl.g_00502	Prbj.g_01639
OG0000127	Prbl.g_00258	Prbj.g_01040
