Orthogroup	Syah	Prbk
OG0000001	Syah.g_00040, Syah.g_00041	Prbk.g_00561, Prbk.g_02701
OG0000002	Syah.g_01829	Prbk.g_02574, Prbk.g_01649
OG0000004	Syah.g_02017	Prbk.g_01760
OG0000004	Syah.g_01967, Syah.g_00901	Prbk.g_01134
OG0000005	Syah.g_02363	Prbk.g_00933
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbk.g_02695
OG0000007	Syah.g_02384	Prbk.g_00907
OG0000008	Syah.g_01994	Prbk.g_01819
OG0000008	Syah.g_01993	Prbk.g_01820
OG0000009	Syah.g_01910, Syah.g_02535	Prbk.g_01932, Prbk.g_00013
OG0000010	Syah.g_01220	Prbk.g_02112
OG0000012	Syah.g_01960	Prbk.g_02610
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prbk.g_00853
OG0000014	Syah.g_00127	Prbk.g_00454
OG0000015	Syah.g_01511, Syah.g_01510	Prbk.g_02558
OG0000017	Syah.g_01152	Prbk.g_01142
OG0000017	Syah.g_01159	Prbk.g_01150
OG0000018	Syah.g_01264	Prbk.g_01227
OG0000019	Syah.g_00669	Prbk.g_01644, Prbk.g_01004
OG0000022	Syah.g_01881	Prbk.g_01667
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbk.g_02448
OG0000024	Syah.g_01990	Prbk.g_01780
OG0000025	Syah.g_02082	Prbk.g_02531
OG0000026	Syah.g_00340	Prbk.g_01617
OG0000028	Syah.g_00141	Prbk.g_00469
OG0000029	Syah.g_01292	Prbk.g_00833
OG0000030	Syah.g_00264	Prbk.g_01532
OG0000030	Syah.g_00265	Prbk.g_01533
OG0000031	Syah.g_00146	Prbk.g_00534, Prbk.g_00539
OG0000032	Syah.g_01246	Prbk.g_01209
OG0000033	Syah.g_00078, Syah.g_00211	Prbk.g_00776
OG0000034	Syah.g_00048, Syah.g_02213	Prbk.g_01171
OG0000035	Syah.g_01293	Prbk.g_00259
OG0000036	Syah.g_00963, Syah.g_00962, Syah.g_00949	Prbk.g_01948
OG0000036	Syah.g_00964	Prbk.g_00075
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbk.g_00007
OG0000038	Syah.g_00508	Prbk.g_02164
OG0000038	Syah.g_00506	Prbk.g_02166
OG0000041	Syah.g_02271, Syah.g_02039	Prbk.g_01406
OG0000042	Syah.g_00261	Prbk.g_01495, Prbk.g_00140
OG0000045	Syah.g_02356	Prbk.g_01321
OG0000046	Syah.g_00823, Syah.g_00830, Syah.g_00816	Prbk.g_00854
OG0000047	Syah.g_00847	Prbk.g_01202, Prbk.g_02565
OG0000048	Syah.g_00637	Prbk.g_00405
OG0000052	Syah.g_00171	Prbk.g_00499
OG0000053	Syah.g_01267	Prbk.g_01230
OG0000054	Syah.g_01982, Syah.g_01862	Prbk.g_01153
OG0000057	Syah.g_02020	Prbk.g_01765
OG0000058	Syah.g_00152	Prbk.g_00479
OG0000059	Syah.g_00737	Prbk.g_00992
OG0000061	Syah.g_02158	Prbk.g_01019
OG0000062	Syah.g_02365	Prbk.g_00931
OG0000063	Syah.g_00337	Prbk.g_01613
OG0000066	Syah.g_01073	Prbk.g_01094
OG0000067	Syah.g_01779	Prbk.g_02468
OG0000068	Syah.g_00986	Prbk.g_02052
OG0000070	Syah.g_02217	Prbk.g_00310
OG0000071	Syah.g_01863, Syah.g_02199	Prbk.g_01183
OG0000072	Syah.g_00080	Prbk.g_00778
OG0000073	Syah.g_01018	Prbk.g_01862
OG0000075	Syah.g_00186	Prbk.g_00514
OG0000076	Syah.g_00250	Prbk.g_00237
OG0000077	Syah.g_02494	Prbk.g_00307
OG0000078	Syah.g_00912	Prbk.g_01515
OG0000081	Syah.g_02471	Prbk.g_00733
OG0000082	Syah.g_01136	Prbk.g_01122
OG0000084	Syah.g_02105, Syah.g_01296	Prbk.g_00255
OG0000085	Syah.g_02372	Prbk.g_00919
OG0000086	Syah.g_02511	Prbk.g_01295
OG0000087	Syah.g_00038	Prbk.g_00559
OG0000088	Syah.g_00074	Prbk.g_00773, Prbk.g_01836
OG0000089	Syah.g_00888	Prbk.g_00364
OG0000090	Syah.g_01064	Prbk.g_01080
OG0000091	Syah.g_01927	Prbk.g_02639
OG0000093	Syah.g_01794	Prbk.g_02444
OG0000094	Syah.g_01692	Prbk.g_02190
OG0000095	Syah.g_02030	Prbk.g_00056
OG0000097	Syah.g_01400	Prbk.g_00189
OG0000098	Syah.g_00723	Prbk.g_01199
OG0000099	Syah.g_00144	Prbk.g_00476
OG0000100	Syah.g_01747	Prbk.g_01360, Prbk.g_02498
OG0000101	Syah.g_00785	Prbk.g_00944
OG0000102	Syah.g_00255	Prbk.g_01484
OG0000103	Syah.g_00391	Prbk.g_02260
OG0000104	Syah.g_00377	Prbk.g_02274
OG0000105	Syah.g_00632	Prbk.g_00409
OG0000106	Syah.g_01544	Prbk.g_00925
OG0000108	Syah.g_00997	Prbk.g_02061
OG0000109	Syah.g_01012	Prbk.g_02077
OG0000110	Syah.g_01124	Prbk.g_01110
OG0000111	Syah.g_02021	Prbk.g_01766
OG0000112	Syah.g_01613	Prbk.g_02332
OG0000113	Syah.g_01752	Prbk.g_02493
OG0000114	Syah.g_01529	Prbk.g_02396
OG0000115	Syah.g_01269	Prbk.g_01234
OG0000116	Syah.g_02175	Prbk.g_01034
OG0000117	Syah.g_01425	Prbk.g_01496
OG0000118	Syah.g_01173	Prbk.g_01169
OG0000120	Syah.g_00145	Prbk.g_00477
OG0000121	Syah.g_01287	Prbk.g_00267, Prbk.g_00261
OG0000122	Syah.g_01900	Prbk.g_02664
OG0000123	Syah.g_00793	Prbk.g_00805
OG0000124	Syah.g_00272	Prbk.g_01539
OG0000125	Syah.g_00504	Prbk.g_02168
OG0000126	Syah.g_00379	Prbk.g_02272
OG0000128	Syah.g_00361	Prbk.g_02290
OG0000129	Syah.g_00516	Prbk.g_02156
OG0000130	Syah.g_02483	Prbk.g_01320
OG0000131	Syah.g_00052	Prbk.g_00751
OG0000132	Syah.g_00072	Prbk.g_00771
OG0000133	Syah.g_01618	Prbk.g_00472
OG0000134	Syah.g_00891	Prbk.g_00361
OG0000135	Syah.g_00465	Prbk.g_02209
OG0000136	Syah.g_02227	Prbk.g_00323
OG0000137	Syah.g_01221	Prbk.g_02113
OG0000138	Syah.g_01013	Prbk.g_02078
OG0000139	Syah.g_01070	Prbk.g_01086
OG0000140	Syah.g_01071	Prbk.g_01092
OG0000141	Syah.g_01981	Prbk.g_01154
OG0000142	Syah.g_01935	Prbk.g_02631
OG0000143	Syah.g_01931	Prbk.g_02635
OG0000144	Syah.g_01824	Prbk.g_00739
OG0000145	Syah.g_01019	Prbk.g_01863
OG0000146	Syah.g_01612	Prbk.g_02333
OG0000147	Syah.g_01611	Prbk.g_02334
OG0000148	Syah.g_01758	Prbk.g_02487
OG0000149	Syah.g_02096	Prbk.g_02544
OG0000150	Syah.g_01980	Prbk.g_02567
OG0000151	Syah.g_01820	Prbk.g_02417
OG0000152	Syah.g_01622	Prbk.g_02324
OG0000153	Syah.g_01656	Prbk.g_02297
OG0000154	Syah.g_01682	Prbk.g_00584
OG0000155	Syah.g_02123	Prbk.g_00099
OG0000156	Syah.g_02185	Prbk.g_00164
OG0000157	Syah.g_02186	Prbk.g_00163
OG0000158	Syah.g_00204	Prbk.g_00526
OG0000160	Syah.g_01289	Prbk.g_00260
OG0000161	Syah.g_01282	Prbk.g_00274
OG0000162	Syah.g_01276	Prbk.g_00280
OG0000163	Syah.g_02315	Prbk.g_02002
OG0000164	Syah.g_02423	Prbk.g_01432
OG0000165	Syah.g_02251	Prbk.g_01423
OG0000166	Syah.g_00747	Prbk.g_00982
OG0000167	Syah.g_00183	Prbk.g_00512
OG0000168	Syah.g_00205	Prbk.g_00527
OG0000169	Syah.g_00237	Prbk.g_00220
OG0000170	Syah.g_00245	Prbk.g_00232
OG0000171	Syah.g_00271	Prbk.g_01538
OG0000172	Syah.g_00293	Prbk.g_01573
OG0000173	Syah.g_00313	Prbk.g_01594
OG0000174	Syah.g_00461	Prbk.g_02211
OG0000175	Syah.g_00402	Prbk.g_02249
OG0000176	Syah.g_00369	Prbk.g_02282
OG0000177	Syah.g_00368	Prbk.g_02283
OG0000178	Syah.g_00367	Prbk.g_02284
OG0000179	Syah.g_00355	Prbk.g_01633
OG0000180	Syah.g_00354	Prbk.g_01632
OG0000181	Syah.g_00353	Prbk.g_01631
OG0000182	Syah.g_00352	Prbk.g_01630
OG0000183	Syah.g_00348	Prbk.g_01626
OG0000184	Syah.g_00525	Prbk.g_02148
OG0000186	Syah.g_02479	Prbk.g_01326
OG0000187	Syah.g_02480	Prbk.g_01324
OG0000188	Syah.g_02501	Prbk.g_01303
OG0000189	Syah.g_02526	Prbk.g_00024
OG0000190	Syah.g_02528	Prbk.g_00022
OG0000191	Syah.g_00008	Prbk.g_00197
OG0000192	Syah.g_00013	Prbk.g_00206
OG0000193	Syah.g_00053	Prbk.g_00752
OG0000194	Syah.g_00056	Prbk.g_00755
OG0000195	Syah.g_00058	Prbk.g_00757
OG0000196	Syah.g_00069	Prbk.g_00768
OG0000197	Syah.g_00070	Prbk.g_00769
OG0000198	Syah.g_00071	Prbk.g_00770
OG0000199	Syah.g_00079	Prbk.g_00777
OG0000200	Syah.g_00616	Prbk.g_01280
OG0000201	Syah.g_00601	Prbk.g_01261
OG0000202	Syah.g_00600	Prbk.g_01260
OG0000203	Syah.g_00599	Prbk.g_01259
OG0000204	Syah.g_00598	Prbk.g_01258
OG0000205	Syah.g_00591	Prbk.g_01251
OG0000206	Syah.g_00578	Prbk.g_00632
OG0000207	Syah.g_00575	Prbk.g_00686
OG0000208	Syah.g_00574	Prbk.g_00685
OG0000209	Syah.g_00544	Prbk.g_00658
OG0000210	Syah.g_00543	Prbk.g_00657
OG0000211	Syah.g_00904	Prbk.g_01368
OG0000212	Syah.g_00913	Prbk.g_01514
OG0000213	Syah.g_00657	Prbk.g_00374
OG0000214	Syah.g_00641	Prbk.g_00401
OG0000215	Syah.g_00101	Prbk.g_00431
OG0000216	Syah.g_00105	Prbk.g_00434
OG0000217	Syah.g_00109	Prbk.g_00438
OG0000218	Syah.g_00111	Prbk.g_00442
OG0000219	Syah.g_00112	Prbk.g_00443
OG0000220	Syah.g_00113	Prbk.g_00444
OG0000221	Syah.g_00120	Prbk.g_00449
OG0000222	Syah.g_00131	Prbk.g_00458
OG0000223	Syah.g_00153	Prbk.g_00481
OG0000224	Syah.g_00162	Prbk.g_00492
OG0000225	Syah.g_00874	Prbk.g_00889
OG0000226	Syah.g_00878	Prbk.g_00893
OG0000227	Syah.g_00880	Prbk.g_00895
OG0000228	Syah.g_00887	Prbk.g_00365
OG0000229	Syah.g_02236	Prbk.g_00328
OG0000230	Syah.g_02234	Prbk.g_00326
OG0000231	Syah.g_02218	Prbk.g_00311
OG0000232	Syah.g_01206	Prbk.g_00295
OG0000233	Syah.g_01210	Prbk.g_02092
OG0000234	Syah.g_01222	Prbk.g_02114
OG0000235	Syah.g_00996	Prbk.g_02060
OG0000236	Syah.g_01011	Prbk.g_02076
OG0000237	Syah.g_01028	Prbk.g_01047
OG0000238	Syah.g_01032	Prbk.g_01051
OG0000239	Syah.g_01048	Prbk.g_01067
OG0000240	Syah.g_01049	Prbk.g_01068
OG0000241	Syah.g_01944	Prbk.g_01965
OG0000242	Syah.g_01062	Prbk.g_01078
OG0000243	Syah.g_01079	Prbk.g_02684
OG0000244	Syah.g_01087	Prbk.g_01897
OG0000245	Syah.g_01090	Prbk.g_01894
OG0000246	Syah.g_01094	Prbk.g_01890
OG0000247	Syah.g_01106	Prbk.g_01879
OG0000248	Syah.g_01109	Prbk.g_01876
OG0000249	Syah.g_01111	Prbk.g_01874
OG0000250	Syah.g_01120	Prbk.g_01106
OG0000251	Syah.g_01145	Prbk.g_01130
OG0000252	Syah.g_01148	Prbk.g_01133
OG0000253	Syah.g_01149	Prbk.g_01139
OG0000254	Syah.g_01976	Prbk.g_01158
OG0000255	Syah.g_01968	Prbk.g_02604
OG0000256	Syah.g_01952	Prbk.g_02618
OG0000257	Syah.g_01945	Prbk.g_02624
OG0000258	Syah.g_01926	Prbk.g_02647
OG0000259	Syah.g_01494	Prbk.g_00720
OG0000260	Syah.g_01497	Prbk.g_00717
OG0000261	Syah.g_01500	Prbk.g_00714
OG0000262	Syah.g_01505	Prbk.g_00709
OG0000263	Syah.g_01410	Prbk.g_00672
