Orthogroup	Syah	Prac
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Prac.g_00202
OG0000002	Syah.g_01829	Prac.g_00210, Prac.g_00693
OG0000004	Syah.g_02017	Prac.g_00676
OG0000004	Syah.g_01967, Syah.g_00901	Prac.g_01698
OG0000005	Syah.g_02403	Prac.g_00612
OG0000005	Syah.g_02363	Prac.g_00335
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prac.g_01689
OG0000007	Syah.g_01016	Prac.g_00874
OG0000007	Syah.g_02384	Prac.g_00625
OG0000008	Syah.g_01994	Prac.g_00904
OG0000009	Syah.g_02457	Prac.g_00301
OG0000009	Syah.g_01910, Syah.g_02535	Prac.g_01826
OG0000010	Syah.g_01220	Prac.g_01592, Prac.g_01248
OG0000011	Syah.g_01991	Prac.g_00142
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Prac.g_00748
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prac.g_01604
OG0000014	Syah.g_00127	Prac.g_01625
OG0000015	Syah.g_01511, Syah.g_01510	Prac.g_00898
OG0000016	Syah.g_00359	Prac.g_01934
OG0000017	Syah.g_01152, Syah.g_01159	Prac.g_00773
OG0000018	Syah.g_01264	Prac.g_01004
OG0000019	Syah.g_00669	Prac.g_01681, Prac.g_01496
OG0000022	Syah.g_01881	Prac.g_01022
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prac.g_01174
OG0000024	Syah.g_01990	Prac.g_01525, Prac.g_00696
OG0000025	Syah.g_02082	Prac.g_01600, Prac.g_01441
OG0000026	Syah.g_00340	Prac.g_01916, Prac.g_01241
OG0000027	Syah.g_01541	Prac.g_01074
OG0000028	Syah.g_00141	Prac.g_00145, Prac.g_01611
OG0000029	Syah.g_01292	Prac.g_01158
OG0000030	Syah.g_00264, Syah.g_00265	Prac.g_00050
OG0000031	Syah.g_00146, Syah.g_00226, Syah.g_00322	Prac.g_00249
OG0000034	Syah.g_00048, Syah.g_02213	Prac.g_00185
OG0000035	Syah.g_01293	Prac.g_00411
