Orthogroup	Syah	Syap
OG0000001	Syah.g_00040, Syah.g_00041	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syah.g_00901	Syap.g_01987
OG0000005	Syah.g_02403	Syap.g_01773
OG0000005	Syah.g_02363	Syap.g_01218
OG0000006	Syah.g_01912	Syap.g_02770
OG0000007	Syah.g_01016	Syap.g_00275
OG0000007	Syah.g_02384	Syap.g_00621
OG0000009	Syah.g_01910, Syah.g_02535	Syap.g_02081
OG0000010	Syah.g_01220	Syap.g_02757
OG0000013	Syah.g_00817	Syap.g_00972
OG0000014	Syah.g_00127	Syap.g_01675
OG0000014	Syah.g_00323	Syap.g_00813
OG0000016	Syah.g_00359	Syap.g_00071
OG0000018	Syah.g_01264	Syap.g_02010
OG0000019	Syah.g_00669	Syap.g_01586
OG0000025	Syah.g_02082	Syap.g_01846
OG0000028	Syah.g_00141	Syap.g_01658
OG0000030	Syah.g_00264	Syap.g_00787
OG0000030	Syah.g_00265	Syap.g_00788
OG0000031	Syah.g_00146	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syah.g_00226	Syap.g_00722
OG0000033	Syah.g_00078, Syah.g_00211	Syap.g_01198
OG0000034	Syah.g_00048, Syah.g_02213	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syah.g_01293	Syap.g_02125, Syap.g_02465
OG0000037	Syah.g_00956, Syah.g_01365	Syap.g_02492
OG0000038	Syah.g_00506	Syap.g_00139
OG0000039	Syah.g_02074	Syap.g_01749, Syap.g_01748
OG0000040	Syah.g_00431	Syap.g_01819
OG0000042	Syah.g_00261	Syap.g_01891, Syap.g_01120
OG0000043	Syah.g_02119	Syap.g_01998
OG0000045	Syah.g_02356	Syap.g_02525
OG0000046	Syah.g_00816	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syah.g_00637	Syap.g_02340
OG0000051	Syah.g_02473	Syap.g_01574
OG0000053	Syah.g_01267	Syap.g_02006
OG0000054	Syah.g_01862	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Syah.g_02020	Syap.g_01569
OG0000058	Syah.g_00152	Syap.g_02074
OG0000059	Syah.g_00737	Syap.g_01918
OG0000060	Syah.g_01515	Syap.g_00795
OG0000061	Syah.g_00215	Syap.g_00870
OG0000061	Syah.g_02158	Syap.g_00228
OG0000062	Syah.g_02365	Syap.g_01220
OG0000063	Syah.g_00337	Syap.g_01796
OG0000066	Syah.g_01073	Syap.g_01972
OG0000067	Syah.g_01779	Syap.g_00194
OG0000068	Syah.g_00986	Syap.g_00108, Syap.g_00144
OG0000069	Syah.g_01715	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Syah.g_02217	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syah.g_01863	Syap.g_01483
OG0000073	Syah.g_01018	Syap.g_00273
OG0000075	Syah.g_00186	Syap.g_01064, Syap.g_00664
OG0000076	Syah.g_00250	Syap.g_01111
OG0000077	Syah.g_02494	Syap.g_00416
OG0000079	Syah.g_00665	Syap.g_01589
OG0000080	Syah.g_00290	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Syah.g_02372	Syap.g_00611
OG0000087	Syah.g_00038	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syah.g_00074	Syap.g_01202
OG0000089	Syah.g_00888	Syap.g_00115, Syap.g_02042
OG0000090	Syah.g_01064	Syap.g_01451
OG0000091	Syah.g_01927	Syap.g_01861
OG0000094	Syah.g_01692	Syap.g_02781
OG0000095	Syah.g_02030	Syap.g_01556
OG0000099	Syah.g_00144	Syap.g_01385
OG0000102	Syah.g_00255	Syap.g_01116
OG0000104	Syah.g_00377	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syah.g_00632	Syap.g_01369, Syap.g_01368
OG0000108	Syah.g_00997	Syap.g_00733, Syap.g_02255
OG0000110	Syah.g_01124	Syap.g_01313
OG0000111	Syah.g_02021	Syap.g_01566, Syap.g_01568
OG0000112	Syah.g_01613	Syap.g_02023
OG0000113	Syah.g_01752	Syap.g_02714
OG0000114	Syah.g_01529	Syap.g_01255
OG0000115	Syah.g_01269	Syap.g_02004
OG0000116	Syah.g_02175	Syap.g_00241
OG0000117	Syah.g_01425	Syap.g_01889
OG0000118	Syah.g_01173	Syap.g_02286
OG0000120	Syah.g_00145	Syap.g_02075
OG0000121	Syah.g_01287	Syap.g_02471
OG0000123	Syah.g_00793	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syah.g_00272	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syah.g_00504	Syap.g_01046, Syap.g_01047
OG0000126	Syah.g_00379	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Syah.g_00361	Syap.g_00069
OG0000129	Syah.g_00516	Syap.g_00130, Syap.g_00129
OG0000130	Syah.g_02483	Syap.g_01688, Syap.g_01689
OG0000131	Syah.g_00052	Syap.g_02189
OG0000132	Syah.g_00072	Syap.g_01205
OG0000133	Syah.g_01618	Syap.g_02017
OG0000134	Syah.g_00891	Syap.g_02047
OG0000135	Syah.g_00465	Syap.g_02090
OG0000136	Syah.g_02227	Syap.g_00089
OG0000137	Syah.g_01221	Syap.g_02756
