Orthogroup	Syah	Syat
OG0000001	Syah.g_01516	Syat.g_02910, Syat.g_02911
OG0000001	Syah.g_00040, Syah.g_00041	Syat.g_02908, Syat.g_02909
OG0000001	Syah.g_00710	Syat.g_01540
OG0000005	Syah.g_02403	Syat.g_03065
OG0000005	Syah.g_02363	Syat.g_03105
OG0000005	Syah.g_01827	Syat.g_01038
OG0000006	Syah.g_01912	Syat.g_00371
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syat.g_01439, Syat.g_01865
OG0000007	Syah.g_01016	Syat.g_03191
OG0000007	Syah.g_02384	Syat.g_03124
OG0000008	Syah.g_01994	Syat.g_02626
OG0000008	Syah.g_01993	Syat.g_02627
OG0000009	Syah.g_01910, Syah.g_02535	Syat.g_01567
OG0000010	Syah.g_01220	Syat.g_01372
OG0000012	Syah.g_02169, Syah.g_01340	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syah.g_00817	Syat.g_01027
OG0000014	Syah.g_00127	Syat.g_02104
OG0000014	Syah.g_00223	Syat.g_03196
OG0000014	Syah.g_00323	Syat.g_02250
OG0000016	Syah.g_00359	Syat.g_02329
OG0000016	Syah.g_01402	Syat.g_00909
OG0000018	Syah.g_01264	Syat.g_01334
OG0000019	Syah.g_00669	Syat.g_01876
OG0000022	Syah.g_01881	Syat.g_00210
OG0000024	Syah.g_01990	Syat.g_03394
OG0000025	Syah.g_02082	Syat.g_00719
OG0000026	Syah.g_00340	Syat.g_02306
OG0000027	Syah.g_01541	Syat.g_00850
OG0000028	Syah.g_00141	Syat.g_02126
OG0000030	Syah.g_00264	Syat.g_00307
OG0000030	Syah.g_00265	Syat.g_00308
OG0000031	Syah.g_00146	Syat.g_02131
OG0000031	Syah.g_00226	Syat.g_03199, Syat.g_02243
OG0000032	Syah.g_01246	Syat.g_01354
OG0000033	Syah.g_00078, Syah.g_00211	Syat.g_02858
OG0000034	Syah.g_00048, Syah.g_02213	Syat.g_01165, Syat.g_02902
OG0000035	Syah.g_01293	Syat.g_01227, Syat.g_01226
OG0000037	Syah.g_00956, Syah.g_01365	Syat.g_00849, Syat.g_00187
OG0000038	Syah.g_00508	Syat.g_02688
OG0000038	Syah.g_00506	Syat.g_02686
OG0000039	Syah.g_02074	Syat.g_01278
OG0000040	Syah.g_00431	Syat.g_02551
OG0000042	Syah.g_00261	Syat.g_00223, Syat.g_02222
OG0000045	Syah.g_02356	Syat.g_00935
OG0000046	Syah.g_00816	Syat.g_01626, Syat.g_01026
OG0000048	Syah.g_00637	Syat.g_02046
OG0000052	Syah.g_00171	Syat.g_02140
OG0000053	Syah.g_01267	Syat.g_01330
OG0000054	Syah.g_01862	Syat.g_00987, Syat.g_03390
OG0000055	Syah.g_01878	Syat.g_00693
OG0000058	Syah.g_00152	Syat.g_02133, Syat.g_02238
OG0000059	Syah.g_00737	Syat.g_01832
OG0000060	Syah.g_01515	Syat.g_01047
OG0000061	Syah.g_02158	Syat.g_03260
OG0000062	Syah.g_02365	Syat.g_03107
OG0000063	Syah.g_00337	Syat.g_02303
OG0000066	Syah.g_01073	Syat.g_03283
OG0000067	Syah.g_01779	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Syah.g_00986	Syat.g_00085, Syat.g_01295
OG0000069	Syah.g_01715	Syat.g_00090, Syat.g_00879
OG0000070	Syah.g_02217	Syat.g_01032, Syat.g_01040
OG0000071	Syah.g_01863	Syat.g_01153
OG0000072	Syah.g_00080	Syat.g_02856
OG0000073	Syah.g_01018	Syat.g_03201
OG0000075	Syah.g_00186	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syah.g_00250	Syat.g_02206
OG0000077	Syah.g_02494	Syat.g_01481
OG0000078	Syah.g_00912	Syat.g_00184
OG0000079	Syah.g_00665	Syat.g_01879
OG0000080	Syah.g_00290	Syat.g_02246, Syat.g_02282, Syat.g_01200, Syat.g_02420
OG0000081	Syah.g_00922, Syah.g_02471	Syat.g_00980
OG0000082	Syah.g_01136	Syat.g_00035
OG0000085	Syah.g_02372	Syat.g_03113
OG0000086	Syah.g_02511	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syah.g_00038	Syat.g_02912
OG0000088	Syah.g_00074	Syat.g_02862
OG0000089	Syah.g_00888	Syat.g_02953
OG0000090	Syah.g_01064	Syat.g_03270
OG0000091	Syah.g_01927	Syat.g_00939, Syat.g_00862
OG0000094	Syah.g_01692	Syat.g_00698
OG0000095	Syah.g_02030	Syat.g_00808
OG0000098	Syah.g_00723	Syat.g_03281
OG0000099	Syah.g_00144	Syat.g_02130
OG0000100	Syah.g_01747	Syat.g_00517
OG0000102	Syah.g_00255	Syat.g_00974
OG0000104	Syah.g_00377	Syat.g_02385
OG0000105	Syah.g_00632	Syat.g_02052
OG0000106	Syah.g_01544	Syat.g_00957
OG0000108	Syah.g_00997	Syat.g_03170
OG0000110	Syah.g_01124	Syat.g_00049
OG0000111	Syah.g_02021	Syat.g_00816
OG0000112	Syah.g_01613	Syat.g_00593
OG0000113	Syah.g_01752	Syat.g_00509
OG0000114	Syah.g_01529	Syat.g_00426
OG0000115	Syah.g_01269	Syat.g_01328
OG0000116	Syah.g_02175	Syat.g_02641
OG0000117	Syah.g_01425	Syat.g_00224
OG0000118	Syah.g_01173	Syat.g_01168
OG0000120	Syah.g_00145	Syat.g_02132
OG0000121	Syah.g_01287	Syat.g_01223
OG0000123	Syah.g_00793	Syat.g_01653
OG0000124	Syah.g_00272	Syat.g_02231
OG0000125	Syah.g_00504	Syat.g_02684
OG0000126	Syah.g_00379	Syat.g_00976
OG0000128	Syah.g_00361	Syat.g_02331
OG0000129	Syah.g_00516	Syat.g_02693, Syat.g_02694
OG0000130	Syah.g_02483	Syat.g_01469
OG0000131	Syah.g_00052	Syat.g_02898
OG0000132	Syah.g_00072	Syat.g_02864
OG0000133	Syah.g_01618	Syat.g_00588
OG0000134	Syah.g_00891	Syat.g_02956
OG0000135	Syah.g_00465	Syat.g_02501
OG0000136	Syah.g_02227	Syat.g_01292
OG0000137	Syah.g_01221	Syat.g_01371
OG0000138	Syah.g_01013	Syat.g_03188
OG0000139	Syah.g_01070	Syat.g_03276
OG0000140	Syah.g_01071	Syat.g_03280
OG0000141	Syah.g_01981	Syat.g_03398
OG0000142	Syah.g_01935	Syat.g_00117
OG0000143	Syah.g_01931	Syat.g_00130
OG0000144	Syah.g_01824	Syat.g_00369
OG0000145	Syah.g_01019	Syat.g_03202
OG0000146	Syah.g_01612	Syat.g_00594
OG0000147	Syah.g_01611	Syat.g_00595
OG0000148	Syah.g_01758	Syat.g_00503
OG0000149	Syah.g_02096	Syat.g_00747
OG0000150	Syah.g_01980	Syat.g_03399
