Orthogroup	Syah	Syac
OG0000001	Syah.g_00726	Syac.g_02154
OG0000001	Syah.g_00040	Syac.g_00341
OG0000001	Syah.g_00041	Syac.g_00340
OG0000001	Syah.g_00710	Syac.g_02169
OG0000002	Syah.g_01829	Syac.g_01084
OG0000004	Syah.g_02017	Syac.g_00898
OG0000004	Syah.g_01967	Syac.g_00948
OG0000004	Syah.g_00901	Syac.g_01975
OG0000005	Syah.g_02403	Syac.g_00527
OG0000005	Syah.g_02363	Syac.g_00569
OG0000005	Syah.g_01827	Syac.g_01087
OG0000006	Syah.g_01912	Syac.g_01002
OG0000006	Syah.g_00683	Syac.g_01958
OG0000006	Syah.g_00915	Syac.g_01958
OG0000006	Syah.g_00683	Syac.g_01961
OG0000006	Syah.g_00915	Syac.g_01961
OG0000006	Syah.g_00683	Syac.g_02194
OG0000006	Syah.g_00915	Syac.g_02194
OG0000007	Syah.g_01016	Syac.g_01885
OG0000007	Syah.g_02384	Syac.g_00544
OG0000008	Syah.g_01994	Syac.g_00921
OG0000008	Syah.g_01993	Syac.g_00922
OG0000009	Syah.g_01910	Syac.g_01004
OG0000009	Syah.g_02535	Syac.g_00398
OG0000010	Syah.g_01220	Syac.g_01701
OG0000011	Syah.g_01991	Syac.g_00924
OG0000012	Syah.g_01960	Syac.g_00955
OG0000012	Syah.g_02169	Syac.g_00758
OG0000012	Syah.g_01340	Syac.g_01577
OG0000013	Syah.g_00822	Syac.g_02056
OG0000013	Syah.g_00831	Syac.g_02046
OG0000013	Syah.g_00817	Syac.g_02062
OG0000014	Syah.g_00127	Syac.g_00253
OG0000015	Syah.g_01510	Syac.g_01408
OG0000016	Syah.g_00359	Syac.g_00014
OG0000016	Syah.g_01402	Syac.g_01505
OG0000016	Syah.g_01859	Syac.g_01053
OG0000017	Syah.g_01152	Syac.g_01749
OG0000017	Syah.g_01159	Syac.g_01742
OG0000018	Syah.g_01264	Syac.g_01660
OG0000019	Syah.g_00669	Syac.g_02207
OG0000022	Syah.g_01881	Syac.g_01031
OG0000023	Syah.g_01330, Syah.g_02167	Syac.g_00760
OG0000024	Syah.g_01990	Syac.g_00925
OG0000025	Syah.g_02082	Syac.g_00847
OG0000026	Syah.g_00340	Syac.g_00034
OG0000027	Syah.g_01541	Syac.g_01095
OG0000028	Syah.g_00141	Syac.g_00237
OG0000030	Syah.g_00264	Syac.g_00143
OG0000030	Syah.g_00265	Syac.g_00142
OG0000031	Syah.g_00146	Syac.g_00232
OG0000032	Syah.g_01246	Syac.g_01677
OG0000033	Syah.g_00078	Syac.g_00304
OG0000034	Syah.g_00048	Syac.g_00334
OG0000034	Syah.g_02213	Syac.g_00334
OG0000034	Syah.g_00048	Syac.g_00715
OG0000034	Syah.g_02213	Syac.g_00715
OG0000035	Syah.g_01293	Syac.g_01630
OG0000036	Syah.g_00949	Syac.g_01722, Syac.g_01536
OG0000038	Syah.g_00508	Syac.g_02357
OG0000038	Syah.g_00506	Syac.g_02358
OG0000039	Syah.g_02074	Syac.g_00856
OG0000040	Syah.g_01908	Syac.g_01006
OG0000040	Syah.g_00431	Syac.g_02437
OG0000041	Syah.g_02271	Syac.g_00655
OG0000041	Syah.g_02039	Syac.g_00876
OG0000042	Syah.g_00261	Syac.g_00146
OG0000043	Syah.g_02119	Syac.g_00808
OG0000043	Syah.g_01546	Syac.g_01100
OG0000044	Syah.g_02454	Syac.g_00477
OG0000044	Syah.g_02072	Syac.g_00858
OG0000045	Syah.g_01872	Syac.g_01040
OG0000045	Syah.g_02356	Syac.g_00576
OG0000046	Syah.g_00823	Syac.g_02055
OG0000046	Syah.g_00830	Syac.g_02047
OG0000046	Syah.g_00816	Syac.g_02063
OG0000047	Syah.g_00847	Syac.g_02031
OG0000048	Syah.g_00637	Syac.g_02240
OG0000050	Syah.g_00941	Syac.g_01937
OG0000051	Syah.g_02473	Syac.g_01073
OG0000052	Syah.g_00171	Syac.g_00207
OG0000053	Syah.g_01267	Syac.g_01657
OG0000054	Syah.g_01982	Syac.g_00933
OG0000054	Syah.g_01862	Syac.g_01050
OG0000055	Syah.g_01878	Syac.g_01034
OG0000055	Syah.g_02071	Syac.g_00859
OG0000057	Syah.g_02020	Syac.g_00894
OG0000058	Syah.g_00152	Syac.g_00226
OG0000059	Syah.g_00737	Syac.g_02142
OG0000061	Syah.g_02158	Syac.g_00769
OG0000062	Syah.g_02365	Syac.g_00567
OG0000063	Syah.g_00337	Syac.g_00037
OG0000064	Syah.g_02357	Syac.g_00575
OG0000064	Syah.g_01353	Syac.g_01567
OG0000065	Syah.g_02537	Syac.g_00396
OG0000065	Syah.g_02443	Syac.g_00490
OG0000066	Syah.g_01073	Syac.g_01827
OG0000067	Syah.g_01779	Syac.g_01341
OG0000068	Syah.g_00986	Syac.g_01916
OG0000069	Syah.g_01715	Syac.g_01272
OG0000070	Syah.g_02217	Syac.g_00711
OG0000071	Syah.g_01863	Syac.g_01049
OG0000071	Syah.g_02199	Syac.g_00729
OG0000072	Syah.g_00080	Syac.g_00302
OG0000073	Syah.g_01018	Syac.g_01883
OG0000075	Syah.g_00186	Syac.g_00191
OG0000076	Syah.g_00250	Syac.g_00156
OG0000077	Syah.g_02494	Syac.g_00439
OG0000078	Syah.g_00912	Syac.g_01964
OG0000079	Syah.g_00665	Syac.g_02211
OG0000081	Syah.g_00922	Syac.g_01954
OG0000081	Syah.g_02471	Syac.g_00461
OG0000082	Syah.g_01136	Syac.g_01766
OG0000084	Syah.g_02105	Syac.g_00822
OG0000084	Syah.g_01296	Syac.g_01627
