Orthogroup	Prab	Syai
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Syai.g_01716
OG0000002	Prab.g_00683	Syai.g_01728
OG0000004	Prab.g_00700	Syai.g_01994
OG0000004	Prab.g_00223	Syai.g_01062, Syai.g_00530
OG0000005	Prab.g_01682	Syai.g_02393
OG0000005	Prab.g_01542	Syai.g_02356
OG0000006	Prab.g_00231	Syai.g_00317, Syai.g_00547
OG0000007	Prab.g_00501	Syai.g_00657
OG0000007	Prab.g_01669	Syai.g_02378
OG0000009	Prab.g_01584	Syai.g_01626
OG0000009	Prab.g_00096	Syai.g_02541
OG0000010	Prab.g_01104, Prab.g_00478	Syai.g_00864
OG0000011	Prab.g_01624	Syai.g_01894, Syai.g_00582
OG0000012	Prab.g_00627	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Prab.g_00315	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prab.g_00294	Syai.g_00220
OG0000015	Prab.g_00789	Syai.g_01246, Syai.g_01245
OG0000016	Prab.g_00013	Syai.g_00014
OG0000016	Prab.g_01579	Syai.g_01632
OG0000017	Prab.g_00602	Syai.g_00801
OG0000018	Prab.g_01201, Prab.g_00867	Syai.g_00915
OG0000019	Prab.g_00239, Prab.g_00820	Syai.g_00304
OG0000020	Prab.g_01162, Prab.g_00379	Syai.g_00476
OG0000022	Prab.g_00782, Prab.g_01182	Syai.g_01159
OG0000023	Prab.g_00348	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prab.g_00763, Prab.g_00680	Syai.g_01951
OG0000025	Prab.g_00874, Prab.g_00319	Syai.g_02044
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syai.g_00038
OG0000027	Prab.g_00914, Prab.g_01616	Syai.g_01128, Syai.g_01654
OG0000028	Prab.g_00308	Syai.g_00205
OG0000029	Prab.g_00773	Syai.g_01035, Syai.g_01584
OG0000030	Prab.g_01867	Syai.g_00096, Syai.g_00095
OG0000033	Prab.g_00160	Syai.g_02634
OG0000034	Prab.g_01336	Syai.g_02192, Syai.g_02604
OG0000035	Prab.g_01466	Syai.g_00955
OG0000037	Prab.g_00100	Syai.g_02544, Syai.g_02815
OG0000038	Prab.g_01908	Syai.g_02780
OG0000039	Prab.g_00691	Syai.g_02034
OG0000041	Prab.g_01715	Syai.g_02265
OG0000042	Prab.g_01864	Syai.g_00099
OG0000044	Prab.g_01648	Syai.g_00833
OG0000045	Prab.g_00360	Syai.g_02432
OG0000047	Prab.g_00318	Syai.g_00462
OG0000048	Prab.g_00411, Prab.g_00363	Syai.g_00272
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Syai.g_01893
OG0000051	Prab.g_01304	Syai.g_01773
OG0000052	Prab.g_01423	Syai.g_00176
OG0000053	Prab.g_01486	Syai.g_00930
OG0000054	Prab.g_00610	Syai.g_01040
OG0000055	Prab.g_00821	Syai.g_02029
OG0000057	Prab.g_00703	Syai.g_01997
OG0000058	Prab.g_01393	Syai.g_00195
OG0000059	Prab.g_01754	Syai.g_00351
OG0000060	Prab.g_00784	Syai.g_01758
OG0000061	Prab.g_01219	Syai.g_02144
OG0000063	Prab.g_00033	Syai.g_00042
OG0000066	Prab.g_00543	Syai.g_01709, Syai.g_00719
OG0000067	Prab.g_00840	Syai.g_01321
OG0000068	Prab.g_01360	Syai.g_00628
OG0000070	Prab.g_00456	Syai.g_02196
OG0000071	Prab.g_01637, Prab.g_01326	Syai.g_02179
OG0000072	Prab.g_00162	Syai.g_02636
OG0000073	Prab.g_00503	Syai.g_00659
OG0000075	Prab.g_01834	Syai.g_00161
OG0000076	Prab.g_01857	Syai.g_00111
OG0000077	Prab.g_00070	Syai.g_02486
OG0000078	Prab.g_00229	Syai.g_00543
OG0000079	Prab.g_00242	Syai.g_00300
OG0000081	Prab.g_00535	Syai.g_00553
OG0000082	Prab.g_00589	Syai.g_00781
OG0000084	Prab.g_01462	Syai.g_00958
OG0000085	Prab.g_01662	Syai.g_02365
OG0000086	Prab.g_00080	Syai.g_02507
OG0000087	Prab.g_00129	Syai.g_02592
OG0000088	Prab.g_00157	Syai.g_02630
OG0000089	Prab.g_00343	Syai.g_00517
OG0000090	Prab.g_00537	Syai.g_00707
OG0000091	Prab.g_00647	Syai.g_01112
OG0000092	Prab.g_01063	Syai.g_01358
OG0000094	Prab.g_00948	Syai.g_01424
OG0000097	Prab.g_01260	Syai.g_01787
OG0000098	Prab.g_01346	Syai.g_01718
OG0000099	Prab.g_01394	Syai.g_00199
OG0000100	Prab.g_01540	Syai.g_01372
OG0000101	Prab.g_01802	Syai.g_00404
OG0000102	Prab.g_01862	Syai.g_00106
OG0000103	Prab.g_01942	Syai.g_02912
OG0000104	Prab.g_01951	Syai.g_02929
OG0000105	Prab.g_00262	Syai.g_00267
OG0000106	Prab.g_00359	Syai.g_01601
OG0000107	Prab.g_00375	Syai.g_00319
OG0000108	Prab.g_00484	Syai.g_00638
OG0000109	Prab.g_00498	Syai.g_00653
OG0000110	Prab.g_00579	Syai.g_00766
OG0000111	Prab.g_00704	Syai.g_00884
OG0000112	Prab.g_00804	Syai.g_01512
OG0000113	Prab.g_00862	Syai.g_01367
OG0000114	Prab.g_01068	Syai.g_01261
OG0000115	Prab.g_01156	Syai.g_00932
OG0000116	Prab.g_01209	Syai.g_02156
OG0000117	Prab.g_00717	Syai.g_01756
