Orthogroup	Prab	Prag
OG0000000	Prab.g_00915, Prab.g_01617	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prab.g_01598	Prag.g_01608
OG0000000	Prab.g_01278	Prag.g_01213
OG0000000	Prab.g_01278	Prag.g_01607
OG0000000	Prab.g_01278	Prag.g_01650
OG0000000	Prab.g_01597	Prag.g_01213
OG0000000	Prab.g_01597	Prag.g_01607
OG0000000	Prab.g_01597	Prag.g_01650
OG0000000	Prab.g_01606	Prag.g_01626
OG0000000	Prab.g_01308	Prag.g_01333
OG0000001	Prab.g_00788	Prag.g_00764
OG0000002	Prab.g_00683	Prag.g_00656
OG0000004	Prab.g_00700	Prag.g_00673
OG0000004	Prab.g_00223	Prag.g_00225
OG0000005	Prab.g_01682	Prag.g_01682
OG0000005	Prab.g_01542	Prag.g_01566
OG0000006	Prab.g_00231	Prag.g_00234, Prag.g_01231
OG0000007	Prab.g_00501	Prag.g_00476
OG0000007	Prab.g_01669	Prag.g_01669
OG0000008	Prab.g_00677	Prag.g_00650
OG0000009	Prab.g_01584	Prag.g_01600
OG0000009	Prab.g_00096	Prag.g_00098
OG0000010	Prab.g_01104	Prag.g_01043
OG0000010	Prab.g_00478	Prag.g_00453
OG0000012	Prab.g_00627	Prag.g_00601
OG0000013	Prab.g_00315	Prag.g_00318
OG0000014	Prab.g_00294	Prag.g_00297
OG0000015	Prab.g_00789	Prag.g_00765
OG0000016	Prab.g_00013	Prag.g_00013
OG0000016	Prab.g_01579	Prag.g_01638
OG0000017	Prab.g_00602	Prag.g_00576
OG0000018	Prab.g_01201	Prag.g_01134
OG0000018	Prab.g_00867	Prag.g_00833
OG0000019	Prab.g_00239	Prag.g_00242
OG0000019	Prab.g_00820	Prag.g_00786
OG0000020	Prab.g_01162	Prag.g_01100
OG0000020	Prab.g_00379	Prag.g_01637
OG0000021	Prab.g_00354	Prag.g_01633, Prag.g_00359
OG0000022	Prab.g_00782	Prag.g_00757
OG0000022	Prab.g_01182	Prag.g_01116
OG0000023	Prab.g_00348	Prag.g_00354
OG0000024	Prab.g_00763	Prag.g_00740
OG0000024	Prab.g_00680	Prag.g_00653
OG0000025	Prab.g_00874	Prag.g_00839
OG0000025	Prab.g_00319	Prag.g_00322
OG0000026	Prab.g_00031	Prag.g_00031
OG0000026	Prab.g_01111	Prag.g_01050
OG0000027	Prab.g_00914, Prab.g_01616	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prab.g_00308	Prag.g_00311
OG0000029	Prab.g_00773	Prag.g_00748
OG0000030	Prab.g_01867	Prag.g_01871
OG0000031	Prab.g_01446	Prag.g_01446
OG0000033	Prab.g_00160	Prag.g_00162
OG0000034	Prab.g_01336	Prag.g_01365
OG0000035	Prab.g_01466	Prag.g_01490, Prag.g_01488
OG0000037	Prab.g_00100	Prag.g_00102
OG0000038	Prab.g_01908	Prag.g_01911
OG0000039	Prab.g_00691	Prag.g_00664
OG0000040	Prab.g_01623	Prag.g_01630
OG0000040	Prab.g_01200	Prag.g_01133
OG0000041	Prab.g_01715	Prag.g_01716
OG0000042	Prab.g_01864	Prag.g_01868
OG0000043	Prab.g_01100	Prag.g_00876
OG0000045	Prab.g_00360	Prag.g_00365
OG0000047	Prab.g_00318	Prag.g_00321
OG0000048	Prab.g_00363	Prag.g_01658, Prag.g_00368
OG0000049	Prab.g_00372	Prag.g_00376
OG0000049	Prab.g_01613	Prag.g_01264
OG0000049	Prab.g_00971	Prag.g_01300
OG0000050	Prab.g_01130	Prag.g_01071
OG0000051	Prab.g_01304	Prag.g_01329
OG0000052	Prab.g_01423	Prag.g_01444
OG0000053	Prab.g_01486	Prag.g_01510
OG0000054	Prab.g_00610	Prag.g_00584
OG0000055	Prab.g_00821	Prag.g_00787
OG0000057	Prab.g_00703	Prag.g_00676
OG0000058	Prab.g_01393	Prag.g_01428
OG0000059	Prab.g_01754	Prag.g_01755
OG0000060	Prab.g_00784	Prag.g_00760
OG0000061	Prab.g_01219	Prag.g_01153
OG0000062	Prab.g_01544	Prag.g_01568
OG0000063	Prab.g_00033	Prag.g_00033
OG0000065	Prab.g_00098	Prag.g_00100
OG0000066	Prab.g_00543	Prag.g_00518
OG0000067	Prab.g_00840	Prag.g_00806
OG0000068	Prab.g_01360	Prag.g_01389
OG0000069	Prab.g_01585	Prag.g_01601
OG0000070	Prab.g_00456	Prag.g_00429
OG0000071	Prab.g_01637, Prab.g_01326	Prag.g_01355
OG0000072	Prab.g_00162	Prag.g_00164
OG0000073	Prab.g_00503	Prag.g_00478
OG0000074	Prab.g_00687	Prag.g_00660
OG0000075	Prab.g_01834	Prag.g_01836
OG0000076	Prab.g_01857	Prag.g_01861
OG0000077	Prab.g_00070	Prag.g_00072
OG0000078	Prab.g_00229	Prag.g_00232
OG0000081	Prab.g_00535	Prag.g_00510
OG0000082	Prab.g_00589	Prag.g_00563
OG0000083	Prab.g_01307	Prag.g_01332
OG0000083	Prab.g_00921	Prag.g_00726
OG0000084	Prab.g_01462	Prag.g_01484
OG0000085	Prab.g_01662	Prag.g_01662
OG0000086	Prab.g_00080	Prag.g_00082
OG0000087	Prab.g_00129	Prag.g_00132
OG0000088	Prab.g_00157	Prag.g_00159
OG0000089	Prab.g_00343	Prag.g_00350
OG0000090	Prab.g_00537	Prag.g_00512
OG0000091	Prab.g_00647	Prag.g_00620
OG0000092	Prab.g_01063	Prag.g_00911
OG0000093	Prab.g_01042	Prag.g_00932
OG0000094	Prab.g_00948	Prag.g_01017
OG0000095	Prab.g_01299, Prab.g_00929	Prag.g_01036
OG0000096	Prab.g_01596	Prag.g_01636
OG0000096	Prab.g_01165	Prag.g_01103
OG0000097	Prab.g_01260	Prag.g_01194
OG0000098	Prab.g_01346	Prag.g_01371
OG0000099	Prab.g_01394	Prag.g_01424
OG0000100	Prab.g_01540	Prag.g_01564
OG0000101	Prab.g_01802	Prag.g_01804
OG0000102	Prab.g_01862	Prag.g_01866
OG0000103	Prab.g_01942	Prag.g_01945
OG0000104	Prab.g_01951	Prag.g_01953
OG0000105	Prab.g_00262	Prag.g_00265
OG0000106	Prab.g_00359	Prag.g_00364
OG0000107	Prab.g_00375	Prag.g_00378
OG0000108	Prab.g_00484	Prag.g_00459
OG0000109	Prab.g_00498	Prag.g_00473
OG0000110	Prab.g_00579	Prag.g_00553
OG0000111	Prab.g_00704	Prag.g_00677
OG0000112	Prab.g_00804	Prag.g_00771
OG0000113	Prab.g_00862	Prag.g_00828
OG0000114	Prab.g_01068	Prag.g_00906
OG0000115	Prab.g_01156	Prag.g_01097
OG0000116	Prab.g_01209	Prag.g_01143
OG0000117	Prab.g_00717	Prag.g_01298
OG0000118	Prab.g_01338	Prag.g_01367
OG0000119	Prab.g_01356	Prag.g_01385
OG0000120	Prab.g_01447	Prag.g_01423
OG0000121	Prab.g_01468	Prag.g_01492
OG0000122	Prab.g_01506	Prag.g_01530
OG0000123	Prab.g_01809	Prag.g_01811
OG0000124	Prab.g_01873	Prag.g_01877
OG0000125	Prab.g_01910	Prag.g_01913
OG0000126	Prab.g_01950	Prag.g_01952
OG0000128	Prab.g_00011	Prag.g_00011
OG0000129	Prab.g_00043	Prag.g_00044
OG0000130	Prab.g_00061	Prag.g_00063
