Orthogroup	Prab	Syaa
OG0000004	Prab.g_00700	Syaa.g_00892
OG0000004	Prab.g_00223	Syaa.g_01667, Syaa.g_02116
OG0000005	Prab.g_01682	Syaa.g_00534
OG0000005	Prab.g_01542	Syaa.g_00573
OG0000006	Prab.g_00231	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prab.g_00501	Syaa.g_02032
OG0000007	Prab.g_01669	Syaa.g_00551
OG0000009	Prab.g_00096	Syaa.g_02378
OG0000010	Prab.g_01104, Prab.g_00478	Syaa.g_01843
OG0000012	Prab.g_00627	Syaa.g_02304, Syaa.g_01660
OG0000013	Prab.g_00315	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prab.g_00294	Syaa.g_00222
OG0000014	Prab.g_01444, Prab.g_01445	Syaa.g_00481
OG0000015	Prab.g_00789	Syaa.g_01079, Syaa.g_01989
OG0000016	Prab.g_00013	Syaa.g_00014
OG0000016	Prab.g_01579	Syaa.g_01481
OG0000017	Prab.g_00602	Syaa.g_01890
OG0000018	Prab.g_01201, Prab.g_00867	Syaa.g_01801
OG0000019	Prab.g_00239, Prab.g_00820	Syaa.g_00307
OG0000022	Prab.g_00782, Prab.g_01182	Syaa.g_01571
OG0000023	Prab.g_00348	Syaa.g_01529, Syaa.g_01216
OG0000024	Prab.g_00763, Prab.g_00680	Syaa.g_00922
OG0000025	Prab.g_00874, Prab.g_00319	Syaa.g_00839
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syaa.g_00038
OG0000027	Prab.g_00914, Prab.g_01616	Syaa.g_01605, Syaa.g_00854
OG0000028	Prab.g_00308	Syaa.g_00205
OG0000029	Prab.g_00773	Syaa.g_01578
OG0000030	Prab.g_01867	Syaa.g_00099, Syaa.g_00098
OG0000031	Prab.g_01446	Syaa.g_00480
OG0000033	Prab.g_01400	Syaa.g_00485
OG0000033	Prab.g_00160	Syaa.g_02478
OG0000034	Prab.g_01336	Syaa.g_00722, Syaa.g_02444
OG0000035	Prab.g_01466	Syaa.g_01773
