Orthogroup	Prab	Prbm
OG0000000	Prab.g_00915, Prab.g_01617	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Prbm.g_01426
OG0000002	Prab.g_00683	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prab.g_00700	Prbm.g_01483
OG0000004	Prab.g_00223	Prbm.g_00291
OG0000005	Prab.g_01542	Prbm.g_01790
OG0000006	Prab.g_00231	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prab.g_00501	Prbm.g_00522
OG0000007	Prab.g_01669	Prbm.g_01841
OG0000009	Prab.g_01584	Prbm.g_01235, Prbm.g_01400
OG0000010	Prab.g_00478	Prbm.g_01066, Prbm.g_00499
OG0000011	Prab.g_01624	Prbm.g_01202
OG0000011	Prab.g_00799	Prbm.g_01174
OG0000012	Prab.g_00627	Prbm.g_01106
OG0000013	Prab.g_00315	Prbm.g_00382
OG0000014	Prab.g_00294	Prbm.g_00362
OG0000014	Prab.g_01444, Prab.g_01445	Prbm.g_02126
OG0000015	Prab.g_00789	Prbm.g_01427, Prbm.g_01149
OG0000016	Prab.g_00013	Prbm.g_00013
OG0000016	Prab.g_01579	Prbm.g_01944
OG0000017	Prab.g_00602	Prbm.g_00635
OG0000018	Prab.g_01201	Prbm.g_01571
OG0000018	Prab.g_00867	Prbm.g_00843
OG0000019	Prab.g_00820	Prbm.g_00792
OG0000020	Prab.g_01162	Prbm.g_01065
OG0000020	Prab.g_00379	Prbm.g_01156
OG0000021	Prab.g_00354	Prbm.g_01939
OG0000022	Prab.g_00782	Prbm.g_01204
OG0000022	Prab.g_01182	Prbm.g_01324
OG0000023	Prab.g_00348	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prab.g_00763	Prbm.g_01151
OG0000024	Prab.g_00680	Prbm.g_00709
OG0000025	Prab.g_00874, Prab.g_00319	Prbm.g_00849
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Prbm.g_00031
OG0000029	Prab.g_00773	Prbm.g_01823
OG0000030	Prab.g_01867	Prbm.g_02105
OG0000031	Prab.g_01446	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Prab.g_00160	Prbm.g_00228
OG0000034	Prab.g_01336	Prbm.g_01620
OG0000035	Prab.g_01466	Prbm.g_01710
OG0000037	Prab.g_00100	Prbm.g_00166
OG0000038	Prab.g_01908	Prbm.g_02174
OG0000039	Prab.g_00691	Prbm.g_00723
OG0000040	Prab.g_01623	Prbm.g_01409, Prbm.g_01813
OG0000041	Prab.g_01715	Prbm.g_01886
OG0000042	Prab.g_01864	Prbm.g_02102
OG0000043	Prab.g_01100	Prbm.g_00906
OG0000044	Prab.g_01648	Prbm.g_00478
OG0000045	Prab.g_00360	Prbm.g_01088
OG0000047	Prab.g_00318	Prbm.g_00390
OG0000048	Prab.g_00411, Prab.g_00363	Prbm.g_00329
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Prbm.g_01485
OG0000050	Prab.g_01130	Prbm.g_00118
OG0000051	Prab.g_01643	Prbm.g_01276
OG0000053	Prab.g_01486	Prbm.g_01729
OG0000054	Prab.g_00610	Prbm.g_00637
OG0000055	Prab.g_00821	Prbm.g_00778
OG0000057	Prab.g_00703	Prbm.g_00735
OG0000058	Prab.g_01393	Prbm.g_00881
OG0000059	Prab.g_01754	Prbm.g_01973
OG0000060	Prab.g_00784	Prbm.g_01422
OG0000061	Prab.g_01219	Prbm.g_01549
OG0000062	Prab.g_01544	Prbm.g_01792
OG0000063	Prab.g_00033	Prbm.g_01947
OG0000065	Prab.g_00098	Prbm.g_00164
OG0000066	Prab.g_00543	Prbm.g_00572
OG0000067	Prab.g_00840	Prbm.g_00814
OG0000068	Prab.g_01360	Prbm.g_01660
OG0000069	Prab.g_01585	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Prab.g_00456	Prbm.g_00460
OG0000071	Prab.g_01637, Prab.g_01326	Prbm.g_00468, Prbm.g_01611
OG0000072	Prab.g_00162	Prbm.g_00230
OG0000073	Prab.g_00503	Prbm.g_00533
OG0000074	Prab.g_00687	Prbm.g_00717
OG0000075	Prab.g_01834	Prbm.g_02069
OG0000076	Prab.g_01857	Prbm.g_02094
OG0000077	Prab.g_00070	Prbm.g_00135
OG0000078	Prab.g_00229	Prbm.g_00300
OG0000079	Prab.g_00242	Prbm.g_00311
OG0000081	Prab.g_00535	Prbm.g_00564
OG0000082	Prab.g_00589	Prbm.g_01900
OG0000083	Prab.g_00747, Prab.g_01307, Prab.g_00921	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000084	Prab.g_01462	Prbm.g_01706
OG0000085	Prab.g_01662	Prbm.g_01834
OG0000086	Prab.g_00080	Prbm.g_00145
OG0000087	Prab.g_00129	Prbm.g_00198
OG0000088	Prab.g_00157	Prbm.g_00225
OG0000089	Prab.g_00343	Prbm.g_00423
OG0000090	Prab.g_00537	Prbm.g_00566
OG0000091	Prab.g_00647	Prbm.g_00673
OG0000092	Prab.g_01063	Prbm.g_00934
OG0000093	Prab.g_01042	Prbm.g_00799
OG0000094	Prab.g_00948	Prbm.g_00888
OG0000095	Prab.g_01299, Prab.g_00929	Prbm.g_01064
OG0000096	Prab.g_01596, Prab.g_01165	Prbm.g_01359
OG0000097	Prab.g_01260	Prbm.g_01502
OG0000098	Prab.g_01346	Prbm.g_01630
OG0000099	Prab.g_01394	Prbm.g_00394
OG0000100	Prab.g_01540	Prbm.g_01787
OG0000101	Prab.g_01802	Prbm.g_02033
OG0000102	Prab.g_01862	Prbm.g_02099
OG0000103	Prab.g_01942	Prbm.g_02218
OG0000104	Prab.g_01951	Prbm.g_02229
OG0000105	Prab.g_00262	Prbm.g_00331
OG0000106	Prab.g_00359	Prbm.g_01172, Prbm.g_01237
OG0000107	Prab.g_00375	Prbm.g_01949
OG0000108	Prab.g_00484	Prbm.g_00506
OG0000109	Prab.g_00498	Prbm.g_00519
OG0000110	Prab.g_00579	Prbm.g_00607
OG0000111	Prab.g_00704	Prbm.g_00736
OG0000112	Prab.g_00804	Prbm.g_00980
OG0000113	Prab.g_00862	Prbm.g_00838, Prbm.g_01191
OG0000114	Prab.g_01068	Prbm.g_00929
OG0000115	Prab.g_01156	Prbm.g_01803
OG0000116	Prab.g_01209	Prbm.g_01560
OG0000117	Prab.g_00717	Prbm.g_01522
OG0000118	Prab.g_01338	Prbm.g_01622
OG0000119	Prab.g_01356	Prbm.g_01653
OG0000120	Prab.g_01447	Prbm.g_00707
OG0000121	Prab.g_01468	Prbm.g_01712
OG0000122	Prab.g_01506	Prbm.g_01751
OG0000123	Prab.g_01809	Prbm.g_02040
OG0000124	Prab.g_01873	Prbm.g_02111
OG0000125	Prab.g_01910	Prbm.g_02176
OG0000126	Prab.g_01950	Prbm.g_02228
OG0000128	Prab.g_00011	Prbm.g_00011
OG0000129	Prab.g_00043	Prbm.g_00053
OG0000130	Prab.g_00061	Prbm.g_00126
OG0000131	Prab.g_00136	Prbm.g_00204
OG0000132	Prab.g_00155	Prbm.g_00223
OG0000133	Prab.g_00310	Prbm.g_00377
OG0000134	Prab.g_00344	Prbm.g_00425
OG0000135	Prab.g_00371	Prbm.g_01389
OG0000136	Prab.g_00444	Prbm.g_00451
OG0000137	Prab.g_00479	Prbm.g_00500
OG0000138	Prab.g_00499	Prbm.g_00520
OG0000139	Prab.g_00541	Prbm.g_00570
