Orthogroup	Prab	Syag
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Syag.g_00575
OG0000004	Prab.g_00700	Syag.g_00988
OG0000004	Prab.g_00223	Syag.g_00370, Syag.g_01790
OG0000005	Prab.g_01682	Syag.g_01708
OG0000005	Prab.g_01542	Syag.g_01667
OG0000006	Prab.g_00231	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prab.g_00501	Syag.g_01507
OG0000007	Prab.g_01669	Syag.g_01687
OG0000009	Prab.g_01584	Syag.g_00220, Syag.g_00231
OG0000009	Prab.g_00096	Syag.g_01883
OG0000010	Prab.g_01104, Prab.g_00478	Syag.g_01355
OG0000011	Prab.g_01624, Prab.g_00799	Syag.g_01299
OG0000012	Prab.g_00627	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prab.g_00315	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prab.g_00294	Syag.g_02559
OG0000014	Prab.g_01444, Prab.g_01445	Syag.g_02487
OG0000015	Prab.g_00789	Syag.g_00596
OG0000016	Prab.g_00013	Syag.g_02286
OG0000017	Prab.g_00602	Syag.g_00336
OG0000018	Prab.g_01201, Prab.g_00867	Syag.g_01387
OG0000019	Prab.g_00239, Prab.g_00820	Syag.g_02663
OG0000020	Prab.g_01162, Prab.g_00379	Syag.g_00085
OG0000022	Prab.g_00782, Prab.g_01182	Syag.g_00458
OG0000023	Prab.g_00348	Syag.g_00261, Syag.g_00234
OG0000024	Prab.g_00763, Prab.g_00680	Syag.g_00455
OG0000025	Prab.g_00874, Prab.g_00319	Syag.g_00718
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syag.g_02309
OG0000027	Prab.g_00914, Prab.g_01616	Syag.g_00950, Syag.g_00165
OG0000028	Prab.g_00308	Syag.g_02540
OG0000029	Prab.g_00773	Syag.g_00195
OG0000030	Prab.g_01867	Syag.g_02375, Syag.g_02374
OG0000031	Prab.g_01446	Syag.g_02486
OG0000033	Prab.g_01400	Syag.g_02481
OG0000033	Prab.g_00160	Syag.g_01978
OG0000034	Prab.g_01336	Syag.g_01225, Syag.g_01947
OG0000035	Prab.g_01466	Syag.g_01420
OG0000037	Prab.g_00100	Syag.g_00173
OG0000038	Prab.g_01908	Syag.g_02130, Syag.g_02132
OG0000039	Prab.g_00691	Syag.g_01325, Syag.g_02155
OG0000041	Prab.g_01715	Syag.g_01750
OG0000042	Prab.g_01864	Syag.g_01094, Syag.g_02378
OG0000043	Prab.g_01100	Syag.g_00564
OG0000045	Prab.g_00360	Syag.g_00223
OG0000047	Prab.g_00318	Syag.g_00768
OG0000048	Prab.g_00411, Prab.g_00363	Syag.g_02611
OG0000051	Prab.g_01304	Syag.g_01026
OG0000052	Prab.g_01423	Syag.g_02451
OG0000053	Prab.g_01486	Syag.g_01391
OG0000054	Prab.g_00610	Syag.g_00350
OG0000055	Prab.g_00821	Syag.g_00946
OG0000057	Prab.g_00703	Syag.g_00985
OG0000058	Prab.g_01393	Syag.g_02477
OG0000059	Prab.g_01754	Syag.g_02721
OG0000060	Prab.g_00784	Syag.g_01095
OG0000061	Prab.g_01219	Syag.g_01141
OG0000063	Prab.g_00033	Syag.g_02313
OG0000065	Prab.g_00098	Syag.g_00182, Syag.g_01885
OG0000066	Prab.g_00543	Syag.g_01443
OG0000067	Prab.g_00840	Syag.g_00667
OG0000068	Prab.g_01360	Syag.g_01537
OG0000070	Prab.g_00456	Syag.g_00049
OG0000071	Prab.g_01637, Prab.g_01326	Syag.g_01192
OG0000072	Prab.g_00162	Syag.g_01980, Syag.g_02859
OG0000073	Prab.g_00503	Syag.g_01505
OG0000075	Prab.g_01834	Syag.g_02434
OG0000076	Prab.g_01857	Syag.g_02393
OG0000077	Prab.g_00070	Syag.g_01831
OG0000078	Prab.g_00229	Syag.g_01778
OG0000079	Prab.g_00242	Syag.g_02659, Syag.g_02652
OG0000080	Prab.g_00377	Syag.g_02499
OG0000082	Prab.g_00589	Syag.g_00318
OG0000084	Prab.g_01462	Syag.g_01425
OG0000085	Prab.g_01662	Syag.g_01676
OG0000086	Prab.g_00080	Syag.g_01853
OG0000087	Prab.g_00129	Syag.g_01939
OG0000088	Prab.g_00157	Syag.g_01974
OG0000089	Prab.g_00343	Syag.g_00005
OG0000090	Prab.g_00537	Syag.g_01454
OG0000091	Prab.g_00647	Syag.g_00418
OG0000092	Prab.g_01063	Syag.g_00242
OG0000094	Prab.g_00948	Syag.g_00881
OG0000097	Prab.g_01260	Syag.g_01065
OG0000098	Prab.g_01346	Syag.g_00578
OG0000099	Prab.g_01394	Syag.g_02536
OG0000100	Prab.g_01540	Syag.g_00704
OG0000101	Prab.g_01802	Syag.g_02773
OG0000102	Prab.g_01862	Syag.g_02387
OG0000103	Prab.g_01942	Syag.g_02253
OG0000104	Prab.g_01951	Syag.g_02268
OG0000105	Prab.g_00262	Syag.g_02606
OG0000106	Prab.g_00359	Syag.g_00462
OG0000108	Prab.g_00484	Syag.g_01528
OG0000109	Prab.g_00498	Syag.g_01512
OG0000110	Prab.g_00579	Syag.g_00303
OG0000111	Prab.g_00704	Syag.g_00984
OG0000112	Prab.g_00804	Syag.g_00801
OG0000113	Prab.g_00862	Syag.g_00699
OG0000114	Prab.g_01068	Syag.g_00609
OG0000115	Prab.g_01156	Syag.g_01397
OG0000116	Prab.g_01209	Syag.g_01156
OG0000117	Prab.g_00717	Syag.g_01097
OG0000118	Prab.g_01338	Syag.g_01232
OG0000120	Prab.g_01447	Syag.g_02535
OG0000121	Prab.g_01468	Syag.g_01414
OG0000122	Prab.g_01506	Syag.g_00446
OG0000123	Prab.g_01809	Syag.g_02781
OG0000124	Prab.g_01873	Syag.g_02367
OG0000125	Prab.g_01910	Syag.g_02136, Syag.g_02134
OG0000126	Prab.g_01950	Syag.g_02266
OG0000128	Prab.g_00011	Syag.g_02284
OG0000129	Prab.g_00043	Syag.g_02121
OG0000130	Prab.g_00061	Syag.g_01819
OG0000131	Prab.g_00136	Syag.g_01951
OG0000132	Prab.g_00155	Syag.g_01972
OG0000133	Prab.g_00310	Syag.g_00806
OG0000134	Prab.g_00344	Syag.g_00008
OG0000135	Prab.g_00371	Syag.g_02171
OG0000136	Prab.g_00444	Syag.g_00038
OG0000137	Prab.g_00479	Syag.g_01356
OG0000138	Prab.g_00499	Syag.g_01511
OG0000139	Prab.g_00541	Syag.g_01448
OG0000140	Prab.g_00542	Syag.g_01446
OG0000141	Prab.g_00611	Syag.g_00351
OG0000142	Prab.g_00640	Syag.g_00410
OG0000143	Prab.g_00644	Syag.g_00414
OG0000144	Prab.g_00657	Syag.g_00493
OG0000145	Prab.g_00783	Syag.g_01504
OG0000146	Prab.g_00805	Syag.g_00800
OG0000147	Prab.g_00806	Syag.g_00799
OG0000148	Prab.g_00856	Syag.g_00693
OG0000149	Prab.g_00886	Syag.g_00731
OG0000150	Prab.g_00894	Syag.g_00352
OG0000151	Prab.g_01058	Syag.g_00623
OG0000152	Prab.g_01010	Syag.g_00810
OG0000153	Prab.g_00991	Syag.g_00845
OG0000154	Prab.g_00955	Syag.g_00870
OG0000155	Prab.g_01239	Syag.g_01107
OG0000156	Prab.g_01315	Syag.g_01166
OG0000157	Prab.g_01316	Syag.g_01167
OG0000158	Prab.g_01379	Syag.g_02422
OG0000160	Prab.g_01467	Syag.g_01415
OG0000161	Prab.g_01473	Syag.g_01409
OG0000162	Prab.g_01479	Syag.g_01402
OG0000163	Prab.g_01513	Syag.g_01618
OG0000164	Prab.g_01693	Syag.g_01725
OG0000165	Prab.g_01700	Syag.g_01733
OG0000166	Prab.g_01766	Syag.g_02733
OG0000167	Prab.g_01832	Syag.g_02437
OG0000168	Prab.g_01841	Syag.g_02417
OG0000169	Prab.g_01851	Syag.g_02405
OG0000170	Prab.g_01853	Syag.g_02398
OG0000171	Prab.g_01872	Syag.g_02368
OG0000172	Prab.g_01881	Syag.g_02360
OG0000173	Prab.g_01896	Syag.g_02337
OG0000174	Prab.g_01924	Syag.g_02175
OG0000175	Prab.g_01934	Syag.g_02240
OG0000176	Prab.g_00004	Syag.g_02276
OG0000177	Prab.g_00005	Syag.g_02277
OG0000178	Prab.g_00006	Syag.g_02278
OG0000179	Prab.g_00016	Syag.g_02293
OG0000180	Prab.g_00017	Syag.g_02294
OG0000181	Prab.g_00018	Syag.g_02295
OG0000182	Prab.g_00019	Syag.g_02296
OG0000183	Prab.g_00023	Syag.g_02300
OG0000184	Prab.g_00045	Syag.g_02110
OG0000185	Prab.g_00048	Syag.g_02092
OG0000186	Prab.g_00056	Syag.g_01815
OG0000187	Prab.g_00057	Syag.g_01816
OG0000188	Prab.g_00074	Syag.g_01839
OG0000189	Prab.g_00087	Syag.g_01872
OG0000190	Prab.g_00088	Syag.g_01874
OG0000191	Prab.g_00108	Syag.g_01909
OG0000192	Prab.g_00112	Syag.g_01915
OG0000193	Prab.g_00137	Syag.g_01952
OG0000194	Prab.g_00140	Syag.g_01955
OG0000195	Prab.g_00142	Syag.g_01957
OG0000196	Prab.g_00152	Syag.g_01968
OG0000197	Prab.g_00153	Syag.g_01969
OG0000198	Prab.g_00154	Syag.g_00108, Syag.g_01971
OG0000199	Prab.g_00161	Syag.g_01979
OG0000200	Prab.g_00175	Syag.g_01996
OG0000201	Prab.g_00183	Syag.g_02019
OG0000202	Prab.g_00184	Syag.g_02024
OG0000203	Prab.g_00185	Syag.g_02025
OG0000204	Prab.g_00186	Syag.g_02020, Syag.g_02026
OG0000205	Prab.g_00193	Syag.g_02035
OG0000206	Prab.g_00198	Syag.g_02047
OG0000207	Prab.g_00200	Syag.g_02051
OG0000208	Prab.g_00201	Syag.g_02052
OG0000209	Prab.g_00210	Syag.g_02069
OG0000210	Prab.g_00211	Syag.g_02070
OG0000212	Prab.g_00230	Syag.g_01777
OG0000213	Prab.g_00247	Syag.g_02632
OG0000214	Prab.g_00256	Syag.g_02615
OG0000215	Prab.g_00280	Syag.g_02584
OG0000216	Prab.g_00282	Syag.g_02580
OG0000217	Prab.g_00285	Syag.g_02576
OG0000218	Prab.g_00287	Syag.g_02574
OG0000219	Prab.g_00288	Syag.g_02573
OG0000220	Prab.g_00289	Syag.g_02572
OG0000221	Prab.g_00290	Syag.g_02566
OG0000222	Prab.g_00298	Syag.g_02550
OG0000223	Prab.g_00311	Syag.g_02475
OG0000224	Prab.g_00313	Syag.g_02471
OG0000225	Prab.g_00333	Syag.g_02861
OG0000226	Prab.g_00337	Syag.g_02865
OG0000227	Prab.g_00339	Syag.g_02867
OG0000228	Prab.g_00342	Syag.g_00004
OG0000229	Prab.g_00439	Syag.g_00033
OG0000230	Prab.g_00441	Syag.g_00035
OG0000231	Prab.g_00455	Syag.g_00048
OG0000232	Prab.g_00463	Syag.g_00059
OG0000233	Prab.g_00468	Syag.g_01330
OG0000234	Prab.g_00480	Syag.g_01358
OG0000235	Prab.g_00483	Syag.g_01529
OG0000236	Prab.g_00497	Syag.g_01513
OG0000237	Prab.g_00510	Syag.g_01495
OG0000238	Prab.g_00516	Syag.g_01490
OG0000239	Prab.g_00529	Syag.g_01472
OG0000240	Prab.g_00530	Syag.g_01471
OG0000241	Prab.g_00534	Syag.g_00396
OG0000242	Prab.g_00536	Syag.g_01456
OG0000243	Prab.g_00547	Syag.g_00255
OG0000244	Prab.g_00550	Syag.g_00268
OG0000245	Prab.g_00552	Syag.g_00270
OG0000246	Prab.g_00556	Syag.g_00274
OG0000247	Prab.g_00566	Syag.g_00286
OG0000248	Prab.g_00569	Syag.g_00289
OG0000249	Prab.g_00571	Syag.g_00291
OG0000250	Prab.g_00576	Syag.g_00299
OG0000251	Prab.g_00595	Syag.g_00328
OG0000252	Prab.g_00598	Syag.g_00331
OG0000253	Prab.g_00599	Syag.g_00333
OG0000254	Prab.g_00615	Syag.g_00356
OG0000255	Prab.g_00621	Syag.g_00369
OG0000256	Prab.g_00632	Syag.g_00385
OG0000257	Prab.g_00635	Syag.g_00395
OG0000258	Prab.g_00648	Syag.g_00423
OG0000259	Prab.g_00665	Syag.g_00560
OG0000260	Prab.g_00668	Syag.g_00570
OG0000261	Prab.g_00670	Syag.g_00581
OG0000262	Prab.g_00674	Syag.g_00586
OG0000263	Prab.g_00686	Syag.g_01079
OG0000264	Prab.g_00696	Syag.g_01011
OG0000265	Prab.g_00723	Syag.g_01021
OG0000266	Prab.g_00733	Syag.g_00907
OG0000267	Prab.g_00744	Syag.g_00762
OG0000268	Prab.g_00745	Syag.g_00763
OG0000269	Prab.g_00835	Syag.g_00662
OG0000270	Prab.g_00838	Syag.g_00665
OG0000271	Prab.g_00846	Syag.g_00673
OG0000274	Prab.g_00871	Syag.g_00714
OG0000275	Prab.g_00873	Syag.g_00717
OG0000276	Prab.g_00878	Syag.g_00723
OG0000277	Prab.g_00879	Syag.g_00724
OG0000278	Prab.g_00882	Syag.g_00727
OG0000279	Prab.g_00889	Syag.g_00735
OG0000280	Prab.g_00890	Syag.g_00741
OG0000281	Prab.g_00896	Syag.g_00572
OG0000282	Prab.g_01066	Syag.g_00611
OG0000283	Prab.g_01033	Syag.g_00775
OG0000284	Prab.g_01028	Syag.g_00780
OG0000285	Prab.g_01023	Syag.g_00791
OG0000286	Prab.g_01011	Syag.g_00809
OG0000287	Prab.g_00994	Syag.g_00838
OG0000288	Prab.g_00956	Syag.g_00869
OG0000289	Prab.g_00945	Syag.g_00884
OG0000290	Prab.g_00932	Syag.g_00970
OG0000291	Prab.g_00930	Syag.g_00972
OG0000292	Prab.g_01144	Syag.g_02265
OG0000293	Prab.g_01210	Syag.g_01155
OG0000294	Prab.g_01211	Syag.g_01154
OG0000295	Prab.g_01231	Syag.g_01115
OG0000296	Prab.g_01233	Syag.g_01113
OG0000297	Prab.g_01241	Syag.g_01099
OG0000298	Prab.g_01242	Syag.g_01098
OG0000299	Prab.g_01259	Syag.g_01067
OG0000301	Prab.g_01263	Syag.g_01061
OG0000302	Prab.g_01265	Syag.g_01060
OG0000303	Prab.g_01272	Syag.g_01048
OG0000304	Prab.g_01276	Syag.g_01041
OG0000305	Prab.g_01353	Syag.g_00977
OG0000306	Prab.g_01355	Syag.g_00460
OG0000307	Prab.g_01369	Syag.g_01546
OG0000308	Prab.g_01370	Syag.g_01548
OG0000309	Prab.g_01374	Syag.g_01553
OG0000310	Prab.g_01451	Syag.g_01291
OG0000311	Prab.g_01453	Syag.g_01300
OG0000312	Prab.g_01456	Syag.g_01434
OG0000313	Prab.g_01470	Syag.g_00966, Syag.g_01412
OG0000314	Prab.g_01493	Syag.g_01380
OG0000315	Prab.g_01503	Syag.g_01369
OG0000316	Prab.g_01523	Syag.g_01641
OG0000317	Prab.g_01667	Syag.g_01684
OG0000318	Prab.g_01670	Syag.g_01688
OG0000319	Prab.g_01683	Syag.g_01710
OG0000320	Prab.g_01685	Syag.g_01712
OG0000321	Prab.g_01686	Syag.g_01713
OG0000322	Prab.g_01687	Syag.g_01714
OG0000323	Prab.g_01696	Syag.g_01728
OG0000324	Prab.g_01722	Syag.g_01757
OG0000325	Prab.g_01732	Syag.g_02690
OG0000326	Prab.g_01738	Syag.g_02698
OG0000327	Prab.g_01761	Syag.g_02728
OG0000328	Prab.g_01762	Syag.g_02729
OG0000329	Prab.g_01779	Syag.g_02747
OG0000330	Prab.g_01780	Syag.g_02748
OG0000331	Prab.g_01781	Syag.g_02749
OG0000332	Prab.g_01795	Syag.g_02764
OG0000333	Prab.g_01797	Syag.g_02767
OG0000334	Prab.g_01805	Syag.g_02777
OG0000335	Prab.g_01810	Syag.g_02782
