Orthogroup	Prab	Prav
OG0000000	Prab.g_00915, Prab.g_01617	Prav.g_01736, Prav.g_01415
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prav.g_01695
OG0000000	Prab.g_01278	Prav.g_01694
OG0000000	Prab.g_01278	Prav.g_01821
OG0000000	Prab.g_01597	Prav.g_01694
OG0000000	Prab.g_01597	Prav.g_01821
OG0000000	Prab.g_01606	Prav.g_01730, Prav.g_01715
OG0000000	Prab.g_01308	Prav.g_01413
OG0000001	Prab.g_00788	Prav.g_00962
OG0000002	Prab.g_00683	Prav.g_01276
OG0000004	Prab.g_00700	Prav.g_01293
OG0000004	Prab.g_00223	Prav.g_00806
OG0000005	Prab.g_01682	Prav.g_01774
OG0000005	Prab.g_01542	Prav.g_01654
OG0000006	Prab.g_00231	Prav.g_02001
OG0000007	Prab.g_00501	Prav.g_01095
OG0000007	Prab.g_01669	Prav.g_01761
OG0000008	Prab.g_00677	Prav.g_01270
OG0000009	Prab.g_01584	Prav.g_01688
OG0000009	Prab.g_00096	Prav.g_00170
OG0000010	Prab.g_01104	Prav.g_00218
OG0000010	Prab.g_00478	Prav.g_01072
OG0000011	Prab.g_00799	Prav.g_01334
OG0000012	Prab.g_00627	Prav.g_01221
OG0000013	Prab.g_00315	Prav.g_01973
OG0000014	Prab.g_00294	Prav.g_01952
OG0000015	Prab.g_00789	Prav.g_00363, Prav.g_00961
OG0000016	Prab.g_00013	Prav.g_00081
OG0000016	Prab.g_01579	Prav.g_01385
OG0000017	Prab.g_00602	Prav.g_01194
OG0000018	Prab.g_01201	Prav.g_00046
OG0000018	Prab.g_00867	Prav.g_00424
OG0000019	Prab.g_00239	Prav.g_01896
OG0000019	Prab.g_00820	Prav.g_00375
OG0000020	Prab.g_01162	Prav.g_00014
OG0000020	Prab.g_00379	Prav.g_01386
OG0000021	Prab.g_00354	Prav.g_00984
OG0000022	Prab.g_00782	Prav.g_00360
OG0000022	Prab.g_01182	Prav.g_00029
OG0000023	Prab.g_00348	Prav.g_00979
OG0000024	Prab.g_00763	Prav.g_00343
OG0000024	Prab.g_00680	Prav.g_01273
OG0000025	Prab.g_00874	Prav.g_00431
OG0000025	Prab.g_00319	Prav.g_01977
OG0000026	Prab.g_01629	Prav.g_01324
OG0000026	Prab.g_00031	Prav.g_00099
OG0000026	Prab.g_01111	Prav.g_00226
OG0000027	Prab.g_00914, Prab.g_01616	Prav.g_01068, Prav.g_01416
OG0000028	Prab.g_00308	Prav.g_01966
OG0000029	Prab.g_00773	Prav.g_00350
OG0000030	Prab.g_01867	Prav.g_00699
OG0000033	Prab.g_00160	Prav.g_00869
OG0000034	Prab.g_01336	Prav.g_01448
OG0000035	Prab.g_01466	Prav.g_01578
OG0000037	Prab.g_00100	Prav.g_00174
OG0000038	Prab.g_01908	Prav.g_00739
OG0000039	Prab.g_00691	Prav.g_01284
OG0000040	Prab.g_01623	Prav.g_01720
OG0000040	Prab.g_01200	Prav.g_00045
OG0000041	Prab.g_01715	Prav.g_01808
OG0000042	Prab.g_01864	Prav.g_00696
OG0000043	Prab.g_01100	Prav.g_00467
OG0000045	Prab.g_00360	Prav.g_00990
OG0000047	Prab.g_00318	Prav.g_01976
OG0000048	Prab.g_00363	Prav.g_00993
OG0000049	Prab.g_00372	Prav.g_01000
OG0000049	Prab.g_00971	Prav.g_01016
OG0000050	Prab.g_00394	Prav.g_01013
OG0000050	Prab.g_01130	Prav.g_00247
OG0000051	Prab.g_01304	Prav.g_01410
OG0000052	Prab.g_01423	Prav.g_01533
OG0000053	Prab.g_01486	Prav.g_01598
OG0000054	Prab.g_00610	Prav.g_01202
OG0000055	Prab.g_00821	Prav.g_00376
OG0000057	Prab.g_00703	Prav.g_01296
OG0000058	Prab.g_01393	Prav.g_01512
OG0000059	Prab.g_01754	Prav.g_00292
OG0000060	Prab.g_00784	Prav.g_00964
OG0000061	Prab.g_01219	Prav.g_00065
