Orthogroup	Prab	Syar
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Syar.g_00069
OG0000004	Prab.g_00700	Syar.g_02051
OG0000004	Prab.g_00223	Syar.g_02225, Syar.g_00842
OG0000005	Prab.g_01682	Syar.g_02952
OG0000005	Prab.g_01542	Syar.g_02909
OG0000006	Prab.g_00231	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prab.g_00501	Syar.g_01491
OG0000007	Prab.g_01669	Syar.g_02929
OG0000008	Prab.g_00677	Syar.g_00419, Syar.g_02048
OG0000009	Prab.g_00096	Syar.g_03116
OG0000010	Prab.g_01104, Prab.g_00478	Syar.g_01272
OG0000013	Prab.g_00315	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prab.g_00294	Syar.g_00825
OG0000014	Prab.g_01444, Prab.g_01445	Syar.g_02736
OG0000016	Prab.g_00013, Prab.g_01579	Syar.g_02859
OG0000017	Prab.g_00602	Syar.g_02188
OG0000018	Prab.g_01201, Prab.g_00867	Syar.g_01409
OG0000019	Prab.g_00239, Prab.g_00820	Syar.g_00163
OG0000022	Prab.g_00782, Prab.g_01182	Syar.g_00835
OG0000025	Prab.g_00874, Prab.g_00319	Syar.g_01811
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syar.g_00505
OG0000027	Prab.g_00914, Prab.g_01616	Syar.g_02055
OG0000028	Prab.g_00308	Syar.g_00718
OG0000033	Prab.g_01400, Prab.g_00160	Syar.g_00105
OG0000034	Prab.g_01336	Syar.g_00074, Syar.g_02790
OG0000035	Prab.g_01466	Syar.g_02809
OG0000037	Prab.g_00100	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prab.g_01908	Syar.g_00334, Syar.g_00336
OG0000039	Prab.g_00691	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prab.g_01200	Syar.g_02831
OG0000042	Prab.g_01864	Syar.g_00595, Syar.g_01970
OG0000044	Prab.g_01648	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prab.g_00360	Syar.g_02592
OG0000048	Prab.g_00411, Prab.g_00363	Syar.g_00213
OG0000051	Prab.g_01304, Prab.g_01643	Syar.g_01597
OG0000052	Prab.g_01423	Syar.g_02742, Syar.g_02751
OG0000053	Prab.g_01486	Syar.g_01413
OG0000055	Prab.g_00821	Syar.g_01386
OG0000057	Prab.g_00703	Syar.g_00006
OG0000061	Prab.g_01219	Syar.g_01539
OG0000062	Prab.g_01544	Syar.g_01439
OG0000063	Prab.g_00033	Syar.g_00509
OG0000065	Prab.g_00098	Syar.g_03119
OG0000066	Prab.g_00543	Syar.g_02228
OG0000067	Prab.g_00840	Syar.g_02639
OG0000068	Prab.g_01360	Syar.g_02329, Syar.g_01461
OG0000069	Prab.g_01585	Syar.g_01716
OG0000070	Prab.g_00456	Syar.g_02223
