Orthogroup	Prab	Praj
OG0000000	Prab.g_00915, Prab.g_01617	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Praj.g_00087
OG0000000	Prab.g_01606	Praj.g_01267
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Praj.g_01112
OG0000002	Prab.g_00683	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prab.g_00700	Praj.g_01396
OG0000004	Prab.g_00223	Praj.g_00271
OG0000005	Prab.g_01682	Praj.g_01349
OG0000005	Prab.g_01542	Praj.g_01712
OG0000006	Prab.g_00231	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prab.g_00501	Praj.g_00489
OG0000007	Prab.g_01669	Praj.g_01768
OG0000010	Prab.g_00478	Praj.g_01026, Praj.g_00466
OG0000011	Prab.g_01624	Praj.g_01187
OG0000011	Prab.g_00799	Praj.g_01158
OG0000012	Prab.g_00627	Praj.g_01066
OG0000013	Prab.g_00315	Praj.g_00362
OG0000014	Prab.g_00294	Praj.g_00341
OG0000014	Prab.g_01444, Prab.g_01445	Praj.g_01609
OG0000015	Prab.g_00789	Praj.g_01113
OG0000016	Prab.g_00013	Praj.g_00013
OG0000016	Prab.g_01579	Praj.g_01865
OG0000017	Prab.g_00602	Praj.g_00592
OG0000018	Prab.g_01201	Praj.g_01482
OG0000018	Prab.g_00867	Praj.g_00798
OG0000019	Prab.g_00820	Praj.g_00747
OG0000020	Prab.g_01162	Praj.g_01025
OG0000020	Prab.g_00379	Praj.g_01139
OG0000021	Prab.g_00354	Praj.g_01859
OG0000022	Prab.g_00782	Praj.g_01189
OG0000022	Prab.g_01182	Praj.g_01216
OG0000023	Prab.g_00348	Praj.g_01365, Praj.g_01329
OG0000024	Prab.g_00763	Praj.g_01134
OG0000024	Prab.g_00680	Praj.g_00666
OG0000025	Prab.g_00874, Prab.g_00319	Praj.g_00805
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Praj.g_00031
OG0000027	Prab.g_00914, Prab.g_01616	Praj.g_01331
OG0000029	Prab.g_00773	Praj.g_01745
OG0000030	Prab.g_01867	Praj.g_02024
OG0000031	Prab.g_01446	Praj.g_00371
OG0000033	Prab.g_00160	Praj.g_00209
OG0000034	Prab.g_01336	Praj.g_01538
OG0000035	Prab.g_01466	Praj.g_01632
OG0000037	Prab.g_00100	Praj.g_00147
OG0000038	Prab.g_01908	Praj.g_02089
OG0000039	Prab.g_00691	Praj.g_00679
OG0000040	Prab.g_01623	Praj.g_01735
OG0000041	Prab.g_01715	Praj.g_01813
OG0000042	Prab.g_01864	Praj.g_02020
OG0000043	Prab.g_01100	Praj.g_00864
OG0000045	Prab.g_00360	Praj.g_01049
OG0000047	Prab.g_00318	Praj.g_00370
OG0000048	Prab.g_00411, Prab.g_00363	Praj.g_00308
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Praj.g_01398
OG0000050	Prab.g_01130	Praj.g_00099
OG0000051	Prab.g_01643	Praj.g_01347
OG0000053	Prab.g_01486	Praj.g_01651
OG0000054	Prab.g_00610	Praj.g_00594
OG0000055	Prab.g_00821	Praj.g_00733
OG0000057	Prab.g_00703	Praj.g_00691, Praj.g_01313
OG0000058	Prab.g_01393	Praj.g_00839
OG0000059	Prab.g_01754	Praj.g_01892
OG0000060	Prab.g_00784	Praj.g_01108
OG0000061	Prab.g_01219	Praj.g_01461
OG0000062	Prab.g_01544	Praj.g_01714
OG0000063	Prab.g_00033	Praj.g_01867
OG0000065	Prab.g_00098	Praj.g_00145
OG0000066	Prab.g_00543	Praj.g_00530
OG0000067	Prab.g_00840	Praj.g_00769
OG0000068	Prab.g_01360	Praj.g_01575
OG0000069	Prab.g_01585	Praj.g_01276, Praj.g_01675
OG0000070	Prab.g_00456	Praj.g_00444
OG0000071	Prab.g_01637, Prab.g_01326	Praj.g_01528
OG0000072	Prab.g_00162	Praj.g_00211
OG0000073	Prab.g_00503	Praj.g_00491
OG0000074	Prab.g_00687	Praj.g_00674
OG0000075	Prab.g_01834	Praj.g_01987
OG0000076	Prab.g_01857	Praj.g_02012
OG0000077	Prab.g_00070	Praj.g_00116
OG0000078	Prab.g_00229	Praj.g_00280
OG0000079	Prab.g_00242	Praj.g_00291
