Orthogroup	Prab	Syao
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Syao.g_00314
OG0000004	Prab.g_00700	Syao.g_02374
OG0000004	Prab.g_00223	Syao.g_01271, Syao.g_01007
OG0000005	Prab.g_01682	Syao.g_01680
OG0000005	Prab.g_01542	Syao.g_01578
OG0000006	Prab.g_00231	Syao.g_01518
OG0000007	Prab.g_00501	Syao.g_00105
OG0000007	Prab.g_01669	Syao.g_01554
OG0000009	Prab.g_00096	Syao.g_02598
OG0000010	Prab.g_01104, Prab.g_00478	Syao.g_02683
OG0000011	Prab.g_01624, Prab.g_00799	Syao.g_01282
OG0000012	Prab.g_00627	Syao.g_01193
OG0000013	Prab.g_00315	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prab.g_00294	Syao.g_02027
OG0000014	Prab.g_01444, Prab.g_01445	Syao.g_01136
OG0000015	Prab.g_00789	Syao.g_00302
OG0000016	Prab.g_00013	Syao.g_01955
OG0000017	Prab.g_00602	Syao.g_00997
OG0000018	Prab.g_01201, Prab.g_00867	Syao.g_00071
OG0000019	Prab.g_00239, Prab.g_00820	Syao.g_02108
OG0000021	Prab.g_00354	Syao.g_01002
OG0000022	Prab.g_00782, Prab.g_01182	Syao.g_01218
OG0000023	Prab.g_00348	Syao.g_01266
OG0000025	Prab.g_00874, Prab.g_00319	Syao.g_00436, Syao.g_00437
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syao.g_02234
OG0000027	Prab.g_00914, Prab.g_01616	Syao.g_00202
OG0000028	Prab.g_00308	Syao.g_02012
OG0000030	Prab.g_01867	Syao.g_02189, Syao.g_02188
OG0000031	Prab.g_01446	Syao.g_01083
OG0000033	Prab.g_01400, Prab.g_00160	Syao.g_02507
OG0000035	Prab.g_01466	Syao.g_01486
OG0000037	Prab.g_00100	Syao.g_00374
OG0000038	Prab.g_01908	Syao.g_02440, Syao.g_02442
OG0000039	Prab.g_00691	Syao.g_00704
OG0000042	Prab.g_01864	Syao.g_00019, Syao.g_01941
OG0000045	Prab.g_00360	Syao.g_01214, Syao.g_00148
OG0000047	Prab.g_00318	Syao.g_01899
OG0000048	Prab.g_00411, Prab.g_00363	Syao.g_02077
OG0000051	Prab.g_01304, Prab.g_01643	Syao.g_01261
OG0000052	Prab.g_01423	Syao.g_01085
OG0000053	Prab.g_01486	Syao.g_00067
OG0000059	Prab.g_01754	Syao.g_01959
OG0000060	Prab.g_00784	Syao.g_00312
OG0000061	Prab.g_01219	Syao.g_00123
OG0000063	Prab.g_00033	Syao.g_02230
OG0000065	Prab.g_00098	Syao.g_02600
OG0000066	Prab.g_00543	Syao.g_01422
OG0000067	Prab.g_00840	Syao.g_00756
OG0000068	Prab.g_01360	Syao.g_00868, Syao.g_00036
OG0000069	Prab.g_01585	Syao.g_00313
OG0000070	Prab.g_00456	Syao.g_00330
OG0000071	Prab.g_01637, Prab.g_01326	Syao.g_01433
OG0000072	Prab.g_00162	Syao.g_02509, Syao.g_01749
OG0000073	Prab.g_00503	Syao.g_00103
OG0000075	Prab.g_01834	Syao.g_02257
OG0000076	Prab.g_01857	Syao.g_01949
OG0000079	Prab.g_00242	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prab.g_00589	Syao.g_01035
OG0000084	Prab.g_01462	Syao.g_02606
OG0000085	Prab.g_01662	Syao.g_01569
OG0000086	Prab.g_00080	Syao.g_02653, Syao.g_01240
OG0000087	Prab.g_00129	Syao.g_02555
OG0000088	Prab.g_00157	Syao.g_02503
OG0000089	Prab.g_00343	Syao.g_01716
OG0000090	Prab.g_00537	Syao.g_01412
OG0000091	Prab.g_00647	Syao.g_00902
OG0000092	Prab.g_01063	Syao.g_00656
OG0000094	Prab.g_00948	Syao.g_00458
OG0000097	Prab.g_01260	Syao.g_00973
OG0000098	Prab.g_01346	Syao.g_01374
OG0000099	Prab.g_01394	Syao.g_02019
OG0000100	Prab.g_01540	Syao.g_00787
OG0000101	Prab.g_01802	Syao.g_01840
OG0000102	Prab.g_01862	Syao.g_01945
OG0000103	Prab.g_01942	Syao.g_02340
OG0000104	Prab.g_01951	Syao.g_02157
OG0000105	Prab.g_00262	Syao.g_02071, Syao.g_02072
OG0000106	Prab.g_00359	Syao.g_01385
OG0000107	Prab.g_00375	Syao.g_01935
OG0000108	Prab.g_00484	Syao.g_00028
OG0000109	Prab.g_00498	Syao.g_00110
OG0000110	Prab.g_00579	Syao.g_01051
OG0000111	Prab.g_00704	Syao.g_00378
OG0000112	Prab.g_00804	Syao.g_00683, Syao.g_00303
OG0000113	Prab.g_00862	Syao.g_00782
OG0000114	Prab.g_01068	Syao.g_00965
OG0000115	Prab.g_01156	Syao.g_00065, Syao.g_01464
OG0000116	Prab.g_01209	Syao.g_00137
OG0000117	Prab.g_00717	Syao.g_00169
OG0000118	Prab.g_01338	Syao.g_01475
OG0000120	Prab.g_01447	Syao.g_02009
OG0000121	Prab.g_01468	Syao.g_01489
OG0000122	Prab.g_01506	Syao.g_01247
OG0000123	Prab.g_01809	Syao.g_01832
OG0000124	Prab.g_01873	Syao.g_02179
OG0000125	Prab.g_01910	Syao.g_02444
OG0000126	Prab.g_01950	Syao.g_02198
OG0000128	Prab.g_00011	Syao.g_02149
OG0000129	Prab.g_00043	Syao.g_02434
OG0000130	Prab.g_00061	Syao.g_02617
OG0000131	Prab.g_00136	Syao.g_02480
OG0000132	Prab.g_00155	Syao.g_02501
OG0000133	Prab.g_00310	Syao.g_00678
OG0000134	Prab.g_00344	Syao.g_01719
OG0000135	Prab.g_00371	Syao.g_00147
OG0000136	Prab.g_00444	Syao.g_01614, Syao.g_01613
OG0000137	Prab.g_00479	Syao.g_02682
OG0000138	Prab.g_00499	Syao.g_00108
OG0000139	Prab.g_00541	Syao.g_02005
OG0000140	Prab.g_00542	Syao.g_01373, Syao.g_01372
OG0000141	Prab.g_00611	Syao.g_01202
OG0000142	Prab.g_00640	Syao.g_00894
OG0000143	Prab.g_00644	Syao.g_00898
OG0000145	Prab.g_00783	Syao.g_00102
OG0000146	Prab.g_00805	Syao.g_00684, Syao.g_00304
OG0000147	Prab.g_00806	Syao.g_00305, Syao.g_00685
OG0000148	Prab.g_00856	Syao.g_00776
OG0000149	Prab.g_00886	Syao.g_00534
OG0000150	Prab.g_00894	Syao.g_01203
OG0000151	Prab.g_01058	Syao.g_00975
OG0000152	Prab.g_01010	Syao.g_00674
OG0000153	Prab.g_00991	Syao.g_00818, Syao.g_01176
OG0000154	Prab.g_00955	Syao.g_00447
OG0000155	Prab.g_01239	Syao.g_00178
