Orthogroup	Prab	Prbb
OG0000000	Prab.g_00915, Prab.g_01617	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Prbb.g_00103
OG0000000	Prab.g_01606	Prbb.g_01313
OG0000001	Prab.g_00788, Prab.g_01279, Prab.g_01281	Prbb.g_01157
OG0000002	Prab.g_00683	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Prab.g_00700	Prbb.g_01450
OG0000004	Prab.g_00223	Prbb.g_00288
OG0000005	Prab.g_01682	Prbb.g_01393
OG0000005	Prab.g_01542	Prbb.g_01766
OG0000006	Prab.g_00231	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prab.g_00501	Prbb.g_00501
OG0000007	Prab.g_01669	Prbb.g_01823
OG0000010	Prab.g_00478	Prbb.g_01072, Prbb.g_00477
OG0000011	Prab.g_01624	Prbb.g_01229
OG0000011	Prab.g_00799	Prbb.g_01199
OG0000012	Prab.g_00627	Prbb.g_01111
OG0000013	Prab.g_00315	Prbb.g_00378
OG0000014	Prab.g_00294	Prbb.g_00357
OG0000015	Prab.g_00789	Prbb.g_01158
OG0000016	Prab.g_00013	Prbb.g_00014
OG0000016	Prab.g_01579	Prbb.g_01919
OG0000017	Prab.g_00602	Prbb.g_00605
OG0000018	Prab.g_01201	Prbb.g_01539
OG0000018	Prab.g_00867	Prbb.g_00812
OG0000019	Prab.g_00820	Prbb.g_00761
OG0000020	Prab.g_01162	Prbb.g_01071
OG0000020	Prab.g_00379	Prbb.g_01180
OG0000021	Prab.g_00354	Prbb.g_01914
OG0000022	Prab.g_00782	Prbb.g_01231
OG0000022	Prab.g_01182	Prbb.g_01258
OG0000023	Prab.g_00348	Prbb.g_01411, Prbb.g_01373
OG0000024	Prab.g_00763	Prbb.g_01175
OG0000024	Prab.g_00680	Prbb.g_00680
OG0000025	Prab.g_00874, Prab.g_00319	Prbb.g_00052, Prbb.g_00818
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Prbb.g_00032
OG0000027	Prab.g_00914, Prab.g_01616	Prbb.g_01375
OG0000029	Prab.g_00773	Prbb.g_01800
OG0000030	Prab.g_01867	Prbb.g_02073
OG0000031	Prab.g_01446	Prbb.g_00387
OG0000033	Prab.g_00160	Prbb.g_00226
OG0000034	Prab.g_01336	Prbb.g_01596
OG0000035	Prab.g_01466	Prbb.g_01686
OG0000037	Prab.g_00100	Prbb.g_00164
OG0000038	Prab.g_01908	Prbb.g_02129
OG0000039	Prab.g_00691	Prbb.g_00692
OG0000040	Prab.g_01623	Prbb.g_01790
OG0000041	Prab.g_01715	Prbb.g_01868
OG0000042	Prab.g_01864	Prbb.g_02069
OG0000043	Prab.g_01100	Prbb.g_00909
OG0000044	Prab.g_01648	Prbb.g_00079
OG0000045	Prab.g_00360	Prbb.g_01094
OG0000047	Prab.g_00318	Prbb.g_00386
OG0000048	Prab.g_00411, Prab.g_00363	Prbb.g_00325
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Prbb.g_01452
OG0000050	Prab.g_01130	Prbb.g_00116
OG0000051	Prab.g_01643	Prbb.g_01391
OG0000053	Prab.g_01486	Prbb.g_01705
OG0000054	Prab.g_00610	Prbb.g_00607
OG0000055	Prab.g_00821	Prbb.g_00747
OG0000057	Prab.g_00703	Prbb.g_00706, Prbb.g_01359
OG0000058	Prab.g_01393	Prbb.g_00851
OG0000059	Prab.g_01754	Prbb.g_01946
OG0000060	Prab.g_00784	Prbb.g_01153
OG0000061	Prab.g_01219	Prbb.g_01517, Prbb.g_00874
OG0000062	Prab.g_01544	Prbb.g_01768
OG0000063	Prab.g_00033	Prbb.g_01921
OG0000065	Prab.g_00098	Prbb.g_00162
OG0000066	Prab.g_00543	Prbb.g_00542
OG0000067	Prab.g_00840	Prbb.g_00783
OG0000068	Prab.g_01360	Prbb.g_01639
OG0000069	Prab.g_01585	Prbb.g_01324, Prbb.g_01729
OG0000070	Prab.g_00456	Prbb.g_00455
OG0000071	Prab.g_01637, Prab.g_01326	Prbb.g_01586
OG0000072	Prab.g_00162	Prbb.g_00228
OG0000073	Prab.g_00503	Prbb.g_00503
OG0000074	Prab.g_00687	Prbb.g_00687
OG0000075	Prab.g_01834	Prbb.g_02036
OG0000076	Prab.g_01857	Prbb.g_02061
OG0000077	Prab.g_00070	Prbb.g_00133
OG0000078	Prab.g_00229	Prbb.g_00297
OG0000079	Prab.g_00242	Prbb.g_00308
OG0000081	Prab.g_00535	Prbb.g_00534
OG0000082	Prab.g_00589	Prbb.g_01882
OG0000083	Prab.g_00747, Prab.g_01307, Prab.g_00921	Prbb.g_00425
OG0000084	Prab.g_01462	Prbb.g_01683
OG0000085	Prab.g_01662	Prbb.g_01816
OG0000086	Prab.g_00080	Prbb.g_00143
OG0000087	Prab.g_00129	Prbb.g_00196
OG0000088	Prab.g_00157	Prbb.g_00223
OG0000089	Prab.g_00343	Prbb.g_00416
OG0000090	Prab.g_00537	Prbb.g_00536
OG0000091	Prab.g_00647	Prbb.g_00643
OG0000092	Prab.g_01063	Prbb.g_00937
OG0000093	Prab.g_01042	Prbb.g_00768
OG0000094	Prab.g_00948	Prbb.g_00892
OG0000095	Prab.g_01299, Prab.g_00929	Prbb.g_01070
OG0000096	Prab.g_01596, Prab.g_01165	Prbb.g_01294
OG0000097	Prab.g_01260	Prbb.g_01470
OG0000098	Prab.g_01346	Prbb.g_01608
OG0000099	Prab.g_01394	Prbb.g_00388
OG0000100	Prab.g_01540	Prbb.g_01763
OG0000101	Prab.g_01802	Prbb.g_02001
OG0000102	Prab.g_01862	Prbb.g_02066
OG0000103	Prab.g_01942	Prbb.g_02174
OG0000104	Prab.g_01951	Prbb.g_02185
OG0000105	Prab.g_00262	Prbb.g_00327
OG0000106	Prab.g_00359	Prbb.g_01197, Prbb.g_01329
OG0000107	Prab.g_00375	Prbb.g_01923
OG0000108	Prab.g_00484	Prbb.g_00484, Prbb.g_00485
OG0000109	Prab.g_00498	Prbb.g_00498
OG0000110	Prab.g_00579	Prbb.g_00578
OG0000111	Prab.g_00704	Prbb.g_00707
OG0000112	Prab.g_00804	Prbb.g_00983
OG0000113	Prab.g_00862	Prbb.g_00807, Prbb.g_01218
OG0000114	Prab.g_01068	Prbb.g_00932
OG0000115	Prab.g_01156	Prbb.g_01780
OG0000116	Prab.g_01209	Prbb.g_01528
OG0000117	Prab.g_00717	Prbb.g_01399
OG0000118	Prab.g_01338	Prbb.g_01598
OG0000119	Prab.g_01356	Prbb.g_01632
OG0000120	Prab.g_01447	Prbb.g_00678
OG0000121	Prab.g_01468	Prbb.g_01688
OG0000122	Prab.g_01506	Prbb.g_01727
OG0000123	Prab.g_01809	Prbb.g_02008
OG0000124	Prab.g_01873	Prbb.g_02079
OG0000125	Prab.g_01910	Prbb.g_02131
OG0000126	Prab.g_01950	Prbb.g_02183
OG0000128	Prab.g_00011	Prbb.g_00012
OG0000129	Prab.g_00043	Prbb.g_00059
OG0000130	Prab.g_00061	Prbb.g_00124
OG0000131	Prab.g_00136	Prbb.g_00202
OG0000132	Prab.g_00155	Prbb.g_00221
OG0000133	Prab.g_00310	Prbb.g_00373
OG0000134	Prab.g_00344	Prbb.g_00418
OG0000135	Prab.g_00371	Prbb.g_01326
OG0000136	Prab.g_00444	Prbb.g_00446
OG0000137	Prab.g_00479	Prbb.g_00478
OG0000138	Prab.g_00499	Prbb.g_00499
OG0000139	Prab.g_00541	Prbb.g_00540
OG0000140	Prab.g_00542	Prbb.g_00541
OG0000141	Prab.g_00611	Prbb.g_00608
OG0000142	Prab.g_00640	Prbb.g_00636
OG0000143	Prab.g_00644	Prbb.g_00640
OG0000144	Prab.g_00657	Prbb.g_00653
OG0000145	Prab.g_00783	Prbb.g_01099
OG0000146	Prab.g_00805	Prbb.g_00982
OG0000147	Prab.g_00806	Prbb.g_00981
OG0000148	Prab.g_00856	Prbb.g_00801
OG0000149	Prab.g_00886	Prbb.g_00832
OG0000150	Prab.g_00894	Prbb.g_00840
OG0000151	Prab.g_01058	Prbb.g_00943
OG0000152	Prab.g_01010	Prbb.g_00991
OG0000153	Prab.g_00991	Prbb.g_01009
OG0000154	Prab.g_00955	Prbb.g_01040
OG0000155	Prab.g_01239	Prbb.g_01495
OG0000156	Prab.g_01315	Prbb.g_01575
OG0000157	Prab.g_01316	Prbb.g_01576
OG0000158	Prab.g_01379	Prbb.g_02044
OG0000159	Prab.g_01392	Prbb.g_02093, Prbb.g_02083
OG0000160	Prab.g_01467	Prbb.g_01687
OG0000161	Prab.g_01473	Prbb.g_01693
OG0000162	Prab.g_01479	Prbb.g_01699
OG0000163	Prab.g_01513	Prbb.g_01735
OG0000164	Prab.g_01693	Prbb.g_01845
