Orthogroup	Prao	Prbl
OG0000000	Prao.g_01294	Prbl.g_00118, Prbl.g_00117
OG0000000	Prao.g_01515	Prbl.g_00116
OG0000001	Prao.g_01254	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000002	Prao.g_01246	Prbl.g_01582
OG0000002	Prao.g_00116	Prbl.g_01092
OG0000004	Prao.g_00133	Prbl.g_00021
OG0000004	Prao.g_00370	Prbl.g_01771
OG0000005	Prao.g_01472	Prbl.g_00419
OG0000006	Prao.g_00379	Prbl.g_02601
OG0000007	Prao.g_00603	Prbl.g_00531
OG0000007	Prao.g_01552	Prbl.g_00394
OG0000010	Prao.g_00985	Prbl.g_01341
OG0000011	Prao.g_01307	Prbl.g_01822
OG0000012	Prao.g_00062	Prbl.g_01618
OG0000013	Prao.g_00463	Prbl.g_01183
OG0000014	Prao.g_01213	Prbl.g_01416
OG0000015	Prao.g_00703	Prbl.g_01566
OG0000017	Prao.g_00036	Prbl.g_01763, Prbl.g_01755
OG0000018	Prao.g_01108	Prbl.g_00694
OG0000019	Prao.g_00387, Prao.g_00720	Prbl.g_01097, Prbl.g_01509
OG0000021	Prao.g_01346, Prao.g_00500	Prbl.g_01531, Prbl.g_01768
OG0000022	Prao.g_01126	Prbl.g_01072
OG0000022	Prao.g_00699	Prbl.g_01310
OG0000023	Prao.g_00494	Prbl.g_02355
OG0000024	Prao.g_00683, Prao.g_00114	Prbl.g_00040
OG0000025	Prao.g_00467, Prao.g_00776	Prbl.g_01539
OG0000026	Prao.g_00177, Prao.g_00992	Prbl.g_01977
OG0000028	Prao.g_00456	Prbl.g_00900
OG0000029	Prao.g_00690	Prbl.g_01163
OG0000030	Prao.g_01753	Prbl.g_02061, Prbl.g_02060
OG0000034	Prao.g_01266	Prbl.g_01734
OG0000035	Prao.g_01397	Prbl.g_00242
OG0000037	Prao.g_00247	Prbl.g_00548
OG0000038	Prao.g_01794	Prbl.g_02235, Prbl.g_02233
OG0000039	Prao.g_00124	Prbl.g_00318, Prbl.g_01272
OG0000041	Prao.g_01598	Prbl.g_00339
OG0000042	Prao.g_01750	Prbl.g_01236, Prbl.g_01121
OG0000047	Prao.g_00466	Prbl.g_00719
OG0000048	Prao.g_00509	Prbl.g_01465
OG0000053	Prao.g_01417	Prbl.g_00691
OG0000054	Prao.g_00044	Prbl.g_01752
OG0000057	Prao.g_00136	Prbl.g_00025
OG0000059	Prao.g_01639	Prbl.g_00952
OG0000061	Prao.g_01089	Prbl.g_02084
OG0000062	Prao.g_01474	Prbl.g_00417
OG0000063	Prao.g_00179	Prbl.g_01981
OG0000065	Prao.g_00245	Prbl.g_00552
OG0000067	Prao.g_00741	Prbl.g_02335
OG0000068	Prao.g_01239	Prbl.g_00502
OG0000070	Prao.g_00554	Prbl.g_00634
OG0000071	Prao.g_01276	Prbl.g_01722
OG0000072	Prao.g_00309	Prbl.g_00276
OG0000073	Prao.g_00605	Prbl.g_00533
OG0000075	Prao.g_01719	Prbl.g_00855
OG0000076	Prao.g_01743	Prbl.g_01285
OG0000077	Prao.g_00217	Prbl.g_00631, Prbl.g_00596
OG0000078	Prao.g_00377	Prbl.g_00193
OG0000079	Prao.g_00390	Prbl.g_01505
OG0000081	Prao.g_01860	Prbl.g_01036, Prbl.g_00032
OG0000082	Prao.g_00024	Prbl.g_01783
OG0000084	Prao.g_01393	Prbl.g_00246
OG0000085	Prao.g_01545	Prbl.g_00405
OG0000086	Prao.g_00227	Prbl.g_00583
OG0000087	Prao.g_00277	Prbl.g_00810
OG0000088	Prao.g_00304	Prbl.g_00281, Prbl.g_01838
OG0000089	Prao.g_00490	Prbl.g_02674
OG0000090	Prao.g_01858	Prbl.g_00766
OG0000091	Prao.g_00081	Prbl.g_01647
OG0000093	Prao.g_00870	Prbl.g_02359
OG0000094	Prao.g_00955	Prbl.g_02209
OG0000095	Prao.g_00974	Prbl.g_00927
OG0000097	Prao.g_01048	Prbl.g_02579
OG0000098	Prao.g_01257	Prbl.g_00722
OG0000099	Prao.g_01214	Prbl.g_00893
OG0000100	Prao.g_01470	Prbl.g_01914, Prbl.g_02305
OG0000101	Prao.g_01687	Prbl.g_01126, Prbl.g_01000
OG0000102	Prao.g_01748	Prbl.g_02636
OG0000103	Prao.g_01828	Prbl.g_02139
OG0000104	Prao.g_01837	Prbl.g_02125
OG0000105	Prao.g_01378	Prbl.g_01461
OG0000106	Prao.g_00505	Prbl.g_00411
OG0000107	Prao.g_00518	Prbl.g_02681
OG0000108	Prao.g_00586	Prbl.g_00511
OG0000109	Prao.g_00600	Prbl.g_00527
OG0000110	Prao.g_01867	Prbl.g_01795
OG0000111	Prao.g_00137	Prbl.g_00026
OG0000112	Prao.g_00704	Prbl.g_02470
OG0000113	Prao.g_00763	Prbl.g_02310
OG0000114	Prao.g_00845	Prbl.g_02407
OG0000115	Prao.g_01150	Prbl.g_00687
OG0000116	Prao.g_01099	Prbl.g_02069
OG0000117	Prao.g_01332	Prbl.g_01384
OG0000118	Prao.g_01264	Prbl.g_01736
OG0000119	Prao.g_01243	Prbl.g_00007, Prbl.g_00046
OG0000120	Prao.g_01215	Prbl.g_00892
OG0000121	Prao.g_01399	Prbl.g_00234, Prbl.g_00240
OG0000122	Prao.g_01436	Prbl.g_01808
OG0000123	Prao.g_01694	Prbl.g_01135
OG0000124	Prao.g_01759	Prbl.g_02054
OG0000125	Prao.g_01796	Prbl.g_02231
OG0000126	Prao.g_01836	Prbl.g_02127
OG0000128	Prao.g_00158	Prbl.g_02109
OG0000129	Prao.g_00190	Prbl.g_02243
OG0000130	Prao.g_00208	Prbl.g_00608
OG0000131	Prao.g_00283	Prbl.g_00303
OG0000132	Prao.g_00302	Prbl.g_00283
OG0000133	Prao.g_00458	Prbl.g_00897
OG0000134	Prao.g_00491	Prbl.g_02677
OG0000135	Prao.g_00516	Prbl.g_02190
OG0000136	Prao.g_00545	Prbl.g_00647
OG0000137	Prao.g_00581	Prbl.g_01340
OG0000138	Prao.g_00601	Prbl.g_00528
OG0000139	Prao.g_01854	Prbl.g_00760
OG0000140	Prao.g_01853	Prbl.g_00754
OG0000141	Prao.g_00045	Prbl.g_01751
OG0000142	Prao.g_00074	Prbl.g_01639
OG0000143	Prao.g_00078	Prbl.g_01643
OG0000144	Prao.g_00091	Prbl.g_01042
OG0000145	Prao.g_00701	Prbl.g_00534
OG0000146	Prao.g_00705	Prbl.g_02469
OG0000147	Prao.g_00706	Prbl.g_02468
OG0000148	Prao.g_00757	Prbl.g_02316
OG0000149	Prao.g_00788	Prbl.g_01552
OG0000150	Prao.g_00796	Prbl.g_01576
OG0000151	Prao.g_00855	Prbl.g_02386
OG0000152	Prao.g_00902	Prbl.g_02478
OG0000153	Prao.g_00921	Prbl.g_02505
OG0000154	Prao.g_00948	Prbl.g_02532
OG0000155	Prao.g_01069	Prbl.g_00185
OG0000156	Prao.g_01287	Prbl.g_00115
OG0000157	Prao.g_01286	Prbl.g_00114
OG0000158	Prao.g_01220	Prbl.g_00843
OG0000160	Prao.g_01398	Prbl.g_00241
OG0000161	Prao.g_01404	Prbl.g_00227
OG0000162	Prao.g_01410	Prbl.g_00221
OG0000163	Prao.g_01443	Prbl.g_00452
OG0000164	Prao.g_01576	Prbl.g_00365
