Orthogroup	Prao	Pram
OG0000000	Prao.g_01294	Pram.g_01561
OG0000000	Prao.g_01515	Pram.g_01511
OG0000001	Prao.g_01254	Pram.g_01954, Pram.g_01953
OG0000002	Prao.g_01246	Pram.g_00873, Pram.g_00879
OG0000002	Prao.g_00116	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Prao.g_00133	Pram.g_00789
OG0000004	Prao.g_00370	Pram.g_00219
OG0000005	Prao.g_01472	Pram.g_01295
OG0000006	Prao.g_00379	Pram.g_00229
OG0000007	Prao.g_00603	Pram.g_00433
OG0000007	Prao.g_01552	Pram.g_01632
OG0000009	Prao.g_01342	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Prao.g_00580	Pram.g_00410
OG0000010	Prao.g_00985	Pram.g_00704, Pram.g_01000
OG0000012	Prao.g_00062	Pram.g_00561
OG0000013	Prao.g_00463	Pram.g_00315
OG0000014	Prao.g_01213	Pram.g_00295
OG0000015	Prao.g_00703	Pram.g_00696, Pram.g_01545
OG0000017	Prao.g_00036	Pram.g_00535, Pram.g_00542
OG0000018	Prao.g_00768	Pram.g_00837
OG0000018	Prao.g_01108	Pram.g_01162
OG0000019	Prao.g_00387	Pram.g_00237
OG0000019	Prao.g_00720	Pram.g_01164
OG0000021	Prao.g_01346, Prao.g_00500	Pram.g_01274, Pram.g_00794
OG0000022	Prao.g_00699	Pram.g_01287
OG0000023	Prao.g_00494	Pram.g_00689
OG0000024	Prao.g_00683	Pram.g_01004
OG0000024	Prao.g_00114	Pram.g_00765
OG0000025	Prao.g_00467, Prao.g_00776	Pram.g_00844
OG0000026	Prao.g_00992	Pram.g_00018
OG0000028	Prao.g_01348	Pram.g_00363
OG0000028	Prao.g_00456	Pram.g_00308
OG0000029	Prao.g_00690	Pram.g_01529
OG0000029	Prao.g_00510	Pram.g_01723
OG0000030	Prao.g_01753	Pram.g_01844
OG0000034	Prao.g_01266	Pram.g_01240
OG0000035	Prao.g_01397	Pram.g_01381, Pram.g_01378
OG0000037	Prao.g_00247	Pram.g_00093
OG0000038	Prao.g_01794	Pram.g_01884
OG0000039	Prao.g_00124	Pram.g_00777
OG0000040	Prao.g_01531	Pram.g_01599
OG0000041	Prao.g_01598	Pram.g_01680
OG0000042	Prao.g_01750	Pram.g_01841
OG0000043	Prao.g_01331, Prao.g_00812	Pram.g_01161
OG0000048	Prao.g_00509	Pram.g_00259
OG0000053	Prao.g_01417	Pram.g_01357, Pram.g_01580
OG0000054	Prao.g_00044	Pram.g_00544
OG0000055	Prao.g_00721	Pram.g_01189, Pram.g_01617
OG0000057	Prao.g_00136	Pram.g_00792
OG0000058	Prao.g_01191	Pram.g_01447
OG0000059	Prao.g_01639	Pram.g_01719
OG0000061	Prao.g_01089	Pram.g_01140
OG0000062	Prao.g_01474	Pram.g_01293
OG0000065	Prao.g_00245	Pram.g_00091
OG0000067	Prao.g_00741	Pram.g_00809
OG0000068	Prao.g_01239	Pram.g_01468
OG0000069	Prao.g_01508	Pram.g_00391
OG0000070	Prao.g_00554	Pram.g_00385
OG0000071	Prao.g_01276	Pram.g_01230
