Orthogroup	Prao	Syae
OG0000001	Prao.g_01254	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prao.g_00133	Syae.g_00779
OG0000004	Prao.g_00370	Syae.g_00042, Syae.g_02231
OG0000005	Prao.g_01565	Syae.g_01179
OG0000005	Prao.g_01472	Syae.g_01143
OG0000006	Prao.g_00379	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prao.g_00603	Syae.g_02328
OG0000007	Prao.g_01552	Syae.g_01163
OG0000009	Prao.g_01342, Prao.g_01507	Syae.g_00561, Syae.g_00171
OG0000010	Prao.g_00985	Syae.g_02529
OG0000011	Prao.g_01307	Syae.g_00268
OG0000012	Prao.g_00062	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Prao.g_00463	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prao.g_01213	Syae.g_01930, Syae.g_01850
OG0000015	Prao.g_00703	Syae.g_01693, Syae.g_00590
OG0000016	Prao.g_00160	Syae.g_01726
OG0000017	Prao.g_00036	Syae.g_02462, Syae.g_02469
OG0000018	Prao.g_01108	Syae.g_02625
OG0000019	Prao.g_00387, Prao.g_00720	Syae.g_02015
OG0000021	Prao.g_01346, Prao.g_00500	Syae.g_01261, Syae.g_00481
OG0000022	Prao.g_01126	Syae.g_00144
OG0000023	Prao.g_00494	Syae.g_00439, Syae.g_00930
OG0000025	Prao.g_00467, Prao.g_00776	Syae.g_00833
OG0000026	Prao.g_00177, Prao.g_00992	Syae.g_01748
OG0000027	Prao.g_00576, Prao.g_01293	Syae.g_00103, Syae.g_00814
OG0000028	Prao.g_01348, Prao.g_00456	Syae.g_01916
OG0000029	Prao.g_00690, Prao.g_00510	Syae.g_00136
OG0000030	Prao.g_01753	Syae.g_01817, Syae.g_01816
OG0000034	Prao.g_01266	Syae.g_00975, Syae.g_01424
OG0000035	Prao.g_01397	Syae.g_02653
OG0000037	Prao.g_00247	Syae.g_01367
OG0000038	Prao.g_01794	Syae.g_01571
OG0000039	Prao.g_00124	Syae.g_00822, Syae.g_02495
OG0000040	Prao.g_01109	Syae.g_01653
OG0000041	Prao.g_01598	Syae.g_01042, Syae.g_00802
OG0000042	Prao.g_01750	Syae.g_01821
OG0000047	Prao.g_00466	Syae.g_02184
OG0000048	Prao.g_00509	Syae.g_01982
