Orthogroup	Prao	Prbb
OG0000000	Prao.g_01294	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prao.g_01515	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prao.g_01514, Prao.g_01029	Prbb.g_00103
OG0000000	Prao.g_01528, Prao.g_01297	Prbb.g_01313
OG0000001	Prao.g_01254	Prbb.g_01611
OG0000001	Prao.g_01852	Prbb.g_01157
OG0000002	Prao.g_01246	Prbb.g_00844
OG0000002	Prao.g_00116	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Prao.g_00133	Prbb.g_01450
OG0000004	Prao.g_00370	Prbb.g_00288
OG0000005	Prao.g_01565	Prbb.g_01393
OG0000005	Prao.g_01472	Prbb.g_01766
OG0000006	Prao.g_00379	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prao.g_00603	Prbb.g_00501
OG0000007	Prao.g_01552	Prbb.g_01823
OG0000010	Prao.g_00580	Prbb.g_00477
OG0000010	Prao.g_00985	Prbb.g_01072
OG0000011	Prao.g_01307	Prbb.g_01229
OG0000011	Prao.g_00529	Prbb.g_01368
OG0000012	Prao.g_00062	Prbb.g_01111
OG0000013	Prao.g_00463	Prbb.g_00378
OG0000014	Prao.g_01213	Prbb.g_00357
OG0000015	Prao.g_00703	Prbb.g_01158
OG0000016	Prao.g_00160	Prbb.g_00014
OG0000017	Prao.g_00036	Prbb.g_00598, Prbb.g_00605
OG0000018	Prao.g_00768	Prbb.g_00812
OG0000018	Prao.g_01108	Prbb.g_01539
OG0000019	Prao.g_00720	Prbb.g_00761
OG0000021	Prao.g_01346, Prao.g_00500	Prbb.g_01914, Prbb.g_00099
OG0000022	Prao.g_01126	Prbb.g_01258
OG0000022	Prao.g_00699	Prbb.g_01231
OG0000023	Prao.g_00494	Prbb.g_01411, Prbb.g_01373
OG0000024	Prao.g_00683	Prbb.g_01175
OG0000024	Prao.g_00114	Prbb.g_00680
OG0000025	Prao.g_00467	Prbb.g_00052, Prbb.g_00818
OG0000026	Prao.g_00177, Prao.g_00992	Prbb.g_00032
OG0000027	Prao.g_00576, Prao.g_01293	Prbb.g_01375
OG0000028	Prao.g_01348	Prbb.g_01635
OG0000029	Prao.g_00690	Prbb.g_01800
OG0000030	Prao.g_01753	Prbb.g_02073
OG0000031	Prao.g_01355, Prao.g_01364	Prbb.g_00387
OG0000033	Prao.g_00307	Prbb.g_00226
OG0000034	Prao.g_01266	Prbb.g_01596
OG0000035	Prao.g_01397	Prbb.g_01686
OG0000037	Prao.g_00247	Prbb.g_00164
OG0000038	Prao.g_01794	Prbb.g_02129
OG0000039	Prao.g_00124	Prbb.g_00692
OG0000040	Prao.g_01531	Prbb.g_01790
OG0000041	Prao.g_01598	Prbb.g_01868
OG0000042	Prao.g_01750	Prbb.g_02069
OG0000043	Prao.g_01331	Prbb.g_01198
OG0000047	Prao.g_00466	Prbb.g_00386
OG0000048	Prao.g_00509	Prbb.g_00325
OG0000050	Prao.g_01012	Prbb.g_00116
OG0000053	Prao.g_01417	Prbb.g_01705
OG0000054	Prao.g_00044	Prbb.g_00607
OG0000055	Prao.g_00721	Prbb.g_00747, Prbb.g_01897
OG0000057	Prao.g_00136	Prbb.g_01359, Prbb.g_00706
OG0000059	Prao.g_01639	Prbb.g_01946
OG0000061	Prao.g_01089	Prbb.g_01517
OG0000062	Prao.g_01474	Prbb.g_01768
OG0000063	Prao.g_00179	Prbb.g_01921
OG0000065	Prao.g_00245	Prbb.g_00162
OG0000067	Prao.g_00741	Prbb.g_00783
OG0000068	Prao.g_01239	Prbb.g_01639
OG0000069	Prao.g_01508	Prbb.g_01324, Prbb.g_01729
OG0000070	Prao.g_00554	Prbb.g_00455
OG0000071	Prao.g_01276	Prbb.g_01586
OG0000072	Prao.g_00309	Prbb.g_00228
OG0000073	Prao.g_00605	Prbb.g_00503
OG0000074	Prao.g_00120	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104
OG0000075	Prao.g_01719	Prbb.g_02036
OG0000076	Prao.g_01743	Prbb.g_02061
OG0000077	Prao.g_00217	Prbb.g_00133
OG0000078	Prao.g_00377	Prbb.g_00297
OG0000079	Prao.g_00390	Prbb.g_00308
OG0000081	Prao.g_01860	Prbb.g_00534
OG0000082	Prao.g_00024	Prbb.g_01882
OG0000083	Prao.g_00679, Prao.g_01301, Prao.g_00673	Prbb.g_00425
OG0000084	Prao.g_01393	Prbb.g_01683
OG0000085	Prao.g_01545	Prbb.g_01816
OG0000086	Prao.g_00227	Prbb.g_00143
OG0000087	Prao.g_00277	Prbb.g_00196
OG0000088	Prao.g_00304	Prbb.g_00223
OG0000089	Prao.g_00490	Prbb.g_00416
OG0000090	Prao.g_01858	Prbb.g_00536
OG0000091	Prao.g_00081	Prbb.g_00643
OG0000093	Prao.g_00870	Prbb.g_00768
OG0000094	Prao.g_00955	Prbb.g_00892
OG0000095	Prao.g_00974	Prbb.g_01070
OG0000096	Prao.g_01142, Prao.g_01316	Prbb.g_01294
OG0000097	Prao.g_01048	Prbb.g_01470
OG0000098	Prao.g_01257	Prbb.g_01608
OG0000099	Prao.g_01214	Prbb.g_00388
OG0000100	Prao.g_01470	Prbb.g_01763
OG0000101	Prao.g_01687	Prbb.g_02001
OG0000102	Prao.g_01748	Prbb.g_02066
OG0000103	Prao.g_01828	Prbb.g_02174
OG0000104	Prao.g_01837	Prbb.g_02185
OG0000105	Prao.g_01378	Prbb.g_00327
OG0000106	Prao.g_00505	Prbb.g_01197, Prbb.g_01329
OG0000107	Prao.g_00518	Prbb.g_01923
OG0000108	Prao.g_00586	Prbb.g_00484, Prbb.g_00485
OG0000109	Prao.g_00600	Prbb.g_00498
OG0000110	Prao.g_01867	Prbb.g_00578
OG0000111	Prao.g_00137	Prbb.g_00707
OG0000112	Prao.g_00704	Prbb.g_00983
OG0000113	Prao.g_00763	Prbb.g_00807, Prbb.g_01218
OG0000114	Prao.g_00845	Prbb.g_00932
OG0000115	Prao.g_01150	Prbb.g_01780
OG0000116	Prao.g_01099	Prbb.g_01528
OG0000117	Prao.g_01332	Prbb.g_01399
OG0000118	Prao.g_01264	Prbb.g_01598
OG0000119	Prao.g_01243	Prbb.g_01632
OG0000120	Prao.g_01215	Prbb.g_00678
OG0000121	Prao.g_01399	Prbb.g_01688
OG0000122	Prao.g_01436	Prbb.g_01727
OG0000123	Prao.g_01694	Prbb.g_02008
OG0000124	Prao.g_01759	Prbb.g_02079
OG0000125	Prao.g_01796	Prbb.g_02131
OG0000126	Prao.g_01836	Prbb.g_02183
OG0000128	Prao.g_00158	Prbb.g_00012
OG0000129	Prao.g_00190	Prbb.g_00059
OG0000130	Prao.g_00208	Prbb.g_00124
OG0000131	Prao.g_00283	Prbb.g_00202
OG0000132	Prao.g_00302	Prbb.g_00221
OG0000133	Prao.g_00458	Prbb.g_00373
OG0000134	Prao.g_00491	Prbb.g_00418
OG0000135	Prao.g_00516	Prbb.g_01326
OG0000136	Prao.g_00545	Prbb.g_00446
OG0000137	Prao.g_00581	Prbb.g_00478
OG0000138	Prao.g_00601	Prbb.g_00499
OG0000139	Prao.g_01854	Prbb.g_00540
OG0000140	Prao.g_01853	Prbb.g_00541
OG0000141	Prao.g_00045	Prbb.g_00608
OG0000142	Prao.g_00074	Prbb.g_00636
OG0000143	Prao.g_00078	Prbb.g_00640
OG0000144	Prao.g_00091	Prbb.g_00653
OG0000145	Prao.g_00701	Prbb.g_01099
OG0000146	Prao.g_00705	Prbb.g_00982
OG0000147	Prao.g_00706	Prbb.g_00981
OG0000148	Prao.g_00757	Prbb.g_00801
OG0000149	Prao.g_00788	Prbb.g_00832
OG0000150	Prao.g_00796	Prbb.g_00840
OG0000151	Prao.g_00855	Prbb.g_00943
OG0000152	Prao.g_00902	Prbb.g_00991
OG0000153	Prao.g_00921	Prbb.g_01009
OG0000154	Prao.g_00948	Prbb.g_01040
OG0000155	Prao.g_01069	Prbb.g_01495
OG0000156	Prao.g_01287	Prbb.g_01575
OG0000157	Prao.g_01286	Prbb.g_01576
OG0000158	Prao.g_01220	Prbb.g_02044
OG0000159	Prao.g_01219	Prbb.g_02093, Prbb.g_02083
OG0000160	Prao.g_01398	Prbb.g_01687
OG0000161	Prao.g_01404	Prbb.g_01693
OG0000162	Prao.g_01410	Prbb.g_01699
OG0000163	Prao.g_01443	Prbb.g_01735
OG0000164	Prao.g_01576	Prbb.g_01845
OG0000165	Prao.g_01583	Prbb.g_01853
OG0000166	Prao.g_01651	Prbb.g_01964
OG0000167	Prao.g_01717	Prbb.g_02034
OG0000168	Prao.g_01727	Prbb.g_02045
OG0000169	Prao.g_01737	Prbb.g_02055
OG0000170	Prao.g_01739	Prbb.g_02057
OG0000171	Prao.g_01758	Prbb.g_02078
OG0000172	Prao.g_01767	Prbb.g_02101
OG0000173	Prao.g_01782	Prbb.g_02116
OG0000174	Prao.g_01810	Prbb.g_02147
