Orthogroup	Prao	Syap
OG0000001	Prao.g_01254	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prao.g_00370	Syap.g_01987
OG0000005	Prao.g_01565	Syap.g_01773
OG0000005	Prao.g_01472	Syap.g_01218
OG0000006	Prao.g_00379	Syap.g_02770
OG0000007	Prao.g_00603	Syap.g_00275
OG0000007	Prao.g_01552	Syap.g_00621
OG0000010	Prao.g_00985	Syap.g_02757
OG0000013	Prao.g_00463	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prao.g_01213	Syap.g_01675, Syap.g_00813
OG0000015	Prao.g_00703	Syap.g_02606, Syap.g_00786
OG0000016	Prao.g_00160	Syap.g_00071
OG0000017	Prao.g_00036	Syap.g_00449
OG0000018	Prao.g_00768	Syap.g_02708
OG0000018	Prao.g_01108	Syap.g_02010
OG0000019	Prao.g_00387, Prao.g_00720	Syap.g_01586
OG0000025	Prao.g_00467, Prao.g_00776	Syap.g_01846
OG0000027	Prao.g_00576, Prao.g_01293	Syap.g_01440
OG0000028	Prao.g_01348, Prao.g_00456	Syap.g_01658
OG0000030	Prao.g_01753	Syap.g_00787, Syap.g_00788
OG0000031	Prao.g_01355	Syap.g_00722
OG0000034	Prao.g_01266	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prao.g_01397	Syap.g_02125, Syap.g_02465
OG0000037	Prao.g_00247	Syap.g_02492
OG0000038	Prao.g_01794	Syap.g_00139
OG0000039	Prao.g_00124	Syap.g_01749, Syap.g_01748
OG0000040	Prao.g_01109	Syap.g_01819
OG0000041	Prao.g_01598	Syap.g_01510
OG0000042	Prao.g_01750	Syap.g_01891, Syap.g_01120
OG0000043	Prao.g_01331	Syap.g_01998
OG0000048	Prao.g_00509	Syap.g_02340
OG0000051	Prao.g_01304	Syap.g_01574
OG0000053	Prao.g_01417	Syap.g_02006
OG0000054	Prao.g_00044	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prao.g_00136	Syap.g_01569
OG0000059	Prao.g_01639	Syap.g_01918
OG0000061	Prao.g_01089	Syap.g_00228
OG0000062	Prao.g_01474	Syap.g_01220
OG0000063	Prao.g_00179	Syap.g_01796
OG0000067	Prao.g_00741	Syap.g_00194
OG0000068	Prao.g_01239	Syap.g_00108, Syap.g_00144
OG0000069	Prao.g_01508	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prao.g_00554	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prao.g_01276	Syap.g_01483
OG0000072	Prao.g_00309	Syap.g_00555
