Orthogroup	Prao	Syab
OG0000000	Prao.g_01294	Syab.g_01226
OG0000001	Prao.g_01254	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prao.g_01246, Prao.g_00116	Syab.g_02285
OG0000004	Prao.g_00133	Syab.g_00549, Syab.g_01193
OG0000004	Prao.g_00370	Syab.g_01911, Syab.g_02377
OG0000005	Prao.g_01565	Syab.g_02289
OG0000005	Prao.g_01472	Syab.g_02806, Syab.g_02232
OG0000006	Prao.g_00379	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prao.g_00603	Syab.g_02117
OG0000007	Prao.g_01552	Syab.g_02256
OG0000009	Prao.g_01342, Prao.g_01507	Syab.g_00995
OG0000010	Prao.g_00985	Syab.g_00696
OG0000012	Prao.g_00062	Syab.g_01774, Syab.g_00953
OG0000013	Prao.g_00463	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prao.g_01213	Syab.g_00249, Syab.g_00178
OG0000015	Prao.g_00703	Syab.g_02889
OG0000016	Prao.g_00160	Syab.g_00014
OG0000017	Prao.g_00036	Syab.g_01953, Syab.g_01945
OG0000018	Prao.g_01108	Syab.g_00742
OG0000019	Prao.g_00387, Prao.g_00720	Syab.g_00344
OG0000020	Prao.g_01145	Syab.g_02230
OG0000022	Prao.g_01126	Syab.g_01825
OG0000023	Prao.g_00494	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prao.g_00683, Prao.g_00114	Syab.g_01834
OG0000025	Prao.g_00467, Prao.g_00776	Syab.g_01705
OG0000026	Prao.g_00992	Syab.g_00036
OG0000027	Prao.g_00576, Prao.g_01293	Syab.g_01782
OG0000028	Prao.g_01348, Prao.g_00456	Syab.g_00234
OG0000030	Prao.g_01753	Syab.g_00096, Syab.g_00095
OG0000032	Prao.g_01362	Syab.g_00182
OG0000034	Prao.g_01266	Syab.g_00900, Syab.g_02560
OG0000035	Prao.g_01397	Syab.g_00776, Syab.g_00778
OG0000037	Prao.g_00247	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prao.g_01794	Syab.g_02759, Syab.g_02761
OG0000039	Prao.g_00124	Syab.g_02791
OG0000040	Prao.g_01109	Syab.g_02853
OG0000041	Prao.g_01598	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prao.g_01750	Syab.g_01019, Syab.g_00099
OG0000043	Prao.g_01331	Syab.g_02802
OG0000045	Prao.g_00506	Syab.g_01787
OG0000047	Prao.g_00466	Syab.g_00876
OG0000048	Prao.g_00509	Syab.g_00308
OG0000053	Prao.g_01417	Syab.g_00746
OG0000054	Prao.g_00044	Syab.g_01932
OG0000055	Prao.g_00721	Syab.g_01255
OG0000057	Prao.g_00136	Syab.g_01200
OG0000059	Prao.g_01639	Syab.g_00397
OG0000061	Prao.g_01089	Syab.g_00969
OG0000062	Prao.g_01474	Syab.g_02234
OG0000063	Prao.g_00179	Syab.g_00040
OG0000065	Prao.g_00245	Syab.g_02500, Syab.g_01768
OG0000067	Prao.g_00741	Syab.g_01659
OG0000068	Prao.g_01239	Syab.g_02087
OG0000070	Prao.g_00554	Syab.g_00614
OG0000071	Prao.g_01276	Syab.g_00915
OG0000072	Prao.g_00309	Syab.g_02593
OG0000073	Prao.g_00605	Syab.g_02119
OG0000075	Prao.g_01719	Syab.g_00202
OG0000076	Prao.g_01743	Syab.g_00113
OG0000077	Prao.g_00217	Syab.g_02446
OG0000078	Prao.g_00377	Syab.g_02366
OG0000079	Prao.g_00390	Syab.g_00340
OG0000081	Prao.g_01860	Syab.g_01793
OG0000082	Prao.g_00024	Syab.g_01971
OG0000084	Prao.g_01393	Syab.g_00781
OG0000085	Prao.g_01545	Syab.g_02243
OG0000086	Prao.g_00227	Syab.g_02468
OG0000087	Prao.g_00277	Syab.g_02551
OG0000088	Prao.g_00304	Syab.g_02586
OG0000089	Prao.g_00490	Syab.g_00551
OG0000090	Prao.g_01858	Syab.g_02041
OG0000091	Prao.g_00081	Syab.g_01866
OG0000093	Prao.g_00870	Syab.g_01582
OG0000094	Prao.g_00955	Syab.g_01306
OG0000095	Prao.g_00974	Syab.g_01210
OG0000097	Prao.g_01048	Syab.g_01051
OG0000098	Prao.g_01257	Syab.g_01553
OG0000099	Prao.g_01214	Syab.g_00230
OG0000100	Prao.g_01470	Syab.g_01694
OG0000101	Prao.g_01687	Syab.g_00446
OG0000102	Prao.g_01748	Syab.g_00104
OG0000103	Prao.g_01828	Syab.g_02895, Syab.g_01296
OG0000104	Prao.g_01837	Syab.g_02910
OG0000105	Prao.g_01378	Syab.g_00303
OG0000106	Prao.g_00505	Syab.g_01817
OG0000107	Prao.g_00518	Syab.g_00367
OG0000108	Prao.g_00586	Syab.g_02096
OG0000109	Prao.g_00600	Syab.g_02112
OG0000110	Prao.g_01867	Syab.g_01984
OG0000111	Prao.g_00137	Syab.g_01201
OG0000112	Prao.g_00704	Syab.g_01392
OG0000113	Prao.g_00763	Syab.g_01689
OG0000114	Prao.g_00845	Syab.g_02656, Syab.g_01633
OG0000115	Prao.g_01150	Syab.g_00748
OG0000116	Prao.g_01099	Syab.g_00945
OG0000117	Prao.g_01332	Syab.g_01018
OG0000118	Prao.g_01264	Syab.g_00897
OG0000120	Prao.g_01215	Syab.g_00229
OG0000121	Prao.g_01399	Syab.g_00772
OG0000122	Prao.g_01436	Syab.g_01839
OG0000123	Prao.g_01694	Syab.g_00454
OG0000124	Prao.g_01759	Syab.g_00088
OG0000125	Prao.g_01796	Syab.g_02763
OG0000126	Prao.g_01836	Syab.g_02908
OG0000128	Prao.g_00158	Syab.g_00012
OG0000129	Prao.g_00190	Syab.g_02749
OG0000130	Prao.g_00208	Syab.g_02434
OG0000131	Prao.g_00283	Syab.g_02564
OG0000132	Prao.g_00302	Syab.g_02584
OG0000133	Prao.g_00458	Syab.g_01387
OG0000134	Prao.g_00491	Syab.g_00554
OG0000135	Prao.g_00516	Syab.g_02815
OG0000136	Prao.g_00545	Syab.g_00588
OG0000137	Prao.g_00581	Syab.g_00697
OG0000138	Prao.g_00601	Syab.g_02113
OG0000139	Prao.g_01854	Syab.g_02035
OG0000140	Prao.g_01853	Syab.g_02033
OG0000141	Prao.g_00045	Syab.g_01931
OG0000142	Prao.g_00074	Syab.g_01524, Syab.g_01873
OG0000143	Prao.g_00078	Syab.g_01870
OG0000144	Prao.g_00091	Syab.g_01757
OG0000145	Prao.g_00701	Syab.g_02120
OG0000146	Prao.g_00705	Syab.g_01393
OG0000147	Prao.g_00706	Syab.g_01394
OG0000148	Prao.g_00757	Syab.g_01682, Syab.g_01683
OG0000149	Prao.g_00788	Syab.g_01720
OG0000150	Prao.g_00796	Syab.g_01930
OG0000151	Prao.g_00855	Syab.g_01612
OG0000152	Prao.g_00902	Syab.g_01383
OG0000153	Prao.g_00921	Syab.g_01343
OG0000154	Prao.g_00948	Syab.g_01317
OG0000155	Prao.g_01069	Syab.g_01009
OG0000156	Prao.g_01287	Syab.g_00933
OG0000157	Prao.g_01286	Syab.g_00932
OG0000158	Prao.g_01220	Syab.g_00161
OG0000160	Prao.g_01398	Syab.g_00774
OG0000161	Prao.g_01404	Syab.g_00766
OG0000162	Prao.g_01410	Syab.g_00755
OG0000163	Prao.g_01443	Syab.g_02173
OG0000164	Prao.g_01576	Syab.g_02307
OG0000165	Prao.g_01583	Syab.g_02316
OG0000166	Prao.g_01651	Syab.g_00407
OG0000167	Prao.g_01717	Syab.g_00205
OG0000168	Prao.g_01727	Syab.g_00136
OG0000169	Prao.g_01737	Syab.g_00125
OG0000170	Prao.g_01739	Syab.g_00118
OG0000171	Prao.g_01758	Syab.g_00089
OG0000172	Prao.g_01767	Syab.g_00080
OG0000173	Prao.g_01782	Syab.g_00061
OG0000174	Prao.g_01810	Syab.g_02819
OG0000175	Prao.g_01820	Syab.g_02876
OG0000176	Prao.g_01845	Syab.g_00004
OG0000177	Prao.g_01846	Syab.g_00005
OG0000178	Prao.g_01847	Syab.g_00006
OG0000179	Prao.g_00163	Syab.g_00022
OG0000180	Prao.g_00164	Syab.g_00023
OG0000181	Prao.g_00165	Syab.g_00024
OG0000182	Prao.g_00166	Syab.g_00025
OG0000183	Prao.g_00170	Syab.g_00029
OG0000184	Prao.g_00192	Syab.g_02738
OG0000185	Prao.g_00195	Syab.g_02715
OG0000186	Prao.g_00203	Syab.g_02430
OG0000187	Prao.g_00204	Syab.g_02431
OG0000188	Prao.g_00221	Syab.g_02454
OG0000189	Prao.g_00235	Syab.g_02487
OG0000190	Prao.g_00236	Syab.g_00190, Syab.g_00139
OG0000191	Prao.g_00256	Syab.g_02522
OG0000192	Prao.g_00260	Syab.g_02528
OG0000193	Prao.g_00284	Syab.g_02565
OG0000194	Prao.g_00287	Syab.g_02568
OG0000195	Prao.g_00289	Syab.g_02570
OG0000196	Prao.g_00299	Syab.g_02581
OG0000197	Prao.g_00300	Syab.g_02582
OG0000198	Prao.g_00301	Syab.g_02583
OG0000199	Prao.g_00308	Syab.g_02591
OG0000200	Prao.g_00322	Syab.g_02611
OG0000201	Prao.g_00330	Syab.g_02628
OG0000202	Prao.g_00331	Syab.g_02629
OG0000203	Prao.g_00332	Syab.g_02630
OG0000204	Prao.g_00333	Syab.g_02631
OG0000205	Prao.g_00340	Syab.g_02638
OG0000206	Prao.g_00345	Syab.g_02674
OG0000207	Prao.g_00347	Syab.g_02677
OG0000208	Prao.g_00348	Syab.g_02678
OG0000209	Prao.g_00357	Syab.g_02698
OG0000210	Prao.g_00358	Syab.g_02699
OG0000211	Prao.g_00371	Syab.g_02374
OG0000212	Prao.g_00378	Syab.g_02365
OG0000213	Prao.g_00395	Syab.g_00332
OG0000214	Prao.g_00405	Syab.g_00312
OG0000215	Prao.g_00429	Syab.g_00281
OG0000216	Prao.g_00431	Syab.g_00277
OG0000217	Prao.g_00434	Syab.g_00273
OG0000218	Prao.g_00436	Syab.g_00271
OG0000219	Prao.g_00437	Syab.g_00270
OG0000220	Prao.g_00438	Syab.g_00269
OG0000221	Prao.g_00439	Syab.g_00257
OG0000222	Prao.g_00446	Syab.g_00244
OG0000223	Prao.g_00459	Syab.g_00226
OG0000224	Prao.g_00461	Syab.g_00223
OG0000225	Prao.g_00480	Syab.g_00538
OG0000226	Prao.g_00484	Syab.g_00542
OG0000227	Prao.g_00486	Syab.g_00544
OG0000228	Prao.g_00489	Syab.g_00550
OG0000229	Prao.g_00540	Syab.g_00583
OG0000230	Prao.g_00542	Syab.g_00585
OG0000231	Prao.g_00553	Syab.g_00613
OG0000232	Prao.g_00564	Syab.g_00631
OG0000233	Prao.g_00569	Syab.g_00645
