Orthogroup	Prao	Syao
OG0000001	Prao.g_01254	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prao.g_00133	Syao.g_02374
OG0000004	Prao.g_00370	Syao.g_01271, Syao.g_01007
OG0000005	Prao.g_01565	Syao.g_01680
OG0000005	Prao.g_01472	Syao.g_01578
OG0000006	Prao.g_00379	Syao.g_00919, Syao.g_01518
OG0000007	Prao.g_00603	Syao.g_00105
OG0000007	Prao.g_01552	Syao.g_01554
OG0000010	Prao.g_00985	Syao.g_02683
OG0000012	Prao.g_00062	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prao.g_00463	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prao.g_01213	Syao.g_02027, Syao.g_01136
OG0000015	Prao.g_00703	Syao.g_02339, Syao.g_00302
OG0000016	Prao.g_00160	Syao.g_01955
OG0000017	Prao.g_00036	Syao.g_00997, Syao.g_01064
OG0000018	Prao.g_01108	Syao.g_00071
OG0000019	Prao.g_00387, Prao.g_00720	Syao.g_02108
OG0000021	Prao.g_01346, Prao.g_00500	Syao.g_01002
OG0000022	Prao.g_01126	Syao.g_01218
OG0000023	Prao.g_00494	Syao.g_01266
OG0000025	Prao.g_00467, Prao.g_00776	Syao.g_00436, Syao.g_00437
OG0000026	Prao.g_00177, Prao.g_00992	Syao.g_02234
OG0000027	Prao.g_00576, Prao.g_01293	Syao.g_01286, Syao.g_00202
OG0000028	Prao.g_01348, Prao.g_00456	Syao.g_02012
OG0000030	Prao.g_01753	Syao.g_02189, Syao.g_02188
OG0000031	Prao.g_01355, Prao.g_01364	Syao.g_01083
OG0000032	Prao.g_01362	Syao.g_01135
OG0000035	Prao.g_01397	Syao.g_01483, Syao.g_01486
OG0000037	Prao.g_00247	Syao.g_00374
OG0000038	Prao.g_01794	Syao.g_02440, Syao.g_02442
OG0000039	Prao.g_00124	Syao.g_00704
OG0000040	Prao.g_01109	Syao.g_00711
OG0000041	Prao.g_01598	Syao.g_00509, Syao.g_01637
OG0000042	Prao.g_01750	Syao.g_00019, Syao.g_01941
OG0000045	Prao.g_00506	Syao.g_00148
OG0000048	Prao.g_00509	Syao.g_02077
OG0000052	Prao.g_01358	Syao.g_01085
OG0000053	Prao.g_01417	Syao.g_00067
OG0000054	Prao.g_00044	Syao.g_00295, Syao.g_00625
OG0000055	Prao.g_00721	Syao.g_00498
OG0000057	Prao.g_00136	Syao.g_00377
OG0000059	Prao.g_01639	Syao.g_01801
OG0000061	Prao.g_01089	Syao.g_00123
OG0000062	Prao.g_01474	Syao.g_01576
OG0000063	Prao.g_00179	Syao.g_02230
OG0000065	Prao.g_00245	Syao.g_02600
OG0000067	Prao.g_00741	Syao.g_00756
OG0000068	Prao.g_01239	Syao.g_00868, Syao.g_00036
OG0000069	Prao.g_01508	Syao.g_01265, Syao.g_01460, Syao.g_00313
