Orthogroup	Prao	Prbh
OG0000000	Prao.g_01294	Prbh.g_01853
OG0000000	Prao.g_01515	Prbh.g_01903
OG0000001	Prao.g_01254	Prbh.g_00001
OG0000002	Prao.g_01246	Prbh.g_01016, Prbh.g_01022
OG0000002	Prao.g_00116	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prao.g_00133	Prbh.g_00933
OG0000004	Prao.g_00370	Prbh.g_00548
OG0000005	Prao.g_01472	Prbh.g_00182
OG0000006	Prao.g_00379	Prbh.g_00538
OG0000007	Prao.g_00603	Prbh.g_00334
OG0000007	Prao.g_01552	Prbh.g_01782
OG0000009	Prao.g_01342	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prao.g_00580	Prbh.g_00357
OG0000010	Prao.g_00985	Prbh.g_00848, Prbh.g_01143
OG0000012	Prao.g_00062	Prbh.g_01460
OG0000013	Prao.g_00463	Prbh.g_00452
OG0000014	Prao.g_01213	Prbh.g_00472
OG0000015	Prao.g_00703	Prbh.g_00840, Prbh.g_01869
OG0000017	Prao.g_00036	Prbh.g_00232, Prbh.g_00225
OG0000018	Prao.g_00768	Prbh.g_00981
OG0000018	Prao.g_01108	Prbh.g_01305
OG0000019	Prao.g_00387	Prbh.g_00530
OG0000019	Prao.g_00720	Prbh.g_01307
OG0000021	Prao.g_01346, Prao.g_00500	Prbh.g_00203, Prbh.g_00938
OG0000022	Prao.g_00699	Prbh.g_00190
OG0000023	Prao.g_00494	Prbh.g_00833
OG0000024	Prao.g_00683	Prbh.g_01147
OG0000024	Prao.g_00114	Prbh.g_00909
OG0000025	Prao.g_00467, Prao.g_00776	Prbh.g_00988
OG0000026	Prao.g_00992	Prbh.g_00749
OG0000028	Prao.g_01348	Prbh.g_00404
OG0000028	Prao.g_00456	Prbh.g_00459
OG0000029	Prao.g_00690	Prbh.g_01885
OG0000029	Prao.g_00510	Prbh.g_01691
OG0000030	Prao.g_01753	Prbh.g_01570
OG0000034	Prao.g_01266	Prbh.g_01383
OG0000035	Prao.g_01397	Prbh.g_00096, Prbh.g_00099
OG0000037	Prao.g_00247	Prbh.g_00674
OG0000038	Prao.g_01794	Prbh.g_01530
OG0000039	Prao.g_00124	Prbh.g_00921
OG0000040	Prao.g_01531	Prbh.g_01815
OG0000041	Prao.g_01598	Prbh.g_01734
OG0000042	Prao.g_01750	Prbh.g_01573
OG0000043	Prao.g_01331, Prao.g_00812	Prbh.g_01304
OG0000048	Prao.g_00509	Prbh.g_00508
OG0000053	Prao.g_01417	Prbh.g_00120, Prbh.g_01834
OG0000054	Prao.g_00044	Prbh.g_00223
OG0000055	Prao.g_00721	Prbh.g_01332, Prbh.g_01797
OG0000057	Prao.g_00136	Prbh.g_00936
OG0000058	Prao.g_01191	Prbh.g_00030
OG0000059	Prao.g_01639	Prbh.g_01695
OG0000061	Prao.g_01089	Prbh.g_01283
OG0000062	Prao.g_01474	Prbh.g_00184
OG0000065	Prao.g_00245	Prbh.g_00676
OG0000067	Prao.g_00741	Prbh.g_00953
OG0000068	Prao.g_01239	Prbh.g_00009
OG0000069	Prao.g_01508	Prbh.g_00376
OG0000070	Prao.g_00554	Prbh.g_00382
OG0000071	Prao.g_01276	Prbh.g_01373
OG0000072	Prao.g_00309	Prbh.g_00611
OG0000073	Prao.g_00605	Prbh.g_00051, Prbh.g_00330
OG0000074	Prao.g_00120	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828
OG0000075	Prao.g_01719	Prbh.g_01607
OG0000076	Prao.g_01743	Prbh.g_01581
OG0000077	Prao.g_00217	Prbh.g_00704
OG0000078	Prao.g_00377	Prbh.g_00540
OG0000079	Prao.g_00390	Prbh.g_00527
OG0000081	Prao.g_01860	Prbh.g_00298
OG0000082	Prao.g_00024	Prbh.g_01855
OG0000084	Prao.g_01393	Prbh.g_00093
OG0000085	Prao.g_01545	Prbh.g_01408
OG0000086	Prao.g_00227	Prbh.g_00695
OG0000087	Prao.g_00277	Prbh.g_00642
OG0000088	Prao.g_00304	Prbh.g_00616
OG0000089	Prao.g_00490	Prbh.g_00415
OG0000090	Prao.g_01858	Prbh.g_00296
OG0000091	Prao.g_00081	Prbh.g_01211
OG0000092	Prao.g_00850	Prbh.g_00883
OG0000093	Prao.g_00870	Prbh.g_01181
OG0000094	Prao.g_00955	Prbh.g_01130
OG0000095	Prao.g_00974	Prbh.g_01031
OG0000096	Prao.g_01142, Prao.g_01316	Prbh.g_01909, Prbh.g_01948
OG0000097	Prao.g_01048	Prbh.g_01236
OG0000098	Prao.g_01257	Prbh.g_01935
OG0000099	Prao.g_01214	Prbh.g_00032
OG0000100	Prao.g_01470	Prbh.g_00179
OG0000101	Prao.g_01687	Prbh.g_01644
OG0000102	Prao.g_01748	Prbh.g_01576
OG0000103	Prao.g_01828	Prbh.g_01489
OG0000104	Prao.g_01837	Prbh.g_01480
OG0000105	Prao.g_01378	Prbh.g_00505
OG0000106	Prao.g_00505	Prbh.g_00821
OG0000107	Prao.g_00518	Prbh.g_01718
OG0000108	Prao.g_00586	Prbh.g_00351
OG0000109	Prao.g_00600	Prbh.g_00337
OG0000110	Prao.g_01867	Prbh.g_00254
OG0000111	Prao.g_00137	Prbh.g_00937
OG0000112	Prao.g_00704	Prbh.g_01078
OG0000113	Prao.g_00763	Prbh.g_00976
OG0000114	Prao.g_00845	Prbh.g_00878
OG0000115	Prao.g_01150	Prbh.g_01344
OG0000116	Prao.g_01099	Prbh.g_01294
OG0000117	Prao.g_01332	Prbh.g_01255
