Orthogroup	Prao	Syar
OG0000001	Prao.g_01254	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prao.g_00133	Syar.g_02051
OG0000004	Prao.g_00370	Syar.g_02225, Syar.g_00842
OG0000005	Prao.g_01565	Syar.g_02952
OG0000005	Prao.g_01472	Syar.g_02909
OG0000006	Prao.g_00379	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prao.g_00603	Syar.g_01491
OG0000007	Prao.g_01552	Syar.g_02929
OG0000008	Prao.g_00111	Syar.g_00419, Syar.g_02048
OG0000010	Prao.g_00985	Syar.g_01272
OG0000012	Prao.g_00062	Syar.g_00690, Syar.g_02860
OG0000013	Prao.g_00463	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prao.g_01213	Syar.g_00825, Syar.g_02736
OG0000015	Prao.g_00703	Syar.g_00451, Syar.g_00180
OG0000016	Prao.g_00160	Syar.g_02859
OG0000017	Prao.g_00036	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prao.g_01108	Syar.g_01409
OG0000019	Prao.g_00387, Prao.g_00720	Syar.g_00163
OG0000022	Prao.g_01126	Syar.g_00835
OG0000025	Prao.g_00467, Prao.g_00776	Syar.g_01811
OG0000026	Prao.g_00177, Prao.g_00992	Syar.g_00505
OG0000027	Prao.g_00576, Prao.g_01293	Syar.g_02055, Syar.g_02835
OG0000028	Prao.g_01348, Prao.g_00456	Syar.g_00718
OG0000034	Prao.g_01266	Syar.g_00074, Syar.g_02790
OG0000035	Prao.g_01397	Syar.g_02809
OG0000037	Prao.g_00247	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prao.g_01794	Syar.g_00334, Syar.g_00336
OG0000039	Prao.g_00124	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prao.g_01531	Syar.g_02831
OG0000040	Prao.g_01109	Syar.g_00858
OG0000041	Prao.g_01598	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prao.g_01750	Syar.g_00595, Syar.g_01970
OG0000048	Prao.g_00509	Syar.g_00213
OG0000051	Prao.g_01304	Syar.g_01597
OG0000053	Prao.g_01417	Syar.g_01413
OG0000054	Prao.g_00044	Syar.g_02265
OG0000055	Prao.g_00721	Syar.g_01386
OG0000057	Prao.g_00136	Syar.g_01941, Syar.g_00006
OG0000059	Prao.g_01639	Syar.g_01024
OG0000061	Prao.g_01089	Syar.g_01539
OG0000062	Prao.g_01474	Syar.g_02911
OG0000063	Prao.g_00179	Syar.g_00509
OG0000065	Prao.g_00245	Syar.g_03119
OG0000067	Prao.g_00741	Syar.g_02639
OG0000068	Prao.g_01239	Syar.g_02329, Syar.g_01461
OG0000069	Prao.g_01508	Syar.g_01716
OG0000070	Prao.g_00554	Syar.g_02223, Syar.g_03150
OG0000071	Prao.g_01276	Syar.g_02777
OG0000072	Prao.g_00309	Syar.g_00107, Syar.g_01140
OG0000073	Prao.g_00605	Syar.g_01364, Syar.g_01493
OG0000075	Prao.g_01719	Syar.g_03065, Syar.g_00659
OG0000076	Prao.g_01743	Syar.g_00608
OG0000077	Prao.g_00217	Syar.g_03051
OG0000078	Prao.g_00377	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Prao.g_00390	Syar.g_00166
OG0000081	Prao.g_01860	Syar.g_01898
OG0000082	Prao.g_00024	Syar.g_02202
OG0000085	Prao.g_01545	Syar.g_02919
OG0000086	Prao.g_00227	Syar.g_03085
OG0000087	Prao.g_00277	Syar.g_03192, Syar.g_00068
OG0000088	Prao.g_00304	Syar.g_00101
OG0000089	Prao.g_00490	Syar.g_01162
OG0000090	Prao.g_01858	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prao.g_00081	Syar.g_01891, Syar.g_02426
OG0000093	Prao.g_00870	Syar.g_02623
OG0000094	Prao.g_00955	Syar.g_01789
OG0000095	Prao.g_00974	Syar.g_01932
OG0000097	Prao.g_01048	Syar.g_01706, Syar.g_00364
OG0000098	Prao.g_01257	Syar.g_02343
OG0000099	Prao.g_01214	Syar.g_00715
OG0000100	Prao.g_01470	Syar.g_02477
OG0000101	Prao.g_01687	Syar.g_01073, Syar.g_03154
OG0000102	Prao.g_01748	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prao.g_01828	Syar.g_00014, Syar.g_00452
OG0000104	Prao.g_01837	Syar.g_00466
OG0000105	Prao.g_01378	Syar.g_00218
OG0000106	Prao.g_00505	Syar.g_01748
OG0000107	Prao.g_00518	Syar.g_03290, Syar.g_00149
OG0000108	Prao.g_00586	Syar.g_01469
OG0000109	Prao.g_00600	Syar.g_03310, Syar.g_01485
OG0000110	Prao.g_01867	Syar.g_02295
OG0000111	Prao.g_00137	Syar.g_01940, Syar.g_00005
OG0000112	Prao.g_00704	Syar.g_03195, Syar.g_02548
OG0000113	Prao.g_00763	Syar.g_02664
OG0000114	Prao.g_00845	Syar.g_01616
OG0000115	Prao.g_01150	Syar.g_02854, Syar.g_01415
OG0000116	Prao.g_01099	Syar.g_01525, Syar.g_02255
OG0000117	Prao.g_01332	Syar.g_01969
OG0000118	Prao.g_01264	Syar.g_02793
OG0000120	Prao.g_01215	Syar.g_00713
OG0000121	Prao.g_01399	Syar.g_02806
OG0000123	Prao.g_01694	Syar.g_01079
OG0000124	Prao.g_01759	Syar.g_00586
OG0000125	Prao.g_01796	Syar.g_00338
OG0000126	Prao.g_01836	Syar.g_00887, Syar.g_00888
OG0000128	Prao.g_00158	Syar.g_00482
OG0000129	Prao.g_00190	Syar.g_00324
OG0000130	Prao.g_00208	Syar.g_03040
OG0000131	Prao.g_00283	Syar.g_02216, Syar.g_00078
OG0000132	Prao.g_00302	Syar.g_00099
OG0000133	Prao.g_00458	Syar.g_02543
OG0000134	Prao.g_00491	Syar.g_02009, Syar.g_01165
OG0000135	Prao.g_00516	Syar.g_00698
OG0000136	Prao.g_00545	Syar.g_02874
OG0000137	Prao.g_00581	Syar.g_01273
OG0000138	Prao.g_00601	Syar.g_01486
OG0000139	Prao.g_01854	Syar.g_03245, Syar.g_02348
OG0000140	Prao.g_01853	Syar.g_02344, Syar.g_03246
OG0000141	Prao.g_00045	Syar.g_02129
OG0000142	Prao.g_00074	Syar.g_02418
OG0000143	Prao.g_00078	Syar.g_02422
OG0000144	Prao.g_00091	Syar.g_02441
OG0000145	Prao.g_00701	Syar.g_01494, Syar.g_03205
OG0000146	Prao.g_00705	Syar.g_02549
OG0000147	Prao.g_00706	Syar.g_02550
OG0000148	Prao.g_00757	Syar.g_02658
OG0000149	Prao.g_00788	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prao.g_00796	Syar.g_02130
OG0000151	Prao.g_00855	Syar.g_02038
OG0000152	Prao.g_00902	Syar.g_02539
OG0000153	Prao.g_00921	Syar.g_03283, Syar.g_02503
OG0000154	Prao.g_00948	Syar.g_01800
OG0000155	Prao.g_01069	Syar.g_01959
OG0000156	Prao.g_01287	Syar.g_01517
OG0000157	Prao.g_01286	Syar.g_01516
OG0000158	Prao.g_01220	Syar.g_00650
OG0000160	Prao.g_01398	Syar.g_02807
OG0000161	Prao.g_01404	Syar.g_02801
OG0000162	Prao.g_01410	Syar.g_02863
OG0000163	Prao.g_01443	Syar.g_00639, Syar.g_01186
OG0000164	Prao.g_01576	Syar.g_03168, Syar.g_02969
OG0000165	Prao.g_01583	Syar.g_02976
OG0000166	Prao.g_01651	Syar.g_01034
OG0000167	Prao.g_01717	Syar.g_00662
OG0000168	Prao.g_01727	Syar.g_00246
OG0000169	Prao.g_01737	Syar.g_00262
OG0000170	Prao.g_01739	Syar.g_00613
OG0000171	Prao.g_01758	Syar.g_00587
OG0000172	Prao.g_01767	Syar.g_00547
OG0000173	Prao.g_01782	Syar.g_00528
OG0000174	Prao.g_01810	Syar.g_00701
OG0000175	Prao.g_01820	Syar.g_00438
OG0000176	Prao.g_01845	Syar.g_00474
OG0000177	Prao.g_01846	Syar.g_00475
OG0000178	Prao.g_01847	Syar.g_00476
OG0000179	Prao.g_00163	Syar.g_00489
OG0000180	Prao.g_00164	Syar.g_00490
OG0000181	Prao.g_00165	Syar.g_00491
OG0000182	Prao.g_00166	Syar.g_00492
OG0000183	Prao.g_00170	Syar.g_00496
OG0000184	Prao.g_00192	Syar.g_00897
OG0000185	Prao.g_00195	Syar.g_00909
OG0000186	Prao.g_00203	Syar.g_03036
OG0000187	Prao.g_00204	Syar.g_03038
OG0000188	Prao.g_00221	Syar.g_03058
OG0000189	Prao.g_00235	Syar.g_03104
OG0000190	Prao.g_00236	Syar.g_03107, Syar.g_02374
OG0000191	Prao.g_00256	Syar.g_00039
OG0000192	Prao.g_00260	Syar.g_00046
OG0000193	Prao.g_00284	Syar.g_00079
OG0000194	Prao.g_00287	Syar.g_03236, Syar.g_00082
OG0000195	Prao.g_00289	Syar.g_00023, Syar.g_00084
OG0000196	Prao.g_00299	Syar.g_00096
OG0000197	Prao.g_00300	Syar.g_00097
OG0000198	Prao.g_00301	Syar.g_00098
