Orthogroup	Prac	Prax
OG0000000	Prac.g_00159	Prax.g_01917
OG0000000	Prac.g_00292	Prax.g_01608
OG0000000	Prac.g_00926	Prax.g_00259
OG0000000	Prac.g_00926	Prax.g_01609
OG0000000	Prac.g_00290	Prax.g_01919
OG0000001	Prac.g_00202	Prax.g_01878
OG0000002	Prac.g_00210	Prax.g_01870
OG0000002	Prac.g_00693	Prax.g_00964
OG0000004	Prac.g_00676	Prax.g_00947
OG0000004	Prac.g_01698	Prax.g_00986
OG0000005	Prac.g_00612	Prax.g_01546
OG0000005	Prac.g_00335	Prax.g_01652
OG0000006	Prac.g_01689	Prax.g_01972
OG0000007	Prac.g_00874	Prax.g_00704
OG0000007	Prac.g_00625	Prax.g_01559
OG0000008	Prac.g_00699	Prax.g_00970
OG0000009	Prac.g_00301	Prax.g_01617
OG0000010	Prac.g_01248	Prax.g_01212
OG0000010	Prac.g_01070	Prax.g_00728
OG0000011	Prac.g_00152	Prax.g_01930
OG0000011	Prac.g_00142	Prax.g_00454
OG0000012	Prac.g_00748	Prax.g_00082
OG0000013	Prac.g_01604	Prax.g_00846
OG0000014	Prac.g_01625	Prax.g_00869
OG0000015	Prac.g_00898	Prax.g_00523, Prax.g_00410
OG0000017	Prac.g_00773	Prax.g_00057
OG0000018	Prac.g_01004	Prax.g_00181
OG0000018	Prac.g_01448	Prax.g_00346
OG0000019	Prac.g_01681	Prax.g_00926
OG0000019	Prac.g_01496	Prax.g_00393
OG0000020	Prac.g_01037	Prax.g_00138
OG0000021	Prac.g_01169	Prax.g_00808
OG0000022	Prac.g_01510	Prax.g_00415
OG0000022	Prac.g_01022	Prax.g_00157
OG0000023	Prac.g_01174	Prax.g_00813
OG0000024	Prac.g_01525	Prax.g_00432
OG0000024	Prac.g_00696	Prax.g_00967
OG0000025	Prac.g_01441	Prax.g_00338
OG0000025	Prac.g_01600	Prax.g_00842
OG0000026	Prac.g_01916	Prax.g_00282
OG0000026	Prac.g_01241	Prax.g_01220
OG0000028	Prac.g_01611	Prax.g_00855
OG0000029	Prac.g_01158	Prax.g_00798
OG0000030	Prac.g_00050	Prax.g_01404
OG0000031	Prac.g_00249	Prax.g_01831
OG0000032	Prac.g_00242	Prax.g_01838
OG0000033	Prac.g_01761	Prax.g_01049
OG0000034	Prac.g_00185	Prax.g_01889
OG0000035	Prac.g_00411	Prax.g_01728, Prax.g_01733
OG0000037	Prac.g_01822	Prax.g_01110
OG0000038	Prac.g_00090	Prax.g_01445
OG0000039	Prac.g_00685	Prax.g_00956
OG0000040	Prac.g_00279	Prax.g_01591
OG0000040	Prac.g_01005	Prax.g_00180
OG0000041	Prac.g_00579	Prax.g_01512
OG0000042	Prac.g_00048	Prax.g_01401
OG0000043	Prac.g_01405	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Prac.g_01162	Prax.g_00802
OG0000047	Prac.g_01601	Prax.g_00843
OG0000048	Prac.g_01159	Prax.g_00799
OG0000049	Prac.g_01149	Prax.g_00791
OG0000049	Prac.g_01954	Prax.g_01958
OG0000049	Prac.g_00880	Prax.g_01960
OG0000050	Prac.g_01220	Prax.g_01240
OG0000053	Prac.g_00391	Prax.g_01708
OG0000054	Prac.g_00765	Prax.g_00065
OG0000055	Prac.g_01495	Prax.g_00392
OG0000057	Prac.g_00673	Prax.g_00944
OG0000058	Prac.g_00258	Prax.g_01823
OG0000059	Prac.g_00500	Prax.g_01286
OG0000061	Prac.g_00985	Prax.g_00200
OG0000062	Prac.g_00333	Prax.g_01650
OG0000063	Prac.g_01913	Prax.g_00280
OG0000065	Prac.g_01824	Prax.g_01112
OG0000066	Prac.g_00833	Prax.g_00662
OG0000068	Prac.g_00217	Prax.g_01863
OG0000069	Prac.g_00890, Prac.g_00300	Prax.g_01616
OG0000070	Prac.g_01097	Prax.g_00750
OG0000071	Prac.g_00175	Prax.g_01899
OG0000072	Prac.g_01759	Prax.g_01047
OG0000073	Prac.g_00872	Prax.g_00702
OG0000074	Prac.g_00689	Prax.g_00960
OG0000075	Prac.g_00017	Prax.g_01370
OG0000076	Prac.g_00041	Prax.g_01394
OG0000077	Prac.g_01853	Prax.g_00649
OG0000078	Prac.g_01691	Prax.g_00979
OG0000081	Prac.g_00841	Prax.g_00670
OG0000082	Prac.g_00788	Prax.g_00045
OG0000083	Prac.g_01529	Prax.g_00437
OG0000083	Prac.g_01536	Prax.g_00444
OG0000084	Prac.g_00415	Prax.g_01737
OG0000085	Prac.g_00632	Prax.g_01566
OG0000086	Prac.g_01843	Prax.g_00659
OG0000087	Prac.g_01792	Prax.g_01079
OG0000088	Prac.g_01764	Prax.g_01052
OG0000089	Prac.g_01178	Prax.g_00817
OG0000090	Prac.g_00839	Prax.g_00668
OG0000091	Prac.g_00729	Prax.g_00101
OG0000092	Prac.g_01379	Prax.g_00566
OG0000093	Prac.g_01359	Prax.g_00588
OG0000094	Prac.g_01275	Prax.g_01185
OG0000095	Prac.g_01256	Prax.g_01204
OG0000096	Prac.g_01958	Prax.g_00500
OG0000096	Prac.g_01035	Prax.g_00141
OG0000096	Prac.g_00139	Prax.g_01936
OG0000097	Prac.g_00944	Prax.g_00241
OG0000098	Prac.g_00199	Prax.g_01881
OG0000099	Prac.g_00256	Prax.g_01825
OG0000100	Prac.g_00337	Prax.g_01654
OG0000101	Prac.g_00548	Prax.g_01338
OG0000102	Prac.g_00046	Prax.g_01399
OG0000103	Prac.g_00123	Prax.g_01478
OG0000104	Prac.g_00131	Prax.g_01486
OG0000105	Prac.g_01657	Prax.g_00901
OG0000106	Prac.g_01163	Prax.g_00803
