Orthogroup	Prac	Pran
OG0000000	Prac.g_00159	Pran.g_00582
OG0000000	Prac.g_00292	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prac.g_00926	Pran.g_00001
OG0000000	Prac.g_00926	Pran.g_00602
OG0000000	Prac.g_00290	Pran.g_00894
OG0000002	Prac.g_00693	Pran.g_01500
OG0000004	Prac.g_00676	Pran.g_01483
OG0000004	Prac.g_01698	Pran.g_00200
OG0000005	Prac.g_00612	Pran.g_00983
OG0000005	Prac.g_00335	Pran.g_00657
OG0000006	Prac.g_01689	Pran.g_01951
OG0000007	Prac.g_00874	Pran.g_01681
OG0000007	Prac.g_00625	Pran.g_00970
OG0000008	Prac.g_00699	Pran.g_01506
OG0000009	Prac.g_00301	Pran.g_00615
OG0000009	Prac.g_01826	Pran.g_00328
OG0000010	Prac.g_01592, Prac.g_01248	Pran.g_00175
OG0000010	Prac.g_01070	Pran.g_01704
OG0000011	Prac.g_00142	Pran.g_01384
OG0000012	Prac.g_00748	Pran.g_01555
OG0000013	Prac.g_01604	Pran.g_01867
OG0000014	Prac.g_01625	Pran.g_01888
OG0000015	Prac.g_00898	Pran.g_01394
OG0000017	Prac.g_00773	Pran.g_01580
OG0000018	Prac.g_01004	Pran.g_00078
OG0000018	Prac.g_01448	Pran.g_01316
OG0000019	Prac.g_01681	Pran.g_01943
OG0000019	Prac.g_01496	Pran.g_01363
OG0000020	Prac.g_01037	Pran.g_00117
OG0000020	Prac.g_00875, Prac.g_01598	Pran.g_01804
OG0000021	Prac.g_01169	Pran.g_01829
OG0000022	Prac.g_01510	Pran.g_01401
OG0000022	Prac.g_01022	Pran.g_00097
OG0000023	Prac.g_01174	Pran.g_01834
OG0000024	Prac.g_01525	Pran.g_01420
OG0000024	Prac.g_00696	Pran.g_01503
OG0000025	Prac.g_01441	Pran.g_01309
OG0000025	Prac.g_01600	Pran.g_01863
OG0000026	Prac.g_01916	Pran.g_00393
OG0000026	Prac.g_01241	Pran.g_00168
OG0000027	Prac.g_01074	Pran.g_00583
OG0000028	Prac.g_01611	Pran.g_01874
OG0000030	Prac.g_00050	Pran.g_01170
OG0000031	Prac.g_00249	Pran.g_00753
OG0000033	Prac.g_01761	Pran.g_00263
OG0000034	Prac.g_00185	Pran.g_00866
OG0000035	Prac.g_00411	Pran.g_00733
OG0000037	Prac.g_01822	Pran.g_00324
OG0000038	Prac.g_00090	Pran.g_01210
OG0000039	Prac.g_00685	Pran.g_01492
OG0000040	Prac.g_00279	Pran.g_00923
OG0000040	Prac.g_01005	Pran.g_00079
OG0000041	Prac.g_00579	Pran.g_01016
OG0000042	Prac.g_00048	Pran.g_01167
OG0000043	Prac.g_01405	Pran.g_00179
OG0000044	Prac.g_00892	Pran.g_00949
OG0000045	Prac.g_01162	Pran.g_01823
OG0000047	Prac.g_01601	Pran.g_01864
OG0000048	Prac.g_01159	Pran.g_01820
OG0000049	Prac.g_01149	Pran.g_01811
OG0000049	Prac.g_00893	Pran.g_00586
OG0000049	Prac.g_01954	Pran.g_00526
OG0000050	Prac.g_01220	Pran.g_00149
OG0000053	Prac.g_01901, Prac.g_00391	Pran.g_00713
OG0000054	Prac.g_00765	Pran.g_01572
OG0000055	Prac.g_01495	Pran.g_01362
OG0000057	Prac.g_00673	Pran.g_01480
OG0000058	Prac.g_00258	Pran.g_00807
OG0000059	Prac.g_00500	Pran.g_01056
OG0000061	Prac.g_00985	Pran.g_00060
OG0000062	Prac.g_00333	Pran.g_00655
OG0000063	Prac.g_01913, Prac.g_01914	Pran.g_00391
OG0000065	Prac.g_01824	Pran.g_00326
OG0000066	Prac.g_00833	Pran.g_01639
OG0000067	Prac.g_01475	Pran.g_01343
OG0000068	Prac.g_00217	Pran.g_00841
OG0000069	Prac.g_00300	Pran.g_00614
OG0000070	Prac.g_01097	Pran.g_01727
OG0000071	Prac.g_00175	Pran.g_00938, Pran.g_00876
OG0000072	Prac.g_01759	Pran.g_00261
OG0000073	Prac.g_00872	Pran.g_01679
OG0000074	Prac.g_00689	Pran.g_01496
OG0000075	Prac.g_00017	Pran.g_01137
OG0000076	Prac.g_01904, Prac.g_00041	Pran.g_01160
OG0000077	Prac.g_01853	Pran.g_00354
OG0000078	Prac.g_01691	Pran.g_00194
OG0000081	Prac.g_00841	Pran.g_01647
OG0000082	Prac.g_00788	Pran.g_01593
OG0000083	Prac.g_01536	Pran.g_00576
OG0000084	Prac.g_00415	Pran.g_00737
OG0000085	Prac.g_00632	Pran.g_00963
OG0000086	Prac.g_01843	Pran.g_00344
OG0000087	Prac.g_01792	Pran.g_00295
OG0000088	Prac.g_01764	Pran.g_00266
OG0000089	Prac.g_01178	Pran.g_01839
OG0000090	Prac.g_00839	Pran.g_01645
OG0000091	Prac.g_00729	Pran.g_01536
OG0000092	Prac.g_01379	Pran.g_00434
OG0000093	Prac.g_01359	Pran.g_00455
OG0000094	Prac.g_01275	Pran.g_00549
OG0000095	Prac.g_01256	Pran.g_00903, Pran.g_00568
OG0000096	Prac.g_01958	Pran.g_00603
OG0000096	Prac.g_01035	Pran.g_00114
OG0000097	Prac.g_00944	Pran.g_00019
OG0000098	Prac.g_00199	Pran.g_00855
OG0000099	Prac.g_00256	Pran.g_00806
OG0000100	Prac.g_00337	Pran.g_00659
OG0000101	Prac.g_00548	Pran.g_01105
OG0000102	Prac.g_00046	Pran.g_01165
OG0000103	Prac.g_00123	Pran.g_01244
OG0000104	Prac.g_00131	Pran.g_01253
OG0000105	Prac.g_01657	Pran.g_01920
OG0000106	Prac.g_01163	Pran.g_01824
OG0000107	Prac.g_01148	Pran.g_01808
OG0000108	Prac.g_01064	Pran.g_01698
OG0000109	Prac.g_01050	Pran.g_01684
OG0000110	Prac.g_00798	Pran.g_01603
OG0000111	Prac.g_00672	Pran.g_01479
OG0000112	Prac.g_01507	Pran.g_01378
OG0000113	Prac.g_01453	Pran.g_01321
OG0000114	Prac.g_01384	Pran.g_00429
OG0000115	Prac.g_01040	Pran.g_00123
OG0000116	Prac.g_00995	Pran.g_00070
OG0000117	Prac.g_01955	Pran.g_01466
OG0000118	Prac.g_00187	Pran.g_00864
OG0000119	Prac.g_00213	Pran.g_00845
OG0000120	Prac.g_00248	Pran.g_00752
OG0000121	Prac.g_00409	Pran.g_00731
OG0000122	Prac.g_00371	Pran.g_00693
OG0000123	Prac.g_00554	Pran.g_01112
OG0000124	Prac.g_00056	Pran.g_01176
OG0000125	Prac.g_00092	Pran.g_01212
OG0000126	Prac.g_00130	Pran.g_01252
OG0000128	Prac.g_01936	Pran.g_01268
OG0000129	Prac.g_01888	Pran.g_00381
OG0000130	Prac.g_01862	Pran.g_00363
OG0000131	Prac.g_01785	Pran.g_00288
OG0000132	Prac.g_01766	Pran.g_00268
OG0000133	Prac.g_01609	Pran.g_01872
OG0000134	Prac.g_01177	Pran.g_01838
OG0000135	Prac.g_01150	Pran.g_01812
OG0000136	Prac.g_01106	Pran.g_01739
OG0000137	Prac.g_01069	Pran.g_01703
OG0000138	Prac.g_01049	Pran.g_01683
OG0000139	Prac.g_00835	Pran.g_01641
OG0000140	Prac.g_00834	Pran.g_01640
OG0000141	Prac.g_00764	Pran.g_01571
OG0000142	Prac.g_00736	Pran.g_01543
OG0000143	Prac.g_00732	Pran.g_01539
OG0000144	Prac.g_00719	Pran.g_01526
OG0000145	Prac.g_01508	Pran.g_01400
OG0000146	Prac.g_01506	Pran.g_01377
OG0000147	Prac.g_01505	Pran.g_01376
OG0000148	Prac.g_01459	Pran.g_01327
OG0000149	Prac.g_01429	Pran.g_01297
OG0000150	Prac.g_01421	Pran.g_01289
OG0000151	Prac.g_01374	Pran.g_00439
OG0000152	Prac.g_01327	Pran.g_00487
OG0000153	Prac.g_01308	Pran.g_00506
OG0000154	Prac.g_01282	Pran.g_00542
OG0000155	Prac.g_00965	Pran.g_00040
OG0000156	Prac.g_00164	Pran.g_00887
OG0000157	Prac.g_00165	Pran.g_00886
OG0000158	Prac.g_00447	Pran.g_00822
OG0000159	Prac.g_00452, Prac.g_00257	Pran.g_00808
OG0000160	Prac.g_00410	Pran.g_00732
OG0000161	Prac.g_00404	Pran.g_00726
OG0000162	Prac.g_00398	Pran.g_00720
OG0000163	Prac.g_00364	Pran.g_00686
OG0000164	Prac.g_00601	Pran.g_00994
OG0000165	Prac.g_00594	Pran.g_01001
OG0000166	Prac.g_00512	Pran.g_01069, Pran.g_01068
OG0000167	Prac.g_00015	Pran.g_01135
OG0000168	Prac.g_00025	Pran.g_01144
OG0000169	Prac.g_00035	Pran.g_01154
OG0000170	Prac.g_00037	Pran.g_01156
OG0000171	Prac.g_00055	Pran.g_01175
OG0000172	Prac.g_00063	Pran.g_01184
OG0000173	Prac.g_00078	Pran.g_01199
OG0000174	Prac.g_00105	Pran.g_01226
OG0000175	Prac.g_00115	Pran.g_01236
OG0000176	Prac.g_01943	Pran.g_01261
OG0000177	Prac.g_01942	Pran.g_01262
OG0000178	Prac.g_01941	Pran.g_01263
OG0000179	Prac.g_01931	Pran.g_00408
OG0000180	Prac.g_01930	Pran.g_00407
OG0000181	Prac.g_01929	Pran.g_00406
OG0000182	Prac.g_01928	Pran.g_00405
OG0000183	Prac.g_01924	Pran.g_00401
OG0000184	Prac.g_01885	Pran.g_00379
OG0000185	Prac.g_01882	Pran.g_00376
OG0000186	Prac.g_01867	Pran.g_00368
OG0000187	Prac.g_01866	Pran.g_00367
OG0000188	Prac.g_01849	Pran.g_00350
OG0000189	Prac.g_01835	Pran.g_00337
OG0000190	Prac.g_01834	Pran.g_00336
OG0000191	Prac.g_01814	Pran.g_00316
OG0000192	Prac.g_01810	Pran.g_00312
OG0000193	Prac.g_01784	Pran.g_00287
OG0000194	Prac.g_01781	Pran.g_00283
OG0000195	Prac.g_01779	Pran.g_00281
OG0000196	Prac.g_01769	Pran.g_00271
OG0000197	Prac.g_01768	Pran.g_00270
OG0000198	Prac.g_01767	Pran.g_00269
OG0000199	Prac.g_01760	Pran.g_00262
OG0000200	Prac.g_01746	Pran.g_00248
OG0000201	Prac.g_01738	Pran.g_00240
OG0000202	Prac.g_01737	Pran.g_00239
OG0000203	Prac.g_01736	Pran.g_00238
OG0000204	Prac.g_01735	Pran.g_00237
OG0000205	Prac.g_01728	Pran.g_00230
OG0000206	Prac.g_01723	Pran.g_00225
OG0000207	Prac.g_01721	Pran.g_00223
OG0000208	Prac.g_01720	Pran.g_00222
OG0000209	Prac.g_01711	Pran.g_00213
OG0000210	Prac.g_01710	Pran.g_00212
OG0000211	Prac.g_01697	Pran.g_00199
OG0000212	Prac.g_01690	Pran.g_00193
OG0000213	Prac.g_01674	Pran.g_01935
OG0000214	Prac.g_01664	Pran.g_01926
OG0000215	Prac.g_01639	Pran.g_01902
OG0000216	Prac.g_01637	Pran.g_01900
OG0000217	Prac.g_01634	Pran.g_01897
OG0000218	Prac.g_01632	Pran.g_01895
OG0000219	Prac.g_01631	Pran.g_01894
OG0000220	Prac.g_01630	Pran.g_01893
OG0000221	Prac.g_01629	Pran.g_01892
OG0000222	Prac.g_01621	Pran.g_01884
OG0000223	Prac.g_01608	Pran.g_01871
OG0000224	Prac.g_01606	Pran.g_01869
OG0000225	Prac.g_01188	Pran.g_01849
OG0000226	Prac.g_01184	Pran.g_01845
OG0000227	Prac.g_01182	Pran.g_01843
OG0000228	Prac.g_01179	Pran.g_01840
OG0000229	Prac.g_01111	Pran.g_01744
OG0000230	Prac.g_01109	Pran.g_01742
OG0000231	Prac.g_01098	Pran.g_01728
OG0000232	Prac.g_01089	Pran.g_01720
OG0000233	Prac.g_01082	Pran.g_01715
OG0000234	Prac.g_01068	Pran.g_01702
OG0000235	Prac.g_01065	Pran.g_01699
OG0000236	Prac.g_01051	Pran.g_01685
OG0000237	Prac.g_00865	Pran.g_01672
OG0000238	Prac.g_00859	Pran.g_01666
OG0000239	Prac.g_00847	Pran.g_01653
OG0000240	Prac.g_00846	Pran.g_01652
OG0000241	Prac.g_00842	Pran.g_01648
OG0000242	Prac.g_00840	Pran.g_01646
OG0000243	Prac.g_00829	Pran.g_01635
OG0000244	Prac.g_00826	Pran.g_01632
OG0000245	Prac.g_00824	Pran.g_01630
OG0000246	Prac.g_00820	Pran.g_01626
OG0000247	Prac.g_00810	Pran.g_01616
OG0000248	Prac.g_00808	Pran.g_01613
OG0000249	Prac.g_00806	Pran.g_01611
OG0000250	Prac.g_00801	Pran.g_01606
OG0000251	Prac.g_00782	Pran.g_01587
OG0000252	Prac.g_00778	Pran.g_01584
OG0000253	Prac.g_00777	Pran.g_01583
OG0000254	Prac.g_00760	Pran.g_01567
