Orthogroup	Prac	Syai
OG0000001	Prac.g_00202, Prac.g_00924, Prac.g_00925	Syai.g_01716
OG0000002	Prac.g_00210, Prac.g_00693	Syai.g_01728
OG0000004	Prac.g_00676	Syai.g_01994
OG0000004	Prac.g_01698	Syai.g_01062, Syai.g_00530
OG0000005	Prac.g_00612	Syai.g_02393
OG0000005	Prac.g_00335	Syai.g_02356
OG0000006	Prac.g_01689	Syai.g_00317, Syai.g_00547
OG0000007	Prac.g_00874	Syai.g_00657
OG0000007	Prac.g_00625	Syai.g_02378
OG0000008	Prac.g_00904	Syai.g_01956
OG0000009	Prac.g_00301	Syai.g_01626
OG0000009	Prac.g_01826	Syai.g_02541
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syai.g_00864
OG0000011	Prac.g_00152	Syai.g_01894, Syai.g_00582
OG0000012	Prac.g_00748	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Prac.g_01604	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prac.g_01625	Syai.g_00220
OG0000015	Prac.g_00898	Syai.g_01246, Syai.g_01245
OG0000016	Prac.g_01934	Syai.g_00014
OG0000017	Prac.g_00773	Syai.g_00801
OG0000018	Prac.g_01004, Prac.g_01448	Syai.g_00915
OG0000019	Prac.g_01681, Prac.g_01496	Syai.g_00304
OG0000020	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598	Syai.g_00476
OG0000022	Prac.g_01510, Prac.g_01022	Syai.g_01159
OG0000023	Prac.g_01174	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prac.g_01525, Prac.g_00696	Syai.g_01951
OG0000025	Prac.g_01441, Prac.g_01600	Syai.g_02044
OG0000026	Prac.g_01916, Prac.g_01241	Syai.g_00038
OG0000027	Prac.g_01074	Syai.g_01128, Syai.g_01654
OG0000028	Prac.g_01611, Prac.g_00145	Syai.g_00205
OG0000029	Prac.g_01158	Syai.g_01035, Syai.g_01584
OG0000030	Prac.g_00050	Syai.g_00096, Syai.g_00095
OG0000033	Prac.g_01761	Syai.g_02634
OG0000034	Prac.g_00185	Syai.g_02192, Syai.g_02604
OG0000035	Prac.g_00411	Syai.g_00955
OG0000037	Prac.g_01822	Syai.g_02544, Syai.g_02815
OG0000038	Prac.g_00090	Syai.g_02780
OG0000039	Prac.g_00685	Syai.g_02034
OG0000041	Prac.g_00579	Syai.g_02265
