Orthogroup	Prac	Syaq
OG0000004	Prac.g_00676	Syaq.g_02603
OG0000004	Prac.g_01698	Syaq.g_02042, Syaq.g_01567
OG0000005	Prac.g_00612	Syaq.g_01658
OG0000005	Prac.g_00335	Syaq.g_01692
OG0000006	Prac.g_01689	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prac.g_00874	Syaq.g_01793
OG0000007	Prac.g_00625	Syaq.g_01673
OG0000008	Prac.g_00904	Syaq.g_02162
OG0000009	Prac.g_01826	Syaq.g_01489
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syaq.g_00443
OG0000011	Prac.g_00152, Prac.g_00142	Syaq.g_01038
OG0000012	Prac.g_00748	Syaq.g_02059
OG0000013	Prac.g_01604	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prac.g_01625	Syaq.g_00862
OG0000015	Prac.g_00898	Syaq.g_02255
OG0000016	Prac.g_01934	Syaq.g_01136
OG0000017	Prac.g_00773	Syaq.g_01992
OG0000018	Prac.g_01004, Prac.g_01448	Syaq.g_00401
OG0000019	Prac.g_01681, Prac.g_01496	Syaq.g_00717
OG0000022	Prac.g_01510, Prac.g_01022	Syaq.g_02126
OG0000023	Prac.g_01174	Syaq.g_02540
OG0000025	Prac.g_01441, Prac.g_01600	Syaq.g_02381
OG0000026	Prac.g_01916, Prac.g_01241	Syaq.g_01114
OG0000028	Prac.g_01611, Prac.g_00145	Syaq.g_00878
OG0000030	Prac.g_00050	Syaq.g_01047, Syaq.g_01048
OG0000031	Prac.g_00249	Syaq.g_01009
OG0000033	Prac.g_01761	Syaq.g_01399
OG0000034	Prac.g_00185	Syaq.g_00312, Syaq.g_01431
OG0000035	Prac.g_00411	Syaq.g_00372
OG0000037	Prac.g_01822	Syaq.g_01483
OG0000038	Prac.g_00090	Syaq.g_01260, Syaq.g_01258
OG0000039	Prac.g_00685	Syaq.g_01601, Syaq.g_01241
OG0000042	Prac.g_00048	Syaq.g_00200, Syaq.g_01044
OG0000045	Prac.g_01162	Syaq.g_02047
OG0000048	Prac.g_01159	Syaq.g_00749
OG0000053	Prac.g_01901, Prac.g_00391	Syaq.g_00397
OG0000054	Prac.g_00765	Syaq.g_02005
OG0000055	Prac.g_01495	Syaq.g_02700
OG0000057	Prac.g_00673	Syaq.g_02605
OG0000058	Prac.g_00258, Prac.g_00434	Syaq.g_00944
OG0000059	Prac.g_00500	Syaq.g_00657
OG0000061	Prac.g_00985	Syaq.g_00249
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syaq.g_01110
OG0000065	Prac.g_01824	Syaq.g_01908, Syaq.g_01487
OG0000066	Prac.g_00833	Syaq.g_01851
OG0000067	Prac.g_01475	Syaq.g_02340
OG0000068	Prac.g_00217	Syaq.g_01763
OG0000070	Prac.g_01097	Syaq.g_00484
OG0000071	Prac.g_00175	Syaq.g_00297
OG0000072	Prac.g_01759	Syaq.g_01397
OG0000073	Prac.g_00872	Syaq.g_01795
OG0000075	Prac.g_00017	Syaq.g_00986
OG0000076	Prac.g_01904, Prac.g_00041	Syaq.g_01028
OG0000077	Prac.g_01853	Syaq.g_01547
OG0000078	Prac.g_01691	Syaq.g_01585
OG0000081	Prac.g_00841	Syaq.g_01893
OG0000082	Prac.g_00788	Syaq.g_01975
OG0000084	Prac.g_00415	Syaq.g_00367
OG0000085	Prac.g_00632	Syaq.g_01683
OG0000086	Prac.g_01843	Syaq.g_01525
OG0000087	Prac.g_01792	Syaq.g_01438
OG0000088	Prac.g_01764	Syaq.g_01402
OG0000089	Prac.g_01178	Syaq.g_00529
OG0000090	Prac.g_00839	Syaq.g_01838
OG0000091	Prac.g_00729	Syaq.g_02090
OG0000094	Prac.g_01275	Syaq.g_00056, Syaq.g_02554
OG0000097	Prac.g_00944	Syaq.g_00167
OG0000098	Prac.g_00199	Syaq.g_02221
OG0000099	Prac.g_00256	Syaq.g_00882
OG0000100	Prac.g_00337	Syaq.g_02371
OG0000101	Prac.g_00548	Syaq.g_00607
OG0000102	Prac.g_00046	Syaq.g_01033
OG0000103	Prac.g_00123	Syaq.g_01170
OG0000104	Prac.g_00131	Syaq.g_01154
OG0000105	Prac.g_01657	Syaq.g_00754
OG0000106	Prac.g_01163	Syaq.g_01863
OG0000108	Prac.g_01064	Syaq.g_01772
OG0000109	Prac.g_01050	Syaq.g_01788
OG0000110	Prac.g_00798	Syaq.g_01962
OG0000111	Prac.g_00672	Syaq.g_02606
OG0000112	Prac.g_01507	Syaq.g_02476
OG0000114	Prac.g_01384	Syaq.g_02269
OG0000115	Prac.g_01040	Syaq.g_00395
OG0000116	Prac.g_00995	Syaq.g_00263
OG0000117	Prac.g_01955	Syaq.g_00203
OG0000118	Prac.g_00187	Syaq.g_00325, Syaq.g_00316
OG0000120	Prac.g_00248	Syaq.g_00883
OG0000121	Prac.g_00409	Syaq.g_00375
OG0000122	Prac.g_00371	Syaq.g_02118
OG0000123	Prac.g_00554	Syaq.g_00599
OG0000124	Prac.g_00056	Syaq.g_01055
OG0000125	Prac.g_00092	Syaq.g_01256
OG0000126	Prac.g_00130	Syaq.g_01156
OG0000128	Prac.g_01936	Syaq.g_01138
OG0000129	Prac.g_01888	Syaq.g_01269
OG0000130	Prac.g_01862	Syaq.g_01559
OG0000131	Prac.g_01785	Syaq.g_01427, Syaq.g_01424
OG0000132	Prac.g_01766	Syaq.g_01404
OG0000133	Prac.g_01609	Syaq.g_02481
OG0000134	Prac.g_01177	Syaq.g_00526
OG0000135	Prac.g_01150	Syaq.g_01227
OG0000136	Prac.g_01106	Syaq.g_00496
OG0000137	Prac.g_01069	Syaq.g_00442
OG0000138	Prac.g_01049	Syaq.g_01789
OG0000139	Prac.g_00835	Syaq.g_01844
OG0000140	Prac.g_00834	Syaq.g_01848
OG0000141	Prac.g_00764	Syaq.g_02010
OG0000142	Prac.g_00736	Syaq.g_02082
OG0000143	Prac.g_00732	Syaq.g_02086
OG0000144	Prac.g_00719	Syaq.g_02152
OG0000145	Prac.g_01508	Syaq.g_01796
OG0000146	Prac.g_01506	Syaq.g_02475
OG0000147	Prac.g_01505	Syaq.g_02474
OG0000148	Prac.g_01459	Syaq.g_02359
OG0000149	Prac.g_01429	Syaq.g_02395
OG0000150	Prac.g_01421	Syaq.g_02011
OG0000151	Prac.g_01374	Syaq.g_02283
OG0000152	Prac.g_01327	Syaq.g_02485
OG0000153	Prac.g_01308	Syaq.g_02518
OG0000154	Prac.g_01282	Syaq.g_00066
OG0000155	Prac.g_00965	Syaq.g_00212
OG0000156	Prac.g_00164	Syaq.g_00281
OG0000157	Prac.g_00165	Syaq.g_00282
OG0000158	Prac.g_00447	Syaq.g_01003
OG0000159	Prac.g_00452	Syaq.g_00918
OG0000160	Prac.g_00410	Syaq.g_00374
OG0000161	Prac.g_00404	Syaq.g_00382
OG0000162	Prac.g_00398	Syaq.g_00389
OG0000163	Prac.g_00364	Syaq.g_01730
OG0000164	Prac.g_00601	Syaq.g_01642
OG0000165	Prac.g_00594	Syaq.g_01630
OG0000166	Prac.g_00512	Syaq.g_00647
OG0000167	Prac.g_00015	Syaq.g_00983
OG0000168	Prac.g_00025	Syaq.g_01004
OG0000169	Prac.g_00035	Syaq.g_01016
OG0000170	Prac.g_00037	Syaq.g_01023
OG0000171	Prac.g_00055	Syaq.g_01052
OG0000172	Prac.g_00063	Syaq.g_01074
OG0000173	Prac.g_00078	Syaq.g_01092
OG0000174	Prac.g_00105	Syaq.g_01224
OG0000175	Prac.g_00115	Syaq.g_01183
OG0000176	Prac.g_01943	Syaq.g_01146
OG0000177	Prac.g_01942	Syaq.g_01145
OG0000178	Prac.g_01941	Syaq.g_01144
OG0000179	Prac.g_01931	Syaq.g_01129
OG0000180	Prac.g_01930	Syaq.g_01128
OG0000181	Prac.g_01929	Syaq.g_01127
OG0000182	Prac.g_01928	Syaq.g_01126
OG0000183	Prac.g_01924	Syaq.g_01122
OG0000184	Prac.g_01885	Syaq.g_01277
OG0000185	Prac.g_01882	Syaq.g_01290
OG0000186	Prac.g_01867	Syaq.g_01563
OG0000187	Prac.g_01866	Syaq.g_01561
OG0000188	Prac.g_01849	Syaq.g_01539
OG0000189	Prac.g_01835	Syaq.g_01499
OG0000190	Prac.g_01834	Syaq.g_01497
OG0000191	Prac.g_01814	Syaq.g_01467
OG0000192	Prac.g_01810	Syaq.g_01462
OG0000193	Prac.g_01784	Syaq.g_01423
OG0000194	Prac.g_01781	Syaq.g_01420
OG0000195	Prac.g_01779	Syaq.g_01418
OG0000196	Prac.g_01769	Syaq.g_01407
OG0000197	Prac.g_01768	Syaq.g_01406
OG0000198	Prac.g_01767	Syaq.g_01405
OG0000199	Prac.g_01760	Syaq.g_01398
OG0000200	Prac.g_01746	Syaq.g_01382
OG0000201	Prac.g_01738	Syaq.g_01365
OG0000202	Prac.g_01737	Syaq.g_01364
OG0000203	Prac.g_01736	Syaq.g_01363
OG0000204	Prac.g_01735	Syaq.g_01362
OG0000205	Prac.g_01728	Syaq.g_01355
OG0000206	Prac.g_01723	Syaq.g_01345
OG0000207	Prac.g_01721	Syaq.g_01338
OG0000208	Prac.g_01720	Syaq.g_01337
OG0000209	Prac.g_01711	Syaq.g_01310
OG0000210	Prac.g_01710	Syaq.g_01309
OG0000211	Prac.g_01697	Syaq.g_01570
OG0000212	Prac.g_01690	Syaq.g_01586
OG0000213	Prac.g_01674	Syaq.g_00729
OG0000214	Prac.g_01664	Syaq.g_00745
OG0000215	Prac.g_01639	Syaq.g_00777
OG0000216	Prac.g_01637	Syaq.g_00781
OG0000217	Prac.g_01634	Syaq.g_00844
OG0000218	Prac.g_01632	Syaq.g_00846
OG0000219	Prac.g_01631	Syaq.g_00847
OG0000220	Prac.g_01630	Syaq.g_00848
OG0000221	Prac.g_01629	Syaq.g_00856
OG0000222	Prac.g_01621	Syaq.g_00868
OG0000223	Prac.g_01608	Syaq.g_00946
OG0000224	Prac.g_01606	Syaq.g_00950
OG0000225	Prac.g_01188	Syaq.g_00543
OG0000226	Prac.g_01184	Syaq.g_00536
OG0000227	Prac.g_01182	Syaq.g_00534
OG0000228	Prac.g_01179	Syaq.g_00531
OG0000229	Prac.g_01111	Syaq.g_00501
OG0000230	Prac.g_01109	Syaq.g_00499
OG0000231	Prac.g_01098	Syaq.g_00485
OG0000232	Prac.g_01089	Syaq.g_00472
OG0000233	Prac.g_01082	Syaq.g_00464
OG0000234	Prac.g_01068	Syaq.g_00440
OG0000235	Prac.g_01065	Syaq.g_01771
OG0000236	Prac.g_01051	Syaq.g_01787
OG0000237	Prac.g_00865	Syaq.g_01805
OG0000238	Prac.g_00859	Syaq.g_01810
OG0000239	Prac.g_00847	Syaq.g_01826
OG0000240	Prac.g_00846	Syaq.g_01827
OG0000241	Prac.g_00842	Syaq.g_02074
OG0000242	Prac.g_00840	Syaq.g_01836
OG0000243	Prac.g_00829	Syaq.g_01922
OG0000244	Prac.g_00826	Syaq.g_01928
OG0000245	Prac.g_00824	Syaq.g_01930
OG0000246	Prac.g_00820	Syaq.g_01934
OG0000247	Prac.g_00810	Syaq.g_01945
OG0000248	Prac.g_00808	Syaq.g_01948
OG0000249	Prac.g_00806	Syaq.g_01950
OG0000250	Prac.g_00801	Syaq.g_01958
OG0000251	Prac.g_00782	Syaq.g_01984
OG0000252	Prac.g_00778	Syaq.g_01987
OG0000253	Prac.g_00777	Syaq.g_01989
OG0000254	Prac.g_00760	Syaq.g_02016
