Orthogroup	Prac	Syam
OG0000001	Prac.g_00202, Prac.g_00924, Prac.g_00925	Syam.g_00946
OG0000002	Prac.g_00210, Prac.g_00693	Syam.g_00931
OG0000004	Prac.g_00676	Syam.g_00787
OG0000004	Prac.g_01698	Syam.g_01499, Syam.g_00501
OG0000005	Prac.g_00612	Syam.g_02004
OG0000005	Prac.g_00335	Syam.g_01970
OG0000006	Prac.g_01689	Syam.g_00286, Syam.g_00518
OG0000007	Prac.g_00874	Syam.g_00602
OG0000007	Prac.g_00625	Syam.g_01990
OG0000008	Prac.g_00904	Syam.g_00810
OG0000009	Prac.g_01826	Syam.g_02119
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syam.g_01669
OG0000012	Prac.g_00748	Syam.g_00794, Syam.g_00994, Syam.g_01492
OG0000013	Prac.g_01604	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prac.g_01625	Syam.g_00191
OG0000015	Prac.g_00898	Syam.g_01218, Syam.g_01362
OG0000016	Prac.g_01934	Syam.g_00014
OG0000017	Prac.g_00773	Syam.g_01715
OG0000018	Prac.g_01004, Prac.g_01448	Syam.g_01640
OG0000019	Prac.g_01681, Prac.g_01496	Syam.g_00274
OG0000022	Prac.g_01510, Prac.g_01022	Syam.g_01418
OG0000023	Prac.g_01174	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prac.g_01525, Prac.g_00696	Syam.g_00815
OG0000025	Prac.g_01441, Prac.g_01600	Syam.g_00740
OG0000026	Prac.g_01916, Prac.g_01241	Syam.g_00035
OG0000027	Prac.g_01074	Syam.g_01442, Syam.g_00989
OG0000028	Prac.g_01611, Prac.g_00145	Syam.g_00176
OG0000029	Prac.g_01158	Syam.g_01390, Syam.g_01055
OG0000030	Prac.g_00050	Syam.g_00104, Syam.g_00103
OG0000031	Prac.g_00249	Syam.g_00086
OG0000032	Prac.g_00242	Syam.g_00079
OG0000033	Prac.g_01761	Syam.g_02217
OG0000034	Prac.g_00185	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prac.g_00411	Syam.g_01612
OG0000037	Prac.g_01822	Syam.g_02125
OG0000038	Prac.g_00090	Syam.g_02317
OG0000039	Prac.g_00685	Syam.g_00749
OG0000041	Prac.g_00579	Syam.g_01899
OG0000042	Prac.g_00048	Syam.g_00107
OG0000044	Prac.g_00892	Syam.g_01562
OG0000045	Prac.g_01162	Syam.g_02028
OG0000047	Prac.g_01127, Prac.g_01601	Syam.g_00434
OG0000048	Prac.g_01159	Syam.g_00243
OG0000053	Prac.g_01901, Prac.g_00391	Syam.g_01636
OG0000054	Prac.g_00765	Syam.g_01515
OG0000055	Prac.g_01495	Syam.g_00754
OG0000057	Prac.g_00673	Syam.g_00784
OG0000058	Prac.g_00258, Prac.g_00434	Syam.g_00169
OG0000059	Prac.g_00500	Syam.g_00320
OG0000061	Prac.g_00985	Syam.g_01795
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syam.g_00039
OG0000065	Prac.g_01824	Syam.g_02121
OG0000066	Prac.g_00833	Syam.g_00552, Syam.g_00662
OG0000067	Prac.g_01475	Syam.g_01290
OG0000068	Prac.g_00217	Syam.g_00575
OG0000070	Prac.g_01097	Syam.g_01847
OG0000071	Prac.g_00175	Syam.g_01830
OG0000072	Prac.g_01759	Syam.g_02219
OG0000073	Prac.g_00872	Syam.g_00604
OG0000075	Prac.g_00017	Syam.g_00148
OG0000076	Prac.g_01904, Prac.g_00041	Syam.g_00115
OG0000077	Prac.g_01853	Syam.g_02074
OG0000078	Prac.g_01691	Syam.g_00514
OG0000081	Prac.g_00841	Syam.g_00520
OG0000082	Prac.g_00788	Syam.g_01730
OG0000085	Prac.g_00632	Syam.g_01979
OG0000086	Prac.g_01843	Syam.g_02092
OG0000087	Prac.g_01792	Syam.g_02175
OG0000088	Prac.g_01764	Syam.g_02213
OG0000089	Prac.g_01178	Syam.g_00489
OG0000090	Prac.g_00839	Syam.g_00651
OG0000091	Prac.g_00729	Syam.g_01460
OG0000094	Prac.g_01275	Syam.g_01198
OG0000097	Prac.g_00944	Syam.g_00874
OG0000098	Prac.g_00199	Syam.g_00944
OG0000099	Prac.g_00256	Syam.g_00173
OG0000100	Prac.g_00337	Syam.g_01259
OG0000101	Prac.g_00548	Syam.g_00371
OG0000102	Prac.g_00046	Syam.g_00110
OG0000103	Prac.g_00123	Syam.g_02428
OG0000104	Prac.g_00131	Syam.g_02442
OG0000105	Prac.g_01657	Syam.g_00238
OG0000106	Prac.g_01163	Syam.g_01039
OG0000107	Prac.g_01148	Syam.g_00288
OG0000108	Prac.g_01064	Syam.g_00583
OG0000109	Prac.g_01050	Syam.g_00598
OG0000110	Prac.g_00798	Syam.g_01743
OG0000112	Prac.g_01507	Syam.g_01115
OG0000113	Prac.g_01453	Syam.g_01264
OG0000114	Prac.g_01384	Syam.g_01349
OG0000115	Prac.g_01040	Syam.g_01634
OG0000116	Prac.g_00995	Syam.g_01807
OG0000117	Prac.g_01955	Syam.g_00904
OG0000118	Prac.g_00187	Syam.g_01698
OG0000120	Prac.g_00248	Syam.g_00172
OG0000121	Prac.g_00409	Syam.g_01615
OG0000122	Prac.g_00371	Syam.g_01436
OG0000123	Prac.g_00554	Syam.g_00379
OG0000124	Prac.g_00056	Syam.g_00096
OG0000125	Prac.g_00092	Syam.g_02319
OG0000126	Prac.g_00130	Syam.g_02440
OG0000128	Prac.g_01936	Syam.g_00012
OG0000129	Prac.g_01888	Syam.g_02307
OG0000130	Prac.g_01862	Syam.g_02062
OG0000131	Prac.g_01785	Syam.g_02191
OG0000132	Prac.g_01766	Syam.g_02211
OG0000133	Prac.g_01609	Syam.g_01120
OG0000134	Prac.g_01177	Syam.g_00492
OG0000135	Prac.g_01150	Syam.g_02347
OG0000136	Prac.g_01106	Syam.g_01857
OG0000137	Prac.g_01069	Syam.g_01668
OG0000138	Prac.g_01049	Syam.g_00599
OG0000139	Prac.g_00835	Syam.g_00657
OG0000140	Prac.g_00834	Syam.g_00659
OG0000141	Prac.g_00764	Syam.g_01514
OG0000142	Prac.g_00736	Syam.g_01468
OG0000143	Prac.g_00732	Syam.g_01464
OG0000144	Prac.g_00719	Syam.g_01032
OG0000145	Prac.g_01508	Syam.g_00605
OG0000146	Prac.g_01506	Syam.g_01114
OG0000147	Prac.g_01505	Syam.g_01113
OG0000148	Prac.g_01459	Syam.g_01270
OG0000149	Prac.g_01429	Syam.g_00725
OG0000150	Prac.g_01421	Syam.g_00660
OG0000151	Prac.g_01374	Syam.g_01338
OG0000152	Prac.g_01327	Syam.g_01124
OG0000153	Prac.g_01308	Syam.g_01160
OG0000154	Prac.g_01282	Syam.g_01187
OG0000155	Prac.g_00965	Syam.g_01763
OG0000156	Prac.g_00164	Syam.g_01814
OG0000157	Prac.g_00165	Syam.g_01815
OG0000158	Prac.g_00447	Syam.g_00139
OG0000160	Prac.g_00410	Syam.g_01614
OG0000161	Prac.g_00404	Syam.g_01620
OG0000162	Prac.g_00398	Syam.g_01627
OG0000163	Prac.g_00364	Syam.g_01927
OG0000164	Prac.g_00601	Syam.g_02023
OG0000165	Prac.g_00594	Syam.g_01879, Syam.g_01878
OG0000166	Prac.g_00512	Syam.g_00330
OG0000167	Prac.g_00015	Syam.g_00151
OG0000168	Prac.g_00025	Syam.g_00138
OG0000169	Prac.g_00035	Syam.g_00127
OG0000170	Prac.g_00037	Syam.g_00120
OG0000171	Prac.g_00055	Syam.g_00097
OG0000172	Prac.g_00063	Syam.g_00075
OG0000173	Prac.g_00078	Syam.g_00057
OG0000174	Prac.g_00105	Syam.g_02349
OG0000175	Prac.g_00115	Syam.g_02417
OG0000176	Prac.g_01943	Syam.g_00004
OG0000177	Prac.g_01942	Syam.g_00005
OG0000178	Prac.g_01941	Syam.g_00006
OG0000179	Prac.g_01931	Syam.g_00021
OG0000180	Prac.g_01930	Syam.g_00022
OG0000181	Prac.g_01929	Syam.g_00023
OG0000182	Prac.g_01928	Syam.g_00024
OG0000183	Prac.g_01924	Syam.g_00028
OG0000184	Prac.g_01885	Syam.g_02298
OG0000185	Prac.g_01882	Syam.g_02295
OG0000186	Prac.g_01867	Syam.g_02058
OG0000187	Prac.g_01866	Syam.g_02059
OG0000188	Prac.g_01849	Syam.g_02081
OG0000189	Prac.g_01835	Syam.g_02108
OG0000190	Prac.g_01834	Syam.g_02110
OG0000191	Prac.g_01814	Syam.g_02142
OG0000192	Prac.g_01810	Syam.g_02148
OG0000193	Prac.g_01784	Syam.g_02192
OG0000194	Prac.g_01781	Syam.g_02195
OG0000195	Prac.g_01779	Syam.g_02197
OG0000196	Prac.g_01769	Syam.g_02208
OG0000197	Prac.g_01768	Syam.g_02209
OG0000198	Prac.g_01767	Syam.g_02210
OG0000199	Prac.g_01760	Syam.g_02218
OG0000200	Prac.g_01746	Syam.g_02234
OG0000202	Prac.g_01737	Syam.g_02249
OG0000203	Prac.g_01736	Syam.g_02250
OG0000204	Prac.g_01735	Syam.g_02251
OG0000205	Prac.g_01728	Syam.g_02258
OG0000206	Prac.g_01723	Syam.g_02264
OG0000207	Prac.g_01721	Syam.g_02266
OG0000208	Prac.g_01720	Syam.g_02267
OG0000209	Prac.g_01711	Syam.g_02278
OG0000210	Prac.g_01710	Syam.g_02279
OG0000212	Prac.g_01690	Syam.g_00515
OG0000213	Prac.g_01674	Syam.g_00263
OG0000214	Prac.g_01664	Syam.g_00247
OG0000215	Prac.g_01639	Syam.g_00216
OG0000216	Prac.g_01637	Syam.g_00212
OG0000217	Prac.g_01634	Syam.g_00208
OG0000218	Prac.g_01632	Syam.g_00206
OG0000219	Prac.g_01631	Syam.g_00205
