Orthogroup	Prac	Syap
OG0000004	Prac.g_01698	Syap.g_01987
OG0000005	Prac.g_00612	Syap.g_01773
OG0000005	Prac.g_00335	Syap.g_01218
OG0000007	Prac.g_00874	Syap.g_00275
OG0000007	Prac.g_00625	Syap.g_00621
OG0000009	Prac.g_01826	Syap.g_02081
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syap.g_02757
OG0000013	Prac.g_01604	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prac.g_01625	Syap.g_01675
OG0000016	Prac.g_01934	Syap.g_00071
OG0000017	Prac.g_00773	Syap.g_00449
OG0000018	Prac.g_01004, Prac.g_01448	Syap.g_02010
OG0000019	Prac.g_01681, Prac.g_01496	Syap.g_01586
OG0000025	Prac.g_01441, Prac.g_01600	Syap.g_01846
OG0000027	Prac.g_01074	Syap.g_01440
OG0000028	Prac.g_01611, Prac.g_00145	Syap.g_01658
OG0000030	Prac.g_00050	Syap.g_00787, Syap.g_00788
OG0000031	Prac.g_00249	Syap.g_00722
OG0000032	Prac.g_00242	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prac.g_01761	Syap.g_01198
OG0000034	Prac.g_00185	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prac.g_00411	Syap.g_02465
OG0000037	Prac.g_01822	Syap.g_02492
OG0000038	Prac.g_00090	Syap.g_00139
OG0000039	Prac.g_00685	Syap.g_01749, Syap.g_01748
OG0000042	Prac.g_00048	Syap.g_01891, Syap.g_01120
OG0000043	Prac.g_01405	Syap.g_01998
OG0000044	Prac.g_00892	Syap.g_00378
OG0000045	Prac.g_01576, Prac.g_01162	Syap.g_02525
OG0000048	Prac.g_01159	Syap.g_02340
OG0000053	Prac.g_01901, Prac.g_00391	Syap.g_02006
OG0000054	Prac.g_00765	Syap.g_00678
OG0000059	Prac.g_00500	Syap.g_01082, Syap.g_02478
OG0000061	Prac.g_00985	Syap.g_00228
OG0000062	Prac.g_00333	Syap.g_01365
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syap.g_01796
OG0000066	Prac.g_00833	Syap.g_01972
OG0000067	Prac.g_01475	Syap.g_00194
OG0000068	Prac.g_00217	Syap.g_00108, Syap.g_00144
OG0000070	Prac.g_01097	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prac.g_01759	Syap.g_00555
OG0000073	Prac.g_00872	Syap.g_00273, Syap.g_01020
OG0000075	Prac.g_00017	Syap.g_01064, Syap.g_00664
OG0000076	Prac.g_01904, Prac.g_00041	Syap.g_01111
OG0000085	Prac.g_00632	Syap.g_00611
OG0000087	Prac.g_01792	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prac.g_01764	Syap.g_01202
OG0000089	Prac.g_01178	Syap.g_00115, Syap.g_02042
OG0000090	Prac.g_00839	Syap.g_01451
OG0000091	Prac.g_00729	Syap.g_01861
OG0000094	Prac.g_01275	Syap.g_02781
OG0000095	Prac.g_01256	Syap.g_01556
OG0000098	Prac.g_00199	Syap.g_01975
OG0000099	Prac.g_00256	Syap.g_01385
OG0000101	Prac.g_00548	Syap.g_00472
OG0000102	Prac.g_00046	Syap.g_01116
OG0000103	Prac.g_00123	Syap.g_02607, Syap.g_02608
OG0000104	Prac.g_00131	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prac.g_01657	Syap.g_01369, Syap.g_01368
OG0000107	Prac.g_01148	Syap.g_02496
