Orthogroup	Pras	Prah
OG0000000	Pras.g_00243	Prah.g_00562
OG0000000	Pras.g_01554	Prah.g_01226
OG0000002	Pras.g_00235	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896
OG0000003	Pras.g_00136, Pras.g_00182	Prah.g_01347
OG0000004	Pras.g_01631, Pras.g_01638	Prah.g_01175, Prah.g_00215
OG0000006	Pras.g_01375	Prah.g_01546
OG0000006	Pras.g_00550	Prah.g_01676
OG0000007	Pras.g_01548	Prah.g_00969
OG0000009	Pras.g_01681, Pras.g_01101	Prah.g_02086
OG0000011	Pras.g_01263	Prah.g_00321, Prah.g_00322
OG0000011	Pras.g_01182	Prah.g_00353
OG0000012	Pras.g_01474	Prah.g_01405, Prah.g_01397
OG0000013	Pras.g_00127	Prah.g_01155, Prah.g_00576
OG0000016	Pras.g_00246	Prah.g_01007, Prah.g_01048
OG0000017	Pras.g_00886	Prah.g_00381
OG0000018	Pras.g_00148, Pras.g_01093	Prah.g_00475, Prah.g_01767
OG0000019	Pras.g_00507	Prah.g_01410
OG0000020	Pras.g_01227	Prah.g_02122
OG0000024	Pras.g_01158	Prah.g_02171
OG0000026	Pras.g_00875	Prah.g_00042
OG0000028	Pras.g_00350	Prah.g_00408
OG0000031	Pras.g_00179, Pras.g_00508	Prah.g_01166
OG0000032	Pras.g_00331	Prah.g_02248
OG0000033	Pras.g_00855	Prah.g_00015, Prah.g_01270
OG0000036	Pras.g_01462	Prah.g_01427
OG0000037	Pras.g_01499	Prah.g_00524
OG0000038	Pras.g_01662	Prah.g_01209, Prah.g_00170
OG0000039	Pras.g_01017	Prah.g_00957, Prah.g_02304
OG0000040	Pras.g_01213	Prah.g_00688
OG0000042	Pras.g_01606	Prah.g_00958, Prah.g_00887
OG0000043	Pras.g_01686	Prah.g_01231, Prah.g_01233
OG0000045	Pras.g_00291	Prah.g_02195
OG0000046	Pras.g_00543	Prah.g_01666
OG0000047	Pras.g_00743, Pras.g_00883	Prah.g_00150
OG0000048	Pras.g_00750	Prah.g_01256, Prah.g_00135
OG0000050	Pras.g_00873	Prah.g_00038
OG0000051	Pras.g_01008	Prah.g_02295
OG0000052	Pras.g_01223	Prah.g_01660
OG0000053	Pras.g_01416	Prah.g_01485
OG0000054	Pras.g_01656	Prah.g_01812
OG0000055	Pras.g_01723	Prah.g_00641
OG0000056	Pras.g_00011	Prah.g_02425
OG0000058	Pras.g_01353	Prah.g_00105, Prah.g_00312
OG0000059	Pras.g_01574	Prah.g_01027
OG0000062	Pras.g_00023	Prah.g_02524
OG0000063	Pras.g_00150	Prah.g_01257
OG0000065	Pras.g_00209	Prah.g_01364
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330	Prah.g_02192
OG0000068	Pras.g_00687	Prah.g_01995
OG0000069	Pras.g_00326	Prah.g_02196, Prah.g_00358
OG0000070	Pras.g_00881	Prah.g_00341, Prah.g_00342, Prah.g_01082, Prah.g_01968, Prah.g_00543
OG0000071	Pras.g_00853	Prah.g_00013
OG0000073	Pras.g_01545	Prah.g_00445
OG0000074	Pras.g_01567	Prah.g_00974
OG0000075	Pras.g_01708	Prah.g_00660
OG0000076	Pras.g_01934	Prah.g_00915
OG0000078	Pras.g_00294	Prah.g_02191
OG0000079	Pras.g_00431	Prah.g_01654
OG0000080	Pras.g_00477	Prah.g_01609
OG0000081	Pras.g_00717	Prah.g_02230
OG0000082	Pras.g_00131	Prah.g_02533
OG0000083	Pras.g_00845	Prah.g_00004
OG0000084	Pras.g_00848	Prah.g_00007
OG0000085	Pras.g_00865	Prah.g_00029
OG0000087	Pras.g_00902	Prah.g_02458
OG0000088	Pras.g_00964	Prah.g_00194
OG0000089	Pras.g_00972	Prah.g_00176, Prah.g_00180
OG0000090	Pras.g_00990	Prah.g_02268
OG0000091	Pras.g_01020	Prah.g_02307
OG0000092	Pras.g_01021	Prah.g_02308
OG0000093	Pras.g_01035	Prah.g_02324
OG0000094	Pras.g_01053	Prah.g_02362
OG0000095	Pras.g_01058, Pras.g_01059	Prah.g_02371
OG0000096	Pras.g_01103	Prah.g_02089
OG0000097	Pras.g_01126	Prah.g_02126
OG0000098	Pras.g_01136	Prah.g_02139
OG0000099	Pras.g_01145	Prah.g_02151
OG0000100	Pras.g_01148	Prah.g_02155
OG0000101	Pras.g_01210	Prah.g_00208
OG0000102	Pras.g_01236	Prah.g_02538
OG0000103	Pras.g_01354	Prah.g_00313, Prah.g_00314
OG0000104	Pras.g_01358	Prah.g_01566
OG0000105	Pras.g_01377	Prah.g_01544
OG0000106	Pras.g_01409	Prah.g_01503, Prah.g_00108
OG0000107	Pras.g_01410	Prah.g_01501
OG0000108	Pras.g_01420	Prah.g_01476
OG0000109	Pras.g_01429	Prah.g_01465
OG0000110	Pras.g_01445	Prah.g_01446
OG0000111	Pras.g_01527	Prah.g_00474
OG0000112	Pras.g_01528	Prah.g_00473
OG0000113	Pras.g_01628	Prah.g_00752
OG0000114	Pras.g_01699	Prah.g_00669, Prah.g_01823
OG0000115	Pras.g_01859	Prah.g_00796
OG0000116	Pras.g_01863	Prah.g_00805
OG0000117	Pras.g_01931	Prah.g_00912
OG0000118	Pras.g_01982	Prah.g_02597
OG0000119	Pras.g_00026	Prah.g_02526
OG0000120	Pras.g_00062	Prah.g_01315
OG0000121	Pras.g_00081	Prah.g_01254
OG0000122	Pras.g_00101	Prah.g_01276
OG0000123	Pras.g_00114	Prah.g_01237, Prah.g_01238
OG0000124	Pras.g_00122	Prah.g_00905
OG0000125	Pras.g_00221, Pras.g_00222	Prah.g_01378
OG0000126	Pras.g_00250	Prah.g_01576
OG0000127	Pras.g_00337	Prah.g_00424
OG0000128	Pras.g_00351	Prah.g_00407
OG0000129	Pras.g_00388	Prah.g_00361
OG0000130	Pras.g_00548	Prah.g_01672
OG0000131	Pras.g_00586	Prah.g_01725
OG0000132	Pras.g_00589	Prah.g_01728
OG0000133	Pras.g_00646	Prah.g_02038
OG0000134	Pras.g_00682	Prah.g_02001
OG0000135	Pras.g_00684	Prah.g_01999
OG0000136	Pras.g_00728	Prah.g_02244
OG0000137	Pras.g_00761	Prah.g_00116, Prah.g_00089
OG0000138	Pras.g_00797	Prah.g_02498
OG0000139	Pras.g_00824	Prah.g_02578
OG0000140	Pras.g_00843	Prah.g_00002
OG0000141	Pras.g_00844	Prah.g_00003
OG0000142	Pras.g_00846	Prah.g_00005
OG0000143	Pras.g_00847	Prah.g_00006
OG0000144	Pras.g_00849	Prah.g_00008
OG0000145	Pras.g_00850	Prah.g_00010
OG0000146	Pras.g_00851	Prah.g_00011
OG0000147	Pras.g_00852	Prah.g_00012
