Orthogroup	Pras	Prax
OG0000000	Pras.g_00243	Prax.g_01870
OG0000000	Pras.g_01554	Prax.g_00964
OG0000001	Pras.g_00117	Prax.g_00259
OG0000001	Pras.g_00117	Prax.g_01609
OG0000001	Pras.g_00469	Prax.g_00259
OG0000001	Pras.g_00469	Prax.g_01609
OG0000002	Pras.g_00235	Prax.g_01878
OG0000003	Pras.g_00471	Prax.g_01606
OG0000003	Pras.g_00136	Prax.g_00494
OG0000003	Pras.g_00182	Prax.g_01919
OG0000004	Pras.g_01631	Prax.g_00444
OG0000004	Pras.g_01638	Prax.g_00437
OG0000005	Pras.g_00493	Prax.g_00496
OG0000005	Pras.g_00470	Prax.g_01608
OG0000006	Pras.g_01375	Prax.g_00704
OG0000006	Pras.g_00550	Prax.g_01559
OG0000007	Pras.g_01548	Prax.g_00970
OG0000008	Pras.g_01237	Prax.g_00791
OG0000008	Pras.g_00151	Prax.g_01958
OG0000008	Pras.g_01596, Pras.g_00139	Prax.g_01960
OG0000009	Pras.g_01681	Prax.g_00393
OG0000009	Pras.g_01101	Prax.g_00926
OG0000010	Pras.g_00004	Prax.g_00141
OG0000010	Pras.g_00163	Prax.g_01936
OG0000011	Pras.g_01182	Prax.g_00843
OG0000012	Pras.g_01474	Prax.g_00057
OG0000013	Pras.g_00127	Prax.g_00523, Prax.g_00410
OG0000014	Pras.g_00185	Prax.g_01916
OG0000015	Pras.g_01235	Prax.g_00793
OG0000016	Pras.g_00246	Prax.g_01867
OG0000017	Pras.g_00370	Prax.g_01708
OG0000018	Pras.g_00148	Prax.g_01972
OG0000018	Pras.g_01093	Prax.g_01972
OG0000019	Pras.g_01218	Prax.g_00808
OG0000019	Pras.g_00507	Prax.g_01587
OG0000020	Pras.g_01227	Prax.g_00799
OG0000021	Pras.g_01683	Prax.g_00391
OG0000022	Pras.g_00184	Prax.g_01917
OG0000023	Pras.g_00157	Prax.g_01950
OG0000024	Pras.g_01158	Prax.g_00869
OG0000025	Pras.g_01969	Prax.g_01240
OG0000026	Pras.g_00875	Prax.g_00280
OG0000027	Pras.g_01634	Prax.g_00441
OG0000027	Pras.g_00440	Prax.g_01641
OG0000028	Pras.g_00350	Prax.g_01733, Prax.g_01728
OG0000029	Pras.g_00464	Prax.g_01616
OG0000030	Pras.g_00119	Prax.g_01976
OG0000031	Pras.g_00179	Prax.g_01927
OG0000032	Pras.g_00331	Prax.g_01831
OG0000036	Pras.g_01462	Prax.g_00045
OG0000037	Pras.g_01499	Prax.g_00082
OG0000038	Pras.g_01662	Prax.g_00415
OG0000039	Pras.g_01017	Prax.g_01052
OG0000040	Pras.g_01213	Prax.g_00813
OG0000041	Pras.g_01296	Prax.g_00772
OG0000042	Pras.g_01606	Prax.g_00485
OG0000043	Pras.g_01686	Prax.g_00388
OG0000044	Pras.g_00056	Prax.g_00200
OG0000045	Pras.g_00291	Prax.g_01823
OG0000046	Pras.g_00543	Prax.g_01566
OG0000047	Pras.g_00743	Prax.g_01394
OG0000048	Pras.g_00750	Prax.g_01401
OG0000050	Pras.g_00873	Prax.g_00458
OG0000051	Pras.g_01008	Prax.g_01061
OG0000052	Pras.g_01223	Prax.g_00803
OG0000053	Pras.g_01416	Prax.g_00662
OG0000054	Pras.g_01656	Prax.g_00421
OG0000055	Pras.g_01723	Prax.g_00351
OG0000056	Pras.g_00011	Prax.g_00148
OG0000058	Pras.g_01353	Prax.g_00727
OG0000059	Pras.g_01574	Prax.g_00944
OG0000060	Pras.g_01636	Prax.g_00439
OG0000061	Pras.g_01880	Prax.g_01149
OG0000062	Pras.g_00023	Prax.g_00161
OG0000063	Pras.g_00150	Prax.g_01959
OG0000064	Pras.g_00504	Prax.g_01589
OG0000065	Pras.g_00209	Prax.g_01899
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330	Prax.g_01832
OG0000067	Pras.g_00142	Prax.g_00454
OG0000068	Pras.g_00687	Prax.g_01338
OG0000069	Pras.g_00326	Prax.g_01838
OG0000071	Pras.g_00853	Prax.g_01974
OG0000072	Pras.g_01174	Prax.g_00853
OG0000073	Pras.g_01545	Prax.g_00973
OG0000074	Pras.g_01567	Prax.g_00951
OG0000075	Pras.g_01708	Prax.g_00366
OG0000076	Pras.g_01934	Prax.g_01204
OG0000078	Pras.g_00294	Prax.g_01825
OG0000079	Pras.g_00431	Prax.g_01650
OG0000080	Pras.g_00477	Prax.g_01600
OG0000081	Pras.g_00717	Prax.g_01368
OG0000082	Pras.g_00131, Pras.g_00806	Prax.g_01456
OG0000083	Pras.g_00845	Prax.g_01493
OG0000084	Pras.g_00848	Prax.g_01496
OG0000085	Pras.g_00865	Prax.g_00290
OG0000086	Pras.g_00892, Pras.g_01273	Prax.g_00274
OG0000087	Pras.g_00902	Prax.g_00624
OG0000088	Pras.g_00964	Prax.g_01106
OG0000089	Pras.g_00972	Prax.g_01097
OG0000090	Pras.g_00990	Prax.g_01079
OG0000091	Pras.g_01020	Prax.g_01049
OG0000092	Pras.g_01021	Prax.g_01048
OG0000093	Pras.g_01035	Prax.g_01034
OG0000094	Pras.g_01053	Prax.g_01016
OG0000095	Pras.g_01059	Prax.g_01011
OG0000096	Pras.g_01103	Prax.g_00924, Prax.g_00488
OG0000097	Pras.g_01126	Prax.g_00901
OG0000098	Pras.g_01136	Prax.g_00891
OG0000099	Pras.g_01145	Prax.g_00881
OG0000100	Pras.g_01148	Prax.g_00878
OG0000101	Pras.g_01210	Prax.g_00816, Prax.g_01573
OG0000102	Pras.g_01236	Prax.g_00792
OG0000103	Pras.g_01354	Prax.g_00726
OG0000104	Pras.g_01358	Prax.g_00722
OG0000105	Pras.g_01377	Prax.g_00702
OG0000106	Pras.g_01409	Prax.g_00669
OG0000107	Pras.g_01410	Prax.g_00668
OG0000108	Pras.g_01420	Prax.g_00004
OG0000109	Pras.g_01429	Prax.g_00013
OG0000110	Pras.g_01445	Prax.g_00029
OG0000111	Pras.g_01527	Prax.g_00110
OG0000112	Pras.g_01528	Prax.g_00111
OG0000113	Pras.g_01628	Prax.g_00463
OG0000114	Pras.g_01699	Prax.g_00375
OG0000115	Pras.g_01859	Prax.g_01129
OG0000116	Pras.g_01863	Prax.g_01133
OG0000117	Pras.g_01931	Prax.g_01201
OG0000118	Pras.g_01982	Prax.g_01254, Prax.g_01759
OG0000119	Pras.g_00026	Prax.g_00164
OG0000120	Pras.g_00062	Prax.g_00206
OG0000121	Pras.g_00081	Prax.g_00225
OG0000122	Pras.g_00101	Prax.g_00244
OG0000123	Pras.g_00114	Prax.g_00257
OG0000124	Pras.g_00122	Prax.g_01789
OG0000125	Pras.g_00221, Pras.g_00222	Prax.g_01887
OG0000126	Pras.g_00250	Prax.g_01863
OG0000127	Pras.g_00337	Prax.g_01746
OG0000128	Pras.g_00351	Prax.g_01727
OG0000129	Pras.g_00388	Prax.g_01691
OG0000130	Pras.g_00548	Prax.g_01561
OG0000131	Pras.g_00586	Prax.g_01523
OG0000132	Pras.g_00589	Prax.g_01520
OG0000133	Pras.g_00646	Prax.g_01297
OG0000134	Pras.g_00682	Prax.g_01333
OG0000135	Pras.g_00684	Prax.g_01335
OG0000136	Pras.g_00728	Prax.g_01379
OG0000137	Pras.g_00761	Prax.g_01411
OG0000138	Pras.g_00797	Prax.g_01447
OG0000139	Pras.g_00824	Prax.g_01473
OG0000140	Pras.g_00843	Prax.g_01491
OG0000141	Pras.g_00844	Prax.g_01492
OG0000142	Pras.g_00846	Prax.g_01494
OG0000143	Pras.g_00847	Prax.g_01495
OG0000144	Pras.g_00849	Prax.g_01497
OG0000145	Pras.g_00850	Prax.g_01498
OG0000146	Pras.g_00851	Prax.g_01499
OG0000147	Pras.g_00852	Prax.g_01975
OG0000148	Pras.g_00854	Prax.g_01973
OG0000149	Pras.g_00856	Prax.g_00299
OG0000150	Pras.g_00857	Prax.g_00298
OG0000151	Pras.g_00858	Prax.g_00297
OG0000152	Pras.g_00859	Prax.g_00296
OG0000153	Pras.g_00860	Prax.g_00295
OG0000154	Pras.g_00861	Prax.g_00294
OG0000155	Pras.g_00862	Prax.g_00293
OG0000156	Pras.g_00863	Prax.g_00292
OG0000157	Pras.g_00864	Prax.g_00291
OG0000158	Pras.g_00866	Prax.g_00289
OG0000159	Pras.g_00867	Prax.g_00288
OG0000160	Pras.g_00868	Prax.g_00287
