Orthogroup	Pras	Pral
OG0000000	Pras.g_00243	Pral.g_01549, Pral.g_01554
OG0000000	Pras.g_01554	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052
OG0000002	Pras.g_00235	Pral.g_01236
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Pral.g_01296, Pral.g_01671
OG0000003	Pras.g_00136, Pras.g_00182	Pral.g_00040, Pral.g_01332
OG0000004	Pras.g_01631, Pras.g_01638	Pral.g_01898
OG0000005	Pras.g_00493	Pral.g_00037
OG0000006	Pras.g_01375	Pral.g_00593
OG0000006	Pras.g_00550	Pral.g_00107
OG0000009	Pras.g_01681	Pral.g_01344
OG0000009	Pras.g_01101	Pral.g_00790
OG0000010	Pras.g_00004, Pras.g_00163	Pral.g_00444
OG0000011	Pras.g_01263	Pral.g_00672
OG0000012	Pras.g_01474	Pral.g_00491, Pral.g_00484
OG0000013	Pras.g_00127	Pral.g_01813
OG0000014	Pras.g_01348, Pras.g_00185	Pral.g_01036, Pral.g_00039
OG0000015	Pras.g_01235, Pras.g_00539	Pral.g_01887, Pral.g_00062
OG0000016	Pras.g_00246	Pral.g_01861, Pral.g_01063
OG0000017	Pras.g_00886	Pral.g_01139, Pral.g_00066
OG0000018	Pras.g_00148, Pras.g_01093	Pral.g_00797
OG0000019	Pras.g_00507	Pral.g_01738
OG0000020	Pras.g_01227	Pral.g_00768
OG0000021	Pras.g_01683	Pral.g_00090
OG0000022	Pras.g_00184	Pral.g_01331
OG0000023	Pras.g_00157	Pral.g_01065
OG0000024	Pras.g_01158	Pral.g_00732, Pral.g_01261
OG0000028	Pras.g_00350	Pral.g_01161, Pral.g_01165
OG0000029	Pras.g_00464, Pras.g_00538	Pral.g_01164, Pral.g_01114
OG0000031	Pras.g_00508	Pral.g_00095
OG0000036	Pras.g_01462	Pral.g_00057
OG0000037	Pras.g_01499	Pral.g_00015
OG0000038	Pras.g_01662	Pral.g_00044
OG0000039	Pras.g_01017	Pral.g_00878
OG0000040	Pras.g_01213	Pral.g_01687
OG0000042	Pras.g_01606	Pral.g_01729
OG0000043	Pras.g_01686	Pral.g_01665
OG0000045	Pras.g_00291	Pral.g_01202
OG0000046	Pras.g_00543	Pral.g_00099
OG0000047	Pras.g_00743, Pras.g_00883	Pral.g_00305
OG0000048	Pras.g_00750	Pral.g_00313
OG0000050	Pras.g_00873	Pral.g_01012
OG0000051	Pras.g_01008	Pral.g_00887
OG0000052	Pras.g_01223	Pral.g_01859
