Orthogroup	Pras	Prba
OG0000000	Pras.g_00243	Prba.g_00203
OG0000000	Pras.g_01554	Prba.g_01639
OG0000001	Pras.g_00117	Prba.g_00003
OG0000001	Pras.g_00117	Prba.g_00270
OG0000001	Pras.g_00469	Prba.g_00003
OG0000001	Pras.g_00469	Prba.g_00270
OG0000002	Pras.g_00235	Prba.g_00211
OG0000003	Pras.g_00471	Prba.g_00268
OG0000003	Pras.g_00182	Prba.g_01172
OG0000004	Pras.g_01631	Prba.g_01570
OG0000004	Pras.g_01638	Prba.g_01563
OG0000005	Pras.g_00493	Prba.g_00243
OG0000005	Pras.g_00470	Prba.g_00269
OG0000006	Pras.g_01375	Prba.g_00964
OG0000006	Pras.g_00550	Prba.g_00226
OG0000007	Pras.g_01548	Prba.g_01645
OG0000008	Pras.g_01237	Prba.g_00878
OG0000008	Pras.g_00151	Prba.g_00901
OG0000008	Pras.g_01596, Pras.g_00139	Prba.g_01115
OG0000009	Pras.g_01681	Prba.g_01519
OG0000009	Pras.g_01101	Prba.g_00468
OG0000010	Pras.g_00004	Prba.g_00734
OG0000010	Pras.g_00163	Prba.g_01157
OG0000011	Pras.g_01263	Prba.g_00913
OG0000011	Pras.g_01182	Prba.g_00546
OG0000012	Pras.g_01474	Prba.g_01719
OG0000013	Pras.g_00127	Prba.g_01538
OG0000014	Pras.g_01348	Prba.g_00991
OG0000014	Pras.g_00185	Prba.g_01175
OG0000015	Pras.g_01235	Prba.g_00876
OG0000016	Pras.g_00246	Prba.g_00200
OG0000017	Pras.g_00370	Prba.g_00693
OG0000018	Pras.g_00148	Prba.g_00460
OG0000018	Pras.g_01093	Prba.g_00460
OG0000019	Pras.g_01218	Prba.g_00858
OG0000019	Pras.g_00507	Prba.g_00245
OG0000020	Pras.g_01227	Prba.g_00868
OG0000021	Pras.g_01683	Prba.g_01517
OG0000022	Pras.g_00184	Prba.g_01174
OG0000023	Pras.g_00157	Prba.g_01142
OG0000024	Pras.g_01158	Prba.g_00522
OG0000025	Pras.g_01969	Prba.g_01229
