Orthogroup	Pras	Prat
OG0000000	Pras.g_00243	Prat.g_00977
OG0000000	Pras.g_01554	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462
OG0000002	Pras.g_00235	Prat.g_01285, Prat.g_01286
OG0000002	Pras.g_00541, Pras.g_00118, Pras.g_00120	Prat.g_00851
OG0000003	Pras.g_00136, Pras.g_00182	Prat.g_01190
OG0000004	Pras.g_01631, Pras.g_01638	Prat.g_00824
OG0000006	Pras.g_01375	Prat.g_00458
OG0000006	Pras.g_00550	Prat.g_01592
OG0000009	Pras.g_01681	Prat.g_01180
OG0000009	Pras.g_01101	Prat.g_00255
OG0000010	Pras.g_00004, Pras.g_00163	Prat.g_00634
OG0000011	Pras.g_01263	Prat.g_00374
OG0000012	Pras.g_01474	Prat.g_00560, Prat.g_00567
OG0000013	Pras.g_00127	Prat.g_00701
OG0000014	Pras.g_01348, Pras.g_00185	Prat.g_01474, Prat.g_01548
OG0000015	Pras.g_01235, Pras.g_00539	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Pras.g_00246	Prat.g_00647, Prat.g_01452
OG0000017	Pras.g_00886	Prat.g_01375
OG0000018	Pras.g_00148, Pras.g_01093	Prat.g_00248
OG0000019	Pras.g_00507	Prat.g_00461
OG0000020	Pras.g_01227	Prat.g_00278
OG0000022	Pras.g_00184	Prat.g_01191
OG0000023	Pras.g_00157	Prat.g_01451
OG0000024	Pras.g_01158	Prat.g_00314, Prat.g_01267
OG0000028	Pras.g_00350	Prat.g_01353, Prat.g_01352
OG0000029	Pras.g_00464, Pras.g_00538	Prat.g_01400
OG0000030	Pras.g_00119	Prat.g_01473
OG0000033	Pras.g_00855	Prat.g_00014, Prat.g_01219
OG0000036	Pras.g_01462	Prat.g_01507
OG0000037	Pras.g_01499	Prat.g_00586
OG0000038	Pras.g_01662	Prat.g_01192, Prat.g_01448
OG0000039	Pras.g_01017	Prat.g_00166
OG0000040	Pras.g_01213	Prat.g_00834
OG0000041	Pras.g_01285	Prat.g_00613, Prat.g_01552
OG0000042	Pras.g_01606	Prat.g_00788
OG0000043	Pras.g_01686	Prat.g_00856
OG0000045	Pras.g_00291	Prat.g_01311
OG0000046	Pras.g_00543	Prat.g_01584
OG0000047	Pras.g_00743, Pras.g_00883	Prat.g_01788
OG0000048	Pras.g_00750	Prat.g_01796
OG0000050	Pras.g_00873	Prat.g_00033
OG0000051	Pras.g_01008	Prat.g_00157
OG0000052	Pras.g_01223	Prat.g_00637
OG0000053	Pras.g_01416	Prat.g_01499
OG0000054	Pras.g_01656	Prat.g_01503
OG0000055	Pras.g_01723	Prat.g_01014
OG0000056	Pras.g_00011	Prat.g_01463, Prat.g_00666
OG0000057	Pras.g_01089	Prat.g_00242
OG0000058	Pras.g_01353	Prat.g_00434
OG0000059	Pras.g_01574	Prat.g_00775
OG0000062	Pras.g_00023	Prat.g_01561, Prat.g_01495
OG0000063	Pras.g_00150	Prat.g_01129
OG0000065	Pras.g_00209	Prat.g_01249
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330	Prat.g_00344
OG0000067	Pras.g_00166, Pras.g_00142	Prat.g_01532
OG0000068	Pras.g_00687	Prat.g_01726
OG0000069	Pras.g_00326	Prat.g_01394
