Orthogroup	Prar	Prbj
OG0000000	Prar.g_00918	Prbj.g_02517
OG0000000	Prar.g_01508	Prbj.g_00030
OG0000002	Prar.g_00926	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prar.g_00973, Prar.g_00727	Prbj.g_00165
OG0000004	Prar.g_01630	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prar.g_01328	Prbj.g_01610
OG0000006	Prar.g_01143	Prbj.g_00857
OG0000007	Prar.g_01185, Prar.g_01502	Prbj.g_00928, Prbj.g_00929
OG0000009	Prar.g_01663, Prar.g_00078	Prbj.g_01349
OG0000011	Prar.g_00468	Prbj.g_02509
OG0000011	Prar.g_00257	Prbj.g_00666
OG0000012	Prar.g_01428	Prbj.g_01761, Prbj.g_01769
OG0000013	Prar.g_01179	Prbj.g_02502
OG0000016	Prar.g_00915	Prbj.g_00740, Prbj.g_00778
OG0000017	Prar.g_00589	Prbj.g_00638
OG0000018	Prar.g_00086	Prbj.g_02699
OG0000019	Prar.g_00425	Prbj.g_01774
OG0000024	Prar.g_00281	Prbj.g_01442
OG0000026	Prar.g_00005, Prar.g_00004, Prar.g_01189	Prbj.g_01208
OG0000028	Prar.g_00339	Prbj.g_01056
OG0000032	Prar.g_00879	Prbj.g_01522, Prbj.g_01527
OG0000036	Prar.g_01414	Prbj.g_01789
OG0000037	Prar.g_01453	Prbj.g_02552
OG0000038	Prar.g_01649	Prbj.g_00050, Prbj.g_01572
OG0000039	Prar.g_00161	Prbj.g_00521, Prbj.g_00912
OG0000040	Prar.g_00420	Prbj.g_02392
OG0000042	Prar.g_01599	Prbj.g_02178, Prbj.g_00913
OG0000043	Prar.g_01668	Prbj.g_00023, Prbj.g_00025
OG0000044	Prar.g_01263	Prbj.g_00971
OG0000045	Prar.g_00362, Prar.g_00870	Prbj.g_01467
OG0000046	Prar.g_01150	Prbj.g_00869
OG0000047	Prar.g_00592, Prar.g_00653	Prbj.g_01598
OG0000048	Prar.g_00660	Prbj.g_01808, Prbj.g_00001
OG0000050	Prar.g_00007	Prbj.g_01204
OG0000051	Prar.g_01569, Prar.g_00170	Prbj.g_00530
OG0000052	Prar.g_00431	Prbj.g_00875
OG0000053	Prar.g_01369	Prbj.g_02141
OG0000054	Prar.g_01644	Prbj.g_01324
OG0000055	Prar.g_01706	Prbj.g_02437
OG0000056	Prar.g_01307	Prbj.g_00227
OG0000058	Prar.g_00525	Prbj.g_00128
OG0000059	Prar.g_01528	Prbj.g_00758
OG0000062	Prar.g_01296	Prbj.g_01990
OG0000063	Prar.g_01003	Prbj.g_01915
OG0000065	Prar.g_00955	Prbj.g_01728
OG0000066	Prar.g_00880	Prbj.g_01465
OG0000068	Prar.g_01027	Prbj.g_00415, Prbj.g_00981
