Orthogroup	Prar	Pray
OG0000000	Prar.g_00918	Pray.g_01836
OG0000000	Prar.g_01508	Pray.g_01085
OG0000001	Prar.g_01204	Pray.g_01604
OG0000002	Prar.g_00926	Pray.g_01844
OG0000002	Prar.g_01202	Pray.g_00247, Pray.g_00246
OG0000003	Prar.g_00973	Pray.g_01890
OG0000003	Prar.g_00727	Pray.g_01602
OG0000004	Prar.g_01623	Pray.g_00277
OG0000004	Prar.g_01630	Pray.g_00284
OG0000005	Prar.g_00729	Pray.g_01603
OG0000005	Prar.g_00713	Pray.g_01576
OG0000006	Prar.g_01328	Pray.g_00987
OG0000006	Prar.g_01143	Pray.g_01559
OG0000007	Prar.g_01185	Pray.g_01931
OG0000007	Prar.g_01502	Pray.g_01091
OG0000008	Prar.g_00445	Pray.g_00862
OG0000008	Prar.g_01173	Pray.g_00265
OG0000008	Prar.g_01002	Pray.g_00885
OG0000009	Prar.g_01663	Pray.g_00328
OG0000009	Prar.g_00078	Pray.g_00730
OG0000010	Prar.g_01313	Pray.g_00117
OG0000010	Prar.g_00991	Pray.g_01905
OG0000011	Prar.g_00468	Pray.g_00897
OG0000011	Prar.g_00257	Pray.g_00808
OG0000012	Prar.g_01428	Pray.g_01165
OG0000013	Prar.g_01179	Pray.g_00309
OG0000014	Prar.g_00520	Pray.g_00960
OG0000015	Prar.g_00443	Pray.g_00860
OG0000016	Prar.g_00915	Pray.g_01833
OG0000017	Prar.g_00827	Pray.g_01702
OG0000018	Prar.g_00086	Pray.g_00722
OG0000019	Prar.g_00425	Pray.g_00842
OG0000020	Prar.g_00435	Pray.g_00852
OG0000021	Prar.g_01665	Pray.g_00330
OG0000022	Prar.g_00971	Pray.g_01888
OG0000023	Prar.g_00737	Pray.g_01610
OG0000024	Prar.g_00281	Pray.g_00784
OG0000025	Prar.g_01940	Pray.g_00619
OG0000026	Prar.g_00005, Prar.g_00004	Pray.g_01495
OG0000027	Prar.g_00761	Pray.g_01635
OG0000027	Prar.g_01626	Pray.g_00280
OG0000028	Prar.g_00339	Pray.g_01722
OG0000029	Prar.g_00736	Pray.g_01609
OG0000030	Prar.g_00593	Pray.g_00245
OG0000032	Prar.g_00879	Pray.g_01806
OG0000033	Prar.g_00025	Pray.g_01475
OG0000035	Prar.g_01943	Pray.g_00622
OG0000035	Prar.g_01761	Pray.g_00438
OG0000036	Prar.g_01414	Pray.g_01177
OG0000037	Prar.g_01453	Pray.g_01140
OG0000038	Prar.g_01649	Pray.g_00304
OG0000039	Prar.g_00161	Pray.g_00647
OG0000040	Prar.g_00420	Pray.g_00838
OG0000041	Prar.g_00476	Pray.g_00910
OG0000042	Prar.g_01599	Pray.g_01040
OG0000043	Prar.g_01668	Pray.g_00333
OG0000044	Prar.g_01263	Pray.g_00064
OG0000045	Prar.g_00362, Prar.g_00870	Pray.g_01786
OG0000046	Prar.g_01150	Pray.g_01566
OG0000047	Prar.g_00653	Pray.g_01364
OG0000048	Prar.g_00660	Pray.g_01371
OG0000050	Prar.g_00007	Pray.g_01493
OG0000051	Prar.g_01569, Prar.g_00170	Pray.g_00638
OG0000052	Prar.g_00431	Pray.g_00848
OG0000053	Prar.g_01369	Pray.g_01222
OG0000054	Prar.g_01644	Pray.g_00299
OG0000055	Prar.g_01706	Pray.g_00370
OG0000056	Prar.g_01307	Pray.g_00110
OG0000057	Prar.g_00090	Pray.g_00718
OG0000058	Prar.g_00525	Pray.g_00965
OG0000059	Prar.g_01528	Pray.g_01065
OG0000060	Prar.g_01628	Pray.g_00282
OG0000061	Prar.g_01298	Pray.g_00099
OG0000062	Prar.g_01296	Pray.g_00097
OG0000063	Prar.g_01003	Pray.g_01927
OG0000064	Prar.g_00997	Pray.g_01917
OG0000065	Prar.g_00955	Pray.g_01870
OG0000066	Prar.g_00880	Pray.g_01808
OG0000067	Prar.g_00988	Pray.g_01930
OG0000068	Prar.g_01027	Pray.g_01306
OG0000069	Prar.g_00886	Pray.g_01782
OG0000070	Prar.g_00932	Pray.g_01942
OG0000071	Prar.g_00027	Pray.g_01473
OG0000072	Prar.g_00265	Pray.g_00800
OG0000073	Prar.g_01499	Pray.g_01094
OG0000074	Prar.g_01521	Pray.g_01072
OG0000075	Prar.g_01691	Pray.g_00355
OG0000076	Prar.g_01904	Pray.g_00584
OG0000077	Prar.g_00712	Pray.g_01575
OG0000078	Prar.g_00872	Pray.g_01788
OG0000079	Prar.g_00769	Pray.g_01644
OG0000080	Prar.g_01166	Pray.g_01595
OG0000081	Prar.g_00627	Pray.g_01337
OG0000082	Prar.g_00072	Pray.g_01427
OG0000083	Prar.g_00035	Pray.g_01464
OG0000084	Prar.g_00032	Pray.g_01468
OG0000085	Prar.g_00015	Pray.g_01485
OG0000086	Prar.g_00581	Pray.g_00244
OG0000087	Prar.g_00570	Pray.g_00234
OG0000088	Prar.g_00215	Pray.g_00176
OG0000089	Prar.g_00207	Pray.g_00168
OG0000090	Prar.g_00189	Pray.g_00150
OG0000091	Prar.g_00158	Pray.g_00650
OG0000092	Prar.g_00157	Pray.g_00651
OG0000093	Prar.g_00143	Pray.g_00665
OG0000094	Prar.g_00125	Pray.g_00683
OG0000095	Prar.g_00120	Pray.g_00688
OG0000097	Prar.g_00313	Pray.g_00753
OG0000098	Prar.g_00303	Pray.g_00763
OG0000099	Prar.g_00293	Pray.g_00772
OG0000100	Prar.g_00290	Pray.g_00775
OG0000101	Prar.g_00417	Pray.g_00835
OG0000102	Prar.g_00444	Pray.g_00861
OG0000103	Prar.g_00526	Pray.g_00966
OG0000104	Prar.g_00530	Pray.g_00970
OG0000105	Prar.g_01330	Pray.g_00990
OG0000106	Prar.g_01362	Pray.g_01023
OG0000107	Prar.g_01363	Pray.g_01228, Pray.g_01024
OG0000108	Prar.g_01373	Pray.g_01218
OG0000109	Prar.g_01382	Pray.g_01209
OG0000110	Prar.g_01398	Pray.g_01193
OG0000111	Prar.g_01481	Pray.g_01112
OG0000112	Prar.g_01482	Pray.g_01111
OG0000113	Prar.g_01621	Pray.g_00275
OG0000114	Prar.g_01682	Pray.g_00346
OG0000115	Prar.g_01833	Pray.g_00511
OG0000116	Prar.g_01837	Pray.g_00515
OG0000117	Prar.g_01901	Pray.g_00581
OG0000118	Prar.g_01953	Pray.g_00632
OG0000119	Prar.g_01293	Pray.g_00094
OG0000120	Prar.g_01257	Pray.g_00057
OG0000121	Prar.g_01238	Pray.g_00038
OG0000122	Prar.g_01219	Pray.g_00019
OG0000123	Prar.g_01206	Pray.g_00006
OG0000124	Prar.g_00376	Pray.g_00250
OG0000125	Prar.g_00943	Pray.g_01858
OG0000126	Prar.g_00911	Pray.g_01829
OG0000127	Prar.g_00352	Pray.g_01735
OG0000128	Prar.g_00338	Pray.g_01721
OG0000129	Prar.g_00810	Pray.g_01685
OG0000130	Prar.g_01145	Pray.g_01561
OG0000131	Prar.g_01959	Pray.g_01523
OG0000132	Prar.g_00595, Prar.g_01956	Pray.g_01520
OG0000133	Prar.g_01068	Pray.g_01265
OG0000134	Prar.g_01032	Pray.g_01301
OG0000135	Prar.g_01030	Pray.g_01303
OG0000136	Prar.g_00638	Pray.g_01348
OG0000137	Prar.g_00669	Pray.g_01381
OG0000138	Prar.g_00704	Pray.g_01417
OG0000139	Prar.g_00055	Pray.g_01444
OG0000140	Prar.g_00037	Pray.g_01462
OG0000141	Prar.g_00036	Pray.g_01463
OG0000142	Prar.g_00034	Pray.g_01465
OG0000143	Prar.g_00033	Pray.g_01467
OG0000144	Prar.g_00031	Pray.g_01469
OG0000145	Prar.g_00030	Pray.g_01470
OG0000146	Prar.g_00029	Pray.g_01471
OG0000147	Prar.g_00028	Pray.g_01472
OG0000148	Prar.g_00026	Pray.g_01474
OG0000149	Prar.g_00024	Pray.g_01476
OG0000150	Prar.g_00023	Pray.g_01477
OG0000151	Prar.g_00022	Pray.g_01478
OG0000152	Prar.g_00021	Pray.g_01479
OG0000153	Prar.g_00020	Pray.g_01480
OG0000154	Prar.g_00019	Pray.g_01481
OG0000155	Prar.g_00018	Pray.g_01482
OG0000156	Prar.g_00017	Pray.g_01483
OG0000157	Prar.g_00016	Pray.g_01484
OG0000158	Prar.g_00014	Pray.g_01486
OG0000159	Prar.g_00013	Pray.g_01487
OG0000160	Prar.g_00012	Pray.g_01488
OG0000161	Prar.g_00011	Pray.g_01489
OG0000162	Prar.g_00010	Pray.g_01490
OG0000163	Prar.g_00009	Pray.g_01491
OG0000164	Prar.g_00006	Pray.g_01494
OG0000165	Prar.g_00002	Pray.g_01497
OG0000166	Prar.g_00001	Pray.g_01498
OG0000167	Prar.g_00594	Pray.g_01499
OG0000168	Prar.g_00580	Pray.g_00243
OG0000169	Prar.g_00578	Pray.g_00241
OG0000170	Prar.g_00577	Pray.g_00240
OG0000171	Prar.g_00576	Pray.g_00239
OG0000172	Prar.g_00574	Pray.g_00238
OG0000173	Prar.g_00573	Pray.g_00237
OG0000174	Prar.g_00572	Pray.g_00236
OG0000175	Prar.g_00571	Pray.g_00235
