Orthogroup	Prar	Prbg
OG0000000	Prar.g_00918	Prbg.g_01222, Prbg.g_01227
OG0000000	Prar.g_01508	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prar.g_00926	Prbg.g_00502
OG0000002	Prar.g_01203, Prar.g_01202	Prbg.g_01069
OG0000003	Prar.g_00973, Prar.g_00727	Prbg.g_01524
OG0000004	Prar.g_01630	Prbg.g_00451
OG0000005	Prar.g_00729, Prar.g_00713	Prbg.g_01567
OG0000006	Prar.g_01328	Prbg.g_00216
OG0000006	Prar.g_01143	Prbg.g_01650
OG0000007	Prar.g_01185	Prbg.g_00744
OG0000009	Prar.g_01663	Prbg.g_01510
OG0000009	Prar.g_00078	Prbg.g_01032
OG0000010	Prar.g_01006, Prar.g_01313, Prar.g_00991	Prbg.g_00032
OG0000011	Prar.g_00468	Prbg.g_00143
OG0000012	Prar.g_01428	Prbg.g_00324, Prbg.g_00317
OG0000013	Prar.g_01179	Prbg.g_01589, Prbg.g_01635
OG0000014	Prar.g_00520	Prbg.g_01569, Prbg.g_00721
OG0000015	Prar.g_00443	Prbg.g_01578, Prbg.g_01611
OG0000016	Prar.g_00915	Prbg.g_01540, Prbg.g_00688
OG0000017	Prar.g_00589	Prbg.g_01595, Prbg.g_00612
OG0000018	Prar.g_00086	Prbg.g_01024
OG0000019	Prar.g_00425	Prbg.g_01145
OG0000020	Prar.g_00435	Prbg.g_00050
OG0000021	Prar.g_01665	Prbg.g_01632
OG0000024	Prar.g_00281	Prbg.g_00086
OG0000026	Prar.g_01189	Prbg.g_00730
OG0000028	Prar.g_00339	Prbg.g_00591
OG0000029	Prar.g_00736, Prar.g_01170	Prbg.g_00174
OG0000032	Prar.g_00879	Prbg.g_00550
OG0000035	Prar.g_01761	Prbg.g_00025
OG0000036	Prar.g_01414	Prbg.g_00304, Prbg.g_01639
OG0000037	Prar.g_01453	Prbg.g_00342, Prbg.g_00706
OG0000038	Prar.g_01649	Prbg.g_00682
OG0000039	Prar.g_00161	Prbg.g_00944
OG0000040	Prar.g_00420	Prbg.g_00013
OG0000041	Prar.g_00476	Prbg.g_01614, Prbg.g_01608
OG0000042	Prar.g_01599	Prbg.g_01151
OG0000043	Prar.g_01668	Prbg.g_01251
OG0000044	Prar.g_01263	Prbg.g_01486
OG0000045	Prar.g_00362, Prar.g_00870	Prbg.g_00551
OG0000046	Prar.g_01150	Prbg.g_00716, Prbg.g_01642
OG0000047	Prar.g_00592, Prar.g_00653	Prbg.g_01847
OG0000048	Prar.g_00660	Prbg.g_01855
OG0000050	Prar.g_00007	Prbg.g_00842
OG0000051	Prar.g_01569, Prar.g_00170	Prbg.g_00935
OG0000052	Prar.g_00431	Prbg.g_00388
OG0000053	Prar.g_01369	Prbg.g_00256
OG0000055	Prar.g_01706	Prbg.g_01182
OG0000057	Prar.g_00090	Prbg.g_01019
OG0000058	Prar.g_00525	Prbg.g_00194
OG0000059	Prar.g_01528	Prbg.g_01143
OG0000062	Prar.g_01296	Prbg.g_00749
OG0000063	Prar.g_01003	Prbg.g_01459
OG0000065	Prar.g_00955	Prbg.g_00477
OG0000066	Prar.g_00880	Prbg.g_00549
OG0000068	Prar.g_01027	Prbg.g_01785
OG0000071	Prar.g_00027	Prbg.g_00778
OG0000072	Prar.g_00265	Prbg.g_00100
OG0000073	Prar.g_01499	Prbg.g_01386
OG0000074	Prar.g_01521	Prbg.g_01133
OG0000075	Prar.g_01691	Prbg.g_01166
OG0000076	Prar.g_01904	Prbg.g_01234
OG0000077	Prar.g_00712	Prbg.g_01566
OG0000078	Prar.g_00872	Prbg.g_00552
OG0000079	Prar.g_00769	Prbg.g_00676
OG0000080	Prar.g_01166	Prbg.g_00414
OG0000081	Prar.g_00627	Prbg.g_01819
OG0000083	Prar.g_00035	Prbg.g_00770
OG0000084	Prar.g_00032	Prbg.g_00773
OG0000085	Prar.g_00015	Prbg.g_00851
OG0000087	Prar.g_00570	Prbg.g_00822
OG0000088	Prar.g_00215	Prbg.g_00887
OG0000089	Prar.g_00207	Prbg.g_00896
OG0000090	Prar.g_00189	Prbg.g_00913
OG0000091	Prar.g_00158	Prbg.g_00947
OG0000092	Prar.g_00157	Prbg.g_00948
OG0000093	Prar.g_00143	Prbg.g_00962
OG0000094	Prar.g_00125	Prbg.g_00981
OG0000095	Prar.g_00120	Prbg.g_00986
OG0000096	Prar.g_00076	Prbg.g_01034
OG0000097	Prar.g_00313	Prbg.g_00053
OG0000098	Prar.g_00303	Prbg.g_00064
OG0000099	Prar.g_00293	Prbg.g_00074
OG0000100	Prar.g_00290, Prar.g_01154	Prbg.g_00077
OG0000101	Prar.g_00417	Prbg.g_00139
OG0000102	Prar.g_00444	Prbg.g_00459
OG0000103	Prar.g_00526	Prbg.g_00195
OG0000104	Prar.g_00530	Prbg.g_00199
OG0000105	Prar.g_01330	Prbg.g_00219
OG0000106	Prar.g_01362	Prbg.g_00249
OG0000107	Prar.g_01363	Prbg.g_00250
OG0000108	Prar.g_01373	Prbg.g_00260
OG0000109	Prar.g_01382	Prbg.g_00270
OG0000110	Prar.g_01398	Prbg.g_00287
OG0000111	Prar.g_01481	Prbg.g_01405
OG0000112	Prar.g_01482	Prbg.g_01404
OG0000113	Prar.g_01621	Prbg.g_01354
OG0000114	Prar.g_01682	Prbg.g_01157
OG0000115	Prar.g_01833	Prbg.g_01287
OG0000116	Prar.g_01837	Prbg.g_01291
OG0000117	Prar.g_01901	Prbg.g_01237
OG0000118	Prar.g_01953	Prbg.g_01531
OG0000119	Prar.g_01293	Prbg.g_00752
OG0000120	Prar.g_01257	Prbg.g_01480
OG0000121	Prar.g_01238	Prbg.g_01457
OG0000122	Prar.g_01219	Prbg.g_01437
OG0000123	Prar.g_01206	Prbg.g_00352
OG0000124	Prar.g_00376	Prbg.g_00687
OG0000125	Prar.g_00943	Prbg.g_00490
OG0000126	Prar.g_00911	Prbg.g_00529
OG0000127	Prar.g_00352	Prbg.g_00579
OG0000128	Prar.g_00338	Prbg.g_00592
OG0000129	Prar.g_00810	Prbg.g_00628
OG0000130	Prar.g_01145	Prbg.g_01647
OG0000131	Prar.g_01959	Prbg.g_01686
OG0000132	Prar.g_00595, Prar.g_01956	Prbg.g_01689
OG0000133	Prar.g_01068	Prbg.g_01743
OG0000134	Prar.g_01032	Prbg.g_01779
OG0000135	Prar.g_01030	Prbg.g_01781
OG0000136	Prar.g_00638	Prbg.g_01831
OG0000137	Prar.g_00669	Prbg.g_01865
OG0000138	Prar.g_00704	Prbg.g_01900
OG0000139	Prar.g_00055	Prbg.g_01931
OG0000140	Prar.g_00037	Prbg.g_00768
OG0000141	Prar.g_00036	Prbg.g_00769
OG0000142	Prar.g_00034	Prbg.g_00771
OG0000143	Prar.g_00033	Prbg.g_00772
OG0000144	Prar.g_00031	Prbg.g_00774
OG0000145	Prar.g_00030	Prbg.g_00775
OG0000146	Prar.g_00029	Prbg.g_00776
OG0000147	Prar.g_00028	Prbg.g_00777
OG0000148	Prar.g_00026	Prbg.g_00779
OG0000149	Prar.g_00024	Prbg.g_00860
OG0000150	Prar.g_00023	Prbg.g_00859
OG0000151	Prar.g_00022	Prbg.g_00858
OG0000152	Prar.g_00021	Prbg.g_00857
OG0000153	Prar.g_00020	Prbg.g_00856
OG0000154	Prar.g_00019	Prbg.g_00855
OG0000155	Prar.g_00018	Prbg.g_00854
OG0000156	Prar.g_00017	Prbg.g_00853
OG0000157	Prar.g_00016	Prbg.g_00852
OG0000158	Prar.g_00014	Prbg.g_00850
OG0000159	Prar.g_00013	Prbg.g_00849
OG0000160	Prar.g_00012	Prbg.g_00848
OG0000161	Prar.g_00011	Prbg.g_00847
OG0000162	Prar.g_00010	Prbg.g_00846
OG0000163	Prar.g_00009	Prbg.g_00844
OG0000164	Prar.g_00006	Prbg.g_00841
OG0000165	Prar.g_00002	Prbg.g_00838
OG0000166	Prar.g_00001	Prbg.g_00837
OG0000167	Prar.g_00594	Prbg.g_00836
OG0000168	Prar.g_00580	Prbg.g_00834
OG0000169	Prar.g_00578	Prbg.g_00832
OG0000170	Prar.g_00577	Prbg.g_00830
OG0000171	Prar.g_00576	Prbg.g_00829
OG0000172	Prar.g_00574	Prbg.g_00828
OG0000173	Prar.g_00573	Prbg.g_00825
OG0000174	Prar.g_00572	Prbg.g_00824
OG0000175	Prar.g_00571	Prbg.g_00823
OG0000176	Prar.g_00569	Prbg.g_00821
OG0000177	Prar.g_00568	Prbg.g_00820
OG0000178	Prar.g_00567	Prbg.g_00818
OG0000179	Prar.g_00554	Prbg.g_00806
OG0000180	Prar.g_00553	Prbg.g_00805
OG0000181	Prar.g_00552	Prbg.g_00804
OG0000182	Prar.g_00549	Prbg.g_00800
OG0000183	Prar.g_00548	Prbg.g_00799
OG0000184	Prar.g_00255	Prbg.g_00796
OG0000185	Prar.g_00251	Prbg.g_00792
OG0000186	Prar.g_00250	Prbg.g_00791
OG0000187	Prar.g_00249	Prbg.g_00017
OG0000188	Prar.g_00248	Prbg.g_00790
OG0000189	Prar.g_00247	Prbg.g_00789
OG0000190	Prar.g_00246	Prbg.g_00788
OG0000191	Prar.g_00245	Prbg.g_00787
OG0000192	Prar.g_00244	Prbg.g_00786
OG0000193	Prar.g_00243	Prbg.g_00785
OG0000194	Prar.g_00242	Prbg.g_00784
OG0000195	Prar.g_00240	Prbg.g_00782
OG0000196	Prar.g_00239	Prbg.g_00781
OG0000197	Prar.g_00238	Prbg.g_00780
OG0000198	Prar.g_00237	Prbg.g_00861
OG0000199	Prar.g_00234	Prbg.g_00864
OG0000200	Prar.g_00233	Prbg.g_00865
OG0000201	Prar.g_00232	Prbg.g_00866
OG0000202	Prar.g_00231	Prbg.g_00868
OG0000203	Prar.g_00230	Prbg.g_00869
OG0000204	Prar.g_00229	Prbg.g_00870
OG0000205	Prar.g_00228	Prbg.g_00872
OG0000206	Prar.g_00227	Prbg.g_00873
OG0000207	Prar.g_00226	Prbg.g_00874
OG0000208	Prar.g_00225	Prbg.g_00875
OG0000209	Prar.g_00224	Prbg.g_00876
OG0000210	Prar.g_00222	Prbg.g_00877
OG0000211	Prar.g_00221	Prbg.g_00879
OG0000212	Prar.g_00220	Prbg.g_00880
OG0000213	Prar.g_00219	Prbg.g_00881
OG0000214	Prar.g_00217	Prbg.g_00885
OG0000215	Prar.g_00216	Prbg.g_00886
OG0000216	Prar.g_00214	Prbg.g_00888
OG0000217	Prar.g_00213	Prbg.g_00889
OG0000218	Prar.g_00212	Prbg.g_00890
OG0000219	Prar.g_00211	Prbg.g_00891
OG0000220	Prar.g_00208	Prbg.g_00894
OG0000221	Prar.g_00206	Prbg.g_00897
OG0000222	Prar.g_00205	Prbg.g_00898
OG0000223	Prar.g_00204	Prbg.g_00899
OG0000224	Prar.g_00201	Prbg.g_00901
OG0000225	Prar.g_00199	Prbg.g_00903
OG0000226	Prar.g_00198	Prbg.g_00905
OG0000227	Prar.g_00197	Prbg.g_00906
OG0000228	Prar.g_00196	Prbg.g_00907
OG0000229	Prar.g_00195	Prbg.g_00908
OG0000230	Prar.g_00194	Prbg.g_00909
OG0000231	Prar.g_00192	Prbg.g_01349
OG0000232	Prar.g_00191	Prbg.g_00911
OG0000233	Prar.g_00188	Prbg.g_00914
OG0000234	Prar.g_00186	Prbg.g_00916
OG0000235	Prar.g_00182	Prbg.g_00922
OG0000236	Prar.g_00181	Prbg.g_00923
OG0000237	Prar.g_00180	Prbg.g_00924
OG0000238	Prar.g_00179	Prbg.g_00925
OG0000239	Prar.g_00178	Prbg.g_00926
OG0000240	Prar.g_00176	Prbg.g_00928
OG0000241	Prar.g_00175	Prbg.g_00929
OG0000242	Prar.g_00174	Prbg.g_00930
OG0000243	Prar.g_00173	Prbg.g_00931
OG0000244	Prar.g_00172	Prbg.g_00932
OG0000245	Prar.g_00171	Prbg.g_00934
OG0000246	Prar.g_00169	Prbg.g_00936
OG0000247	Prar.g_00168	Prbg.g_00937
OG0000248	Prar.g_00167	Prbg.g_00938
OG0000249	Prar.g_00166	Prbg.g_00939
OG0000250	Prar.g_00165	Prbg.g_00940
OG0000251	Prar.g_00164	Prbg.g_00941
OG0000252	Prar.g_00163	Prbg.g_00942
OG0000253	Prar.g_00162	Prbg.g_00943
OG0000254	Prar.g_00160	Prbg.g_00945
OG0000255	Prar.g_00159	Prbg.g_00946
OG0000256	Prar.g_00156	Prbg.g_00949
