Orthogroup	Prar	Prbh
OG0000000	Prar.g_00918	Prbh.g_01016, Prbh.g_01022
OG0000000	Prar.g_01508	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317
OG0000002	Prar.g_01203, Prar.g_01202	Prbh.g_00001, Prbh.g_00863
OG0000003	Prar.g_00973, Prar.g_00727	Prbh.g_01901, Prbh.g_01319
OG0000004	Prar.g_01630	Prbh.g_01350
OG0000005	Prar.g_00729, Prar.g_00713	Prbh.g_01903
OG0000006	Prar.g_01328	Prbh.g_00334
OG0000006	Prar.g_01143	Prbh.g_01782
OG0000007	Prar.g_01185	Prbh.g_01406
OG0000009	Prar.g_01663	Prbh.g_01307
OG0000009	Prar.g_00078	Prbh.g_00530
OG0000010	Prar.g_01006, Prar.g_01313, Prar.g_00991	Prbh.g_01909, Prbh.g_01948
OG0000011	Prar.g_00468	Prbh.g_00408
OG0000012	Prar.g_01428	Prbh.g_00225, Prbh.g_00232
OG0000013	Prar.g_01179	Prbh.g_01869, Prbh.g_00840
OG0000015	Prar.g_00443	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806
OG0000016	Prar.g_00915	Prbh.g_01333, Prbh.g_00194
OG0000017	Prar.g_00589	Prbh.g_01834, Prbh.g_00120
OG0000018	Prar.g_00086	Prbh.g_00538
OG0000019	Prar.g_00425	Prbh.g_00938
OG0000020	Prar.g_00435	Prbh.g_00508
OG0000021	Prar.g_01665	Prbh.g_01870, Prbh.g_00788
OG0000022	Prar.g_00971	Prbh.g_01853
OG0000023	Prar.g_00737	Prbh.g_00193
OG0000024	Prar.g_00281	Prbh.g_00472
OG0000026	Prar.g_01189	Prbh.g_01401
OG0000028	Prar.g_00339	Prbh.g_00096, Prbh.g_00099
OG0000029	Prar.g_00736, Prar.g_01170	Prbh.g_00376
OG0000032	Prar.g_00879	Prbh.g_00064
OG0000035	Prar.g_01761	Prbh.g_00825
OG0000036	Prar.g_01414	Prbh.g_01855
OG0000037	Prar.g_01453	Prbh.g_01460
OG0000038	Prar.g_01649	Prbh.g_00190
OG0000039	Prar.g_00161	Prbh.g_00616
OG0000040	Prar.g_00420	Prbh.g_00833
OG0000041	Prar.g_00476	Prbh.g_01827
OG0000042	Prar.g_01599	Prbh.g_00945
OG0000043	Prar.g_01668	Prbh.g_01048
OG0000044	Prar.g_01263	Prbh.g_01283
OG0000045	Prar.g_00870	Prbh.g_00030
OG0000046	Prar.g_01150	Prbh.g_01408
