Orthogroup	Prar	Prap
OG0000000	Prar.g_00918	Prap.g_00720, Prap.g_00715
OG0000000	Prar.g_01508	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Prar.g_00926	Prap.g_01925
OG0000002	Prar.g_01203, Prar.g_01202	Prap.g_00653
OG0000003	Prar.g_00973, Prar.g_00727	Prap.g_00494
OG0000004	Prar.g_01630	Prap.g_00535
OG0000005	Prar.g_00729, Prar.g_00713	Prap.g_01862
OG0000006	Prar.g_01328	Prap.g_01270
OG0000006	Prar.g_01143	Prap.g_01779
OG0000007	Prar.g_01185	Prap.g_01888
OG0000009	Prar.g_01663	Prap.g_00480
OG0000009	Prar.g_00078	Prap.g_01462
OG0000010	Prar.g_01006, Prar.g_01313, Prar.g_00991	Prap.g_00010
OG0000011	Prar.g_00468	Prap.g_01343
OG0000012	Prar.g_01428	Prap.g_01163, Prap.g_01170
OG0000013	Prar.g_01179	Prap.g_01840, Prap.g_01794
OG0000014	Prar.g_00520	Prap.g_01860, Prap.g_01912
OG0000015	Prar.g_00443	Prap.g_01851, Prap.g_01818
OG0000016	Prar.g_00915	Prap.g_00510, Prap.g_00218
OG0000017	Prar.g_00589	Prap.g_01834, Prap.g_00142
OG0000018	Prar.g_00086	Prap.g_01470
OG0000019	Prar.g_00425	Prap.g_00797
OG0000020	Prar.g_00435	Prap.g_01439
OG0000021	Prar.g_01665	Prap.g_01797
OG0000024	Prar.g_00281	Prap.g_01403
OG0000026	Prar.g_01189	Prap.g_01903
OG0000028	Prar.g_00339	Prap.g_00121
OG0000029	Prar.g_00736, Prar.g_01170	Prap.g_01312
OG0000032	Prar.g_00879	Prap.g_00080
OG0000035	Prar.g_01761	Prap.g_00017
OG0000036	Prar.g_01414	Prap.g_01183, Prap.g_01790
OG0000037	Prar.g_01453	Prap.g_01145, Prap.g_00236
OG0000038	Prar.g_01649	Prap.g_00212
OG0000039	Prar.g_00161	Prap.g_01004
OG0000040	Prar.g_00420	Prap.g_00029
OG0000041	Prar.g_00476	Prap.g_01815, Prap.g_01821
OG0000042	Prar.g_01599	Prap.g_00791
OG0000043	Prar.g_01668	Prap.g_00691
OG0000044	Prar.g_01263	Prap.g_00456
OG0000045	Prar.g_00362, Prar.g_00870	Prap.g_00081
OG0000046	Prar.g_01150	Prap.g_01917, Prap.g_01787
OG0000047	Prar.g_00592, Prar.g_00653	Prap.g_01580
OG0000048	Prar.g_00660	Prap.g_01572
OG0000050	Prar.g_00007	Prap.g_00923
OG0000051	Prar.g_01569, Prar.g_00170	Prap.g_01013
OG0000052	Prar.g_00431	Prap.g_00591
OG0000053	Prar.g_01369	Prap.g_01867, Prap.g_01230
OG0000055	Prar.g_01706	Prap.g_00760
OG0000057	Prar.g_00090	Prap.g_01475
OG0000058	Prar.g_00525	Prap.g_01292
OG0000059	Prar.g_01528	Prap.g_00799
OG0000062	Prar.g_01296	Prap.g_01883
OG0000063	Prar.g_01003	Prap.g_00429
OG0000065	Prar.g_00955	Prap.g_00561
OG0000066	Prar.g_00880	Prap.g_00079
OG0000068	Prar.g_01027	Prap.g_01642
OG0000071	Prar.g_00027	Prap.g_00043
OG0000072	Prar.g_00265	Prap.g_01389
OG0000073	Prar.g_01499	Prap.g_00356
OG0000074	Prar.g_01521	Prap.g_00809
OG0000075	Prar.g_01691	Prap.g_00776
OG0000076	Prar.g_01904	Prap.g_00708
OG0000077	Prar.g_00712	Prap.g_01863
OG0000078	Prar.g_00872	Prap.g_00082
OG0000079	Prar.g_00769	Prap.g_00206
OG0000080	Prar.g_01166	Prap.g_00618
OG0000081	Prar.g_00627	Prap.g_01608
OG0000083	Prar.g_00035	Prap.g_00051
OG0000084	Prar.g_00032	Prap.g_00048
OG0000085	Prar.g_00015	Prap.g_00932
OG0000087	Prar.g_00570	Prap.g_00903
OG0000088	Prar.g_00215	Prap.g_01061
OG0000089	Prar.g_00207	Prap.g_01052
OG0000090	Prar.g_00189	Prap.g_01035
OG0000091	Prar.g_00158	Prap.g_01001
OG0000092	Prar.g_00157	Prap.g_01000
OG0000093	Prar.g_00143	Prap.g_00986
OG0000094	Prar.g_00125	Prap.g_00967
OG0000095	Prar.g_00120	Prap.g_00962
OG0000096	Prar.g_00076	Prap.g_01460
OG0000097	Prar.g_00313	Prap.g_01436
OG0000098	Prar.g_00303	Prap.g_01425
OG0000099	Prar.g_00293	Prap.g_01415
OG0000100	Prar.g_00290, Prar.g_01154	Prap.g_01412
OG0000101	Prar.g_00417	Prap.g_01347
OG0000102	Prar.g_00444	Prap.g_00543
OG0000103	Prar.g_00526	Prap.g_01291
OG0000104	Prar.g_00530	Prap.g_01287
OG0000105	Prar.g_01330	Prap.g_01267
OG0000106	Prar.g_01362	Prap.g_01237
OG0000107	Prar.g_01363	Prap.g_01236
OG0000108	Prar.g_01373	Prap.g_01226
OG0000109	Prar.g_01382	Prap.g_01217
OG0000110	Prar.g_01398	Prap.g_01200
OG0000111	Prar.g_01481	Prap.g_00375
OG0000112	Prar.g_01482	Prap.g_00374
OG0000113	Prar.g_01621	Prap.g_00324
OG0000114	Prar.g_01682	Prap.g_00785
OG0000115	Prar.g_01833	Prap.g_00257
OG0000116	Prar.g_01837	Prap.g_00261
OG0000117	Prar.g_01901	Prap.g_00705
OG0000118	Prar.g_01953	Prap.g_00501
OG0000119	Prar.g_01293	Prap.g_01880
OG0000120	Prar.g_01257	Prap.g_00450
OG0000121	Prar.g_01238	Prap.g_00427
OG0000122	Prar.g_01219	Prap.g_00407
OG0000123	Prar.g_01206	Prap.g_01135
OG0000124	Prar.g_00376	Prap.g_00217
OG0000125	Prar.g_00943	Prap.g_00574
OG0000126	Prar.g_00911	Prap.g_00059
OG0000127	Prar.g_00352	Prap.g_00109
OG0000128	Prar.g_00338	Prap.g_00122
OG0000129	Prar.g_00810	Prap.g_00158
OG0000130	Prar.g_01145	Prap.g_01782
OG0000131	Prar.g_01959	Prap.g_01742
OG0000132	Prar.g_00595, Prar.g_01956	Prap.g_01739
OG0000133	Prar.g_01068	Prap.g_01685
OG0000134	Prar.g_01032	Prap.g_01648, Prap.g_01649
OG0000135	Prar.g_01030	Prap.g_01646
OG0000136	Prar.g_00638	Prap.g_01596
OG0000137	Prar.g_00669	Prap.g_01562
OG0000138	Prar.g_00704	Prap.g_01528
OG0000139	Prar.g_00055	Prap.g_01497
OG0000140	Prar.g_00037	Prap.g_00053
OG0000141	Prar.g_00036	Prap.g_00052
OG0000142	Prar.g_00034	Prap.g_00050
OG0000143	Prar.g_00033	Prap.g_00049
OG0000144	Prar.g_00031	Prap.g_00047
OG0000145	Prar.g_00030	Prap.g_00046
OG0000146	Prar.g_00029	Prap.g_00045
OG0000147	Prar.g_00028	Prap.g_00044
OG0000148	Prar.g_00026	Prap.g_00042
OG0000149	Prar.g_00024	Prap.g_00941
OG0000150	Prar.g_00023	Prap.g_00940
OG0000151	Prar.g_00022	Prap.g_00939
OG0000152	Prar.g_00021	Prap.g_00938
OG0000153	Prar.g_00020	Prap.g_00937
OG0000154	Prar.g_00019	Prap.g_00936
OG0000155	Prar.g_00018	Prap.g_00935
OG0000156	Prar.g_00017	Prap.g_00934
OG0000157	Prar.g_00016	Prap.g_00933
OG0000158	Prar.g_00014	Prap.g_00931
OG0000159	Prar.g_00013	Prap.g_00930
OG0000160	Prar.g_00012	Prap.g_00929
OG0000161	Prar.g_00011	Prap.g_00928
OG0000162	Prar.g_00010	Prap.g_00927
OG0000163	Prar.g_00009	Prap.g_00925
OG0000164	Prar.g_00006	Prap.g_00922
OG0000165	Prar.g_00002	Prap.g_00919
OG0000166	Prar.g_00001	Prap.g_00918
OG0000167	Prar.g_00594	Prap.g_00917
OG0000168	Prar.g_00580	Prap.g_00915
OG0000169	Prar.g_00578	Prap.g_00913
OG0000170	Prar.g_00577	Prap.g_00911
OG0000171	Prar.g_00576	Prap.g_00910
OG0000172	Prar.g_00574	Prap.g_00909
OG0000173	Prar.g_00573	Prap.g_00906
OG0000174	Prar.g_00572	Prap.g_00905
OG0000175	Prar.g_00571	Prap.g_00904
OG0000176	Prar.g_00569	Prap.g_00902
OG0000177	Prar.g_00568	Prap.g_00901
OG0000178	Prar.g_00567	Prap.g_00899
OG0000179	Prar.g_00554	Prap.g_00887
OG0000180	Prar.g_00553	Prap.g_00886
OG0000181	Prar.g_00552	Prap.g_00885
OG0000182	Prar.g_00549	Prap.g_00881
OG0000183	Prar.g_00548	Prap.g_00880
OG0000184	Prar.g_00255	Prap.g_00877
OG0000185	Prar.g_00251	Prap.g_01100
OG0000186	Prar.g_00250	Prap.g_01099
OG0000187	Prar.g_00249	Prap.g_00025
OG0000188	Prar.g_00248	Prap.g_01098
OG0000189	Prar.g_00247	Prap.g_01097
OG0000190	Prar.g_00246	Prap.g_01096
OG0000191	Prar.g_00245	Prap.g_01095
OG0000192	Prar.g_00244	Prap.g_01094
OG0000193	Prar.g_00243	Prap.g_01093
OG0000194	Prar.g_00242	Prap.g_01092
OG0000195	Prar.g_00240	Prap.g_01090
OG0000196	Prar.g_00239	Prap.g_01089
OG0000197	Prar.g_00238	Prap.g_01088
OG0000198	Prar.g_00237	Prap.g_01087
OG0000199	Prar.g_00234	Prap.g_01084
OG0000200	Prar.g_00233	Prap.g_01083
OG0000201	Prar.g_00232	Prap.g_01082
OG0000202	Prar.g_00231	Prap.g_01080
OG0000203	Prar.g_00230	Prap.g_01079
OG0000204	Prar.g_00229	Prap.g_01078
OG0000205	Prar.g_00228	Prap.g_01076
OG0000206	Prar.g_00227	Prap.g_01075
OG0000207	Prar.g_00226	Prap.g_01074
OG0000208	Prar.g_00225	Prap.g_01073
OG0000209	Prar.g_00224	Prap.g_01072
OG0000210	Prar.g_00222	Prap.g_01071
OG0000211	Prar.g_00221	Prap.g_01069
OG0000212	Prar.g_00220	Prap.g_01068
OG0000213	Prar.g_00219	Prap.g_01067
OG0000214	Prar.g_00217	Prap.g_01063
OG0000215	Prar.g_00216	Prap.g_01062
OG0000216	Prar.g_00214	Prap.g_01060
OG0000217	Prar.g_00213	Prap.g_01059
OG0000218	Prar.g_00212	Prap.g_01058
OG0000219	Prar.g_00211	Prap.g_01057
OG0000220	Prar.g_00208	Prap.g_01054
OG0000221	Prar.g_00206	Prap.g_01051
OG0000222	Prar.g_00205	Prap.g_01050
OG0000223	Prar.g_00204	Prap.g_01049
OG0000224	Prar.g_00201	Prap.g_01047
OG0000225	Prar.g_00199	Prap.g_01045
OG0000226	Prar.g_00198	Prap.g_01043
OG0000227	Prar.g_00197	Prap.g_01042
OG0000228	Prar.g_00196	Prap.g_01041
OG0000229	Prar.g_00195	Prap.g_01040
OG0000230	Prar.g_00194	Prap.g_01039
OG0000231	Prar.g_00192	Prap.g_00319
OG0000232	Prar.g_00191	Prap.g_01037
OG0000233	Prar.g_00188	Prap.g_01034
OG0000234	Prar.g_00186	Prap.g_01032
OG0000235	Prar.g_00182	Prap.g_01026
OG0000236	Prar.g_00181	Prap.g_01025
OG0000237	Prar.g_00180	Prap.g_01024
OG0000238	Prar.g_00179	Prap.g_01023
OG0000239	Prar.g_00178	Prap.g_01022
OG0000240	Prar.g_00176	Prap.g_01020
OG0000241	Prar.g_00175	Prap.g_01019
OG0000242	Prar.g_00174	Prap.g_01018
OG0000243	Prar.g_00173	Prap.g_01017
OG0000244	Prar.g_00172	Prap.g_01016
OG0000245	Prar.g_00171	Prap.g_01014
OG0000246	Prar.g_00169	Prap.g_01012
OG0000247	Prar.g_00168	Prap.g_01011
OG0000248	Prar.g_00167	Prap.g_01010
OG0000249	Prar.g_00166	Prap.g_01009
OG0000250	Prar.g_00165	Prap.g_01008
OG0000251	Prar.g_00164	Prap.g_01007
OG0000252	Prar.g_00163	Prap.g_01006
OG0000253	Prar.g_00162	Prap.g_01005
OG0000254	Prar.g_00160	Prap.g_01003
OG0000255	Prar.g_00159	Prap.g_01002
OG0000256	Prar.g_00156	Prap.g_00999
OG0000257	Prar.g_00154	Prap.g_00997
OG0000258	Prar.g_00153	Prap.g_00996
OG0000259	Prar.g_00152	Prap.g_00995
OG0000260	Prar.g_00151	Prap.g_00994
OG0000261	Prar.g_00150	Prap.g_00993
OG0000262	Prar.g_00149	Prap.g_00992
OG0000263	Prar.g_00148	Prap.g_00991
OG0000264	Prar.g_00146	Prap.g_00989
OG0000265	Prar.g_00145	Prap.g_00988
OG0000266	Prar.g_00144	Prap.g_00987
OG0000267	Prar.g_00142	Prap.g_00985
OG0000268	Prar.g_00141	Prap.g_00983
OG0000269	Prar.g_00140	Prap.g_00982
OG0000270	Prar.g_00139	Prap.g_00981
OG0000271	Prar.g_00138	Prap.g_00980
OG0000272	Prar.g_00137	Prap.g_00979
OG0000273	Prar.g_00136	Prap.g_00978
OG0000274	Prar.g_00135	Prap.g_00977
OG0000275	Prar.g_00134	Prap.g_00976
