Orthogroup	Prar	Prau
OG0000000	Prar.g_00918	Prau.g_01402
OG0000000	Prar.g_01508	Prau.g_00718
OG0000001	Prar.g_01204	Prau.g_01266
OG0000002	Prar.g_00926	Prau.g_01394
OG0000002	Prar.g_01202	Prau.g_01267, Prau.g_01269
OG0000003	Prar.g_00973	Prau.g_01350
OG0000003	Prar.g_00727	Prau.g_01650
OG0000004	Prar.g_01623	Prau.g_00785
OG0000004	Prar.g_01630	Prau.g_00792
OG0000005	Prar.g_00729	Prau.g_01648
OG0000005	Prar.g_00713	Prau.g_01665
OG0000006	Prar.g_01328	Prau.g_00538
OG0000006	Prar.g_01143	Prau.g_01732
OG0000007	Prar.g_01185	Prau.g_00781
OG0000007	Prar.g_01502	Prau.g_00712
OG0000008	Prar.g_00445	Prau.g_00387
OG0000008	Prar.g_01002	Prau.g_01319
OG0000009	Prar.g_01663	Prau.g_00834
OG0000009	Prar.g_00078	Prau.g_00251
OG0000010	Prar.g_01313	Prau.g_01156
OG0000010	Prar.g_00991	Prau.g_01331
OG0000011	Prar.g_00468	Prau.g_00414
OG0000011	Prar.g_00257	Prau.g_00332
OG0000012	Prar.g_01428	Prau.g_00636
OG0000013	Prar.g_01179	Prau.g_00817
OG0000015	Prar.g_00443	Prau.g_00385
OG0000016	Prar.g_00915	Prau.g_01405
OG0000017	Prar.g_00827	Prau.g_01551
OG0000017	Prar.g_00589	Prau.g_00040
OG0000018	Prar.g_00086	Prau.g_01316
OG0000019	Prar.g_00425	Prau.g_00367
OG0000020	Prar.g_00435	Prau.g_00377
OG0000021	Prar.g_01665	Prau.g_00836
OG0000022	Prar.g_00971	Prau.g_01352
OG0000023	Prar.g_00737	Prau.g_01641
OG0000024	Prar.g_00281	Prau.g_01470, Prau.g_00308
OG0000025	Prar.g_01940	Prau.g_01123
OG0000026	Prar.g_00005, Prar.g_00004	Prau.g_00032
OG0000026	Prar.g_01189	Prau.g_01295
OG0000027	Prar.g_00761	Prau.g_01618
OG0000027	Prar.g_01626	Prau.g_00788
OG0000028	Prar.g_00339	Prau.g_01528, Prau.g_01531
OG0000029	Prar.g_00736	Prau.g_01642
OG0000029	Prar.g_01170	Prau.g_01285
OG0000030	Prar.g_00593	Prau.g_01268
OG0000032	Prar.g_00879	Prau.g_01431
OG0000033	Prar.g_00025	Prau.g_00013
OG0000035	Prar.g_01943	Prau.g_01126
OG0000036	Prar.g_01414	Prau.g_00624
OG0000037	Prar.g_01453	Prau.g_00663
OG0000038	Prar.g_01649	Prau.g_00814
OG0000039	Prar.g_00161	Prau.g_00167
OG0000040	Prar.g_00420	Prau.g_00362
OG0000041	Prar.g_00476	Prau.g_00458, Prau.g_00432
OG0000042	Prar.g_01599	Prau.g_00755
OG0000043	Prar.g_01668	Prau.g_00839
OG0000044	Prar.g_01263	Prau.g_01206
OG0000045	Prar.g_00362	Prau.g_01432, Prau.g_01460
OG0000046	Prar.g_01150	Prau.g_01725
OG0000047	Prar.g_00592	Prau.g_00037
OG0000047	Prar.g_00653	Prau.g_01925
OG0000048	Prar.g_00660	Prau.g_01932
OG0000050	Prar.g_00007	Prau.g_00030
OG0000051	Prar.g_00170	Prau.g_00158
OG0000052	Prar.g_00431	Prau.g_00373
OG0000053	Prar.g_01369	Prau.g_00579
OG0000054	Prar.g_01644	Prau.g_00808
OG0000055	Prar.g_01706	Prau.g_00876
OG0000056	Prar.g_01307	Prau.g_01162
OG0000057	Prar.g_00090	Prau.g_00238
OG0000058	Prar.g_00525	Prau.g_00516
OG0000059	Prar.g_01528	Prau.g_00738
OG0000060	Prar.g_01628	Prau.g_00790
OG0000060	Prar.g_01558, Prar.g_01562	Prau.g_01703
OG0000061	Prar.g_01298	Prau.g_01172
OG0000062	Prar.g_01296	Prau.g_01174
OG0000063	Prar.g_01003	Prau.g_01318
OG0000064	Prar.g_00997	Prau.g_01325
OG0000065	Prar.g_00955	Prau.g_01371
OG0000066	Prar.g_00880	Prau.g_01430
OG0000067	Prar.g_00988	Prau.g_01335, Prau.g_01307
OG0000068	Prar.g_01027	Prau.g_01869
OG0000069	Prar.g_00886	Prau.g_01475, Prau.g_01446
OG0000071	Prar.g_00027	Prau.g_00011
OG0000072	Prar.g_00265	Prau.g_00324
OG0000073	Prar.g_01499	Prau.g_00709
OG0000074	Prar.g_01521	Prau.g_00731
OG0000075	Prar.g_01691	Prau.g_00861
OG0000076	Prar.g_01904	Prau.g_01089
OG0000077	Prar.g_00712	Prau.g_01666
OG0000078	Prar.g_00872	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prar.g_00769	Prau.g_01609
OG0000080	Prar.g_01166	Prau.g_01658
OG0000081	Prar.g_00627	Prau.g_01899
OG0000082	Prar.g_00072	Prau.g_01987
OG0000083	Prar.g_00035	Prau.g_00003
OG0000084	Prar.g_00032	Prau.g_00006
OG0000085	Prar.g_00015	Prau.g_00023
OG0000086	Prar.g_00581	Prau.g_00046
OG0000087	Prar.g_00570	Prau.g_00057
OG0000088	Prar.g_00215	Prau.g_00114
OG0000089	Prar.g_00207	Prau.g_00122
OG0000090	Prar.g_00189	Prau.g_00140
OG0000091	Prar.g_00158	Prau.g_00170
OG0000092	Prar.g_00157	Prau.g_00171
OG0000093	Prar.g_00143	Prau.g_00185
OG0000094	Prar.g_00125	Prau.g_00203
OG0000095	Prar.g_00120	Prau.g_00208
OG0000097	Prar.g_00313	Prau.g_00276
OG0000098	Prar.g_00303	Prau.g_00286
OG0000099	Prar.g_00293	Prau.g_00296
OG0000100	Prar.g_00290	Prau.g_00299
OG0000101	Prar.g_00417	Prau.g_00359
OG0000102	Prar.g_00444	Prau.g_00386
OG0000103	Prar.g_00526	Prau.g_00517
OG0000104	Prar.g_00530	Prau.g_00521
OG0000105	Prar.g_01330	Prau.g_00540
OG0000106	Prar.g_01362	Prau.g_00572
OG0000107	Prar.g_01363	Prau.g_00573
OG0000108	Prar.g_01373	Prau.g_00583
OG0000109	Prar.g_01382	Prau.g_00592
OG0000110	Prar.g_01398	Prau.g_00608
OG0000111	Prar.g_01481	Prau.g_00691
OG0000112	Prar.g_01482	Prau.g_00692
OG0000113	Prar.g_01621	Prau.g_00777
OG0000114	Prar.g_01682	Prau.g_00852
OG0000115	Prar.g_01833	Prau.g_01015
OG0000116	Prar.g_01837	Prau.g_01019
OG0000117	Prar.g_01901	Prau.g_01086
OG0000118	Prar.g_01953	Prau.g_01136
OG0000119	Prar.g_01293	Prau.g_01177
OG0000120	Prar.g_01257	Prau.g_01212
OG0000121	Prar.g_01238	Prau.g_01231
OG0000122	Prar.g_01219	Prau.g_01250
OG0000123	Prar.g_01206	Prau.g_01263
OG0000124	Prar.g_00376	Prau.g_01271
OG0000125	Prar.g_00943	Prau.g_01383
OG0000126	Prar.g_00911	Prau.g_01409
OG0000127	Prar.g_00352	Prau.g_01515
OG0000128	Prar.g_00338	Prau.g_01532
OG0000129	Prar.g_00810	Prau.g_01568
OG0000130	Prar.g_01145	Prau.g_01730
OG0000131	Prar.g_01959	Prau.g_01768
OG0000132	Prar.g_00595, Prar.g_01956	Prau.g_01771
OG0000133	Prar.g_01068	Prau.g_01828
OG0000134	Prar.g_01032	Prau.g_01864
OG0000135	Prar.g_01030	Prau.g_01866
OG0000136	Prar.g_00638	Prau.g_01910
OG0000137	Prar.g_00669	Prau.g_01942
OG0000138	Prar.g_00704	Prau.g_01978
OG0000139	Prar.g_00055	Prau.g_02004
OG0000140	Prar.g_00037	Prau.g_00001
OG0000141	Prar.g_00036	Prau.g_00002
OG0000142	Prar.g_00034	Prau.g_00004
OG0000143	Prar.g_00033	Prau.g_00005
OG0000144	Prar.g_00031	Prau.g_00007
OG0000145	Prar.g_00030	Prau.g_00008
OG0000146	Prar.g_00029	Prau.g_00009
OG0000147	Prar.g_00028	Prau.g_00010
OG0000148	Prar.g_00026	Prau.g_00012
OG0000149	Prar.g_00024	Prau.g_00014
OG0000150	Prar.g_00023	Prau.g_00015
OG0000151	Prar.g_00022	Prau.g_00016
OG0000152	Prar.g_00021	Prau.g_00017
OG0000153	Prar.g_00020	Prau.g_00018
OG0000154	Prar.g_00019	Prau.g_00019
OG0000155	Prar.g_00018	Prau.g_00020
OG0000156	Prar.g_00017	Prau.g_00021
OG0000157	Prar.g_00016	Prau.g_00022
OG0000158	Prar.g_00014	Prau.g_00024
OG0000159	Prar.g_00013	Prau.g_00025
OG0000160	Prar.g_00012	Prau.g_00026
OG0000161	Prar.g_00011	Prau.g_00027
OG0000162	Prar.g_00010	Prau.g_00028
OG0000163	Prar.g_00009	Prau.g_00029
OG0000164	Prar.g_00006	Prau.g_00031
OG0000165	Prar.g_00002	Prau.g_00034
OG0000166	Prar.g_00001	Prau.g_00035
OG0000167	Prar.g_00594	Prau.g_00036
OG0000168	Prar.g_00580	Prau.g_00047
OG0000169	Prar.g_00578	Prau.g_00049
OG0000170	Prar.g_00577	Prau.g_00050
OG0000171	Prar.g_00576	Prau.g_00051
OG0000172	Prar.g_00574	Prau.g_00053
OG0000173	Prar.g_00573	Prau.g_00054
OG0000174	Prar.g_00572	Prau.g_00055
OG0000175	Prar.g_00571	Prau.g_00056
OG0000176	Prar.g_00569	Prau.g_00058
OG0000177	Prar.g_00568	Prau.g_00059
OG0000178	Prar.g_00567	Prau.g_00060
OG0000179	Prar.g_00554	Prau.g_00066
OG0000180	Prar.g_00553	Prau.g_00067
OG0000181	Prar.g_00552	Prau.g_00068
OG0000182	Prar.g_00549	Prau.g_00071
OG0000183	Prar.g_00548	Prau.g_00072
OG0000184	Prar.g_00255	Prau.g_00074
OG0000185	Prar.g_00251	Prau.g_00078
OG0000186	Prar.g_00250	Prau.g_00079
OG0000187	Prar.g_00249	Prau.g_00080
OG0000188	Prar.g_00248	Prau.g_00081
OG0000189	Prar.g_00247	Prau.g_00082
OG0000190	Prar.g_00246	Prau.g_00083
OG0000191	Prar.g_00245	Prau.g_00084
OG0000192	Prar.g_00244	Prau.g_00085
OG0000193	Prar.g_00243	Prau.g_00086
OG0000194	Prar.g_00242	Prau.g_00087
OG0000195	Prar.g_00240	Prau.g_00089
OG0000196	Prar.g_00239	Prau.g_00090
OG0000197	Prar.g_00238	Prau.g_00091
OG0000198	Prar.g_00237	Prau.g_00092
OG0000199	Prar.g_00234	Prau.g_00095
OG0000200	Prar.g_00233	Prau.g_00096
OG0000201	Prar.g_00232	Prau.g_00097
OG0000202	Prar.g_00231	Prau.g_00098
OG0000203	Prar.g_00230	Prau.g_00099
OG0000204	Prar.g_00229	Prau.g_00100
OG0000205	Prar.g_00228	Prau.g_00101
OG0000206	Prar.g_00227	Prau.g_00102
OG0000207	Prar.g_00226	Prau.g_00103
OG0000208	Prar.g_00225	Prau.g_00104
OG0000209	Prar.g_00224	Prau.g_00105
OG0000210	Prar.g_00222	Prau.g_00107
OG0000211	Prar.g_00221	Prau.g_00108
OG0000212	Prar.g_00220	Prau.g_00109
OG0000213	Prar.g_00219	Prau.g_00110
OG0000214	Prar.g_00217	Prau.g_00112
