Orthogroup	Prar	Prbe
OG0000000	Prar.g_00918	Prbe.g_01285, Prbe.g_01290
OG0000000	Prar.g_01508	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Prar.g_00926	Prbe.g_00400
OG0000002	Prar.g_01203, Prar.g_01202	Prbe.g_00112
OG0000003	Prar.g_00973, Prar.g_00727	Prbe.g_01587
OG0000004	Prar.g_01630	Prbe.g_01628
OG0000005	Prar.g_00729, Prar.g_00713	Prbe.g_01119
OG0000006	Prar.g_01328	Prbe.g_00636
OG0000006	Prar.g_01143	Prbe.g_00985
OG0000007	Prar.g_01185	Prbe.g_00036
OG0000009	Prar.g_01663	Prbe.g_01573
OG0000009	Prar.g_00078	Prbe.g_01802
OG0000010	Prar.g_01006, Prar.g_01313, Prar.g_00991	Prbe.g_00081
OG0000011	Prar.g_00468	Prbe.g_01921
OG0000012	Prar.g_01428	Prbe.g_00529, Prbe.g_00536
OG0000013	Prar.g_01179	Prbe.g_01046, Prbe.g_01000
OG0000014	Prar.g_00520	Prbe.g_01121, Prbe.g_00012
OG0000015	Prar.g_00443	Prbe.g_01130, Prbe.g_01024
OG0000016	Prar.g_00915	Prbe.g_01603, Prbe.g_00214
OG0000017	Prar.g_00589	Prbe.g_01040, Prbe.g_00290
OG0000018	Prar.g_00086	Prbe.g_01794
OG0000019	Prar.g_00425	Prbe.g_01208
OG0000020	Prar.g_00435	Prbe.g_01825
OG0000021	Prar.g_01665	Prbe.g_01003
OG0000024	Prar.g_00281	Prbe.g_01861
OG0000026	Prar.g_01189	Prbe.g_00021
OG0000028	Prar.g_00339	Prbe.g_00311
OG0000029	Prar.g_00736, Prar.g_01170	Prbe.g_00678
OG0000032	Prar.g_00879	Prbe.g_00352
OG0000035	Prar.g_01761	Prbe.g_00074
OG0000036	Prar.g_01414	Prbe.g_00549, Prbe.g_00996
OG0000037	Prar.g_01453	Prbe.g_00511, Prbe.g_00196
OG0000038	Prar.g_01649	Prbe.g_00220
OG0000039	Prar.g_00161	Prbe.g_01714
OG0000040	Prar.g_00420	Prbe.g_00062
OG0000041	Prar.g_00476	Prbe.g_01021, Prbe.g_01027
OG0000042	Prar.g_01599	Prbe.g_01214
OG0000043	Prar.g_01668	Prbe.g_01314
OG0000044	Prar.g_01263	Prbe.g_01549
OG0000045	Prar.g_00362, Prar.g_00870	Prbe.g_00351
OG0000046	Prar.g_01150	Prbe.g_00007, Prbe.g_00993
OG0000047	Prar.g_00592, Prar.g_00653	Prbe.g_00774
OG0000048	Prar.g_00660	Prbe.g_00766
OG0000050	Prar.g_00007	Prbe.g_00132
OG0000051	Prar.g_01569, Prar.g_00170	Prbe.g_01705
OG0000052	Prar.g_00431	Prbe.g_00740
OG0000053	Prar.g_01369	Prbe.g_01114, Prbe.g_00596
OG0000055	Prar.g_01706	Prbe.g_01245
OG0000057	Prar.g_00090	Prbe.g_01789
OG0000058	Prar.g_00525	Prbe.g_00658
OG0000059	Prar.g_01528	Prbe.g_01206
OG0000062	Prar.g_01296	Prbe.g_00041
OG0000063	Prar.g_01003	Prbe.g_01522
OG0000065	Prar.g_00955	Prbe.g_00893
OG0000066	Prar.g_00880	Prbe.g_00353
OG0000068	Prar.g_01027	Prbe.g_00836
OG0000071	Prar.g_00027	Prbe.g_01076
OG0000072	Prar.g_00265	Prbe.g_01875
OG0000073	Prar.g_01499	Prbe.g_01449
OG0000074	Prar.g_01521	Prbe.g_00466
OG0000075	Prar.g_01691	Prbe.g_01229
OG0000076	Prar.g_01904	Prbe.g_01297
OG0000077	Prar.g_00712	Prbe.g_01118
OG0000078	Prar.g_00872	Prbe.g_00350
OG0000079	Prar.g_00769	Prbe.g_00226
OG0000080	Prar.g_01166	Prbe.g_00714
OG0000081	Prar.g_00627	Prbe.g_00802
OG0000083	Prar.g_00035	Prbe.g_01068
OG0000084	Prar.g_00032	Prbe.g_01071
OG0000085	Prar.g_00015	Prbe.g_00123
OG0000087	Prar.g_00570	Prbe.g_00152
OG0000088	Prar.g_00215	Prbe.g_01657
