	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Number of genes	1889	1916	1931	1957	1873	2736	1919	2558	1898	2110	1903	1864	1914	1913	1832	1907	1921	1937	1958	1852	1982	1969	1913	1938	1904	1902	1916	2150	2163	1892	1911	1906	1901	1913	2065	2668	2661	2645	2192	1910	2712	2869	2449	3004	2653	2766	2824	2502	2887	2863	2728	2977	2401	3064	2683	2746	2692	3265	2817	3357
Number of genes in orthogroups	1871	1914	1927	1932	1848	2552	1916	2403	1857	2084	1903	1804	1910	1911	1813	1906	1915	1929	1912	1799	1944	1937	1909	1908	1904	1899	1908	2112	2108	1866	1906	1906	1900	1910	1994	2658	2653	2633	2141	1907	2572	2603	2367	2792	2521	2592	2610	2401	2714	2715	2572	2689	2322	2864	2508	2355	2587	2954	2648	3011
Number of unassigned genes	18	2	4	25	25	184	3	155	41	26	0	60	4	2	19	1	6	8	46	53	38	32	4	30	0	3	8	38	55	26	5	0	1	3	71	10	8	12	51	3	140	266	82	212	132	174	214	101	173	148	156	288	79	200	175	391	105	311	169	346
Percentage of genes in orthogroups	99.0	99.9	99.8	98.7	98.7	93.3	99.8	93.9	97.8	98.8	100.0	96.8	99.8	99.9	99.0	99.9	99.7	99.6	97.7	97.1	98.1	98.4	99.8	98.5	100.0	99.8	99.6	98.2	97.5	98.6	99.7	100.0	99.9	99.8	96.6	99.6	99.7	99.5	97.7	99.8	94.8	90.7	96.7	92.9	95.0	93.7	92.4	96.0	94.0	94.8	94.3	90.3	96.7	93.5	93.5	85.8	96.1	90.5	94.0	89.7
Percentage of unassigned genes	1.0	0.1	0.2	1.3	1.3	6.7	0.2	6.1	2.2	1.2	0.0	3.2	0.2	0.1	1.0	0.1	0.3	0.4	2.3	2.9	1.9	1.6	0.2	1.5	0.0	0.2	0.4	1.8	2.5	1.4	0.3	0.0	0.1	0.2	3.4	0.4	0.3	0.5	2.3	0.2	5.2	9.3	3.3	7.1	5.0	6.3	7.6	4.0	6.0	5.2	5.7	9.7	3.3	6.5	6.5	14.2	3.9	9.5	6.0	10.3
Number of orthogroups containing species	1805	1841	1851	1850	1802	2314	1849	2213	1788	1936	1840	1741	1848	1843	1768	1842	1843	1853	1830	1733	1851	1848	1842	1837	1849	1843	1848	1965	1969	1802	1843	1842	1841	1848	1876	2512	2516	2503	1957	1842	2353	2405	2263	2543	2384	2430	2418	2286	2474	2515	2415	2489	2192	2520	2356	1974	2385	2540	2466	2655
Percentage of orthogroups containing species	27.6	28.1	28.3	28.3	27.5	35.3	28.2	33.8	27.3	29.6	28.1	26.6	28.2	28.2	27.0	28.1	28.2	28.3	28.0	26.5	28.3	28.2	28.1	28.1	28.2	28.2	28.2	30.0	30.1	27.5	28.2	28.1	28.1	28.2	28.7	38.4	38.4	38.2	29.9	28.1	35.9	36.7	34.6	38.8	36.4	37.1	36.9	34.9	37.8	38.4	36.9	38.0	33.5	38.5	36.0	30.2	36.4	38.8	37.7	40.6
Number of species-specific orthogroups	0	0	0	1	0	10	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0	0	9	9	1	10	5	3	17	0	19	8	5	11	1	21	3	27	11	15	5	22
Number of genes in species-specific orthogroups	0	0	0	10	0	26	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	6	0	0	0	0	0	22	19	3	30	20	7	42	0	40	17	12	24	2	55	7	61	23	46	12	62
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.5	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.8	0.7	0.1	1.0	0.8	0.3	1.5	0.0	1.4	0.6	0.4	0.8	0.1	1.8	0.3	2.2	0.9	1.4	0.4	1.8


