Orthogroup	Pras	Syas
OG0000001	Pras.g_00235	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Pras.g_01571	Syas.g_00176
OG0000004	Pras.g_01084	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Pras.g_00563	Syas.g_02665
OG0000005	Pras.g_00429	Syas.g_02704
OG0000006	Pras.g_00148, Pras.g_01093	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Pras.g_01375	Syas.g_01232
OG0000007	Pras.g_00550	Syas.g_02681
OG0000009	Pras.g_00956	Syas.g_01450
OG0000010	Pras.g_00523, Pras.g_01942	Syas.g_01334
OG0000012	Pras.g_01499	Syas.g_00111, Syas.g_00827
OG0000013	Pras.g_01179	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Pras.g_01158	Syas.g_01816
OG0000015	Pras.g_00127	Syas.g_02007, Syas.g_00968
OG0000016	Pras.g_00855	Syas.g_02048
OG0000017	Pras.g_01474	Syas.g_00849, Syas.g_00856
OG0000018	Pras.g_00037	Syas.g_01290
OG0000019	Pras.g_01101, Pras.g_01681	Syas.g_01696
OG0000022	Pras.g_00019	Syas.g_02758
OG0000025	Pras.g_01183, Pras.g_01735	Syas.g_00231
OG0000026	Pras.g_00873, Pras.g_01949	Syas.g_02070
OG0000027	Pras.g_01348, Pras.g_00185	Syas.g_01480
OG0000028	Pras.g_00169, Pras.g_01172	Syas.g_01793
OG0000030	Pras.g_00753	Syas.g_01644, Syas.g_01645
OG0000034	Pras.g_00219	Syas.g_02371, Syas.g_02838
OG0000035	Pras.g_00350	Syas.g_02814, Syas.g_02818
OG0000037	Pras.g_00960	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Pras.g_00795	Syas.g_01885, Syas.g_01887
OG0000039	Pras.g_01562	Syas.g_02795
OG0000040	Pras.g_00489	Syas.g_02028
OG0000040	Pras.g_00036	Syas.g_01972
OG0000041	Pras.g_00597	Syas.g_00996, Syas.g_02585
OG0000042	Pras.g_00750	Syas.g_01121, Syas.g_02147
OG0000048	Pras.g_01227	Syas.g_01734
OG0000051	Pras.g_00508, Pras.g_00179	Syas.g_01445
OG0000053	Pras.g_00886, Pras.g_00370	Syas.g_01287
OG0000054	Pras.g_01482	Syas.g_00961, Syas.g_00957
OG0000055	Pras.g_01682	Syas.g_00203
OG0000057	Pras.g_01574	Syas.g_01055, Syas.g_01038
OG0000059	Pras.g_00637	Syas.g_01639
OG0000061	Pras.g_00056	Syas.g_01184
OG0000062	Pras.g_00431	Syas.g_02702
OG0000063	Pras.g_00875	Syas.g_02074
OG0000065	Pras.g_00958	Syas.g_02420
OG0000066	Pras.g_01416	Syas.g_00094
OG0000067	Pras.g_01701, Pras.g_00311	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Pras.g_00250	Syas.g_00969, Syas.g_01261
OG0000069	Pras.g_00538, Pras.g_00464	Syas.g_00779, Syas.g_00876
OG0000070	Pras.g_01328	Syas.g_00173
OG0000071	Pras.g_00209	Syas.g_02854
OG0000072	Pras.g_01022	Syas.g_02326, Syas.g_01524
OG0000073	Pras.g_01377	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Pras.g_00719	Syas.g_01921, Syas.g_02194
OG0000076	Pras.g_00883, Pras.g_00743	Syas.g_02156
OG0000077	Pras.g_00929	Syas.g_02510
OG0000078	Pras.g_01091	Syas.g_02561, Syas.g_02308
OG0000079	Pras.g_01104	Syas.g_01699
OG0000080	Pras.g_00279, Pras.g_00277	Syas.g_02616, Syas.g_02149
OG0000081	Pras.g_01408	Syas.g_00391
OG0000082	Pras.g_01462	Syas.g_00837
OG0000085	Pras.g_00543	Syas.g_02695
OG0000086	Pras.g_00939	Syas.g_02470
OG0000087	Pras.g_00990	Syas.g_02374
OG0000089	Pras.g_01209	Syas.g_01512
OG0000090	Pras.g_01410	Syas.g_00062
OG0000091	Pras.g_01518	Syas.g_00907, Syas.g_00146
OG0000094	Pras.g_01915	Syas.g_00208, Syas.g_01716
OG0000095	Pras.g_01934	Syas.g_01021
OG0000097	Pras.g_00098	Syas.g_00114, Syas.g_01443
OG0000098	Pras.g_00232	Syas.g_00091
OG0000099	Pras.g_00294	Syas.g_01826
OG0000100	Pras.g_00427	Syas.g_00567
OG0000101	Pras.g_00687	Syas.g_01589
OG0000102	Pras.g_00748	Syas.g_02152, Syas.g_01395
OG0000103	Pras.g_00829	Syas.g_02009
OG0000104	Pras.g_00838	Syas.g_02027, Syas.g_02026
OG0000105	Pras.g_01126	Syas.g_01739
OG0000106	Pras.g_01223	Syas.g_01451
OG0000107	Pras.g_01239	Syas.g_01669
OG0000108	Pras.g_01358	Syas.g_01253
OG0000109	Pras.g_01372	Syas.g_01236
OG0000110	Pras.g_01451	Syas.g_00359, Syas.g_00818
OG0000111	Pras.g_01575	Syas.g_01037
OG0000112	Pras.g_01665	Syas.g_00452
OG0000113	Pras.g_01723	Syas.g_00571
OG0000114	Pras.g_01801	Syas.g_00252, Syas.g_00674
OG0000115	Pras.g_01994	Syas.g_02548, Syas.g_01285
OG0000116	Pras.g_00046	Syas.g_01198, Syas.g_00317
OG0000117	Pras.g_00150	Syas.g_01122
OG0000118	Pras.g_00221, Pras.g_00222	Syas.g_02835
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syas.g_01828
OG0000121	Pras.g_00352	Syas.g_02821
OG0000122	Pras.g_00391	Syas.g_00393
OG0000123	Pras.g_00694	Syas.g_01582
OG0000124	Pras.g_00759	Syas.g_02137
OG0000125	Pras.g_00797	Syas.g_01889
OG0000126	Pras.g_00837	Syas.g_01992
OG0000128	Pras.g_00853	Syas.g_02046
OG0000129	Pras.g_00897	Syas.g_01880
OG0000130	Pras.g_00921	Syas.g_02522
OG0000131	Pras.g_00996	Syas.g_02367
OG0000132	Pras.g_01015	Syas.g_02334
OG0000133	Pras.g_01174	Syas.g_00457
OG0000134	Pras.g_01210	Syas.g_01509
OG0000135	Pras.g_01236	Syas.g_01938
OG0000136	Pras.g_01319	Syas.g_02740
OG0000137	Pras.g_01353	Syas.g_01333
OG0000138	Pras.g_01373	Syas.g_01235
OG0000139	Pras.g_01414	Syas.g_00069
OG0000140	Pras.g_01415	Syas.g_00090
OG0000141	Pras.g_01483	Syas.g_00875
OG0000142	Pras.g_01511	Syas.g_00746
OG0000143	Pras.g_01515	Syas.g_00742
OG0000144	Pras.g_01528	Syas.g_00718
OG0000145	Pras.g_01664	Syas.g_00948
OG0000146	Pras.g_01666	Syas.g_00451
OG0000147	Pras.g_01667	Syas.g_00450
OG0000148	Pras.g_01717	Syas.g_00577
OG0000149	Pras.g_01747	Syas.g_00282
OG0000150	Pras.g_01755	Syas.g_00874
OG0000151	Pras.g_01811	Syas.g_00148, Syas.g_00659
OG0000152	Pras.g_01859	Syas.g_00461
OG0000153	Pras.g_01878	Syas.g_00543
OG0000154	Pras.g_01908	Syas.g_00219
OG0000155	Pras.g_00076	Syas.g_01131
OG0000156	Pras.g_00197	Syas.g_01206
OG0000157	Pras.g_00198	Syas.g_01207
OG0000158	Pras.g_00289	Syas.g_02185
OG0000160	Pras.g_00351	Syas.g_02820
OG0000161	Pras.g_00357	Syas.g_02826
OG0000162	Pras.g_00363	Syas.g_02751
OG0000163	Pras.g_00399	Syas.g_01488
OG0000164	Pras.g_00574	Syas.g_02648
OG0000165	Pras.g_00581	Syas.g_02609
OG0000166	Pras.g_00651	Syas.g_01629
OG0000167	Pras.g_00717	Syas.g_01449
OG0000168	Pras.g_00727	Syas.g_02184
OG0000169	Pras.g_00737	Syas.g_02170
