Orthogroup	Pras	Syat
OG0000001	Pras.g_00235	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Pras.g_00563	Syat.g_03065
OG0000005	Pras.g_00429	Syat.g_03105
OG0000006	Pras.g_00148, Pras.g_01093	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Pras.g_01375	Syat.g_03191
OG0000007	Pras.g_00550	Syat.g_03124
OG0000009	Pras.g_00956	Syat.g_01567
OG0000010	Pras.g_00523, Pras.g_01942	Syat.g_01372
OG0000012	Pras.g_01499	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Pras.g_01179	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Pras.g_01158	Syat.g_02104
OG0000015	Pras.g_00127	Syat.g_00775, Syat.g_01677
OG0000016	Pras.g_00855	Syat.g_02329
OG0000017	Pras.g_01474	Syat.g_00015
OG0000018	Pras.g_00037	Syat.g_01334
OG0000019	Pras.g_01101, Pras.g_01681	Syat.g_01876
OG0000021	Pras.g_00507, Pras.g_01218	Syat.g_00964
OG0000022	Pras.g_00019	Syat.g_00210
OG0000024	Pras.g_01645, Pras.g_01551	Syat.g_03394
OG0000025	Pras.g_01183, Pras.g_01735	Syat.g_00719
OG0000026	Pras.g_00873, Pras.g_01949	Syat.g_02306
OG0000027	Pras.g_01348, Pras.g_00185	Syat.g_00850
OG0000028	Pras.g_00169, Pras.g_01172	Syat.g_02126
OG0000030	Pras.g_00753	Syat.g_00307, Syat.g_00308
OG0000031	Pras.g_00331	Syat.g_03199, Syat.g_02243
OG0000032	Pras.g_00326	Syat.g_02237
OG0000034	Pras.g_00219	Syat.g_01165, Syat.g_02902
OG0000035	Pras.g_00350	Syat.g_01227, Syat.g_01226
OG0000037	Pras.g_00960	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Pras.g_00795	Syat.g_02688, Syat.g_02686
OG0000039	Pras.g_01562	Syat.g_01278
OG0000040	Pras.g_00036	Syat.g_02551
OG0000041	Pras.g_00597	Syat.g_00785, Syat.g_03006
OG0000042	Pras.g_00750	Syat.g_00223, Syat.g_02222
OG0000045	Pras.g_00509	Syat.g_00935
OG0000048	Pras.g_01227	Syat.g_02046
OG0000053	Pras.g_00886, Pras.g_00370	Syat.g_01330
OG0000054	Pras.g_01482	Syat.g_00987, Syat.g_03390
OG0000055	Pras.g_01682	Syat.g_00693
OG0000057	Pras.g_01574	Syat.g_00817, Syat.g_02055
OG0000059	Pras.g_00637	Syat.g_01832
OG0000061	Pras.g_00056	Syat.g_03260
OG0000062	Pras.g_00431	Syat.g_03107
OG0000063	Pras.g_00875	Syat.g_02303
OG0000065	Pras.g_00958	Syat.g_01571
OG0000066	Pras.g_01416	Syat.g_03283
OG0000067	Pras.g_01701, Pras.g_00311	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Pras.g_00250	Syat.g_00085, Syat.g_01295
OG0000069	Pras.g_00538, Pras.g_00464	Syat.g_00090, Syat.g_00879
OG0000070	Pras.g_01328	Syat.g_01032, Syat.g_01040
OG0000071	Pras.g_00209	Syat.g_01153
OG0000072	Pras.g_01022	Syat.g_02856, Syat.g_01597
OG0000073	Pras.g_01377	Syat.g_03201
OG0000075	Pras.g_00719	Syat.g_02497, Syat.g_01713, Syat.g_02154
