Orthogroup	Pras	Prar
OG0000000	Pras.g_00184	Prar.g_00971
OG0000000	Pras.g_00493	Prar.g_00713
OG0000000	Pras.g_00470	Prar.g_00729
OG0000000	Pras.g_00117	Prar.g_01204
OG0000000	Pras.g_00469	Prar.g_01204
OG0000000	Pras.g_00182	Prar.g_00727
OG0000001	Pras.g_00235	Prar.g_00926
OG0000001	Pras.g_00118, Pras.g_00120	Prar.g_01202
OG0000001	Pras.g_00541	Prar.g_01203
OG0000002	Pras.g_00243	Prar.g_00918
OG0000002	Pras.g_01554	Prar.g_01508
OG0000004	Pras.g_01571	Prar.g_01525
OG0000004	Pras.g_01084	Prar.g_00095
OG0000005	Pras.g_00563	Prar.g_01130
OG0000005	Pras.g_00429	Prar.g_00771
OG0000006	Pras.g_00148, Pras.g_01093	Prar.g_00086
OG0000007	Pras.g_01375	Prar.g_01328
OG0000007	Pras.g_00550	Prar.g_01143
OG0000008	Pras.g_01548	Prar.g_01502
OG0000009	Pras.g_00463	Prar.g_00737
OG0000009	Pras.g_00956	Prar.g_00223
OG0000010	Pras.g_01352	Prar.g_00524
OG0000010	Pras.g_00523	Prar.g_01567
OG0000010	Pras.g_01942	Prar.g_01912
OG0000011	Pras.g_00176	Prar.g_00978
OG0000011	Pras.g_00142, Pras.g_00166	Prar.g_00988
OG0000012	Pras.g_01499	Prar.g_01453
OG0000013	Pras.g_01179	Prar.g_00260
OG0000014	Pras.g_01158	Prar.g_00281
OG0000015	Pras.g_00127	Prar.g_01179
OG0000016	Pras.g_00855	Prar.g_00025
OG0000017	Pras.g_01474	Prar.g_01428
OG0000018	Pras.g_01728	Prar.g_01711
OG0000018	Pras.g_00037	Prar.g_01282
OG0000019	Pras.g_01101	Prar.g_00078
OG0000019	Pras.g_01681	Prar.g_01663
OG0000020	Pras.g_00001	Prar.g_01315
OG0000020	Pras.g_00530	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Pras.g_01218	Prar.g_00425
OG0000022	Pras.g_00019	Prar.g_01300
OG0000022	Pras.g_01662	Prar.g_01649
OG0000023	Pras.g_01213	Prar.g_00420
OG0000024	Pras.g_01645	Prar.g_01634
OG0000024	Pras.g_01551	Prar.g_01505
OG0000025	Pras.g_01183	Prar.g_00256
OG0000025	Pras.g_01735	Prar.g_01718
OG0000026	Pras.g_00873	Prar.g_00007
OG0000026	Pras.g_01949	Prar.g_01919
OG0000027	Pras.g_01348	Prar.g_00520
OG0000028	Pras.g_00169	Prar.g_00985
OG0000028	Pras.g_01172	Prar.g_00267
OG0000029	Pras.g_01228	Prar.g_00436
OG0000030	Pras.g_00753	Prar.g_00662
OG0000031	Pras.g_00331	Prar.g_00879
OG0000032	Pras.g_00326	Prar.g_00886
OG0000033	Pras.g_01020	Prar.g_00158
OG0000034	Pras.g_00219	Prar.g_00945
OG0000035	Pras.g_00350	Prar.g_00339
OG0000037	Pras.g_00960	Prar.g_00219
OG0000038	Pras.g_00795	Prar.g_00702
OG0000039	Pras.g_01562	Prar.g_01516
OG0000040	Pras.g_00489	Prar.g_00715
OG0000040	Pras.g_00036	Prar.g_01283
OG0000041	Pras.g_00597	Prar.g_00602
OG0000042	Pras.g_00750	Prar.g_00660
OG0000043	Pras.g_01772	Prar.g_01755
OG0000045	Pras.g_01224	Prar.g_00432
OG0000045	Pras.g_00509	Prar.g_01583
OG0000047	Pras.g_01182	Prar.g_00257
OG0000047	Pras.g_01263	Prar.g_00468
OG0000048	Pras.g_01227	Prar.g_00435
OG0000049	Pras.g_01237	Prar.g_00445
OG0000049	Pras.g_00151	Prar.g_01002
OG0000049	Pras.g_01596, Pras.g_00139	Prar.g_01160
OG0000050	Pras.g_01969	Prar.g_01940
OG0000053	Pras.g_00886	Prar.g_00589
