Orthogroup	Pras	Syae
OG0000001	Pras.g_00235	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Pras.g_01571	Syae.g_00779
OG0000004	Pras.g_01084	Syae.g_00042, Syae.g_02231
OG0000005	Pras.g_00563	Syae.g_01179
OG0000005	Pras.g_00429	Syae.g_01143
OG0000006	Pras.g_00148, Pras.g_01093	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Pras.g_01375	Syae.g_02328
OG0000007	Pras.g_00550	Syae.g_01163
OG0000009	Pras.g_00157, Pras.g_00463	Syae.g_00561, Syae.g_00171
OG0000009	Pras.g_00956	Syae.g_00100, Syae.g_01361
OG0000010	Pras.g_00523, Pras.g_01942	Syae.g_02529
OG0000011	Pras.g_00176, Pras.g_01289	Syae.g_00268
OG0000011	Pras.g_00142, Pras.g_00166	Syae.g_00750
OG0000012	Pras.g_01499	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Pras.g_01179	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Pras.g_01158	Syae.g_01930
OG0000015	Pras.g_00127	Syae.g_01693, Syae.g_00590
OG0000016	Pras.g_00855	Syae.g_01726
OG0000017	Pras.g_01474	Syae.g_02462, Syae.g_02469
OG0000018	Pras.g_00037	Syae.g_02625
OG0000019	Pras.g_01101, Pras.g_01681	Syae.g_02015
OG0000021	Pras.g_00507, Pras.g_01218	Syae.g_01261, Syae.g_00481
OG0000022	Pras.g_00019	Syae.g_00144
OG0000023	Pras.g_01213	Syae.g_00439, Syae.g_00930
OG0000025	Pras.g_01183, Pras.g_01735	Syae.g_00833
OG0000026	Pras.g_00873, Pras.g_01949	Syae.g_01748
OG0000027	Pras.g_01348, Pras.g_00185	Syae.g_00103, Syae.g_00814
OG0000028	Pras.g_00169, Pras.g_01172	Syae.g_01916
OG0000029	Pras.g_01653, Pras.g_01228	Syae.g_00136
OG0000030	Pras.g_00753	Syae.g_01817, Syae.g_01816
OG0000034	Pras.g_00219	Syae.g_00975, Syae.g_01424
OG0000035	Pras.g_00350	Syae.g_02653
OG0000037	Pras.g_00960	Syae.g_01367
OG0000038	Pras.g_00795	Syae.g_01571
OG0000039	Pras.g_01562	Syae.g_00822, Syae.g_02495
OG0000040	Pras.g_00036	Syae.g_01653
OG0000041	Pras.g_00597	Syae.g_01042, Syae.g_00802
OG0000042	Pras.g_00750	Syae.g_01821
OG0000045	Pras.g_00509	Syae.g_00732
OG0000047	Pras.g_01182, Pras.g_01263	Syae.g_02184
OG0000048	Pras.g_01227	Syae.g_01982
OG0000050	Pras.g_01969	Syae.g_01023
OG0000051	Pras.g_00179	Syae.g_00438
OG0000053	Pras.g_00886, Pras.g_00370	Syae.g_02629
OG0000054	Pras.g_01482	Syae.g_00014, Syae.g_00221
OG0000055	Pras.g_01682	Syae.g_00817
OG0000057	Pras.g_01574	Syae.g_00782
OG0000059	Pras.g_00637	Syae.g_02074
OG0000061	Pras.g_00056	Syae.g_00921
OG0000062	Pras.g_00431	Syae.g_01145
OG0000063	Pras.g_00875	Syae.g_01752
OG0000065	Pras.g_00958	Syae.g_01363, Syae.g_00722
OG0000066	Pras.g_01416	Syae.g_02386
OG0000067	Pras.g_01701, Pras.g_00311	Syae.g_00521
OG0000068	Pras.g_00250	Syae.g_02299
OG0000069	Pras.g_00538, Pras.g_00464	Syae.g_00458
OG0000070	Pras.g_01328	Syae.g_00979
OG0000071	Pras.g_00209	Syae.g_00961
OG0000072	Pras.g_01022	Syae.g_01455
OG0000073	Pras.g_01377	Syae.g_02330
OG0000074	Pras.g_01558	Syae.g_00719
OG0000075	Pras.g_00719	Syae.g_01871
OG0000076	Pras.g_00883, Pras.g_00743	Syae.g_01829
OG0000077	Pras.g_00929	Syae.g_01297
OG0000078	Pras.g_01091	Syae.g_02243
OG0000079	Pras.g_01104	Syae.g_02011
OG0000081	Pras.g_01408	Syae.g_02261
