Orthogroup	Prah	Syab
OG0000000	Prah.g_01346, Prah.g_01347	Syab.g_01226
OG0000001	Prah.g_02270	Syab.g_02553, Syab.g_02555
OG0000001	Prah.g_00896	Syab.g_00673
OG0000002	Prah.g_00562, Prah.g_01226	Syab.g_02285
OG0000003	Prah.g_01005, Prah.g_01056	Syab.g_01580
OG0000004	Prah.g_01022	Syab.g_00549, Syab.g_01193
OG0000004	Prah.g_01413	Syab.g_01911, Syab.g_02377
OG0000005	Prah.g_01652	Syab.g_02806, Syab.g_02232
OG0000006	Prah.g_00475, Prah.g_01767	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prah.g_01546	Syab.g_02117
OG0000007	Prah.g_01676	Syab.g_02256
OG0000008	Prah.g_00970	Syab.g_01755
OG0000008	Prah.g_00969	Syab.g_01168
OG0000009	Prah.g_00432, Prah.g_01895	Syab.g_02498
OG0000010	Prah.g_00311	Syab.g_00696
OG0000013	Prah.g_01956	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prah.g_02171	Syab.g_00249
OG0000015	Prah.g_01155, Prah.g_00576	Syab.g_02889
OG0000016	Prah.g_00015	Syab.g_00014
OG0000016	Prah.g_01270	Syab.g_01049
OG0000017	Prah.g_01397	Syab.g_01945
OG0000018	Prah.g_00378	Syab.g_00742
OG0000019	Prah.g_02086	Syab.g_00344
OG0000020	Prah.g_01100	Syab.g_02230
OG0000022	Prah.g_01209	Syab.g_01825
OG0000023	Prah.g_00688	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prah.g_01043	Syab.g_01834
OG0000025	Prah.g_00604	Syab.g_01705
OG0000026	Prah.g_00038	Syab.g_00036
OG0000028	Prah.g_02184	Syab.g_00234
OG0000030	Prah.g_00132	Syab.g_00096
OG0000030	Prah.g_00131	Syab.g_00095
OG0000031	Prah.g_02248	Syab.g_00160
OG0000032	Prah.g_00358	Syab.g_00724
OG0000032	Prah.g_02196	Syab.g_00149
OG0000033	Prah.g_02307	Syab.g_02590
OG0000034	Prah.g_01376	Syab.g_00900, Syab.g_02560
OG0000035	Prah.g_00408	Syab.g_00778
OG0000037	Prah.g_01901	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prah.g_02494	Syab.g_02759
OG0000038	Prah.g_02496	Syab.g_02761
OG0000039	Prah.g_02382	Syab.g_02791
OG0000041	Prah.g_01737	Syab.g_01086, Syab.g_02804
OG0000042	Prah.g_00135, Prah.g_01256	Syab.g_01019, Syab.g_00099
OG0000043	Prah.g_01190	Syab.g_02802
OG0000045	Prah.g_01837	Syab.g_00871
OG0000046	Prah.g_01955	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syab.g_00876
OG0000048	Prah.g_02122	Syab.g_00308
OG0000051	Prah.g_01166	Syab.g_01073
OG0000051	Prah.g_00717	Syab.g_02216
OG0000052	Prah.g_02219	Syab.g_00214
OG0000053	Prah.g_00381	Syab.g_00746
OG0000054	Prah.g_01394	Syab.g_01932
OG0000055	Prah.g_00942	Syab.g_01255
OG0000056	Prah.g_00341	Syab.g_01452
OG0000057	Prah.g_01027	Syab.g_01200
OG0000058	Prah.g_02195	Syab.g_00227
OG0000059	Prah.g_02043	Syab.g_00397
OG0000060	Prah.g_01569	Syab.g_02094
OG0000061	Prah.g_00104	Syab.g_00171
OG0000061	Prah.g_01322	Syab.g_00969
OG0000062	Prah.g_01654	Syab.g_02234
OG0000063	Prah.g_00042	Syab.g_00040
OG0000065	Prah.g_01897	Syab.g_02500
OG0000066	Prah.g_01485	Syab.g_01516, Syab.g_02031
OG0000067	Prah.g_00667	Syab.g_01659
OG0000068	Prah.g_01576	Syab.g_02087
OG0000070	Prah.g_00252	Syab.g_00614
OG0000071	Prah.g_01364	Syab.g_00915
OG0000072	Prah.g_02309	Syab.g_02593
OG0000073	Prah.g_01544	Syab.g_02119
OG0000075	Prah.g_02232	Syab.g_00202
OG0000076	Prah.g_00150	Syab.g_00113
OG0000078	Prah.g_01773	Syab.g_02366
OG0000079	Prah.g_02090, Prah.g_01868	Syab.g_00340
