Orthogroup	Prah	Prbj
OG0000000	Prah.g_01346	Prbj.g_00166
OG0000000	Prah.g_01347	Prbj.g_00165
OG0000000	Prah.g_01348	Prbj.g_00164
OG0000001	Prah.g_00324	Prbj.g_00672
OG0000001	Prah.g_01343	Prbj.g_00169
OG0000001	Prah.g_02270	Prbj.g_01549, Prbj.g_02662
OG0000001	Prah.g_00896	Prbj.g_02690
OG0000002	Prah.g_00562	Prbj.g_02517
OG0000002	Prah.g_01226	Prbj.g_00030
OG0000003	Prah.g_00169	Prbj.g_01574
OG0000003	Prah.g_02446	Prbj.g_02693, Prbj.g_02694
OG0000003	Prah.g_00226	Prbj.g_00096
OG0000003	Prah.g_00272, Prah.g_02434	Prbj.g_00058
OG0000003	Prah.g_02451, Prah.g_02432	Prbj.g_00079
OG0000003	Prah.g_00936, Prah.g_01869	Prbj.g_01356
OG0000003	Prah.g_01005, Prah.g_01056	Prbj.g_01916, Prbj.g_01831
OG0000004	Prah.g_01022	Prbj.g_00754
OG0000004	Prah.g_01413	Prbj.g_01777
OG0000005	Prah.g_01652	Prbj.g_00883
OG0000006	Prah.g_00475, Prah.g_01767	Prbj.g_02699
OG0000007	Prah.g_01546	Prbj.g_01610
OG0000007	Prah.g_01676	Prbj.g_00857
OG0000008	Prah.g_00970	Prbj.g_00929
OG0000008	Prah.g_00969	Prbj.g_00928
OG0000009	Prah.g_00432	Prbj.g_01300
OG0000009	Prah.g_01895	Prbj.g_00618
OG0000010	Prah.g_00311	Prbj.g_00129
OG0000011	Prah.g_01084	Prbj.g_00897
OG0000012	Prah.g_00524	Prbj.g_02552
OG0000013	Prah.g_01956	Prbj.g_00359
OG0000014	Prah.g_02171	Prbj.g_01442
OG0000015	Prah.g_01155, Prah.g_00576	Prbj.g_02502
OG0000017	Prah.g_01397	Prbj.g_01761
OG0000018	Prah.g_00378	Prbj.g_00641
OG0000019	Prah.g_02086	Prbj.g_01349
OG0000020	Prah.g_01100	Prbj.g_00214, Prbj.g_02701
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prbj.g_01121
OG0000021	Prah.g_01410	Prbj.g_01774
OG0000022	Prah.g_01209	Prbj.g_00050
OG0000022	Prah.g_00170	Prbj.g_01572
OG0000023	Prah.g_00688	Prbj.g_02392
OG0000024	Prah.g_01043	Prbj.g_00773
OG0000025	Prah.g_00604	Prbj.g_02475
OG0000026	Prah.g_00038	Prbj.g_01204
OG0000028	Prah.g_02184	Prbj.g_01457
OG0000029	Prah.g_01972	Prbj.g_00378
OG0000030	Prah.g_00132	Prbj.g_01288
OG0000030	Prah.g_00131	Prbj.g_01287
OG0000031	Prah.g_02248	Prbj.g_01522, Prbj.g_01527
OG0000032	Prah.g_00358	Prbj.g_00659
OG0000032	Prah.g_02196	Prbj.g_01468
OG0000033	Prah.g_02307	Prbj.g_00518
OG0000034	Prah.g_01376	Prbj.g_01740
OG0000035	Prah.g_00408	Prbj.g_01056
OG0000036	Prah.g_01133	Prbj.g_01382, Prbj.g_01105
OG0000036	Prah.g_01478	Prbj.g_01106, Prbj.g_02087, Prbj.g_00412, Prbj.g_02670, Prbj.g_00504, Prbj.g_02686, Prbj.g_01098, Prbj.g_01134
OG0000036	Prah.g_00393, Prah.g_01061, Prah.g_01606	Prbj.g_01675
OG0000037	Prah.g_01901	Prbj.g_00624
OG0000038	Prah.g_02494	Prbj.g_01959
OG0000038	Prah.g_02496	Prbj.g_01961
OG0000039	Prah.g_01758	Prbj.g_00429
OG0000039	Prah.g_02382	Prbj.g_00278
OG0000041	Prah.g_01737	Prbj.g_00450
OG0000042	Prah.g_00135	Prbj.g_01808
OG0000042	Prah.g_01256	Prbj.g_00001
OG0000044	Prah.g_00994, Prah.g_00343	Prbj.g_01330
OG0000045	Prah.g_01837	Prbj.g_00563
OG0000046	Prah.g_01955	Prbj.g_00358
OG0000047	Prah.g_00353	Prbj.g_00666
OG0000047	Prah.g_00321, Prah.g_00322	Prbj.g_02509
OG0000048	Prah.g_02122	Prbj.g_01393
OG0000051	Prah.g_01166	Prbj.g_00705
OG0000051	Prah.g_00717	Prbj.g_02362
OG0000052	Prah.g_02219	Prbj.g_01487
OG0000053	Prah.g_00381	Prbj.g_00638
OG0000054	Prah.g_01394	Prbj.g_01758
OG0000056	Prah.g_00543	Prbj.g_02533
OG0000056	Prah.g_01968	Prbj.g_00371
OG0000057	Prah.g_01027	Prbj.g_00758
OG0000058	Prah.g_02195	Prbj.g_01467
OG0000059	Prah.g_02043	Prbj.g_01029
OG0000060	Prah.g_01569	Prbj.g_01633
OG0000061	Prah.g_01322	Prbj.g_00971
OG0000062	Prah.g_01654	Prbj.g_00881
OG0000063	Prah.g_00042	Prbj.g_01208
OG0000065	Prah.g_01897	Prbj.g_00620
OG0000066	Prah.g_01485	Prbj.g_02141
OG0000067	Prah.g_00667	Prbj.g_02412
OG0000068	Prah.g_01576	Prbj.g_01639
OG0000070	Prah.g_00252	Prbj.g_00118
OG0000071	Prah.g_01364	Prbj.g_01728
OG0000072	Prah.g_02309	Prbj.g_00516
OG0000073	Prah.g_01544	Prbj.g_01608
OG0000075	Prah.g_02232	Prbj.g_01502
OG0000076	Prah.g_00150	Prbj.g_01598
OG0000077	Prah.g_01850	Prbj.g_00576
OG0000078	Prah.g_01773	Prbj.g_02614
OG0000079	Prah.g_02090	Prbj.g_01353
OG0000081	Prah.g_01035	Prbj.g_00765
OG0000082	Prah.g_01427	Prbj.g_01789
OG0000084	Prah.g_00412	Prbj.g_01052
OG0000085	Prah.g_01666	Prbj.g_00869
OG0000086	Prah.g_01866	Prbj.g_00589
OG0000087	Prah.g_02268	Prbj.g_01547
