Orthogroup	Prah	Syak
OG0000001	Prah.g_01159	Syak.g_02139
OG0000001	Prah.g_02270	Syak.g_02138
OG0000004	Prah.g_01022	Syak.g_01219, Syak.g_00720
OG0000004	Prah.g_01413	Syak.g_00003, Syak.g_02297
OG0000005	Prah.g_01652	Syak.g_00885, Syak.g_02436
OG0000006	Prah.g_00475, Prah.g_01767	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prah.g_01546	Syak.g_02595
OG0000007	Prah.g_01676	Syak.g_02416
OG0000008	Prah.g_00970	Syak.g_00267
OG0000008	Prah.g_00969	Syak.g_00692
OG0000009	Prah.g_00432, Prah.g_01895	Syak.g_02194
OG0000010	Prah.g_00311	Syak.g_01119
OG0000012	Prah.g_00524	Syak.g_00010
OG0000013	Prah.g_01956	Syak.g_01270, Syak.g_01275
OG0000014	Prah.g_02171	Syak.g_01505
OG0000015	Prah.g_01155, Prah.g_00576	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prah.g_00015	Syak.g_01780
OG0000016	Prah.g_01270	Syak.g_00818
OG0000017	Prah.g_01397	Syak.g_02738
OG0000018	Prah.g_00378	Syak.g_01072
OG0000019	Prah.g_02086	Syak.g_01413
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syak.g_00566
OG0000022	Prah.g_01209	Syak.g_00088
OG0000023	Prah.g_00688	Syak.g_00316, Syak.g_00223
OG0000025	Prah.g_00604	Syak.g_00610
OG0000026	Prah.g_00038	Syak.g_01757
OG0000028	Prah.g_02184	Syak.g_01522
OG0000029	Prah.g_01972	Syak.g_00169, Syak.g_00178
OG0000030	Prah.g_00132	Syak.g_01684
OG0000030	Prah.g_00131	Syak.g_01685
OG0000031	Prah.g_02248	Syak.g_01630
OG0000032	Prah.g_00358	Syak.g_01092
OG0000032	Prah.g_02196	Syak.g_01707
OG0000033	Prah.g_02307	Syak.g_02101
OG0000034	Prah.g_01376	Syak.g_00950, Syak.g_02133
OG0000035	Prah.g_00408	Syak.g_01040
OG0000037	Prah.g_01901	Syak.g_02188
OG0000038	Prah.g_02494	Syak.g_01938
OG0000038	Prah.g_02496	Syak.g_01936
OG0000039	Prah.g_02382	Syak.g_01918
OG0000041	Prah.g_01737	Syak.g_02354, Syak.g_00752
OG0000042	Prah.g_00135, Prah.g_01256	Syak.g_00843, Syak.g_01681
OG0000043	Prah.g_01190	Syak.g_00335
OG0000045	Prah.g_01837	Syak.g_00317
OG0000046	Prah.g_01955	Syak.g_01269, Syak.g_01276
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syak.g_01147
OG0000048	Prah.g_02122	Syak.g_01446
OG0000052	Prah.g_02219	Syak.g_01549
OG0000053	Prah.g_00381	Syak.g_01068
OG0000054	Prah.g_01394	Syak.g_02744, Syak.g_02321
OG0000055	Prah.g_00942	Syak.g_00766
OG0000057	Prah.g_01027	Syak.g_00724, Syak.g_01676
OG0000058	Prah.g_02195	Syak.g_01530
OG0000059	Prah.g_02043	Syak.g_01355
OG0000060	Prah.g_01569	Syak.g_02572
OG0000060	Prah.g_01156	Syak.g_00844
OG0000061	Prah.g_01322	Syak.g_00898
OG0000062	Prah.g_01654	Syak.g_02434
OG0000063	Prah.g_00042	Syak.g_01752
OG0000065	Prah.g_01897	Syak.g_02192
OG0000066	Prah.g_01485	Syak.g_02653
OG0000067	Prah.g_00667	Syak.g_00434
OG0000068	Prah.g_01576	Syak.g_02565
OG0000070	Prah.g_00252	Syak.g_01174
OG0000071	Prah.g_01364	Syak.g_02322, Syak.g_00936
OG0000072	Prah.g_02309	Syak.g_02099
OG0000073	Prah.g_01544	Syak.g_02597
OG0000075	Prah.g_02232	Syak.g_01564
OG0000076	Prah.g_00150	Syak.g_01650
OG0000077	Prah.g_01850	Syak.g_02243
OG0000078	Prah.g_01773	Syak.g_02310
OG0000079	Prah.g_02090	Syak.g_01417
OG0000081	Prah.g_01035	Syak.g_00115
OG0000082	Prah.g_01427	Syak.g_02711
OG0000084	Prah.g_00412	Syak.g_01036
OG0000085	Prah.g_01666	Syak.g_02427
OG0000086	Prah.g_01866	Syak.g_02219
OG0000087	Prah.g_02268	Syak.g_02141
OG0000088	Prah.g_02304, Prah.g_00957	Syak.g_02106
OG0000089	Prah.g_00205	Syak.g_01215
OG0000090	Prah.g_01501	Syak.g_02640
OG0000091	Prah.g_00493	Syak.g_00043
OG0000093	Prah.g_00692	Syak.g_00416
OG0000094	Prah.g_02518	Syak.g_00656
OG0000095	Prah.g_00915	Syak.g_00736
OG0000097	Prah.g_01272	Syak.g_00816
OG0000098	Prah.g_00327	Syak.g_00345, Syak.g_02651
OG0000099	Prah.g_02191	Syak.g_01527
OG0000100	Prah.g_01791, Prah.g_00636	Syak.g_00622
OG0000101	Prah.g_01995	Syak.g_01305
OG0000102	Prah.g_00144	Syak.g_01661
OG0000103	Prah.g_02586	Syak.g_01812
OG0000104	Prah.g_02600	Syak.g_01799
OG0000105	Prah.g_02126	Syak.g_01451
OG0000106	Prah.g_01660	Syak.g_00096
OG0000107	Prah.g_02072	Syak.g_01392
OG0000108	Prah.g_01566	Syak.g_02574
OG0000109	Prah.g_01550	Syak.g_02590
OG0000110	Prah.g_01439	Syak.g_02698
OG0000111	Prah.g_01028	Syak.g_00725
OG0000112	Prah.g_00788	Syak.g_00512
OG0000113	Prah.g_00641	Syak.g_00461
