Orthogroup	Prah	Syan
OG0000001	Prah.g_02270	Syan.g_02266
OG0000001	Prah.g_00896	Syan.g_02528
OG0000003	Prah.g_02448	Syan.g_00157, Syan.g_00032
OG0000004	Prah.g_01022	Syan.g_00183
OG0000004	Prah.g_01413	Syan.g_00989
OG0000005	Prah.g_01652	Syan.g_01378
OG0000006	Prah.g_00475, Prah.g_01767	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prah.g_01546	Syan.g_02743
OG0000007	Prah.g_01676	Syan.g_01400
OG0000008	Prah.g_00970	Syan.g_00640, Syan.g_02532
OG0000008	Prah.g_00969	Syan.g_00641, Syan.g_02531
OG0000009	Prah.g_00432, Prah.g_01895	Syan.g_02972
OG0000010	Prah.g_00311	Syan.g_02847
OG0000013	Prah.g_01956	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prah.g_02171	Syan.g_01987
OG0000015	Prah.g_01155, Prah.g_00576	Syan.g_01691, Syan.g_00248
OG0000016	Prah.g_00015	Syan.g_01766
OG0000016	Prah.g_01270	Syan.g_02598
OG0000017	Prah.g_01397	Syan.g_01013
OG0000018	Prah.g_00378	Syan.g_02816
OG0000019	Prah.g_02086	Syan.g_02088
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syan.g_01001
OG0000022	Prah.g_01209	Syan.g_00089
OG0000023	Prah.g_00688	Syan.g_00404
OG0000025	Prah.g_00604	Syan.g_00374
OG0000026	Prah.g_00038	Syan.g_01743
OG0000028	Prah.g_02184	Syan.g_01971
OG0000030	Prah.g_00132	Syan.g_01884
OG0000030	Prah.g_00131	Syan.g_01883
OG0000031	Prah.g_02248	Syan.g_01967
OG0000032	Prah.g_00358	Syan.g_02835
OG0000032	Prah.g_02196	Syan.g_01819
OG0000033	Prah.g_02307	Syan.g_03036
OG0000034	Prah.g_01376	Syan.g_01227, Syan.g_03003
OG0000035	Prah.g_00408	Syan.g_01279, Syan.g_01276
OG0000037	Prah.g_01901	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prah.g_02494	Syan.g_01569
OG0000038	Prah.g_02496	Syan.g_01571
OG0000039	Prah.g_01758, Prah.g_02382	Syan.g_00535
OG0000041	Prah.g_01737	Syan.g_00302, Syan.g_01465
OG0000042	Prah.g_00135, Prah.g_01256	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prah.g_00994, Prah.g_00343	Syan.g_00431, Syan.g_00435
OG0000045	Prah.g_01837	Syan.g_00086
OG0000046	Prah.g_01955	Syan.g_02157, Syan.g_02160
OG0000048	Prah.g_02122	Syan.g_02036
OG0000052	Prah.g_02219	Syan.g_01954, Syan.g_01953
OG0000053	Prah.g_00381	Syan.g_02812
OG0000054	Prah.g_01394	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Prah.g_00942	Syan.g_00312
OG0000057	Prah.g_01027	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Prah.g_02195	Syan.g_01964
OG0000059	Prah.g_02043	Syan.g_02255
OG0000060	Prah.g_01569	Syan.g_02856
OG0000060	Prah.g_01156	Syan.g_00277
OG0000061	Prah.g_01322	Syan.g_02696
OG0000062	Prah.g_01654	Syan.g_01380
OG0000063	Prah.g_00042	Syan.g_01739
OG0000065	Prah.g_01897	Syan.g_02974
OG0000066	Prah.g_01485	Syan.g_01156
OG0000068	Prah.g_01576	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Prah.g_00252	Syan.g_00289
OG0000071	Prah.g_01364	Syan.g_01213
OG0000072	Prah.g_02309	Syan.g_03038, Syan.g_02999
OG0000073	Prah.g_01544	Syan.g_02741
OG0000075	Prah.g_02232	Syan.g_00981, Syan.g_01937
OG0000076	Prah.g_00150	Syan.g_01896
OG0000078	Prah.g_01773	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Prah.g_02090, Prah.g_01868	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prah.g_01427	Syan.g_00952
OG0000084	Prah.g_00412	Syan.g_01283
OG0000085	Prah.g_01666	Syan.g_01387
OG0000086	Prah.g_01866	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prah.g_02268	Syan.g_02268
OG0000088	Prah.g_00957	Syan.g_03031
OG0000089	Prah.g_00205	Syan.g_02316
OG0000090	Prah.g_01501	Syan.g_01166
OG0000091	Prah.g_00493	Syan.g_00235, Syan.g_00808
OG0000093	Prah.g_00692	Syan.g_00708
OG0000094	Prah.g_02518	Syan.g_00353, Syan.g_00065
OG0000095	Prah.g_00915	Syan.g_00290
OG0000098	Prah.g_00327	Syan.g_00043
OG0000099	Prah.g_02191	Syan.g_01968
OG0000100	Prah.g_01791, Prah.g_00636	Syan.g_00658
OG0000102	Prah.g_00144	Syan.g_01891
OG0000103	Prah.g_02586	Syan.g_01692
