Orthogroup	Prah	Syac
OG0000001	Prah.g_02270	Syac.g_00341, Syac.g_00340
OG0000002	Prah.g_00562, Prah.g_01226	Syac.g_01084
OG0000004	Prah.g_01022	Syac.g_00898
OG0000004	Prah.g_01413	Syac.g_00948, Syac.g_01975
OG0000005	Prah.g_01652	Syac.g_00569
OG0000006	Prah.g_00475, Prah.g_01767	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prah.g_01546	Syac.g_01885
OG0000007	Prah.g_01676	Syac.g_00544
OG0000008	Prah.g_00970	Syac.g_00921
OG0000008	Prah.g_00969	Syac.g_00922
OG0000009	Prah.g_00432, Prah.g_01895	Syac.g_01004, Syac.g_00398
OG0000010	Prah.g_00311	Syac.g_01701
OG0000012	Prah.g_00524	Syac.g_00955
OG0000013	Prah.g_01956	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prah.g_02171	Syac.g_00253
OG0000015	Prah.g_01155, Prah.g_00576	Syac.g_01408
OG0000016	Prah.g_00015	Syac.g_00014
OG0000016	Prah.g_01270	Syac.g_01505
OG0000017	Prah.g_01397	Syac.g_01742
OG0000018	Prah.g_00378	Syac.g_01660
OG0000019	Prah.g_02086	Syac.g_02207
OG0000022	Prah.g_01209	Syac.g_01031
OG0000023	Prah.g_00688	Syac.g_00760
OG0000024	Prah.g_01043	Syac.g_00925
OG0000025	Prah.g_00604	Syac.g_00847
OG0000026	Prah.g_00038	Syac.g_00034
OG0000028	Prah.g_02184	Syac.g_00237
OG0000029	Prah.g_01972	Syac.g_01942
OG0000030	Prah.g_00132	Syac.g_00143
OG0000030	Prah.g_00131	Syac.g_00142
OG0000031	Prah.g_02248	Syac.g_00232
OG0000032	Prah.g_00358	Syac.g_01677
OG0000033	Prah.g_02307	Syac.g_00304
OG0000034	Prah.g_01376	Syac.g_00334, Syac.g_00715
OG0000035	Prah.g_00408	Syac.g_01630
OG0000037	Prah.g_01901	Syac.g_01077
OG0000038	Prah.g_02494	Syac.g_02357
OG0000038	Prah.g_02496	Syac.g_02358
OG0000039	Prah.g_02382	Syac.g_02378
