Orthogroup	Prah	Prbe
OG0000000	Prah.g_01348	Prbe.g_01119
OG0000001	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896	Prbe.g_00400
OG0000002	Prah.g_00562	Prbe.g_01285, Prbe.g_01290
OG0000002	Prah.g_01226	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Prah.g_01022	Prbe.g_01203
OG0000004	Prah.g_01413	Prbe.g_01784
OG0000005	Prah.g_01652	Prbe.g_00228
OG0000006	Prah.g_00475, Prah.g_01767	Prbe.g_01794
OG0000007	Prah.g_01546	Prbe.g_00636
OG0000007	Prah.g_01676	Prbe.g_00985
OG0000008	Prah.g_00970	Prbe.g_00036
OG0000008	Prah.g_00969	Prbe.g_00037
OG0000010	Prah.g_00311	Prbe.g_00096, Prbe.g_01411
OG0000012	Prah.g_00524	Prbe.g_00511
OG0000013	Prah.g_01956	Prbe.g_01879
OG0000014	Prah.g_02171	Prbe.g_01861
OG0000015	Prah.g_01155, Prah.g_00576	Prbe.g_01046, Prbe.g_01000
OG0000016	Prah.g_01270	Prbe.g_01607
OG0000017	Prah.g_01397	Prbe.g_00529
OG0000018	Prah.g_00378	Prbe.g_01571
OG0000019	Prah.g_02086	Prbe.g_01802, Prbe.g_01573
OG0000020	Prah.g_01100	Prbe.g_00018
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Prbe.g_00203
OG0000021	Prah.g_01410	Prbe.g_01208
OG0000022	Prah.g_00170	Prbe.g_00220
OG0000023	Prah.g_00688	Prbe.g_00062
OG0000024	Prah.g_01043	Prbe.g_01415, Prbe.g_00449
OG0000025	Prah.g_00604	Prbe.g_01258
OG0000026	Prah.g_00038	Prbe.g_00132
OG0000029	Prah.g_01972	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Prah.g_00132, Prah.g_00131	Prbe.g_00763
OG0000031	Prah.g_02248, Prah.g_00091	Prbe.g_00352
OG0000032	Prah.g_00358	Prbe.g_00272
OG0000033	Prah.g_02307	Prbe.g_00345
OG0000034	Prah.g_01376	Prbe.g_00882
OG0000035	Prah.g_00408	Prbe.g_00311
OG0000037	Prah.g_01901	Prbe.g_01651
OG0000038	Prah.g_02494, Prah.g_02496	Prbe.g_01156
OG0000039	Prah.g_01758, Prah.g_02382	Prbe.g_00461
OG0000041	Prah.g_01737	Prbe.g_00938
OG0000042	Prah.g_00135, Prah.g_01256	Prbe.g_00766
OG0000043	Prah.g_01190	Prbe.g_01570
OG0000045	Prah.g_01837	Prbe.g_01593
OG0000046	Prah.g_01955	Prbe.g_01880
OG0000047	Prah.g_00321, Prah.g_00322	Prbe.g_01921
OG0000048	Prah.g_02122	Prbe.g_00906
OG0000051	Prah.g_01166	Prbe.g_00720
OG0000052	Prah.g_02219	Prbe.g_00158
OG0000053	Prah.g_00381	Prbe.g_00290, Prbe.g_01040
OG0000054	Prah.g_01394	Prbe.g_00527
OG0000055	Prah.g_00942	Prbe.g_01598, Prbe.g_01011
