Orthogroup	Prbi	Praw
OG0000000	Prbi.g_01373	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prbi.g_01709	Praw.g_00455
OG0000000	Prbi.g_01268	Praw.g_00294
OG0000000	Prbi.g_01708	Praw.g_00294
OG0000000	Prbi.g_01268	Praw.g_00454
OG0000000	Prbi.g_01708	Praw.g_00454
OG0000000	Prbi.g_01268	Praw.g_00496
OG0000000	Prbi.g_01708	Praw.g_00496
OG0000000	Prbi.g_01370	Praw.g_00472
OG0000000	Prbi.g_01371	Praw.g_00959
OG0000000	Prbi.g_01710	Praw.g_00495, Praw.g_00457
OG0000001	Prbi.g_01542, Prbi.g_01763	Praw.g_00500
OG0000001	Prbi.g_01424	Praw.g_01000
OG0000001	Prbi.g_01270	Praw.g_01739, Praw.g_01951
OG0000002	Prbi.g_01432	Praw.g_01009
OG0000002	Prbi.g_00681	Praw.g_01844
OG0000004	Prbi.g_00698	Praw.g_01827
OG0000004	Prbi.g_00256	Praw.g_01203
OG0000005	Prbi.g_01800	Praw.g_00528
OG0000005	Prbi.g_01666	Praw.g_00413
OG0000006	Prbi.g_00265	Praw.g_01950
OG0000007	Prbi.g_00500	Praw.g_00651
OG0000007	Prbi.g_01787	Praw.g_00515
OG0000008	Prbi.g_01764	Praw.g_00501
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Praw.g_00502
OG0000008	Prbi.g_00675	Praw.g_01850
OG0000009	Prbi.g_01701	Praw.g_00447
OG0000009	Prbi.g_00112	Praw.g_01330
OG0000010	Prbi.g_00477	Praw.g_00673
OG0000010	Prbi.g_01094	Praw.g_01460
OG0000011	Prbi.g_01361	Praw.g_00952
OG0000012	Prbi.g_00625	Praw.g_00159
OG0000013	Prbi.g_00351	Praw.g_00807
OG0000014	Prbi.g_00330	Praw.g_00828
OG0000015	Prbi.g_01304	Praw.g_01738
OG0000017	Prbi.g_00600	Praw.g_01944
OG0000018	Prbi.g_00874	Praw.g_01670
OG0000018	Prbi.g_01188	Praw.g_00215
OG0000019	Prbi.g_00273	Praw.g_00884
OG0000019	Prbi.g_00827	Praw.g_01717
OG0000020	Prbi.g_01153	Praw.g_00181
OG0000021	Prbi.g_01742	Praw.g_00479
OG0000021	Prbi.g_00389	Praw.g_00767
OG0000022	Prbi.g_01170	Praw.g_00197
OG0000022	Prbi.g_00805	Praw.g_01746
OG0000023	Prbi.g_00384	Praw.g_00772
OG0000024	Prbi.g_00788	Praw.g_01763
OG0000024	Prbi.g_00678	Praw.g_01847
OG0000025	Prbi.g_00355	Praw.g_00803
OG0000025	Prbi.g_00882	Praw.g_01664
OG0000026	Prbi.g_00031	Praw.g_01397
OG0000026	Prbi.g_01101	Praw.g_01453
OG0000027	Prbi.g_00472	Praw.g_00677
OG0000027	Prbi.g_01374	Praw.g_00962
OG0000028	Prbi.g_01319, Prbi.g_01768	Praw.g_00334
OG0000028	Prbi.g_00344	Praw.g_00814
OG0000029	Prbi.g_00796	Praw.g_01755
OG0000030	Prbi.g_02004	Praw.g_00029
OG0000031	Prbi.g_01467	Praw.g_01073
OG0000032	Prbi.g_01497	Praw.g_01043
OG0000033	Prbi.g_00193	Praw.g_01266
OG0000034	Prbi.g_01401	Praw.g_00991
OG0000035	Prbi.g_01591	Praw.g_01081
OG0000037	Prbi.g_00116	Praw.g_01326
OG0000038	Prbi.g_02057	Praw.g_01182
OG0000039	Prbi.g_00689	Praw.g_01836
OG0000040	Prbi.g_01738	Praw.g_00476
OG0000040	Prbi.g_01187	Praw.g_00214
OG0000041	Prbi.g_01833	Praw.g_00562
OG0000042	Prbi.g_02001	Praw.g_00032
OG0000043	Prbi.g_00918	Praw.g_01627
OG0000045	Prbi.g_00395	Praw.g_00761
OG0000047	Prbi.g_00354	Praw.g_00804
OG0000048	Prbi.g_00398	Praw.g_00758
OG0000049	Prbi.g_00408	Praw.g_00750
OG0000049	Prbi.g_01331	Praw.g_00928
OG0000050	Prbi.g_01122	Praw.g_01432
OG0000051	Prbi.g_01281	Praw.g_00491
OG0000051	Prbi.g_01364	Praw.g_00955
OG0000052	Prbi.g_01478	Praw.g_01071
OG0000053	Prbi.g_01611	Praw.g_00357
OG0000054	Prbi.g_00608	Praw.g_00142
OG0000055	Prbi.g_00828	Praw.g_01716
OG0000057	Prbi.g_00702	Praw.g_01824
OG0000058	Prbi.g_01461	Praw.g_01055
OG0000059	Prbi.g_01873	Praw.g_01894
OG0000061	Prbi.g_01207	Praw.g_00234
OG0000062	Prbi.g_01668	Praw.g_00415
OG0000063	Prbi.g_00033	Praw.g_01395
OG0000065	Prbi.g_00114	Praw.g_01328
OG0000066	Prbi.g_00542	Praw.g_00609
OG0000067	Prbi.g_00847	Praw.g_01697
OG0000068	Prbi.g_01439	Praw.g_01016
OG0000069	Prbi.g_01702	Praw.g_00448
OG0000070	Prbi.g_00451	Praw.g_00697
OG0000071	Prbi.g_01391	Praw.g_00981
OG0000072	Prbi.g_00195	Praw.g_01264
OG0000073	Prbi.g_00502	Praw.g_00649
OG0000074	Prbi.g_00685	Praw.g_01840
OG0000075	Prbi.g_01970	Praw.g_00064
OG0000076	Prbi.g_01994	Praw.g_00039
OG0000077	Prbi.g_00085	Praw.g_01356
OG0000078	Prbi.g_00263	Praw.g_01196
OG0000081	Prbi.g_00534	Praw.g_00617
OG0000082	Prbi.g_00587	Praw.g_01932
OG0000083	Prbi.g_00782	Praw.g_01769
OG0000083	Prbi.g_00775	Praw.g_01775
OG0000084	Prbi.g_01585	Praw.g_01087
OG0000085	Prbi.g_01780	Praw.g_00508
OG0000086	Prbi.g_00095	Praw.g_01346
OG0000087	Prbi.g_00147	Praw.g_01296
OG0000088	Prbi.g_00190	Praw.g_01269
OG0000089	Prbi.g_00380	Praw.g_00776
OG0000090	Prbi.g_00536	Praw.g_00615
OG0000091	Prbi.g_00645	Praw.g_01880
OG0000092	Prbi.g_00956	Praw.g_01592
OG0000093	Prbi.g_00977	Praw.g_01571
OG0000094	Prbi.g_01067	Praw.g_01486
OG0000095	Prbi.g_01086	Praw.g_01467
OG0000096	Prbi.g_01156	Praw.g_00184
OG0000096	Prbi.g_01352	Praw.g_00945
OG0000097	Prbi.g_01248	Praw.g_00275
OG0000098	Prbi.g_01421	Praw.g_00997
OG0000099	Prbi.g_01462	Praw.g_01051
OG0000100	Prbi.g_01664	Praw.g_00411
OG0000101	Prbi.g_01938	Praw.g_00096
OG0000102	Prbi.g_01999	Praw.g_00034
OG0000103	Prbi.g_02091	Praw.g_01148
OG0000104	Prbi.g_02099	Praw.g_01140
OG0000105	Prbi.g_00298	Praw.g_00860
OG0000106	Prbi.g_00394	Praw.g_00762
OG0000107	Prbi.g_00409	Praw.g_00748
OG0000108	Prbi.g_00483	Praw.g_00667
OG0000109	Prbi.g_00497	Praw.g_00654
OG0000110	Prbi.g_00577	Praw.g_01922
OG0000111	Prbi.g_00703	Praw.g_01823
OG0000112	Prbi.g_00811	Praw.g_01732
OG0000113	Prbi.g_00869	Praw.g_01675
OG0000114	Prbi.g_00951	Praw.g_01597
OG0000115	Prbi.g_01148	Praw.g_00178
OG0000116	Prbi.g_01197	Praw.g_00224
OG0000117	Prbi.g_01330	Praw.g_00926
OG0000118	Prbi.g_01403	Praw.g_00993
OG0000119	Prbi.g_01435	Praw.g_01012
OG0000120	Prbi.g_01460	Praw.g_01050
OG0000121	Prbi.g_01593	Praw.g_01078
OG0000122	Prbi.g_01630	Praw.g_00377
OG0000123	Prbi.g_01945	Praw.g_00089
OG0000124	Prbi.g_02010	Praw.g_00023
OG0000125	Prbi.g_02059	Praw.g_01180
OG0000126	Prbi.g_02098	Praw.g_01141
OG0000128	Prbi.g_00011	Praw.g_01125
OG0000129	Prbi.g_00053	Praw.g_01384
OG0000130	Prbi.g_00076	Praw.g_01365
OG0000131	Prbi.g_00169	Praw.g_01290
OG0000132	Prbi.g_00188	Praw.g_01271
OG0000133	Prbi.g_00346	Praw.g_00812
OG0000134	Prbi.g_00381	Praw.g_00775
OG0000135	Prbi.g_00407	Praw.g_00751
OG0000136	Prbi.g_00442	Praw.g_00706
OG0000137	Prbi.g_00478	Praw.g_00672
OG0000138	Prbi.g_00498	Praw.g_00653
OG0000139	Prbi.g_00540	Praw.g_00611
OG0000140	Prbi.g_00541	Praw.g_00610
OG0000141	Prbi.g_00609	Praw.g_00143
OG0000142	Prbi.g_00638	Praw.g_01887
OG0000143	Prbi.g_00642	Praw.g_01883
OG0000144	Prbi.g_00655	Praw.g_01870
OG0000145	Prbi.g_00807	Praw.g_01745
OG0000146	Prbi.g_00812	Praw.g_01731
OG0000147	Prbi.g_00813	Praw.g_01730
OG0000148	Prbi.g_00863	Praw.g_01681
OG0000149	Prbi.g_00894	Praw.g_01652
OG0000150	Prbi.g_00902	Praw.g_01644
OG0000151	Prbi.g_00961	Praw.g_01587
OG0000152	Prbi.g_01009	Praw.g_01539
OG0000153	Prbi.g_01028	Praw.g_01520
OG0000154	Prbi.g_01060	Praw.g_01493
OG0000155	Prbi.g_01227	Praw.g_00254
OG0000156	Prbi.g_01380	Praw.g_00968
OG0000157	Prbi.g_01381	Praw.g_00969
OG0000158	Prbi.g_01489	Praw.g_01052
OG0000159	Prbi.g_01490	Praw.g_01054
OG0000160	Prbi.g_01592	Praw.g_01079, Praw.g_01080
OG0000161	Prbi.g_01598	Praw.g_00344
OG0000162	Prbi.g_01604	Praw.g_00350
OG0000163	Prbi.g_01637	Praw.g_00384
OG0000164	Prbi.g_01811	Praw.g_00539
OG0000165	Prbi.g_01818	Praw.g_00546
OG0000166	Prbi.g_01902	Praw.g_00132
OG0000167	Prbi.g_01968	Praw.g_00066
OG0000168	Prbi.g_01978	Praw.g_00056
OG0000169	Prbi.g_01988	Praw.g_00046
OG0000170	Prbi.g_01990	Praw.g_00044
OG0000171	Prbi.g_02009	Praw.g_00024
OG0000172	Prbi.g_02030	Praw.g_00016
OG0000173	Prbi.g_02045	Praw.g_00001
OG0000174	Prbi.g_02073	Praw.g_01166
OG0000175	Prbi.g_02083	Praw.g_01156
OG0000176	Prbi.g_00004	Praw.g_01132
OG0000177	Prbi.g_00005	Praw.g_01131
OG0000178	Prbi.g_00006	Praw.g_01130
OG0000179	Prbi.g_00016	Praw.g_01412
OG0000180	Prbi.g_00017	Praw.g_01411
OG0000181	Prbi.g_00018	Praw.g_01410
OG0000182	Prbi.g_00019	Praw.g_01409
OG0000183	Prbi.g_00023	Praw.g_01405
OG0000184	Prbi.g_00057	Praw.g_01382
OG0000185	Prbi.g_00060	Praw.g_01379
OG0000186	Prbi.g_00071	Praw.g_01370
OG0000187	Prbi.g_00072	Praw.g_01369
OG0000188	Prbi.g_00089	Praw.g_01352
OG0000189	Prbi.g_00103	Praw.g_01339
OG0000190	Prbi.g_00104	Praw.g_01338
OG0000191	Prbi.g_00125	Praw.g_01318
OG0000192	Prbi.g_00129	Praw.g_01314
OG0000193	Prbi.g_00170	Praw.g_01289
OG0000194	Prbi.g_00173	Praw.g_01286
OG0000195	Prbi.g_00175	Praw.g_01284
OG0000196	Prbi.g_00185	Praw.g_01274
OG0000197	Prbi.g_00186	Praw.g_01273
OG0000198	Prbi.g_00187	Praw.g_01272
OG0000199	Prbi.g_00194	Praw.g_01265
OG0000200	Prbi.g_00208	Praw.g_01251
OG0000201	Prbi.g_00216	Praw.g_01243
OG0000202	Prbi.g_00217	Praw.g_01242
OG0000203	Prbi.g_00218	Praw.g_01241
OG0000204	Prbi.g_00219	Praw.g_01240
OG0000205	Prbi.g_00226	Praw.g_01233
OG0000206	Prbi.g_00231	Praw.g_01228
OG0000207	Prbi.g_00233	Praw.g_01226
OG0000208	Prbi.g_00234	Praw.g_01225
OG0000209	Prbi.g_00243	Praw.g_01216
OG0000210	Prbi.g_00244	Praw.g_01215
OG0000211	Prbi.g_00257	Praw.g_01202
OG0000212	Prbi.g_00264	Praw.g_01195
OG0000213	Prbi.g_00281	Praw.g_00876
OG0000214	Prbi.g_00291	Praw.g_00867
OG0000215	Prbi.g_00316	Praw.g_00842
