Orthogroup	Prbi	Syap
OG0000001	Prbi.g_01424	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prbi.g_00256	Syap.g_01987
OG0000005	Prbi.g_01800	Syap.g_01773
OG0000005	Prbi.g_01666	Syap.g_01218
OG0000006	Prbi.g_00265	Syap.g_02770
OG0000007	Prbi.g_00500	Syap.g_00275
OG0000007	Prbi.g_01787	Syap.g_00621
OG0000009	Prbi.g_00112	Syap.g_02081
OG0000010	Prbi.g_01094	Syap.g_02757
OG0000013	Prbi.g_00351	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbi.g_00330	Syap.g_01675
OG0000014	Prbi.g_01475	Syap.g_00813
OG0000015	Prbi.g_00810, Prbi.g_01304	Syap.g_02606, Syap.g_00786
OG0000016	Prbi.g_00013	Syap.g_00071
OG0000017	Prbi.g_00600	Syap.g_00449
OG0000018	Prbi.g_00874	Syap.g_02708
OG0000018	Prbi.g_01188	Syap.g_02010
OG0000019	Prbi.g_00273, Prbi.g_00827	Syap.g_01586
OG0000025	Prbi.g_00355, Prbi.g_00882	Syap.g_01846
OG0000027	Prbi.g_00472, Prbi.g_01374	Syap.g_01440
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syap.g_01658
OG0000030	Prbi.g_02004	Syap.g_00787, Syap.g_00788
OG0000031	Prbi.g_01467	Syap.g_00722
OG0000032	Prbi.g_01497	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000034	Prbi.g_01401	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbi.g_01589, Prbi.g_01591	Syap.g_02125, Syap.g_02465
OG0000037	Prbi.g_00116	Syap.g_02492
OG0000038	Prbi.g_02057	Syap.g_00139
OG0000039	Prbi.g_00689	Syap.g_01749, Syap.g_01748
OG0000040	Prbi.g_01187	Syap.g_01819
OG0000041	Prbi.g_01833	Syap.g_01510
OG0000042	Prbi.g_02001	Syap.g_01891, Syap.g_01120
OG0000043	Prbi.g_01334	Syap.g_01998
OG0000044	Prbi.g_01744, Prbi.g_01760	Syap.g_00378
OG0000048	Prbi.g_00398	Syap.g_02340
OG0000051	Prbi.g_01281, Prbi.g_01364	Syap.g_01574
OG0000053	Prbi.g_01611	Syap.g_02006
OG0000054	Prbi.g_00608	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prbi.g_00702	Syap.g_01569
OG0000059	Prbi.g_01717	Syap.g_01082, Syap.g_02478
OG0000059	Prbi.g_01873	Syap.g_01918
OG0000061	Prbi.g_01207	Syap.g_00228
OG0000062	Prbi.g_01482	Syap.g_01365
OG0000062	Prbi.g_01668	Syap.g_01220
OG0000063	Prbi.g_00033	Syap.g_01796
OG0000066	Prbi.g_00542	Syap.g_01972
OG0000067	Prbi.g_00847	Syap.g_00194
OG0000068	Prbi.g_01439	Syap.g_00108, Syap.g_00144
OG0000069	Prbi.g_01702	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prbi.g_00451	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prbi.g_01391	Syap.g_01483
OG0000072	Prbi.g_00195	Syap.g_00555
OG0000073	Prbi.g_00502	Syap.g_01020, Syap.g_00273
OG0000075	Prbi.g_01970	Syap.g_01064, Syap.g_00664
OG0000076	Prbi.g_01994	Syap.g_01111
OG0000077	Prbi.g_00085	Syap.g_00416
OG0000078	Prbi.g_00263	Syap.g_01149
OG0000079	Prbi.g_00276	Syap.g_01589
OG0000080	Prbi.g_01492	Syap.g_01003
OG0000085	Prbi.g_01780	Syap.g_00611
OG0000087	Prbi.g_00147	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbi.g_00190	Syap.g_01202
OG0000089	Prbi.g_00380	Syap.g_00115, Syap.g_02042
OG0000090	Prbi.g_00536	Syap.g_01451
OG0000091	Prbi.g_00645	Syap.g_01861
OG0000094	Prbi.g_01067	Syap.g_02781
OG0000095	Prbi.g_01086	Syap.g_01556
OG0000098	Prbi.g_01421	Syap.g_01975
OG0000099	Prbi.g_01462	Syap.g_01385
OG0000101	Prbi.g_01938	Syap.g_00472
OG0000102	Prbi.g_01999	Syap.g_01116
OG0000103	Prbi.g_02091	Syap.g_02607, Syap.g_02608
OG0000104	Prbi.g_02099	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbi.g_00298	Syap.g_01369, Syap.g_01368
OG0000107	Prbi.g_00409	Syap.g_02496
OG0000108	Prbi.g_00483	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prbi.g_00497	Syap.g_00279, Syap.g_02237
OG0000110	Prbi.g_00577	Syap.g_01313
OG0000111	Prbi.g_00703	Syap.g_01566, Syap.g_01568
OG0000112	Prbi.g_00811	Syap.g_02023
OG0000113	Prbi.g_00869	Syap.g_02714
OG0000114	Prbi.g_00951	Syap.g_01255
OG0000115	Prbi.g_01148	Syap.g_02004
OG0000116	Prbi.g_01197	Syap.g_00241
OG0000117	Prbi.g_01330	Syap.g_01889
OG0000118	Prbi.g_01403	Syap.g_02286
OG0000120	Prbi.g_01460	Syap.g_02075
OG0000121	Prbi.g_01593	Syap.g_02471
OG0000123	Prbi.g_01945	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbi.g_02010	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbi.g_02059	Syap.g_01046, Syap.g_01047
OG0000126	Prbi.g_02098	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Prbi.g_01300, Prbi.g_01549	Syap.g_00736
OG0000128	Prbi.g_00011	Syap.g_00069
OG0000129	Prbi.g_00053	Syap.g_00130, Syap.g_00129
OG0000130	Prbi.g_00076	Syap.g_01688, Syap.g_01689
OG0000131	Prbi.g_00169	Syap.g_02189
OG0000132	Prbi.g_00188	Syap.g_01205
OG0000133	Prbi.g_00346	Syap.g_02017
OG0000134	Prbi.g_00381	Syap.g_02047
OG0000135	Prbi.g_00407	Syap.g_02090
OG0000136	Prbi.g_00442	Syap.g_00089
OG0000137	Prbi.g_00478	Syap.g_02756
OG0000138	Prbi.g_00498	Syap.g_00278
OG0000139	Prbi.g_00540	Syap.g_00410
OG0000140	Prbi.g_00541	Syap.g_01976
OG0000141	Prbi.g_00609	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbi.g_00638	Syap.g_00895, Syap.g_00894
OG0000143	Prbi.g_00642	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbi.g_00655	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbi.g_00807	Syap.g_01860, Syap.g_01859
OG0000146	Prbi.g_00812	Syap.g_02024
OG0000147	Prbi.g_00813	Syap.g_02025
OG0000148	Prbi.g_00863	Syap.g_02720
OG0000149	Prbi.g_00894	Syap.g_00824
OG0000150	Prbi.g_00902	Syap.g_01540
OG0000151	Prbi.g_00961	Syap.g_00142
OG0000152	Prbi.g_01009	Syap.g_02012
OG0000153	Prbi.g_01028	Syap.g_02682
OG0000154	Prbi.g_01060	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbi.g_01227	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbi.g_01380	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbi.g_01381	Syap.g_00249, Syap.g_00286
OG0000158	Prbi.g_01489	Syap.g_01075
OG0000159	Prbi.g_01490	Syap.g_00700
OG0000160	Prbi.g_01592	Syap.g_02470, Syap.g_02469
OG0000161	Prbi.g_01598	Syap.g_02476
OG0000162	Prbi.g_01604	Syap.g_02531
OG0000164	Prbi.g_01811	Syap.g_01391, Syap.g_01392
OG0000165	Prbi.g_01818	Syap.g_01381, Syap.g_01382
OG0000166	Prbi.g_01902	Syap.g_00512, Syap.g_01238
OG0000167	Prbi.g_01968	Syap.g_02080
OG0000168	Prbi.g_01978	Syap.g_01076
OG0000169	Prbi.g_01988	Syap.g_01049, Syap.g_01093
OG0000170	Prbi.g_01990	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbi.g_02009	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbi.g_02030	Syap.g_01143, Syap.g_00635
OG0000173	Prbi.g_02045	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prbi.g_02073	Syap.g_02092
OG0000175	Prbi.g_02083	Syap.g_02654
OG0000176	Prbi.g_00004	Syap.g_00059
OG0000177	Prbi.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prbi.g_00006	Syap.g_00062
OG0000179	Prbi.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Prbi.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Prbi.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Prbi.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Prbi.g_00023	Syap.g_00084
OG0000184	Prbi.g_00057	Syap.g_01337
OG0000185	Prbi.g_00060	Syap.g_01322
OG0000186	Prbi.g_00071	Syap.g_01684
OG0000187	Prbi.g_00072	Syap.g_01686
OG0000188	Prbi.g_00089	Syap.g_02547
OG0000191	Prbi.g_00125	Syap.g_02233
OG0000192	Prbi.g_00129	Syap.g_02224
OG0000193	Prbi.g_00170	Syap.g_02187, Syap.g_02188
OG0000194	Prbi.g_00173	Syap.g_02183
OG0000195	Prbi.g_00175	Syap.g_02180
OG0000196	Prbi.g_00185	Syap.g_01208, Syap.g_02167
OG0000197	Prbi.g_00186	Syap.g_01207, Syap.g_02166
OG0000198	Prbi.g_00187	Syap.g_01206
OG0000199	Prbi.g_00194	Syap.g_01197
OG0000200	Prbi.g_00208	Syap.g_01181
OG0000201	Prbi.g_00216	Syap.g_02265
OG0000202	Prbi.g_00217	Syap.g_02264
OG0000203	Prbi.g_00218	Syap.g_01601
OG0000204	Prbi.g_00219	Syap.g_01602
OG0000205	Prbi.g_00226	Syap.g_01616
OG0000206	Prbi.g_00231	Syap.g_01628
OG0000207	Prbi.g_00233	Syap.g_01426, Syap.g_00424
OG0000208	Prbi.g_00234	Syap.g_00426, Syap.g_01425
OG0000209	Prbi.g_00243	Syap.g_01906
OG0000210	Prbi.g_00244	Syap.g_01905
OG0000211	Prbi.g_00257	Syap.g_01160
OG0000212	Prbi.g_00264	Syap.g_02664
OG0000213	Prbi.g_00281	Syap.g_00107, Syap.g_01599
OG0000214	Prbi.g_00291	Syap.g_02344, Syap.g_02345
OG0000215	Prbi.g_00316	Syap.g_01347, Syap.g_01629
OG0000216	Prbi.g_00318	Syap.g_01634
OG0000217	Prbi.g_00321	Syap.g_01638
OG0000218	Prbi.g_00323	Syap.g_01641, Syap.g_01640
OG0000219	Prbi.g_00324	Syap.g_01642, Syap.g_01643
OG0000220	Prbi.g_00325	Syap.g_01645
OG0000221	Prbi.g_00326	Syap.g_01646
OG0000222	Prbi.g_00334	Syap.g_01669
OG0000223	Prbi.g_00347	Syap.g_02072, Syap.g_02073
OG0000224	Prbi.g_00349	Syap.g_02064
OG0000225	Prbi.g_00370	Syap.g_00553, Syap.g_00552
OG0000226	Prbi.g_00374	Syap.g_02029, Syap.g_02144
OG0000227	Prbi.g_00376	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbi.g_00379	Syap.g_00116, Syap.g_02041
OG0000229	Prbi.g_00437	Syap.g_02059
OG0000230	Prbi.g_00439	Syap.g_02061
OG0000231	Prbi.g_00450	Syap.g_02533
