Orthogroup	Prbi	Syat
OG0000001	Prbi.g_01424	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prbi.g_01800	Syat.g_03065
OG0000005	Prbi.g_01666	Syat.g_03105
OG0000006	Prbi.g_00265	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prbi.g_00500	Syat.g_03191
OG0000007	Prbi.g_01787	Syat.g_03124
OG0000008	Prbi.g_01764	Syat.g_02626
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syat.g_02627
OG0000009	Prbi.g_00112	Syat.g_01567
OG0000010	Prbi.g_01094	Syat.g_01372
OG0000012	Prbi.g_00625	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prbi.g_00351	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbi.g_00330	Syat.g_02104
OG0000014	Prbi.g_01475	Syat.g_02250
OG0000015	Prbi.g_00810, Prbi.g_01304	Syat.g_00775, Syat.g_01677
OG0000016	Prbi.g_00013	Syat.g_02329
OG0000017	Prbi.g_00600	Syat.g_00015
OG0000018	Prbi.g_01188	Syat.g_01334
OG0000019	Prbi.g_00273, Prbi.g_00827	Syat.g_01876
OG0000021	Prbi.g_01742, Prbi.g_00389	Syat.g_00964
OG0000022	Prbi.g_01170	Syat.g_00210
OG0000024	Prbi.g_00788, Prbi.g_00678	Syat.g_03394
OG0000025	Prbi.g_00355, Prbi.g_00882	Syat.g_00719
OG0000026	Prbi.g_00031, Prbi.g_01101	Syat.g_02306
OG0000027	Prbi.g_00472, Prbi.g_01374	Syat.g_00850
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syat.g_02126
OG0000030	Prbi.g_02004	Syat.g_00307, Syat.g_00308
OG0000031	Prbi.g_01467	Syat.g_03199, Syat.g_02243
OG0000032	Prbi.g_01497	Syat.g_02237
OG0000034	Prbi.g_01401	Syat.g_01165, Syat.g_02902
OG0000035	Prbi.g_01589, Prbi.g_01591	Syat.g_01227, Syat.g_01226
OG0000037	Prbi.g_00116	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prbi.g_02057	Syat.g_02688, Syat.g_02686
OG0000039	Prbi.g_00689	Syat.g_01278
OG0000040	Prbi.g_01187	Syat.g_02551
OG0000041	Prbi.g_01833	Syat.g_00785, Syat.g_03006
OG0000042	Prbi.g_02001	Syat.g_00223, Syat.g_02222
OG0000044	Prbi.g_01744, Prbi.g_01760	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000048	Prbi.g_00398	Syat.g_02046
OG0000053	Prbi.g_01611	Syat.g_01330
OG0000054	Prbi.g_00608	Syat.g_00987, Syat.g_03390
OG0000055	Prbi.g_00828	Syat.g_00693
OG0000057	Prbi.g_00702	Syat.g_00817, Syat.g_02055
OG0000059	Prbi.g_01873	Syat.g_01832
OG0000061	Prbi.g_01207	Syat.g_03260
OG0000062	Prbi.g_01668	Syat.g_03107
OG0000063	Prbi.g_00033	Syat.g_02303
OG0000065	Prbi.g_00114	Syat.g_01571
OG0000066	Prbi.g_00542	Syat.g_03283
OG0000067	Prbi.g_00847	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prbi.g_01439	Syat.g_00085, Syat.g_01295
OG0000069	Prbi.g_01702	Syat.g_00090, Syat.g_00879
OG0000070	Prbi.g_00451	Syat.g_01032, Syat.g_01040
OG0000071	Prbi.g_01391	Syat.g_01153
OG0000072	Prbi.g_00195	Syat.g_02856, Syat.g_01597
OG0000073	Prbi.g_00502	Syat.g_03201
OG0000075	Prbi.g_01970	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbi.g_01994	Syat.g_02206
OG0000077	Prbi.g_00085	Syat.g_01481
OG0000078	Prbi.g_00263	Syat.g_00184
OG0000079	Prbi.g_00276	Syat.g_01879
OG0000081	Prbi.g_00534	Syat.g_00980
OG0000082	Prbi.g_00587	Syat.g_00035
OG0000085	Prbi.g_01780	Syat.g_03113
OG0000086	Prbi.g_00095	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbi.g_00147	Syat.g_02912
OG0000088	Prbi.g_00190	Syat.g_02862
OG0000089	Prbi.g_00380	Syat.g_02953
OG0000090	Prbi.g_00536	Syat.g_03270
OG0000091	Prbi.g_00645	Syat.g_00939, Syat.g_00862
OG0000094	Prbi.g_01067	Syat.g_00698, Syat.g_01034
OG0000095	Prbi.g_01086	Syat.g_00808
OG0000097	Prbi.g_01248	Syat.g_00907, Syat.g_00535
OG0000098	Prbi.g_01421	Syat.g_03281
OG0000099	Prbi.g_01462	Syat.g_02130
OG0000100	Prbi.g_01664	Syat.g_00517
OG0000101	Prbi.g_01938	Syat.g_01661
OG0000102	Prbi.g_01999	Syat.g_00974
OG0000103	Prbi.g_02091	Syat.g_02399
OG0000104	Prbi.g_02099	Syat.g_02385
OG0000105	Prbi.g_00298	Syat.g_02052
OG0000106	Prbi.g_00394	Syat.g_00957
OG0000107	Prbi.g_00409	Syat.g_02009, Syat.g_01862
OG0000108	Prbi.g_00483	Syat.g_03170
OG0000109	Prbi.g_00497	Syat.g_03187
OG0000110	Prbi.g_00577	Syat.g_00049
OG0000111	Prbi.g_00703	Syat.g_00816
OG0000112	Prbi.g_00811	Syat.g_00593
OG0000113	Prbi.g_00869	Syat.g_00509
OG0000114	Prbi.g_00951	Syat.g_00426
OG0000115	Prbi.g_01148	Syat.g_01328
OG0000116	Prbi.g_01197	Syat.g_02641
OG0000117	Prbi.g_01330	Syat.g_00224
OG0000118	Prbi.g_01403	Syat.g_01168
OG0000119	Prbi.g_01435	Syat.g_00309
OG0000120	Prbi.g_01460	Syat.g_02132
OG0000121	Prbi.g_01593	Syat.g_01223
OG0000123	Prbi.g_01945	Syat.g_01653
OG0000124	Prbi.g_02010	Syat.g_02231
OG0000125	Prbi.g_02059	Syat.g_02684
OG0000126	Prbi.g_02098	Syat.g_00976
OG0000128	Prbi.g_00011	Syat.g_02331
OG0000129	Prbi.g_00053	Syat.g_02693, Syat.g_02694
OG0000130	Prbi.g_00076	Syat.g_01469
OG0000131	Prbi.g_00169	Syat.g_02898
OG0000132	Prbi.g_00188	Syat.g_02864
OG0000133	Prbi.g_00346	Syat.g_00588
OG0000134	Prbi.g_00381	Syat.g_02956
OG0000135	Prbi.g_00407	Syat.g_02501
OG0000136	Prbi.g_00442	Syat.g_01292
OG0000137	Prbi.g_00478	Syat.g_01371
OG0000138	Prbi.g_00498	Syat.g_03188
OG0000139	Prbi.g_00540	Syat.g_03276
OG0000140	Prbi.g_00541	Syat.g_03280
OG0000141	Prbi.g_00609	Syat.g_03398
OG0000142	Prbi.g_00638	Syat.g_00117
OG0000143	Prbi.g_00642	Syat.g_00130
OG0000144	Prbi.g_00655	Syat.g_00369
OG0000145	Prbi.g_00807	Syat.g_03202
OG0000146	Prbi.g_00812	Syat.g_00594
OG0000147	Prbi.g_00813	Syat.g_00595
OG0000148	Prbi.g_00863	Syat.g_00503
OG0000149	Prbi.g_00894	Syat.g_00747
OG0000150	Prbi.g_00902	Syat.g_03399
OG0000151	Prbi.g_00961	Syat.g_00801, Syat.g_00440
OG0000152	Prbi.g_01009	Syat.g_00578
OG0000153	Prbi.g_01028	Syat.g_00542
OG0000154	Prbi.g_01060	Syat.g_00708
OG0000155	Prbi.g_01227	Syat.g_00287
OG0000156	Prbi.g_01380	Syat.g_03228
OG0000157	Prbi.g_01381	Syat.g_02012, Syat.g_03227
OG0000158	Prbi.g_01489	Syat.g_02163
OG0000160	Prbi.g_01592	Syat.g_01224
OG0000161	Prbi.g_01598	Syat.g_01180
OG0000162	Prbi.g_01604	Syat.g_01281
OG0000163	Prbi.g_01637	Syat.g_02979
OG0000164	Prbi.g_01811	Syat.g_03040
OG0000165	Prbi.g_01818	Syat.g_03033
OG0000166	Prbi.g_01902	Syat.g_01822
OG0000167	Prbi.g_01968	Syat.g_02148
OG0000168	Prbi.g_01978	Syat.g_02164
OG0000169	Prbi.g_01988	Syat.g_02192
OG0000170	Prbi.g_01990	Syat.g_02201
OG0000171	Prbi.g_02009	Syat.g_02230
OG0000172	Prbi.g_02030	Syat.g_02260
OG0000173	Prbi.g_02045	Syat.g_02284
OG0000174	Prbi.g_02073	Syat.g_02504
OG0000175	Prbi.g_02083	Syat.g_02416
OG0000176	Prbi.g_00004	Syat.g_02372
