Orthogroup	Prbi	Syaq
OG0000001	Prbi.g_01424	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prbi.g_00698	Syaq.g_02603
OG0000004	Prbi.g_00256	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbi.g_01800	Syaq.g_01658
OG0000005	Prbi.g_01666	Syaq.g_01692
OG0000006	Prbi.g_00265	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbi.g_00500	Syaq.g_01793
OG0000007	Prbi.g_01787	Syaq.g_01673
OG0000008	Prbi.g_01764	Syaq.g_02162
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syaq.g_02575
OG0000009	Prbi.g_00112	Syaq.g_01489
OG0000010	Prbi.g_01094	Syaq.g_00443
OG0000012	Prbi.g_00625	Syaq.g_02059, Syaq.g_00077
OG0000013	Prbi.g_00351	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbi.g_00330	Syaq.g_00862
OG0000014	Prbi.g_01502	Syaq.g_00907
OG0000014	Prbi.g_01508	Syaq.g_00933
OG0000015	Prbi.g_00810, Prbi.g_01304	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prbi.g_00013	Syaq.g_01136
OG0000017	Prbi.g_00600	Syaq.g_01992, Syaq.g_01999
OG0000018	Prbi.g_01188	Syaq.g_00401
OG0000019	Prbi.g_00273, Prbi.g_00827	Syaq.g_00717
OG0000022	Prbi.g_01170	Syaq.g_02126
OG0000023	Prbi.g_00384	Syaq.g_02540
OG0000025	Prbi.g_00355, Prbi.g_00882	Syaq.g_02381
OG0000026	Prbi.g_00031, Prbi.g_01101	Syaq.g_01114
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syaq.g_00878
OG0000030	Prbi.g_02004	Syaq.g_01047, Syaq.g_01048
OG0000034	Prbi.g_01401	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbi.g_01589, Prbi.g_01591	Syaq.g_00372, Syaq.g_00371
OG0000037	Prbi.g_00116	Syaq.g_01483
OG0000038	Prbi.g_02057	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbi.g_00689	Syaq.g_01601, Syaq.g_01241
OG0000041	Prbi.g_01833	Syaq.g_02688, Syaq.g_01612
OG0000042	Prbi.g_02001	Syaq.g_00200, Syaq.g_01044
OG0000044	Prbi.g_01744, Prbi.g_01760	Syaq.g_00107, Syaq.g_02701
OG0000045	Prbi.g_00395	Syaq.g_02047
OG0000048	Prbi.g_00398	Syaq.g_00749
OG0000052	Prbi.g_01478	Syaq.g_00935
OG0000053	Prbi.g_01611	Syaq.g_00397
