Orthogroup	Prbi	Syai
OG0000001	Prbi.g_01424	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbi.g_01432, Prbi.g_00681	Syai.g_01728
OG0000004	Prbi.g_00698	Syai.g_01994
OG0000004	Prbi.g_00256	Syai.g_01062, Syai.g_00530
OG0000005	Prbi.g_01800	Syai.g_02393
OG0000005	Prbi.g_01666	Syai.g_02356
OG0000006	Prbi.g_00265	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbi.g_00500	Syai.g_00657
OG0000007	Prbi.g_01787	Syai.g_02378
OG0000008	Prbi.g_01764	Syai.g_01956
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syai.g_01955
OG0000009	Prbi.g_01338, Prbi.g_01701	Syai.g_01626
OG0000009	Prbi.g_00112	Syai.g_02541
OG0000010	Prbi.g_01094	Syai.g_00864
OG0000011	Prbi.g_01361	Syai.g_01894, Syai.g_00582
OG0000012	Prbi.g_00625	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prbi.g_00351	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbi.g_00330	Syai.g_00220
OG0000015	Prbi.g_00810, Prbi.g_01304	Syai.g_01246, Syai.g_01245
OG0000016	Prbi.g_00013	Syai.g_00014
OG0000017	Prbi.g_00600	Syai.g_00801, Syai.g_00808
OG0000018	Prbi.g_01188	Syai.g_00915
OG0000019	Prbi.g_00273, Prbi.g_00827	Syai.g_00304
OG0000020	Prbi.g_01153	Syai.g_00476
OG0000021	Prbi.g_01742, Prbi.g_00389	Syai.g_00556
OG0000022	Prbi.g_01170	Syai.g_01159
OG0000023	Prbi.g_00384	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbi.g_00788, Prbi.g_00678	Syai.g_01951
OG0000025	Prbi.g_00355, Prbi.g_00882	Syai.g_02044
OG0000026	Prbi.g_00031, Prbi.g_01101	Syai.g_00038
OG0000027	Prbi.g_00472, Prbi.g_01374	Syai.g_01128, Syai.g_01654
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syai.g_00205
OG0000029	Prbi.g_00796, Prbi.g_00399	Syai.g_01035, Syai.g_01584
OG0000030	Prbi.g_02004	Syai.g_00096, Syai.g_00095
OG0000034	Prbi.g_01401	Syai.g_02192, Syai.g_02604
OG0000035	Prbi.g_01589, Prbi.g_01591	Syai.g_00955
OG0000037	Prbi.g_00116	Syai.g_02544, Syai.g_02815
OG0000038	Prbi.g_02057	Syai.g_02780
OG0000039	Prbi.g_00689	Syai.g_02034
OG0000040	Prbi.g_01187	Syai.g_02876
OG0000041	Prbi.g_01833	Syai.g_02265, Syai.g_02016
OG0000042	Prbi.g_02001	Syai.g_00099
OG0000044	Prbi.g_01744, Prbi.g_01760	Syai.g_00833
OG0000045	Prbi.g_00395	Syai.g_02432
OG0000047	Prbi.g_00354	Syai.g_00462
OG0000048	Prbi.g_00398	Syai.g_00272
OG0000050	Prbi.g_01122	Syai.g_01332
OG0000051	Prbi.g_01364	Syai.g_01773
OG0000053	Prbi.g_01611	Syai.g_00930
OG0000054	Prbi.g_00608	Syai.g_01040
OG0000055	Prbi.g_00828	Syai.g_02029
OG0000057	Prbi.g_00702	Syai.g_01997
OG0000059	Prbi.g_01873	Syai.g_00351
OG0000061	Prbi.g_01207	Syai.g_02144
OG0000062	Prbi.g_01668	Syai.g_02358
OG0000063	Prbi.g_00033	Syai.g_00042
OG0000066	Prbi.g_00542	Syai.g_01709, Syai.g_00719
OG0000067	Prbi.g_00847	Syai.g_01321
OG0000068	Prbi.g_01439	Syai.g_00628
OG0000070	Prbi.g_00451	Syai.g_02196
OG0000071	Prbi.g_01391	Syai.g_02179
OG0000072	Prbi.g_00195	Syai.g_02636
OG0000073	Prbi.g_00502	Syai.g_00659
OG0000075	Prbi.g_01970	Syai.g_00161
OG0000076	Prbi.g_01994	Syai.g_00111
OG0000077	Prbi.g_00085	Syai.g_02486
OG0000078	Prbi.g_00263	Syai.g_00543
OG0000079	Prbi.g_00276	Syai.g_00300
OG0000081	Prbi.g_00534	Syai.g_00553, Syai.g_02292
OG0000082	Prbi.g_00587	Syai.g_00781
OG0000084	Prbi.g_01585	Syai.g_01196, Syai.g_00958
OG0000085	Prbi.g_01780	Syai.g_02365
OG0000086	Prbi.g_00095	Syai.g_02507
OG0000087	Prbi.g_00147	Syai.g_02592
OG0000088	Prbi.g_00190	Syai.g_02630
OG0000089	Prbi.g_00380	Syai.g_00517
OG0000090	Prbi.g_00536	Syai.g_00707
OG0000091	Prbi.g_00645	Syai.g_01112
OG0000092	Prbi.g_00956	Syai.g_01358
OG0000093	Prbi.g_00977	Syai.g_01306
OG0000094	Prbi.g_01067	Syai.g_01424
OG0000095	Prbi.g_01086	Syai.g_02007
OG0000097	Prbi.g_01248	Syai.g_01787
OG0000098	Prbi.g_01421	Syai.g_01718
OG0000099	Prbi.g_01462	Syai.g_00199
OG0000100	Prbi.g_01664	Syai.g_01372
OG0000101	Prbi.g_01938	Syai.g_00404
OG0000102	Prbi.g_01999	Syai.g_00106
OG0000103	Prbi.g_02091	Syai.g_02912
OG0000104	Prbi.g_02099	Syai.g_02929
OG0000105	Prbi.g_00298	Syai.g_00267
OG0000106	Prbi.g_00394	Syai.g_01601
OG0000107	Prbi.g_00409	Syai.g_00319
OG0000108	Prbi.g_00483	Syai.g_00638
OG0000109	Prbi.g_00497	Syai.g_00653
OG0000110	Prbi.g_00577	Syai.g_00878, Syai.g_00766
OG0000111	Prbi.g_00703	Syai.g_00884, Syai.g_01998
OG0000112	Prbi.g_00811	Syai.g_01512
OG0000113	Prbi.g_00869	Syai.g_01367
OG0000114	Prbi.g_00951	Syai.g_01261
OG0000115	Prbi.g_01148	Syai.g_00932
OG0000116	Prbi.g_01197	Syai.g_02156
OG0000117	Prbi.g_01330	Syai.g_01756
OG0000118	Prbi.g_01403	Syai.g_00818
OG0000119	Prbi.g_01435	Syai.g_02127
OG0000120	Prbi.g_01460	Syai.g_00198
OG0000121	Prbi.g_01593	Syai.g_00951
