Orthogroup	Prbi	Syaa
OG0000001	Prbi.g_01424	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Prbi.g_00698	Syaa.g_00892
OG0000004	Prbi.g_00256	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbi.g_01800	Syaa.g_00534
OG0000005	Prbi.g_01666	Syaa.g_00573
OG0000006	Prbi.g_00265	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbi.g_00500	Syaa.g_02032
OG0000007	Prbi.g_01787	Syaa.g_00551
OG0000008	Prbi.g_01764	Syaa.g_00918
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syaa.g_00919
OG0000009	Prbi.g_00112	Syaa.g_02378
OG0000010	Prbi.g_01094	Syaa.g_01843
OG0000012	Prbi.g_00625	Syaa.g_01660, Syaa.g_02304
OG0000013	Prbi.g_00351	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Prbi.g_00330	Syaa.g_00222
OG0000014	Prbi.g_01475	Syaa.g_00481
OG0000015	Prbi.g_00810, Prbi.g_01304	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Prbi.g_00013	Syaa.g_00014
OG0000017	Prbi.g_00600	Syaa.g_01890, Syaa.g_01883
OG0000018	Prbi.g_01188	Syaa.g_01801
OG0000019	Prbi.g_00273, Prbi.g_00827	Syaa.g_00307
OG0000021	Prbi.g_01742, Prbi.g_00389	Syaa.g_02627
OG0000022	Prbi.g_01170	Syaa.g_01571
OG0000023	Prbi.g_00384	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbi.g_00788, Prbi.g_00678	Syaa.g_00922
OG0000025	Prbi.g_00355, Prbi.g_00882	Syaa.g_00839
OG0000026	Prbi.g_00031, Prbi.g_01101	Syaa.g_00038
OG0000027	Prbi.g_00472, Prbi.g_01374	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syaa.g_00205
OG0000029	Prbi.g_00796, Prbi.g_00399	Syaa.g_01578
OG0000030	Prbi.g_02004	Syaa.g_00099, Syaa.g_00098
OG0000034	Prbi.g_01401	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbi.g_01589, Prbi.g_01591	Syaa.g_01773
OG0000037	Prbi.g_00116	Syaa.g_02384
OG0000038	Prbi.g_02057	Syaa.g_02596
OG0000039	Prbi.g_00689	Syaa.g_00846
OG0000040	Prbi.g_01738	Syaa.g_01606
OG0000040	Prbi.g_01187	Syaa.g_02690
OG0000041	Prbi.g_01833	Syaa.g_00660, Syaa.g_00869
OG0000042	Prbi.g_02001	Syaa.g_00103
OG0000044	Prbi.g_01744, Prbi.g_01760	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851
OG0000045	Prbi.g_00395	Syaa.g_01560
OG0000047	Prbi.g_00354	Syaa.g_02189
OG0000048	Prbi.g_00398	Syaa.g_00275, Syaa.g_02719
OG0000050	Prbi.g_01122	Syaa.g_01213, Syaa.g_01712
OG0000051	Prbi.g_01364	Syaa.g_01531
OG0000052	Prbi.g_01478	Syaa.g_00461
OG0000053	Prbi.g_01611	Syaa.g_01797
OG0000054	Prbi.g_00608	Syaa.g_01691, Syaa.g_01502
OG0000055	Prbi.g_00828	Syaa.g_01564, Syaa.g_00852
OG0000057	Prbi.g_00702	Syaa.g_01466, Syaa.g_00889
OG0000059	Prbi.g_01873	Syaa.g_02315
OG0000061	Prbi.g_01207	Syaa.g_00770
OG0000062	Prbi.g_01668	Syaa.g_00571
OG0000063	Prbi.g_00033	Syaa.g_00042
OG0000065	Prbi.g_00114	Syaa.g_02380
OG0000066	Prbi.g_00542	Syaa.g_01968
OG0000067	Prbi.g_00847	Syaa.g_01154
OG0000068	Prbi.g_01439	Syaa.g_02059
OG0000069	Prbi.g_01702	Syaa.g_01497, Syaa.g_01256
OG0000070	Prbi.g_00451	Syaa.g_00718
OG0000071	Prbi.g_01391	Syaa.g_00735
OG0000072	Prbi.g_00195	Syaa.g_02480
OG0000073	Prbi.g_00502	Syaa.g_02030
OG0000074	Prbi.g_00685	Syaa.g_00372
OG0000075	Prbi.g_01970	Syaa.g_00157
OG0000076	Prbi.g_01994	Syaa.g_00123
OG0000077	Prbi.g_00085	Syaa.g_00341
OG0000078	Prbi.g_00263	Syaa.g_02103
OG0000079	Prbi.g_00276	Syaa.g_00303
OG0000081	Prbi.g_00534	Syaa.g_02089, Syaa.g_01694
OG0000082	Prbi.g_00587	Syaa.g_01905
OG0000084	Prbi.g_01585	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prbi.g_01780	Syaa.g_00564
OG0000086	Prbi.g_00095	Syaa.g_00324
OG0000087	Prbi.g_00147	Syaa.g_02433
OG0000088	Prbi.g_00190	Syaa.g_02474
OG0000089	Prbi.g_00380	Syaa.g_02149
OG0000090	Prbi.g_00536	Syaa.g_01980
OG0000091	Prbi.g_00645	Syaa.g_01625
OG0000093	Prbi.g_00977	Syaa.g_01139
OG0000094	Prbi.g_01067	Syaa.g_01288
OG0000095	Prbi.g_01086	Syaa.g_00879
OG0000097	Prbi.g_01248	Syaa.g_00979
OG0000098	Prbi.g_01421	Syaa.g_01970
OG0000099	Prbi.g_01462	Syaa.g_00202
OG0000100	Prbi.g_01664	Syaa.g_01201
OG0000101	Prbi.g_01938	Syaa.g_02249
OG0000102	Prbi.g_01999	Syaa.g_00118
OG0000103	Prbi.g_02091	Syaa.g_02740
OG0000104	Prbi.g_02099	Syaa.g_02754
OG0000105	Prbi.g_00298	Syaa.g_00270
OG0000106	Prbi.g_00394	Syaa.g_01439
OG0000107	Prbi.g_00409	Syaa.g_02351
OG0000108	Prbi.g_00483	Syaa.g_02051
OG0000109	Prbi.g_00497	Syaa.g_02036
OG0000110	Prbi.g_00577	Syaa.g_01918
OG0000111	Prbi.g_00703	Syaa.g_00888
OG0000112	Prbi.g_00811	Syaa.g_01366
OG0000113	Prbi.g_00869	Syaa.g_01196
OG0000114	Prbi.g_00951	Syaa.g_01094
OG0000115	Prbi.g_01148	Syaa.g_01795
OG0000116	Prbi.g_01197	Syaa.g_00757
OG0000117	Prbi.g_01330	Syaa.g_01009
OG0000118	Prbi.g_01403	Syaa.g_01874
OG0000119	Prbi.g_01435	Syaa.g_00785
OG0000120	Prbi.g_01460	Syaa.g_00201
OG0000121	Prbi.g_01593	Syaa.g_01777
OG0000122	Prbi.g_01630	Syaa.g_01598
OG0000123	Prbi.g_01945	Syaa.g_02242
OG0000124	Prbi.g_02010	Syaa.g_00092
OG0000125	Prbi.g_02059	Syaa.g_02598
OG0000126	Prbi.g_02098	Syaa.g_02752
OG0000128	Prbi.g_00011	Syaa.g_00012
OG0000129	Prbi.g_00053	Syaa.g_02586
OG0000130	Prbi.g_00076	Syaa.g_00354
OG0000131	Prbi.g_00169	Syaa.g_02448
OG0000132	Prbi.g_00188	Syaa.g_02472
OG0000133	Prbi.g_00346	Syaa.g_01361
OG0000134	Prbi.g_00381	Syaa.g_02146
OG0000135	Prbi.g_00407	Syaa.g_02649
OG0000136	Prbi.g_00442	Syaa.g_00708
OG0000137	Prbi.g_00478	Syaa.g_01842
OG0000138	Prbi.g_00498	Syaa.g_02035
OG0000139	Prbi.g_00540	Syaa.g_01974
OG0000140	Prbi.g_00541	Syaa.g_01971
OG0000141	Prbi.g_00609	Syaa.g_01689
OG0000142	Prbi.g_00638	Syaa.g_01633
OG0000143	Prbi.g_00642	Syaa.g_01629
OG0000144	Prbi.g_00655	Syaa.g_01446
OG0000145	Prbi.g_00807	Syaa.g_02029
OG0000146	Prbi.g_00812	Syaa.g_01367
OG0000147	Prbi.g_00813	Syaa.g_01368
OG0000148	Prbi.g_00863	Syaa.g_01190
OG0000149	Prbi.g_00894	Syaa.g_00826
OG0000150	Prbi.g_00902	Syaa.g_01688
OG0000151	Prbi.g_00961	Syaa.g_01107
OG0000152	Prbi.g_01009	Syaa.g_01357
OG0000153	Prbi.g_01028	Syaa.g_01324
OG0000154	Prbi.g_01060	Syaa.g_01298
OG0000155	Prbi.g_01227	Syaa.g_00804
OG0000156	Prbi.g_01380	Syaa.g_00751
OG0000157	Prbi.g_01381	Syaa.g_00750
OG0000158	Prbi.g_01489	Syaa.g_00148
OG0000160	Prbi.g_01592	Syaa.g_01776
OG0000161	Prbi.g_01598	Syaa.g_01782
OG0000162	Prbi.g_01604	Syaa.g_01788
OG0000163	Prbi.g_01637	Syaa.g_00624
OG0000164	Prbi.g_01811	Syaa.g_00507
OG0000165	Prbi.g_01818	Syaa.g_00681
OG0000166	Prbi.g_01902	Syaa.g_02289
OG0000167	Prbi.g_01968	Syaa.g_00160
OG0000168	Prbi.g_01978	Syaa.g_00145
OG0000169	Prbi.g_01988	Syaa.g_00134
OG0000170	Prbi.g_01990	Syaa.g_00128
OG0000171	Prbi.g_02009	Syaa.g_00093
OG0000172	Prbi.g_02030	Syaa.g_00079
OG0000173	Prbi.g_02045	Syaa.g_00060
OG0000174	Prbi.g_02073	Syaa.g_02651
OG0000175	Prbi.g_02083	Syaa.g_02726
OG0000176	Prbi.g_00004	Syaa.g_00004
OG0000177	Prbi.g_00005	Syaa.g_00005
OG0000178	Prbi.g_00006	Syaa.g_00006
OG0000179	Prbi.g_00016	Syaa.g_00023
OG0000180	Prbi.g_00017	Syaa.g_00024
OG0000181	Prbi.g_00018	Syaa.g_00025
OG0000182	Prbi.g_00019	Syaa.g_00026
OG0000183	Prbi.g_00023	Syaa.g_00030
OG0000184	Prbi.g_00057	Syaa.g_02578
OG0000185	Prbi.g_00060	Syaa.g_02575
OG0000186	Prbi.g_00071	Syaa.g_00359
OG0000187	Prbi.g_00072	Syaa.g_00358
OG0000188	Prbi.g_00089	Syaa.g_00334
OG0000189	Prbi.g_00103	Syaa.g_02367
OG0000190	Prbi.g_00104	Syaa.g_02369
OG0000191	Prbi.g_00125	Syaa.g_02404
OG0000192	Prbi.g_00129	Syaa.g_02410
OG0000193	Prbi.g_00170	Syaa.g_02449
OG0000194	Prbi.g_00173	Syaa.g_02452
OG0000195	Prbi.g_00175	Syaa.g_02459
OG0000196	Prbi.g_00185	Syaa.g_02469
OG0000197	Prbi.g_00186	Syaa.g_02470
OG0000198	Prbi.g_00187	Syaa.g_02471
OG0000199	Prbi.g_00194	Syaa.g_02479
OG0000200	Prbi.g_00208	Syaa.g_02496
OG0000201	Prbi.g_00216	Syaa.g_02521
OG0000202	Prbi.g_00217	Syaa.g_02522
OG0000203	Prbi.g_00218	Syaa.g_02523
OG0000204	Prbi.g_00219	Syaa.g_02524
OG0000205	Prbi.g_00226	Syaa.g_02531
OG0000206	Prbi.g_00231	Syaa.g_02538
OG0000207	Prbi.g_00233	Syaa.g_02540
OG0000208	Prbi.g_00234	Syaa.g_02541
OG0000209	Prbi.g_00243	Syaa.g_02556
OG0000210	Prbi.g_00244	Syaa.g_02557
OG0000211	Prbi.g_00257	Syaa.g_02113
OG0000212	Prbi.g_00264	Syaa.g_02102
OG0000213	Prbi.g_00281	Syaa.g_00295
OG0000214	Prbi.g_00291	Syaa.g_00279
OG0000215	Prbi.g_00316	Syaa.g_00248
OG0000216	Prbi.g_00318	Syaa.g_00244
OG0000217	Prbi.g_00321	Syaa.g_00240
OG0000218	Prbi.g_00323	Syaa.g_00238
OG0000219	Prbi.g_00324	Syaa.g_00237
OG0000220	Prbi.g_00325	Syaa.g_00236
OG0000221	Prbi.g_00326	Syaa.g_00229
OG0000222	Prbi.g_00334	Syaa.g_00215
OG0000223	Prbi.g_00347	Syaa.g_00192
OG0000224	Prbi.g_00349	Syaa.g_00183
