Orthogroup	Prbi	Syar
OG0000001	Prbi.g_01424	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prbi.g_00698	Syar.g_02051
OG0000004	Prbi.g_00256	Syar.g_02225, Syar.g_00842
OG0000005	Prbi.g_01800	Syar.g_02952
OG0000005	Prbi.g_01666	Syar.g_02909
OG0000006	Prbi.g_00265	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbi.g_00500	Syar.g_01491
OG0000007	Prbi.g_01787	Syar.g_02929
OG0000008	Prbi.g_01764	Syar.g_02097
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syar.g_02098
OG0000008	Prbi.g_00675	Syar.g_00419, Syar.g_02048
OG0000009	Prbi.g_00112	Syar.g_03116
OG0000010	Prbi.g_01094	Syar.g_01272
OG0000012	Prbi.g_00625	Syar.g_00690, Syar.g_02860
OG0000013	Prbi.g_00351	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbi.g_00330	Syar.g_00825
OG0000014	Prbi.g_01475	Syar.g_02736
OG0000015	Prbi.g_00810, Prbi.g_01304	Syar.g_00451, Syar.g_00180
OG0000016	Prbi.g_00013	Syar.g_02859
OG0000017	Prbi.g_00600	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prbi.g_01188	Syar.g_01409
OG0000019	Prbi.g_00273, Prbi.g_00827	Syar.g_00163
OG0000022	Prbi.g_01170	Syar.g_00835
OG0000025	Prbi.g_00355, Prbi.g_00882	Syar.g_01811
OG0000026	Prbi.g_00031, Prbi.g_01101	Syar.g_00505
OG0000027	Prbi.g_00472, Prbi.g_01374	Syar.g_02055, Syar.g_02835
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syar.g_00718
OG0000032	Prbi.g_01497	Syar.g_00543
OG0000034	Prbi.g_01401	Syar.g_00074, Syar.g_02790
OG0000035	Prbi.g_01589, Prbi.g_01591	Syar.g_02809
OG0000037	Prbi.g_00116	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbi.g_02057	Syar.g_00334, Syar.g_00336
OG0000039	Prbi.g_00689	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prbi.g_01738	Syar.g_02831
OG0000040	Prbi.g_01187	Syar.g_00858
OG0000041	Prbi.g_01833	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prbi.g_02001	Syar.g_00595, Syar.g_01970
OG0000044	Prbi.g_01744, Prbi.g_01760	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000048	Prbi.g_00398	Syar.g_00213
OG0000051	Prbi.g_01281, Prbi.g_01364	Syar.g_01597
OG0000053	Prbi.g_01611	Syar.g_01413
OG0000054	Prbi.g_00608	Syar.g_02265
OG0000055	Prbi.g_00828	Syar.g_01386
OG0000056	Prbi.g_01276	Syar.g_01662
OG0000057	Prbi.g_00702	Syar.g_01941, Syar.g_00006
OG0000059	Prbi.g_01873	Syar.g_01024
OG0000061	Prbi.g_01207	Syar.g_01539
