Orthogroup	Prbi	Syak
OG0000001	Prbi.g_01424	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbi.g_00698	Syak.g_01219, Syak.g_00720
OG0000004	Prbi.g_00256	Syak.g_00003, Syak.g_02297
OG0000005	Prbi.g_01800	Syak.g_02401
OG0000005	Prbi.g_01666	Syak.g_00885, Syak.g_02436
OG0000006	Prbi.g_00265	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbi.g_00500	Syak.g_02595
OG0000007	Prbi.g_01787	Syak.g_02416
OG0000008	Prbi.g_01764	Syak.g_00267
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syak.g_00692
OG0000009	Prbi.g_00112	Syak.g_02194
OG0000010	Prbi.g_01094	Syak.g_01119
OG0000012	Prbi.g_00625	Syak.g_00010
OG0000013	Prbi.g_00351	Syak.g_01270, Syak.g_01275
OG0000014	Prbi.g_00330	Syak.g_01505
OG0000014	Prbi.g_01475	Syak.g_01582
OG0000015	Prbi.g_00810, Prbi.g_01304	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbi.g_00013	Syak.g_01780
OG0000017	Prbi.g_00600	Syak.g_02730, Syak.g_02738
OG0000018	Prbi.g_01188	Syak.g_01072
OG0000019	Prbi.g_00273, Prbi.g_00827	Syak.g_01413
OG0000021	Prbi.g_01742, Prbi.g_00389	Syak.g_00566
OG0000022	Prbi.g_01170	Syak.g_00088
OG0000023	Prbi.g_00384	Syak.g_00316, Syak.g_00223
OG0000025	Prbi.g_00355, Prbi.g_00882	Syak.g_00610
OG0000026	Prbi.g_00031, Prbi.g_01101	Syak.g_01757
OG0000027	Prbi.g_00472, Prbi.g_01374	Syak.g_00127
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syak.g_01522
OG0000029	Prbi.g_00796, Prbi.g_00399	Syak.g_00169, Syak.g_00178
OG0000030	Prbi.g_02004	Syak.g_01684, Syak.g_01685
OG0000032	Prbi.g_01497	Syak.g_01707
OG0000033	Prbi.g_00193	Syak.g_02101
OG0000034	Prbi.g_01401	Syak.g_00950, Syak.g_02133
OG0000035	Prbi.g_01589, Prbi.g_01591	Syak.g_01041, Syak.g_01040
OG0000037	Prbi.g_00116	Syak.g_02188
OG0000038	Prbi.g_02057	Syak.g_01938, Syak.g_01936
OG0000039	Prbi.g_00689	Syak.g_00772, Syak.g_01918
OG0000040	Prbi.g_01187	Syak.g_01852
OG0000041	Prbi.g_01833	Syak.g_02354, Syak.g_00752
OG0000042	Prbi.g_02001	Syak.g_00843, Syak.g_01681
OG0000043	Prbi.g_01334, Prbi.g_00918	Syak.g_00335
OG0000044	Prbi.g_01744, Prbi.g_01760	Syak.g_00767, Syak.g_00153
OG0000045	Prbi.g_00395	Syak.g_00228
OG0000047	Prbi.g_00354	Syak.g_01147
OG0000048	Prbi.g_00398	Syak.g_01446
OG0000053	Prbi.g_01611	Syak.g_01068
OG0000054	Prbi.g_00608	Syak.g_02744, Syak.g_02321
OG0000055	Prbi.g_00828	Syak.g_00766
OG0000057	Prbi.g_00702	Syak.g_00724, Syak.g_01676
OG0000059	Prbi.g_01873	Syak.g_01355
OG0000061	Prbi.g_01207	Syak.g_00898
OG0000062	Prbi.g_01668	Syak.g_02434
OG0000063	Prbi.g_00033	Syak.g_01752
